날짜,시가,고가,저가,현재가,거래량
20110330,14075,14727,13888,14634,2667352
20110331,14820,14867,14634,14820,1459240
20110401,14727,15333,14634,15193,2570165
20110404,15100,15286,14960,15193,1631910
20110405,15007,15147,14867,14960,1176125
20110406,14867,14914,14261,14448,1868485
20110407,14634,14634,14075,14121,842514
20110408,14168,14215,13702,13748,1274537
20110411,13795,13982,13655,13888,731848
20110412,13795,14028,13562,13655,558850
20110413,13609,13702,13329,13469,928050
20110414,13422,13515,12956,13329,1266587
20110415,13189,13422,13143,13329,907517
20110418,13282,13422,12537,12677,1122118
20110419,12583,13096,12397,13049,1063515
20110420,13282,13376,12910,12956,988782
20110421,13049,13096,12537,12583,1234932
20110422,12677,13702,12630,13469,1749658
20110425,13748,13982,13376,13469,1489601
20110426,13469,13515,12956,13282,1326878
20110427,13515,13982,13282,13748,1558696
20110428,13748,14075,13655,13982,1203319
20110429,13842,14541,13655,14541,1998495
20110502,14820,14867,14494,14681,1659712
20110503,14681,14727,14354,14587,852271
20110504,14681,14727,14028,14401,826834
20110506,14215,14261,13982,14121,796556
20110509,14215,14308,13748,13748,680015
20110511,13748,13935,13609,13795,658066
20110512,13702,13935,13562,13655,869077
20110513,13609,13655,13282,13282,895807
20110516,13189,13469,13003,13236,724507
20110517,13143,13515,13143,13376,442332
20110518,13515,13935,13422,13888,776060
20110519,14075,14121,13469,13795,1809367
20110520,13888,14168,13795,14121,756986
20110523,14261,14261,13842,14075,597715
20110524,13982,14448,13935,14401,677476
20110525,14401,14401,13935,14075,491936
20110526,14308,14354,14028,14354,375491
20110527,14448,14448,14075,14448,561351
20110530,14401,14448,13888,14121,455237
20110531,14121,14541,13982,14541,2560320
20110601,14168,14541,14168,14541,536963
20110602,13982,14168,13888,13888,640186
20110603,13935,14494,13888,14494,457180
20110607,14308,14914,14261,14727,990139
20110608,14727,14727,14261,14587,512782
20110609,14448,14541,13982,14028,712152
20110610,14075,14168,13469,13469,1102328
20110613,13422,13795,13376,13795,434669
20110614,13795,13888,13515,13655,388916
20110615,13795,13795,13469,13515,840413
20110616,13469,13469,13143,13236,743929
20110617,13282,13422,13189,13189,1356176
20110620,13189,13282,12956,13096,524908
20110621,13143,13795,13096,13795,830387
20110622,13842,13888,13189,13282,1152781
20110623,13282,13795,13189,13422,998990
20110624,13609,14261,13515,14168,1581877
20110627,14075,14215,13748,13935,414428
20110628,14168,14448,14121,14308,779226
20110629,14448,14634,14028,14075,587698
20110630,14121,14354,13982,14075,881522
20110701,14168,14215,14028,14168,441171
20110704,14261,14401,14075,14215,350476
20110705,14168,14308,14121,14308,493966
20110706,14354,14401,14215,14308,385823
20110707,14215,14448,14215,14308,385451
20110708,14308,14354,13795,13935,1559651
20110711,13888,14168,13655,14168,638511
20110712,14075,14075,13795,13888,644394
20110713,14028,14261,13888,14215,688059
20110714,14308,14354,14028,14354,738869
20110715,14401,14587,14261,14587,656536
20110718,14681,14681,14168,14261,433987
20110719,14215,14634,14121,14354,629803
20110720,14448,14914,14401,14914,1498481
20110721,14914,15286,14867,15286,1077672
20110722,15380,15799,15333,15566,1213626
20110725,15519,15659,15100,15473,352912
20110726,15426,15846,15426,15659,868992
20110727,15613,16172,15053,15333,1091427
20110728,15053,15286,15053,15147,352659
20110729,15193,15659,14960,15147,603944
20110801,15380,15659,14914,15100,645484
20110802,15007,15100,14587,14727,764362
20110803,14354,14541,13935,14075,731466
20110804,14168,14401,13982,14308,513156
20110805,13562,14168,13515,13609,969173
20110808,13609,13748,12770,13049,902446
20110809,13003,13003,11791,12071,1746233
20110810,12630,13515,12164,12164,1921695
20110811,11605,12350,11511,12164,1156446
20110812,12630,12863,12397,12723,1164413
20110816,13096,13422,13049,13282,698961
20110817,13143,13329,12956,12956,896547
20110818,12910,12956,12257,12304,1052272
20110819,11838,11977,11651,11931,1040281
20110822,11744,12630,11698,12397,708529
20110823,12537,12677,11698,11838,1389809
20110824,11977,11977,10999,10999,1885153
20110825,11278,11418,10859,10859,1129857
20110826,10719,11278,10719,11139,1199319
20110829,11465,11558,11139,11465,1173011
20110830,11977,12537,11977,12211,9732224
20110831,12071,12397,11931,12350,1054865
20110901,12490,13049,12257,12630,2030867
20110902,12490,13049,12164,12304,996698
20110905,12164,12304,11744,11931,1014760
20110906,11698,12350,11465,12117,896575
20110907,12397,12490,11977,12257,822912
20110908,12304,12723,12304,12630,958867
20110909,12444,12816,12164,12211,676651
20110914,12071,12164,11139,11372,1016396
20110915,11698,11931,11045,11092,912896
20110916,11511,12117,11325,12117,739890
20110919,11977,12537,11698,12444,841390
20110920,12257,12816,12024,12723,871866
20110921,12583,13376,12444,13143,851401
20110922,12723,12770,11884,12164,1157023
20110923,11418,11651,11325,11418,989220
20110926,11418,11744,11092,11698,1349128
20110927,12071,12723,11884,12211,1101366
20110928,12350,12444,11744,11884,1573964
20110929,11791,12397,11558,12397,1232286
20110930,12257,12397,11977,12257,1255181
20111004,11372,11791,11232,11791,852096
20111005,11884,12117,11651,11931,707976
20111006,12211,12816,12117,12304,832711
20111007,12723,12910,12444,12444,476495
20111010,12304,12677,11931,12071,474748
20111011,12630,12630,11838,11838,1168038
20111012,11838,11884,11605,11651,1247587
20111013,11884,12257,11744,12024,1114745
20111014,11884,12257,11744,12117,841762
20111017,12257,12304,11838,11931,744320
20111018,11698,11838,11651,11744,822196
20111019,11884,11931,11418,11651,924937
20111020,11651,11744,11278,11372,1193762
20111021,11511,11511,11185,11465,686801
20111024,11558,11977,11511,11977,728256
20111025,12024,12024,11744,11838,756088
20111026,11605,11651,11511,11511,650154
20111027,11605,11698,11418,11698,965040
20111028,12304,12537,11698,11744,1881014
20111031,11744,11977,11418,11605,888707
20111101,11418,11698,11372,11418,914540
20111102,11232,11278,11092,11185,1011065
20111103,11372,11372,10812,10906,1237182
20111104,11139,11465,11092,11372,929434
20111107,11418,11465,11092,11325,663359
20111108,11372,11418,11139,11139,482154
20111109,11278,11418,11139,11372,620735
20111110,11045,11232,10859,10859,1134004
20111111,11045,11092,10859,11045,622428
20111114,11185,11278,11092,11092,398780
20111115,10999,11045,10673,10719,941594
20111116,10719,10812,10393,10486,843592
20111117,10440,10486,10160,10253,884868
20111118,10067,10113,9740,9787,1102383
20111121,9834,9973,9507,9601,1078210
20111122,9461,10067,9461,9927,1059739
20111123,10020,10020,9694,9694,917048
20111124,9694,10206,9694,10020,989521
20111125,10020,10440,9973,10253,1449685
20111128,10440,10673,10393,10486,974646
20111129,10626,10766,10346,10626,1243335
20111130,10533,10719,10533,10626,611918
20111201,11045,11139,10626,10626,1478950
20111202,10673,10999,10626,10812,962028
20111205,10906,10952,10486,10673,560743
20111206,10579,10626,10393,10533,557865
20111207,10533,10673,10486,10673,519667
20111208,10673,10859,10440,10719,836402
20111209,10533,10812,10393,10673,926969
20111212,10859,10906,10486,10766,808994
20111213,10579,10626,9927,10020,1377646
20111214,10020,10393,9927,10253,909155
20111215,10206,10393,10067,10067,1339272
20111216,10160,10346,9927,9973,961742
20111219,10067,10067,9601,9740,964349
20111220,9740,9973,9694,9834,776046
20111221,10113,10346,10020,10346,1130457
20111222,10206,10393,10206,10346,563748
20111223,10346,10486,10300,10393,1051467
20111226,10440,10440,10253,10300,771920
20111227,10300,10533,10300,10486,778726
20111228,10206,10300,10067,10253,290610
20111229,10113,10346,10020,10300,313279
20120102,10206,10346,9927,9927,392110
20120103,10020,10486,10020,10486,636251
20120104,10440,10486,10160,10160,596614
20120105,10160,10393,10020,10346,748642
20120106,10440,10440,9973,10067,555324
20120109,10020,10160,9834,10113,702952
20120110,10160,10393,10067,10346,632923
20120111,10393,10440,10206,10300,544168
20120112,10253,10440,10206,10440,525789
20120113,10393,10626,10393,10579,680764
20120116,10486,10673,10440,10626,668923
20120117,10626,11465,10626,11465,1581611
20120118,11278,11744,11185,11605,854676
20120119,11744,11884,11605,11744,771194
20120120,11698,12024,11651,11977,601318
20120125,12024,12164,11465,11465,686849
20120126,11558,12024,11511,11977,537335
20120127,11977,12071,11838,12071,464821
20120130,11884,11977,11791,11977,665542
20120131,11977,12071,11791,11884,522066
20120201,11838,11838,11511,11558,935707
20120202,11744,12024,11744,11838,1178886
20120203,11977,12071,11698,12071,996210
