날짜,시가,고가,저가,현재가,거래량
20080102,77703,77703,73365,74214,160641
20080103,72611,75440,71762,73554,141703
20080104,73271,74120,72234,72422,86463
20080107,70536,72140,70442,71479,82670
20080108,72422,73083,70914,71857,116510
20080109,70914,73083,70819,72611,94778
20080110,73177,73365,71762,72140,78639
20080111,72611,72800,71197,71197,104042
20080114,70442,73271,70442,71668,149852
20080115,72045,73177,71857,72611,115909
20080116,72611,75534,71857,73837,226970
20080117,75251,76855,73648,74780,132897
20080118,72611,77232,72611,77232,194381
20080121,76855,79023,75063,77232,237756
20080122,76383,78269,70631,76949,399091
20080123,79023,79023,74969,75440,229687
20080124,75817,76760,73743,74026,174548
20080125,74026,74403,69782,70348,341347
20080128,69782,70254,67330,68745,111853
20080129,69593,70348,68085,70254,150065
20080130,70254,71008,65067,69782,115658
20080131,67896,67896,65350,65539,312811
20080201,65727,66670,65256,65350,185135
20080204,65633,66576,65161,65161,191501
20080205,65539,66293,65161,66010,119297
20080211,64501,65067,63181,65067,133510
20080212,65161,66010,63653,65444,102920
20080213,66482,66576,64596,64596,237430
20080214,65067,65633,64313,65067,219637
20080215,64030,64501,61201,61201,376033
20080218,61201,61861,59881,60352,260476
20080219,60824,63087,60729,62049,280233
20080220,62710,63275,61201,61955,258674
20080221,62427,62992,61767,62144,116600
20080222,61672,61861,59975,60635,166603
20080225,61295,63370,60918,63370,199764
20080226,64030,66953,63464,66953,323840
20080227,67425,67519,65539,66010,136141
20080228,66576,67330,65067,66010,122363
20080229,65539,67707,65350,67425,118029
20080303,65727,66387,64596,65821,87362
20080304,66104,66670,65067,65444,62529
20080305,65539,69876,65161,69122,453559
20080306,71668,74308,71197,73365,597150
20080307,72328,74120,71102,72705,204625
20080310,71762,73460,69405,73460,126069
20080311,73083,73365,70442,71102,103180
20080312,71762,72140,66953,67519,343851
20080313,66953,68556,64596,64596,122174
20080314,65444,66859,62710,64501,194231
20080317,64313,64313,60729,62710,125101
20080318,62710,63181,60824,61861,174051
20080319,63841,64124,62992,63464,84681
20080320,62992,67613,62992,67330,145541
20080321,67896,69782,66199,68839,176875
20080324,69688,69688,66953,69216,93177
20080325,69216,69311,67047,67330,99030
20080326,66670,67047,64313,65067,233862
20080327,64690,66482,64596,65067,117027
20080328,65067,67896,64973,66482,162219
20080331,66953,68368,65539,65633,175412
20080401,66104,68650,65727,68650,218555
20080402,70065,70254,68462,69782,152573
20080403,70254,70254,67519,68368,177339
20080404,67896,68839,67142,67896,95103
20080407,68368,69782,67990,68556,96864
20080408,68556,69876,67896,69405,74411
20080410,68839,69971,68556,69971,79822
20080411,70159,70725,69216,70065,81401
20080414,69311,69311,67142,68368,75311
20080415,68273,69782,67990,68650,84197
20080416,69311,70536,69122,69782,145506
20080417,70631,71102,69688,69782,156320
20080418,70159,73083,70065,72140,196587
20080421,73271,74308,71668,74120,160244
20080422,74403,74403,72422,73837,106492
20080423,73460,74874,72705,74874,127118
20080424,74026,74497,72988,73837,82383
20080425,73365,74026,71951,73837,130121
20080428,72988,76855,72988,75912,220965
20080429,75346,77609,75251,76383,211129
20080430,75534,76383,74214,75440,128488
20080502,75251,76760,74969,76100,117257
20080506,76100,76760,74969,74969,130186
20080507,74120,75723,71668,72517,170411
20080508,71762,72988,71762,72611,107539
20080509,72800,72894,70631,72045,96944
20080513,72045,73271,70914,73271,93575
20080514,73743,76383,73460,74874,181940
20080515,74591,78363,74591,77515,237749
20080516,77515,78458,75534,75534,178568
20080519,76006,76855,73554,75440,212605
20080520,74686,74780,73083,74214,151160
20080521,74120,74120,70442,71951,238018
20080522,70536,71102,69971,69971,120230
20080523,70536,70631,69122,70159,110125
20080526,70159,71102,69593,70159,64766
20080527,70536,71008,69593,69876,149620
20080528,71762,71762,66199,66764,723959
20080529,67330,68368,66859,67896,277699
20080530,68085,69688,67047,68368,240606
20080602,68179,68839,67236,68368,151542
20080603,67896,68745,67519,67896,126390
20080604,67707,69216,67142,67425,166181
20080605,67519,68556,66576,67896,161112
20080609,66104,66764,65916,66764,69037
20080610,66859,66859,63747,64124,197954
20080611,63935,64313,62615,62710,193607
20080612,62049,64690,61672,61672,199337
20080613,62238,63370,61861,63370,167475
20080616,63370,64313,62804,63464,100564
20080617,63275,63653,61295,61578,96858
20080618,60635,63653,60635,62898,111980
20080619,62898,64313,62238,63935,87628
20080620,64313,64690,62710,63653,64925
20080623,62615,63181,61767,62898,52924
20080624,62427,62427,61672,61767,57096
20080625,61012,61767,59692,60258,173804
20080626,60258,60258,58277,58749,197968
20080627,57429,57712,56297,57617,139932
20080630,57429,59220,56769,58466,124344
20080701,58466,60352,58466,59692,114870
20080702,59126,60258,57712,58938,100188
20080703,57523,59409,56391,58183,84998
20080704,58183,58655,55543,56297,93647
20080707,55260,56297,50545,52242,442998
20080708,52242,52242,48093,49790,331439
20080709,50922,51205,47244,47244,359114
20080710,44510,47150,44227,46207,505677
20080711,47527,51205,47433,50922,413590
20080714,50828,52054,49413,51488,272034
20080715,52714,53374,48847,49036,394980
20080716,49885,51488,49130,49508,262930
20080717,51394,51865,50733,51111,149790
20080718,51865,52148,51299,51394,165574
20080721,52054,53185,52054,52997,133871
20080722,52997,54223,52619,54128,91836
20080723,54883,55448,53280,53751,87097
20080724,54600,54788,53374,53751,130373
20080725,53468,54317,52431,53562,65808
20080728,54223,54223,53280,53657,36147
20080729,53091,53091,51488,52997,57573
20080730,53940,54128,52808,52997,45303
20080731,53091,53657,52808,52997,53326
20080801,52431,53751,52148,53751,51622
20080804,53091,54505,52997,53562,56963
20080805,53091,55260,53091,53562,96354
20080806,54977,55166,54223,54694,76841
20080807,55166,55543,54411,55166,84223
20080808,54223,55637,54034,55166,68106
20080811,55354,57523,55354,57429,95259
20080812,57900,57900,56957,57240,58524
20080813,56297,56769,55260,56109,60462
20080814,56109,56297,54788,55354,55745
20080818,55260,55826,53751,54694,74932
20080819,54411,55354,53468,54977,52323
20080820,54128,57052,54128,56297,80123
20080821,55731,56580,55166,55826,47919
20080822,56391,56391,53940,55543,59966
20080825,55543,56297,54883,55071,40827
20080826,53751,54694,52714,54411,67102
20080827,53751,55354,53468,54034,72396
20080828,54411,56580,52902,53940,142340
20080829,54034,55071,53562,54128,52254
20080901,54034,54034,52619,53468,62201
20080902,52902,54505,52525,52525,67688
20080903,52619,53562,52242,53280,54063
20080904,52902,53468,52337,52525,63681
20080905,52242,52337,49413,50451,138559
20080908,51016,53374,50922,51676,108868
20080909,51582,52431,51111,51582,80729
20080910,51299,53185,50828,52431,80101
20080911,52337,52714,50922,51299,107602
20080912,52148,54788,52148,53940,81010
20080916,50451,53751,49979,51205,86485
20080917,52054,52714,51488,52054,44262
20080918,51016,51111,46820,47810,242384
20080919,49413,49885,47103,48093,334916
20080922,48093,48376,44934,45736,549407
20080923,45075,48187,45075,48187,344851
20080924,47999,49696,47999,49413,247075
20080925,48565,49508,47716,49036,271721
20080926,49130,49130,47622,47622,147283
20080929,48093,48187,45264,45311,266332
20080930,41539,43850,41492,43850,408656
20081001,44274,44274,42624,43189,617989
20081002,43802,43850,41869,42954,280656
20081006,41681,42199,41492,41586,148497
20081007,40738,42294,39700,39700,231717
20081008,38380,38474,35740,36117,311328
20081009,35928,36871,34184,34467,354943
20081010,32534,34231,30270,34231,315801
20081013,34985,36777,34891,36777,240708
20081014,38192,40172,38097,40030,254881
20081015,39135,39135,37720,39135,131527
20081016,36777,37201,35363,35551,132193
20081017,36588,36777,34231,34655,154715
20081020,34891,35881,31873,34137,128831
20081021,34797,35645,33477,35315,111459
20081022,34608,35457,30695,33571,118815
20081023,30648,32062,28573,28573,245455
20081024,27819,28290,24329,24329,246972
20081027,23198,24942,21925,22632,229846
20081028,20840,26027,20793,25461,280924
20081029,26876,28762,22821,26687,303012
20081030,28714,30648,27441,30648,212251
20081031,31025,33759,29233,32062,213882
20081103,32722,33948,32062,33005,162283
20081104,32534,32816,31119,32251,175940
20081105,33005,34420,31779,32675,255828
20081106,30648,31402,28714,29799,202080
20081107,27819,30317,27347,30317,170134
20081110,30553,31873,29705,30930,157339
20081111,30412,30648,29563,29799,168249
20081112,29233,30035,28620,29799,138108
20081113,27630,31402,27630,29799,205151
20081114,30930,31402,28762,28762,243252
20081117,28101,28290,26781,26970,250908
20081118,26451,27158,25084,25367,304158
20081119,25555,26027,24518,24990,162577
20081120,23009,23481,22773,23104,214777
20081121,22113,23952,21642,23292,394234
20081124,23292,23999,22679,22679,218041
20081125,23575,24235,23104,23764,334106
20081126,24047,25555,23858,25461,302747
20081127,26121,27630,25272,27630,321237
20081128,27253,28479,26498,28479,191690
20081201,28479,28479,27347,27347,150219
20081202,25555,26168,25131,25650,126156
20081203,26215,26215,24942,26121,178240
20081204,26545,26781,25555,26121,128527
20081205,26121,26781,25555,26734,124134
20081208,27017,30742,26970,30742,367214
20081209,30930,32816,29893,31779,370198
20081210,31308,33571,31308,33571,400763
20081211,33288,34042,32911,32911,217309
20081212,31119,35363,30648,32534,404883
20081215,33759,35645,33005,33948,252932
20081216,33712,37013,33194,35834,209234
20081217,37249,37249,35080,36258,145600
20081218,36258,37249,35928,35928,132642
20081219,36023,36683,34891,34891,93565
20081222,34985,35693,34231,35268,91282
20081223,35080,35834,34278,35834,116419
20081224,35834,36494,34278,36211,153434
20081226,35693,36777,35363,36777,119887
20081229,36117,37673,35504,36918,102178
20081230,37249,37720,35881,37720,212261
20090102,37437,37720,35504,35551,194580
20090105,35740,36023,34985,35410,123937
20090106,35740,36494,34938,35221,153696
20090107,35410,36777,34985,35221,227292
20090108,34891,35598,33618,33948,237623
20090109,34325,34561,33146,33477,174424
20090112,33335,33335,32345,32345,109382
20090113,32439,32864,31638,32534,155683
20090114,32722,33477,32156,33288,148361
20090115,32062,32298,30648,30648,149230
20090116,30742,31072,29799,30978,158821
20090119,31355,31685,30412,30648,160843
20090120,30459,30506,29374,29374,131206
20090121,28290,28903,27724,28479,192029
20090122,29327,31449,28479,31119,234545
20090123,30978,31543,29374,29374,159418
20090128,29940,30836,29940,30459,108764
20090129,30789,31308,30317,31072,123042
20090130,30695,31826,30365,31591,118414
20090202,30836,31402,30129,30648,132889
20090203,30600,30978,29799,30317,123989
20090204,30695,31402,30648,31260,137420
20090205,31166,31732,29987,29987,163413
20090206,30459,30930,30035,30648,149960
20090209,31308,32911,31213,32675,472367
20090210,33288,34467,32911,34372,504078
20090211,33429,34985,33052,34372,342167
20090212,34797,35363,33995,34042,330798
20090213,34184,35975,33335,35787,400852
20090216,35504,36117,34750,34891,237764
20090217,34467,35221,33005,34137,261196
20090218,33665,34231,33005,33288,216436
20090219,33099,33477,32203,32958,230349
20090220,32439,32911,30176,30648,205143
20090223,30365,32722,30176,32062,173177
20090224,31308,31873,30930,31873,147908
20090225,32816,32911,30883,31685,132336
20090226,31402,32486,30270,30506,106331
20090227,30506,31402,29893,31166,110712
20090302,31496,31496,29092,29846,106818
20090303,28573,29752,28573,29422,99712
20090304,29327,31025,28809,31025,117906
20090305,31260,31921,29987,31402,133571
20090306,30365,31119,30176,30506,114176
20090309,30883,31308,30082,31025,107794
20090310,30883,32581,30553,32062,211815
20090311,33194,35268,33052,35032,309047
20090312,34891,35645,34561,35268,291165
20090313,35268,36541,35268,36306,195300
20090316,36023,37107,35834,36306,202413
20090317,36400,37013,35551,36588,200430
20090318,36871,36871,34608,36117,176009
20090319,35881,36117,34938,35221,110865
20090320,34891,36070,34561,35363,131479
20090323,35598,36258,35363,36164,174528
20090324,36871,37107,35457,36211,192528
20090325,36541,37531,36353,36871,281634
20090326,37060,37107,35928,36447,274483
20090327,36824,37060,35457,35928,343991
20090330,35693,36353,34608,34608,166360
20090331,34797,36306,34372,35928,217072
20090401,36211,38757,35551,38474,468309
20090402,39087,43001,38663,41115,611410
20090403,41964,42058,40219,41681,379230
20090406,41492,42435,41021,41775,170212
20090407,41869,42105,40549,41445,155465
20090408,40926,44132,40549,42812,265680
20090409,42812,44321,42435,43378,285504
20090410,44321,44745,41916,43001,209221
20090413,43001,43001,41681,41681,145556
20090414,41775,42671,40549,42246,274610
20090415,41303,41916,40596,40832,143425
20090416,42246,46490,42152,44981,481630
20090417,45877,46961,44887,45594,351347
20090420,46018,46160,44415,45075,159832
20090421,44227,46584,43708,46207,236715
20090422,46207,47433,45217,45830,245724
20090423,46018,46301,44132,44368,246239
20090424,44510,44651,42435,42435,295524
20090427,42907,43708,42435,42435,210498
20090428,43001,43284,40926,41256,131597
20090429,41445,43991,41256,43378,171898
20090430,44085,46490,44038,46490,328600
20090504,47150,47339,45924,46537,225091
20090506,46679,47810,46301,46726,187653
20090507,47150,50356,47056,50262,333833
20090508,49602,50545,48565,49979,216109
20090511,49885,53562,49225,51865,369163
20090512,51488,52997,50168,51299,267169
20090513,51299,51582,49508,50639,156813
20090514,49508,50733,49413,49508,104891
