날짜,시가,고가,저가,현재가,거래량
20080102,51979,51979,50960,50960,10100
20080103,51215,51724,50603,51215,11993
20080104,51215,52744,50960,52489,17574
20080107,52489,56311,52489,55037,31536
20080108,55037,55801,53508,54782,21444
20080109,54272,54782,51724,52744,14372
20080110,51724,54527,51724,54527,10916
20080111,55801,55801,54527,55292,31626
20080114,55801,56311,55037,55292,43865
20080115,55292,55546,50450,52234,26283
20080116,51979,54272,50960,53508,35712
20080117,52489,54527,45609,45762,165737
20080118,43214,47800,42348,47800,118210
20080121,49431,49482,46017,49227,41408
20080122,48769,48769,45405,45660,59083
20080123,46374,47189,45354,45864,57435
20080124,46832,47902,45405,47851,47527
20080125,49584,49584,48412,48922,39171
20080128,48412,49992,47138,49380,55037
20080129,49380,51470,49278,50960,125614
20080130,50960,52744,49686,50450,72900
20080131,49686,50501,48310,49482,84230
20080201,49431,49533,48463,49176,41624
20080204,48412,49431,48412,49227,45849
20080205,49227,49839,49125,49737,8997
20080211,47750,49329,47750,48922,10529
20080212,48259,49431,47800,48922,9016
20080213,48208,48871,48208,48514,16051
20080214,48820,49482,48463,49431,53106
20080215,49788,49941,48718,49788,26275
20080218,50196,50196,48973,49686,29250
20080219,49431,49941,48667,49686,25992
20080220,49686,49890,48922,49635,21293
20080221,49839,49992,49431,49941,41995
20080222,49227,50145,49227,49941,33924
20080225,49941,52234,49941,51470,72947
20080226,51724,52489,50858,51215,34894
20080227,51724,51724,50756,51215,2897309
20080228,50807,51470,50552,50705,28496
20080229,50960,51215,50603,51215,13842
20080303,50909,51470,50450,51470,31585
20080304,51215,55546,51215,55037,134621
20080305,55037,57330,55037,56820,92125
20080306,57585,60133,57075,58859,166000
20080307,58859,59623,57585,58859,69544
20080310,57585,58604,56820,57840,78510
20080311,57585,58094,56820,57840,35198
20080312,58604,58859,56056,58094,66734
20080313,58604,58604,57330,57585,18430
20080314,57075,58094,54782,55546,68010
20080317,55037,56566,52744,56311,50188
20080318,56311,56820,55546,56311,38541
20080319,57075,57585,54018,54782,44217
20080320,53508,54782,51979,54272,28816
20080321,53508,55801,53508,55037,28202
20080324,55037,59114,55037,55546,176516
20080325,56566,57840,55801,56820,56877
20080326,56820,57075,55292,55292,129220
20080327,56566,56820,55546,56311,22276
20080328,56056,57585,55037,56820,28681
20080331,57585,57840,55801,56311,43997
20080401,55546,56311,54782,56056,51811
20080402,56566,58349,56056,58094,85080
20080403,58604,58604,55801,57075,289801
20080404,56311,57330,55037,56311,51750
20080407,57075,57075,55546,55801,67174
20080408,56820,57330,55546,56820,44523
20080410,56056,57075,55801,56311,22046
20080411,56566,57075,55546,56566,16224
20080414,55546,56566,54782,55037,22890
20080415,54782,56056,54527,55037,11134
20080416,54782,55292,53763,54018,35094
20080417,55037,55292,53253,54018,40343
20080418,54018,55292,52744,55292,51921
20080421,55292,55292,54018,54527,24589
20080422,54782,54782,52998,53508,27939
20080423,52998,54018,52234,52744,67945
20080424,52998,54527,52489,52489,43814
20080425,52998,53508,51979,52234,18867
20080428,51470,52744,50960,50960,69640
20080429,50960,52489,50960,51470,31456
20080430,51724,51724,50960,51724,46993
20080502,51979,51979,50807,50960,39945
20080506,52998,52998,51470,51724,45886
20080507,51724,52998,50960,51470,31177
20080508,50960,52744,50960,52489,25759
20080509,52744,52744,50807,51979,27998
20080513,52744,52744,50909,50960,104010
20080514,51470,52234,50960,52234,31002
20080515,52234,54272,51470,54018,87755
20080516,54018,56056,53508,56056,113122
20080519,56056,57585,56056,57330,106983
20080520,57840,58349,57075,57075,79999
20080521,57075,57075,55801,57075,27576
20080522,57075,57330,56056,56820,65423
20080523,56820,58349,56820,58094,89835
20080526,57585,58349,56820,57840,50178
20080527,57840,58349,57330,57840,94324
20080528,57840,58349,56820,57585,56709
20080529,57840,57840,57075,57585,60883
20080530,57840,58094,56056,57075,30922
20080602,56056,57840,56056,57330,38740
20080603,54018,56056,51215,55292,303543
20080604,53763,55801,52998,54782,74994
20080605,55292,55292,52489,54018,26556
20080609,52234,54018,52234,53508,43852
20080610,54527,54527,52234,53508,55761
20080611,53253,54527,53253,54018,40586
20080612,53763,53763,51979,51979,28965
20080613,51470,53508,51470,53253,35410
20080616,53253,55037,52744,54272,51728
20080617,54782,55292,53508,54018,12835
20080618,54527,54527,52998,54018,9888
20080619,53508,53763,52489,52489,11420
20080620,53508,54527,52489,54527,46811
20080623,53763,54272,52744,54018,18296
20080624,53253,53508,52489,53253,29425
20080625,53253,53253,51979,53253,12352
20080626,53508,53508,52489,52998,10722
20080627,51215,52998,51215,52744,20196
20080630,51979,52744,51724,51979,50394
20080701,51979,52234,51724,51724,20262
20080702,51979,51979,50450,51470,191171
20080703,52234,52489,50705,50858,73761
20080704,51724,51724,50705,50705,34823
20080707,50348,50858,50348,50705,28010
20080708,50196,50705,48259,50654,36571
20080709,50654,50858,49737,50858,21842
20080710,49329,50858,49329,50807,28644
20080711,50196,51215,49839,50960,46242
20080714,50960,50960,50196,50756,16797
20080715,50756,50960,49737,49890,21603
20080716,50603,50960,49941,50960,23846
20080717,50960,51724,49992,50450,25755
20080718,49941,50858,49941,50196,9258
20080721,50705,50909,49992,50654,4593
20080722,50858,50909,50399,50909,24254
20080723,53508,53508,51215,51470,22866
20080724,51979,52489,50909,51979,39016
20080725,51215,51215,50196,50960,24142
20080728,51470,51470,50196,50501,10557
20080729,50654,51215,49839,50960,21004
20080730,51215,51215,50094,50909,24154
20080731,50909,50960,50247,50858,30688
20080801,49431,50756,49431,50450,12637
20080804,50399,50399,49227,50043,26202
20080805,49482,49890,48718,49635,16428
20080806,50145,50145,49431,50094,13145
20080807,50043,50399,49482,49482,14305
20080808,49329,50094,49329,49890,12227
20080811,50298,50450,49992,50348,9909
20080812,50450,50450,49737,50348,4923
20080813,50399,50399,49788,50247,5160
20080814,50247,50247,49074,50247,7968
20080818,50298,50298,49482,49941,4381
20080819,49125,49737,49024,49737,12366
20080820,49431,49431,48667,49074,12044
20080821,49839,49890,48922,49074,13620
20080822,49074,49635,46221,48616,35410
20080825,46883,48106,46781,47648,26334
20080826,47138,47495,46425,47495,9012
20080827,47495,48259,47393,48259,13958
20080828,47342,48922,47342,48412,16589
20080829,49329,49329,47800,49074,16972
20080901,47699,49024,47036,47036,12034
20080902,47750,47851,46425,47240,8846
20080903,47750,47750,46374,47393,17812
20080904,47902,47902,46526,46628,40786
20080905,46781,47138,46068,46628,24109
20080908,47138,47444,46476,47036,32921
20080909,46628,47342,46119,46781,42425
20080910,46781,47393,46272,46781,50370
20080911,47342,48106,47036,48004,30955
20080912,48004,48514,47597,48004,23834
20080916,45915,46883,45864,46374,29220
20080917,46374,47342,46374,47342,24799
