날짜,시가,고가,저가,현재가,거래량
20080102,54700,55400,52600,53900,152951
20080103,53000,55000,50900,54300,376037
20080104,53300,53900,51800,53900,267920
20080107,52200,53400,51900,52600,108533
20080108,52100,53200,51700,52100,150660
20080109,52200,52200,50000,51400,239723
20080110,51700,52900,51200,51700,172777
20080111,51800,53000,48750,49550,390472
20080114,49050,49250,47400,48600,290590
20080115,49000,49000,46000,48400,181189
20080116,47800,49100,46250,47000,265240
20080117,48000,48700,46000,48550,208468
20080118,47000,49650,46950,49650,297380
20080121,48600,49000,45850,46850,230256
20080122,44050,45800,40750,44000,421335
20080123,45500,45600,41650,42250,540048
20080124,42450,43900,40150,43850,567552
20080125,43300,43850,41250,41650,628943
20080128,41200,41300,36800,37100,720889
20080129,38000,38200,35550,37700,825366
20080130,37800,38150,33550,33550,658854
20080131,33250,38000,33000,37700,859934
20080201,38500,39100,35900,36900,690376
20080204,37850,39850,37200,39750,604847
20080205,39100,40100,38400,40000,226761
20080211,38000,39100,37700,38550,222717
20080212,39000,39300,36950,36950,378171
20080213,37400,37500,36500,37000,330847
20080214,37950,39650,37800,39200,391704
20080215,38500,39450,38000,39200,264906
20080218,39800,41500,39500,41450,342297
20080219,41650,41800,40600,41800,351805
20080220,42000,42100,41000,41750,278253
20080221,42550,42900,40900,41300,260497
20080222,40800,41000,39900,41000,193426
20080225,41200,41600,40300,41100,164063
20080226,41900,41900,40950,41750,123654
20080227,41800,41850,39550,39900,480862
20080228,40100,40100,38550,39350,341441
20080229,39350,39400,37450,38000,591066
20080303,36500,36750,35700,36600,482360
20080304,36600,37050,36100,36850,285301
20080305,37200,37750,36250,36700,357625
20080306,37000,37150,35550,36700,374130
20080307,35700,35850,34300,34500,316970
20080310,33700,35100,33050,34550,375411
20080311,33900,36000,33550,35900,241221
20080312,37450,38300,36900,37600,401634
20080313,37850,37850,34750,37000,243707
20080314,37750,37750,34550,36200,252583
20080317,35800,35800,33200,33500,325824
20080318,33850,34600,33550,34200,240966
20080319,35250,35600,34250,34400,271743
20080320,33900,35850,33750,35100,241426
20080321,36100,36800,35450,36800,263430
20080324,36700,36950,35950,36300,189548
20080325,37000,38500,36800,38500,639502
20080326,38500,39150,37750,38750,384592
20080327,38600,38950,38050,38950,167383
20080328,38500,39000,37550,39000,178082
20080331,38950,38950,37250,38000,242483
20080401,38000,38000,36200,36250,327824
20080402,37450,37700,35100,35550,766394
20080403,35350,36600,35350,36100,670547
20080404,36100,37700,35600,37550,442695
20080407,37600,37600,36400,36550,424913
20080408,36300,36450,35850,36400,309950
20080410,36550,37500,36050,37500,362989
20080411,38000,39150,37800,38750,514825
20080414,38100,38450,37700,38050,306006
20080415,38700,38700,37900,38100,152842
20080416,38600,39600,38250,39600,355782
20080417,40000,40700,39600,39950,292009
20080418,40000,40000,38600,39650,273041
20080421,39950,40450,39550,39750,273590
20080422,39900,39900,38800,39300,352361
20080423,39300,40200,38750,39350,326226
20080424,39400,40600,39000,40100,292025
20080425,40650,41000,39150,39550,267173
20080428,40100,40100,38000,38900,327068
20080429,38800,39000,36350,36950,489564
20080430,36550,37650,36550,37650,313879
20080502,38150,38350,37750,37750,202859
20080506,37800,37800,36500,37000,377012
20080507,36650,36950,35600,35800,506680
20080508,35300,36400,34700,35150,494954
20080509,35150,35150,33950,34150,363746
20080513,34400,35100,34050,35100,378897
20080514,34800,36300,34800,36300,530191
20080515,36800,37350,36200,36850,659316
20080516,37200,37350,36850,37150,317025
20080519,37050,37900,36150,37900,557510
20080520,38200,39250,37950,38600,449373
20080521,38200,38300,36950,38050,397532
20080522,38000,40050,37200,39900,606102
20080523,40000,40700,39300,40500,346577
20080526,40100,40500,39150,39750,147111
20080527,39750,40500,39400,40400,460330
20080528,40400,40400,39100,39400,268380
20080529,39300,40850,38450,40850,321269
20080530,40800,42250,40700,42150,570860
20080602,42150,42150,40800,41600,194594
20080603,40000,40250,38600,38800,645575
20080604,38400,39150,38400,38550,401364
20080605,38350,40100,38100,39600,463374
20080609,38400,39900,38200,39150,536221
20080610,39050,39150,37900,37900,187937
20080611,37900,39200,37300,39050,329076
20080612,38300,39050,37950,38500,123492
20080613,38400,39150,37350,38000,251805
20080616,38550,39200,38200,38800,297087
20080617,39100,39100,38350,39100,104926
20080618,38650,40000,38400,40000,279572
20080619,39400,40550,39300,39650,246356
20080620,39950,40200,37950,39700,149864
20080623,38400,39400,38400,39000,130077
20080624,38800,39000,36550,37700,314600
20080625,37400,38000,37000,38000,152311
20080626,38300,38750,36650,37900,260979
20080627,36550,37900,36350,37900,173740
20080630,37900,38400,37350,38400,199566
20080701,38950,40100,38350,38700,339238
20080702,38700,39700,36500,37900,230606
20080703,37000,37300,36300,36900,158793
20080704,36500,36900,34350,34850,322293
20080707,34100,34300,32300,32900,245949
20080708,32400,32700,29700,31250,461189
20080709,32100,32550,30900,31150,263995
20080710,30000,34300,30000,34000,290107
20080711,34450,34500,33300,34350,144475
20080714,32700,34350,32700,33600,126896
20080715,33600,33700,30700,31200,220586
20080716,31200,32250,30400,32250,371328
20080717,32950,33050,31700,31700,190024
20080718,32950,32950,30900,31000,187735
20080721,31450,32200,29000,29100,1063482
20080722,29100,29750,28900,29450,427430
20080723,29800,31100,29550,30750,617699
20080724,31000,31900,30850,31900,347972
20080725,30900,31900,30900,31900,195178
20080728,32000,32300,31500,32150,191588
20080729,31750,31750,30700,31250,170588
20080730,31800,32050,31350,31800,154761
20080731,32100,33400,31950,33400,313177
20080801,33500,34900,33050,34800,566207
20080804,34900,35050,33900,34500,141511
20080805,34450,34800,33200,34800,298027
20080806,35400,35650,34800,35100,294331
20080807,34950,34950,34100,34500,133526
20080808,33800,35200,33800,34200,151481
20080811,34500,35000,32600,32650,392287
20080812,32700,33000,31500,31750,283659
20080813,31700,32400,31550,31700,196795
20080814,31600,32550,31600,32250,249174
20080818,32150,32850,32150,32700,193039
20080819,32600,32600,31600,32400,94922
20080820,32000,32700,32000,32300,110804
20080821,32550,32600,31200,31400,134856
20080822,31400,31400,30100,30300,180085
20080825,30450,30500,28800,28900,306674
20080826,27900,29350,27800,28300,244798
20080827,28450,31150,28400,31000,350572
20080828,31250,31250,30400,30400,172038
20080829,30600,30900,28500,30800,305930
20080901,30000,30200,28000,28550,230711
20080902,28550,29050,24300,26450,2189064
20080903,25700,27000,25100,26200,925872
