날짜,시가,고가,저가,현재가,거래량
20110607,15233,16390,15040,16293,2178461
20110608,16293,16583,15233,15522,1451461
20110609,15570,15956,14172,14751,3499993
20110610,14654,15908,14606,15522,2138009
20110613,15185,15570,14895,15185,737522
20110614,15281,15618,15185,15329,607559
20110615,15522,15570,15233,15281,252571
20110616,15377,15570,15088,15570,213640
20110617,15522,15859,15088,15088,587932
20110620,15185,15329,15088,15185,284369
20110621,15281,15426,15185,15377,323504
20110622,15522,15570,14847,14847,563279
20110623,14847,15233,14847,15136,455239
20110624,15040,15377,14944,15377,338403
20110627,15185,15281,15088,15233,213879
20110628,15377,15377,15136,15136,416042
20110629,15329,15618,15233,15522,380476
20110630,15667,15667,15377,15618,399501
20110701,15715,15715,15329,15570,363767
20110704,15715,15908,15618,15859,390444
20110705,15908,16052,15859,15859,204875
20110706,15859,15956,15763,15908,161602
20110707,15811,16100,15763,16100,299597
20110708,16149,16149,15908,16100,171007
20110711,16100,16100,15570,16100,192897
20110712,15715,16100,15618,15715,106814
20110713,15667,15811,15474,15570,268936
20110714,15522,15570,15233,15329,281244
20110715,15329,15426,15233,15426,328689
20110718,15426,15474,15377,15474,228174
20110719,15281,15570,15281,15474,732282
20110720,15667,15763,15426,15763,812652
20110721,15763,16004,15715,15956,418983
20110722,16100,16341,16052,16197,639680
20110725,16197,16245,16004,16197,135460
20110726,16100,16293,15908,16100,349901
20110727,16100,16149,15859,15908,229444
20110728,15715,16052,15667,16004,137951
20110729,15956,16100,15618,16100,276667
20110801,15956,16197,15908,16197,136605
20110802,16197,16293,16004,16245,207850
20110803,15908,16293,15715,16293,357051
20110804,16293,16293,15763,16004,200171
20110805,15426,15715,15281,15715,307184
20110808,15329,15522,14365,15233,214816
20110809,14462,14703,13594,13594,308017
20110810,14558,15233,14462,15233,589374
20110811,14654,14847,14558,14558,291401
20110812,14751,14799,13979,13979,363083
20110816,14606,14944,14462,14703,235278
20110817,14703,14895,14606,14654,93992
20110818,14751,15281,14606,15281,159160
20110819,14703,14944,14606,14654,164823
20110822,13883,14365,13401,13883,944781
20110823,13979,14172,13883,13931,233809
20110824,13883,13979,12823,13305,256325
20110825,13594,13787,13497,13497,410867
20110826,13594,13979,13401,13787,340142
20110829,14172,14220,13594,14220,214702
20110830,14413,14847,14365,14413,481904
20110831,14413,14944,14269,14944,231739
20110901,15136,15811,14703,15618,604884
20110902,15377,16004,15377,15811,216125
20110905,15233,15811,14895,14895,175860
20110906,14654,14799,14028,14076,351708
20110907,14317,14462,14124,14172,130875
20110908,14510,14799,14317,14365,270875
20110909,14365,14895,14317,14413,157574
20110914,14654,14847,13305,13305,448874
20110915,13690,13979,12774,12871,259993
20110916,13112,14028,13112,13738,205809
20110919,13497,13835,13497,13594,394147
20110920,13401,13787,13353,13642,86135
20110921,13594,14558,13594,14172,446023
20110922,13979,14028,13546,13546,121753
20110923,12967,13208,12823,12823,319983
20110926,12871,13305,12003,12148,200907
20110927,12196,12967,12148,12582,471288
20110928,13015,13305,12533,13160,2637649
20110929,12871,13497,12726,13497,559618
20110930,13401,13497,13112,13449,216137
20111004,12533,12823,12244,12437,477651
20111005,12533,12533,12196,12196,331497
20111006,12485,12919,12485,12726,633567
20111007,13112,13353,12967,12967,204640
20111010,13064,13160,12871,13160,113026
20111011,13594,13642,12726,12726,297631
20111012,12774,12823,12582,12678,232546
20111013,12871,13015,12774,12919,264473
20111014,12871,12919,12582,12774,286455
20111017,12919,12919,12630,12726,329846
20111018,12582,12871,12485,12726,209009
20111019,12823,12919,12582,12774,337392
20111020,12871,13112,12774,12967,664075
20111021,13064,13064,12533,12726,284386
20111024,12919,13112,12871,13112,197518
20111025,13112,13112,12871,13015,336921
20111026,12871,12871,12678,12823,212304
20111027,12919,13112,12774,13112,443817
20111028,13594,13738,13208,13401,628641
20111031,13497,13546,13064,13449,330322
20111101,13353,13497,13256,13497,265771
20111102,12871,13497,12871,13497,158115
20111103,13497,13497,12871,13015,130619
20111104,13160,13690,13160,13690,238910
20111107,13690,13787,13546,13738,83944
20111108,13883,13883,13690,13690,202482
20111109,13931,13979,13546,13738,376395
20111110,13353,13401,13064,13064,190906
20111111,13305,13353,13112,13208,149819
20111114,13401,13449,13112,13112,154631
20111115,13015,13112,12823,12823,216684
20111116,12871,13112,12823,13064,207911
20111117,12967,13015,12823,12967,351926
20111118,12823,13015,12533,12533,425649
20111121,12582,12630,12051,12148,300016
20111122,12099,12292,12051,12148,241677
20111123,12148,12148,11955,12051,235651
20111124,11907,12051,11810,11955,187904
20111125,12051,12582,12003,12533,296125
20111128,12678,12726,12389,12389,267948
20111129,12485,12485,12292,12340,331227
20111130,12292,12533,12196,12437,267359
20111201,12774,12967,12340,12340,823355
20111202,12340,12485,12244,12292,313345
20111205,12340,12389,12244,12340,447613
