날짜,시가,고가,저가,현재가,거래량
20080102,4150,4275,4130,4180,32530
20080103,4085,4210,4050,4110,38100
20080104,4135,4170,4105,4135,97990
20080107,4100,4130,4045,4095,45551
20080108,4140,4180,4020,4050,22819
20080109,4005,4050,3985,4045,32704
20080110,4045,4070,4010,4035,14967
20080111,4035,4100,4000,4050,24680
20080114,4050,4080,4035,4060,31540
20080115,4030,4080,3835,3895,38322
20080116,3870,3980,3815,3830,28420
20080117,3835,3870,3775,3810,13800
20080118,3705,3880,3705,3845,28150
20080121,3810,3900,3755,3835,32770
20080122,3730,3785,3535,3785,27003
20080123,3675,3990,3675,3990,41010
20080124,3930,4375,3900,4110,63380
20080125,4035,4130,3950,3955,14710
20080128,3950,3990,3785,3785,11153
20080129,3830,4100,3825,3895,7190
20080130,3895,3945,3800,3895,8680
20080131,3795,3865,3625,3860,5510
20080201,3825,3960,3800,3950,4480
20080204,3950,4100,3950,4090,13691
20080205,4130,4130,4015,4090,2440
20080211,3990,4000,3800,3975,5230
20080212,3980,3980,3905,3905,14070
20080213,4070,4070,3800,3800,28966
20080214,3825,3960,3735,3780,52630
20080215,3775,3775,3660,3700,38460
20080218,3720,3770,3680,3680,35080
20080219,3705,3775,3690,3735,39764
20080220,3710,3760,3680,3680,29890
20080221,3690,3745,3690,3700,33400
20080222,3705,3855,3665,3835,77160
20080225,3800,3850,3735,3790,19490
20080226,3850,3865,3795,3865,38030
20080227,3900,3920,3850,3910,29173
20080228,3910,3975,3865,3975,24240
20080229,3910,4260,3910,4220,59240
20080303,4100,4190,4100,4150,7225
20080304,4150,4150,4070,4080,3590
20080305,4080,4135,3855,4000,9920
20080306,4000,4060,3915,4050,4690
20080307,3910,4030,3810,3855,16550
20080310,3885,4280,3800,4130,141896
20080311,4080,4185,4020,4185,12090
20080312,4200,4200,4090,4120,6110
20080313,4060,4100,4030,4030,12600
20080314,4030,4040,3930,3975,18695
20080317,3965,4000,3895,3930,15535
20080318,4000,4035,3935,4000,3080
20080319,4020,4040,3980,4030,14680
20080320,4030,4040,3965,4000,9010
20080321,4005,4130,4005,4070,6860
20080324,4100,4100,4015,4050,102860
20080325,4090,4100,3960,4060,13421
20080326,4090,4115,4020,4045,6160
20080327,4060,4170,4000,4160,26980
20080328,4155,4155,4090,4115,9190
20080331,4115,4150,4005,4100,11300
20080401,4120,4120,4035,4085,4840
20080402,4165,4190,4070,4170,18460
20080403,4160,4180,4055,4160,22360
20080404,4085,4220,4040,4145,16580
20080407,4185,4185,4110,4150,36620
20080408,4150,4150,4100,4140,3030
20080410,4060,4125,3970,3970,58480
20080411,4030,4060,3980,4000,10060
20080414,4040,4040,3950,3965,9320
20080415,3950,4080,3905,4070,16790
20080416,3960,4050,3950,3970,28860
20080417,3975,4030,3935,3950,25840
20080418,3985,3990,3910,3990,21070
20080421,4030,4050,3960,3995,34670
20080422,4100,4100,3910,3945,22140
20080423,3915,3985,3915,3985,20990
20080424,3985,3985,3905,3945,6200
20080425,3945,4025,3925,3955,14130
20080428,3955,3970,3885,3950,28970
20080429,3915,3990,3810,3835,32750
20080430,3835,3910,3835,3890,27320
20080502,3900,3955,3875,3935,20750
20080506,4000,4020,3965,4000,23570
20080507,3955,3980,3920,3950,25430
20080508,3930,3970,3910,3950,28670
20080509,3960,3960,3850,3930,25522
20080513,3930,3980,3890,3975,15491
20080514,3925,4345,3925,4290,317420
20080515,4260,4370,4240,4290,83103
20080516,4300,4470,4300,4470,91447
20080519,4485,4550,4450,4495,43360
20080520,4495,4615,4450,4465,49040
20080521,4395,4440,4340,4370,57720
20080522,4450,4590,4370,4555,56650
20080523,4530,4710,4500,4500,64280
20080526,4485,4550,4405,4440,13580
20080527,4445,4450,4410,4440,27830
20080528,4510,4510,4415,4440,23361
20080529,4460,4835,4440,4700,109987
20080530,4715,4885,4700,4880,115130
20080602,4895,4925,4865,4890,26172
20080603,4890,4890,4500,4880,32600
20080604,4890,4890,4705,4730,34840
20080605,4860,4860,4735,4735,28029
20080609,4625,4790,4600,4790,16920
20080610,4790,4810,4660,4720,10300
