날짜,시가,고가,저가,현재가,거래량
20080102,57800,57900,56100,56800,269499
20080103,56100,56400,54900,55400,343063
20080104,55600,55700,54200,54600,434333
20080107,53200,53800,51400,51800,579041
20080108,52700,56600,52200,54800,988137
20080109,54700,57800,54100,57800,704747
20080110,58000,58100,56000,56000,400675
20080111,56300,57400,53200,53600,485830
20080114,52600,53000,50400,51300,703469
20080115,51300,51600,48450,49200,701670
20080116,48300,48500,45150,45750,1087759
20080117,46850,47900,46050,46700,423409
20080118,46100,48400,45250,48050,326674
20080121,47200,47500,44250,45500,588342
20080122,43900,44500,41250,42450,610144
20080123,43700,44250,41250,41950,804835
20080124,42600,43650,41750,42750,1331744
20080125,43800,44550,43000,44300,943186
20080128,43600,44050,40000,40600,760204
20080129,41850,41850,39550,39550,649632
20080130,40200,40550,38400,38550,582493
20080131,38300,40200,38000,40000,505616
20080201,40800,41500,39300,40400,497860
20080204,41000,43100,40550,42800,656827
20080205,42300,42950,41450,42650,476184
20080211,41200,41400,40450,40950,252395
20080212,41300,41400,39850,40250,419615
20080213,40550,40600,38650,38650,607996
20080214,39400,42250,39400,41800,659481
20080215,41200,43350,41000,43250,836045
20080218,43350,44100,42150,43400,679640
20080219,44100,44550,43700,44450,617328
20080220,44000,44900,42700,43200,956310
20080221,44100,45900,44000,45400,911046
20080222,45000,45350,43500,44750,503562
20080225,44800,45750,44500,45300,404906
20080226,45900,47350,45850,47100,869478
20080227,47800,48750,47600,48500,754325
20080228,48750,48750,47250,47750,519268
20080229,47750,47750,45950,46350,462989
20080303,44750,45350,44100,44100,467852
20080304,44750,46000,44250,45900,336816
20080305,46000,47000,45300,46100,292454
20080306,46100,47050,45300,46000,443351
20080307,44900,45100,43100,43450,558576
20080310,42150,42750,40400,40400,648714
20080311,40450,42300,40450,42150,433057
20080312,43450,43650,41200,41250,516653
20080313,40850,41250,40100,40100,505246
20080314,40800,41200,38350,38400,629155
20080317,38050,38200,35450,36300,623234
20080318,37200,39650,36950,39650,544715
20080319,40500,40600,38300,38550,562210
20080320,38000,39450,37800,38700,481837
20080321,39900,40200,39200,39550,307592
20080324,40000,40850,39950,40100,275026
20080325,40500,40700,37000,37300,1383015
20080326,37300,38000,36600,36900,1178630
20080327,37000,37600,36750,37050,500098
20080328,37000,38550,37000,38550,679066
20080331,38800,39400,38100,38550,563023
20080401,38750,39800,38550,38700,669718
20080402,39950,40250,39150,39500,629189
20080403,39800,41300,39400,41000,776787
20080404,41450,42900,41350,42750,1107786
20080407,43150,43300,42100,42600,615819
