날짜,시가,고가,저가,현재가,거래량
20080102,145640,154425,145178,148877,321446
20080103,149339,154887,146103,152113,384946
20080104,153963,164597,150264,161360,410973
20080107,157199,165984,157199,161360,267582
20080108,161360,164597,154425,162747,252852
20080109,161360,166908,160435,165521,396296
20080110,165521,172457,164134,164134,334231
20080111,163210,164597,155812,160435,300941
20080114,157199,158124,151188,153500,272116
20080115,156274,157199,147027,148877,264293
20080116,144716,153038,144253,146565,194835
20080117,151188,153038,138243,147952,302836
20080118,145640,147027,137780,143791,331880
20080121,139630,141479,123447,131770,616997
20080122,122060,124835,112813,120673,816607
20080123,128071,129458,116512,121598,669352
20080124,124372,127609,122523,125759,422066
20080125,127146,130845,126684,129920,424349
20080128,126684,128071,116975,119286,414084
20080129,122523,124372,113738,116975,575210
20080130,116975,117899,99868,100792,783123
20080131,97556,109577,92285,104491,1327624
20080201,109115,113738,107265,112813,729817
20080204,116512,129458,115588,126684,723982
20080205,124835,132232,124372,132232,334830
20080211,123910,126222,119749,122985,395332
20080212,125297,130845,122523,122523,392737
20080213,125297,126684,118362,118824,260009
20080214,123447,125297,119286,124835,393367
20080215,121598,127609,120673,125759,328900
20080218,127609,134082,126222,131770,366884
20080219,135006,136856,133157,134544,206592
20080220,134544,136393,128533,128996,223226
20080221,131307,136393,131307,135006,196580
20080222,132694,138243,132232,135931,301900
20080225,138243,143329,138243,139167,244586
20080226,138243,142866,135006,135006,186591
20080227,137780,140092,137318,138243,110369
20080228,137780,139630,134544,139630,130231
20080229,138705,138705,135006,136393,168903
20080303,129458,130845,127609,129458,343281
20080304,131770,131770,121136,125297,648875
20080305,124835,126684,119286,121598,367200
20080306,121598,127609,120673,126684,296906
20080307,122060,122985,120673,122060,163060
20080310,117437,120211,115125,118362,327513
20080311,118362,123447,116050,122523,213058
20080312,127609,128533,124835,127609,292836
20080313,127146,129920,121136,124372,322373
20080314,127609,127609,116050,117899,453075
20080317,111889,116512,104029,110502,994146
20080318,110964,114200,105416,105878,898457
20080319,110039,116975,107728,110502,858604
20080320,106803,109115,105416,107265,498312
20080321,110502,118362,109577,117437,487293
20080324,119286,122523,116512,120673,281302
20080325,122985,128996,122060,125759,436329
20080326,127609,127609,123447,125759,262797
20080327,124835,125759,121598,125297,215568
20080328,128071,135469,127609,132232,411934
