날짜,시가,고가,저가,현재가,거래량
20180612,75600,77900,68100,75600,3485779
20180614,71900,73400,67100,70500,1164317
20180615,69800,71000,66000,66300,573753
20180618,65900,66500,59900,61000,854098
20180619,60800,61400,55000,55000,968919
20180620,56300,59200,55000,56900,904708
20180621,56400,59000,55100,56000,709747
20180622,56000,56300,53000,55500,585577
20180625,55700,56800,54500,56500,401089
20180626,55400,56300,54000,54000,372448
20180627,54300,54400,51500,52500,500629
20180628,52700,53200,50100,50100,379801
20180629,51000,54900,50000,53900,464182
20180702,54500,55800,53200,53700,550635
20180703,55100,58700,54000,56700,634945
20180704,57000,58400,56100,58200,289788
20180705,56400,57900,55800,56700,217799
20180706,57000,59900,55400,58400,311064
20180709,57500,58800,56700,57000,257111
20180710,57200,58200,55400,56700,260445
20180711,55700,58500,55600,57400,277048
20180712,57100,58700,56700,57400,213903
20180713,57300,58400,56600,56600,211126
20180716,57000,57000,54000,54000,247299
20180717,54600,54600,52800,54000,155864
20180718,53800,54000,51400,51900,233410
20180719,51700,51900,49800,49800,245698
20180720,50100,54400,49800,53100,315253
20180723,53100,53800,52400,52900,196041
20180724,53800,58000,53300,56500,525366
20180725,57900,60300,56100,60300,519777
20180726,60800,60800,58200,59200,343782
20180727,59800,59800,57400,58900,223666
20180730,59800,62300,59300,60700,347156
20180731,60600,61100,57500,57500,286973
20180801,57800,58600,56400,57300,376357
20180802,57400,58300,56000,56300,305644
20180803,56500,58200,56300,57900,134179
20180806,58000,59000,57600,58100,114020
20180807,58800,58800,56900,57200,150846
20180808,57000,57200,56200,56600,203771
20180809,56600,56900,56300,56700,113756
20180810,57300,57700,56300,56400,148793
20180813,56400,56800,56000,56100,177914
20180814,56100,56400,55400,55700,256296
20180816,55800,56800,55500,55800,259634
20180817,55900,56200,55600,55700,147760
20180820,56300,57100,56000,56600,116909
20180821,56700,57100,56200,56300,178910
20180822,56600,57500,56300,57200,162257
20180823,57200,57300,56300,56900,137235
20180824,56500,58300,56400,58000,213129
20180827,57500,57500,56000,56100,304524
20180828,56700,59800,56500,57400,495770
20180829,58000,58000,56100,57500,260643
20180830,57500,57600,56400,56700,218024
20180831,56700,57300,55900,55900,214458
20180903,56200,57500,56200,56700,110883
20180904,56900,58300,56900,57900,205957
20180905,58100,58400,56600,56600,169049
20180906,57000,57800,56500,56500,188624
20180907,57100,57800,55900,56400,261816
20180910,56500,63400,56500,63200,858884
20180911,63700,64200,61000,61400,558211
20180912,62000,62500,59400,60900,400354
20180913,61000,61000,58900,60200,405655
20180914,60700,62400,60200,62300,422793
20180917,63100,63200,61000,62100,252740
20180918,62200,62200,59400,59600,366042
20180919,59900,60000,57100,57100,432356
20180920,57400,58100,53200,54800,686079
20180921,55200,56700,54100,55500,311941
20180927,55700,55700,52000,52700,509693
20180928,52900,52900,50800,50900,740307
20181001,51600,53400,51000,53200,316865
20181002,52700,53400,51600,51700,201213
20181004,52400,52600,49900,50400,314027
20181005,50500,51500,49150,50800,190164
20181008,50700,50700,48500,49000,307010
20181010,48450,48850,44300,44900,726638
20181011,42100,44600,42100,42200,352729
20181012,42200,43500,42150,42650,296515
20181015,42350,43000,41100,41600,185745
20181016,41700,42250,40650,41000,229591
20181017,41700,43800,41500,42600,267761
20181018,42950,44250,42650,42900,209542
20181019,42700,43400,41750,43350,177077
20181022,43250,43250,41500,42350,178151
20181023,42100,43250,42000,42250,265072
20181024,42700,43850,42650,43400,351274
20181025,42300,46300,40650,45050,498158
20181026,45500,45500,41600,41750,233121
20181029,41750,43700,41450,41450,192608
20181030,40600,43700,40600,43200,151800
20181031,42700,44650,42150,44000,133192
20181101,44300,45950,43200,43500,140247
20181102,44800,45300,44000,44950,198974
20181105,44500,44500,42300,42800,229241
20181106,43300,43450,41650,42400,172021
20181107,42300,43250,41150,41900,281605
20181108,42450,42900,41900,41900,246481
20181109,42000,42350,41150,41600,161093
20181112,41650,42200,41050,41450,120661
20181113,40750,41600,40600,41500,107506
20181114,41700,41750,39550,39700,227489
20181115,39550,40000,38550,39800,231419
20181116,40050,40450,39600,40000,137846
