날짜,시가,고가,저가,현재가,거래량
20130718,6177,6194,5631,5729,968625
20130719,5774,5819,5586,5801,343753
20130722,5801,5819,5702,5819,175577
20130723,5819,6087,5774,6033,314748
20130724,6087,6087,5917,5998,84870
20130725,5998,6007,5872,5926,101041
20130726,5980,5980,5801,5863,77212
20130729,5863,5863,5756,5810,124894
20130730,5827,5908,5729,5899,175952
20130731,5890,5980,5827,5917,121137
20130801,5854,5971,5854,5926,91280
20130802,5935,5998,5908,5935,79320
20130805,5899,5926,5836,5872,183389
20130806,5908,5908,5810,5908,94729
20130807,5863,5980,5836,5953,100036
20130808,5980,6087,5908,6069,294911
20130809,6087,6150,6042,6132,251778
20130812,6060,6141,6060,6132,71045
20130813,6150,6186,6105,6186,309584
20130814,6132,6221,6087,6141,163494
20130816,6087,6159,6015,6042,152407
20130819,6042,6078,5890,5989,113049
20130820,5989,5998,5908,5926,103881
20130821,5854,5926,5801,5908,254726
20130822,5827,5872,5720,5792,151147
20130823,5881,5881,5693,5774,235850
20130826,5774,5836,5765,5801,174391
20130827,5801,5845,5639,5711,293960
20130828,5577,5657,5541,5648,209963
20130829,5559,5675,5532,5631,205597
20130830,5631,5684,5505,5514,225143
20130902,5496,5604,5460,5586,112378
20130903,5613,5738,5613,5720,1294187
20130904,5765,5783,5693,5729,127675
20130905,5765,5827,5729,5801,173197
20130906,5729,5917,5729,5845,389721
20130909,5989,5989,5845,5980,346653
20130910,6015,6069,5926,5971,179082
20130911,5971,6042,5819,5935,161664
20130912,5935,5980,5845,5863,206276
20130913,5827,5926,5783,5881,1766462
20130916,5845,5953,5810,5881,139709
20130917,5836,5980,5836,5845,384454
20130923,5908,5935,5836,5899,350189
20130924,5908,5908,5836,5890,218364
20130925,5908,5908,5756,5863,475740
20130926,5845,5926,5756,5881,625038
20130927,5836,6203,5836,6186,579662
20130930,6159,6329,6051,6293,608683
20131001,6168,6436,6168,6427,653998
20131002,6427,6454,6338,6418,246560
20131004,6472,6678,6293,6624,421620
20131007,6696,6741,6579,6633,510914
20131008,6651,6660,6517,6633,367975
20131010,6535,6642,6490,6570,269730
20131011,6606,6687,6544,6615,285414
20131014,6570,6615,6356,6463,320376
20131015,6409,6508,6266,6445,340778
20131016,6472,6651,6338,6606,480033
20131017,6535,6606,6356,6463,511645
20131018,6481,6490,6203,6311,466770
20131021,6311,6400,6248,6382,428854
20131022,6320,6553,6311,6490,484953
20131023,6436,6517,6382,6499,293287
