날짜,시가,고가,저가,현재가,거래량
20080102,524000,529000,521000,523000,17257
20080103,518000,540000,510000,540000,30291
20080104,533000,537000,523000,532000,44975
20080107,524000,539000,517000,529000,14335
20080108,538000,538000,514000,520000,41070
20080109,519000,529000,515000,524000,24430
20080110,522000,530000,519000,520000,52646
20080111,522000,530000,514000,520000,40721
20080114,520000,525000,512000,520000,38281
20080115,514000,519000,481000,510000,46053
20080116,500000,500000,467000,479000,49675
20080117,482000,486000,431500,457000,48459
20080118,457000,457000,428000,438500,102397
20080121,446500,446500,403500,418500,49295
20080122,392000,418500,381000,416000,69668
20080123,420500,422000,394500,397000,76379
20080124,403000,434000,403000,413000,41567
20080125,417000,437000,417000,430000,52467
20080128,421500,424500,406500,414000,29423
20080129,414500,419000,382000,390000,67133
20080130,394000,397000,333500,357500,72452
20080131,346500,381000,340500,368000,80181
20080201,380000,393000,371000,393000,35547
20080204,400000,416000,397000,414000,63202
20080205,412000,417000,398500,410000,29221
20080211,403000,412000,389000,408500,23484
20080212,409000,424500,406000,415000,22802
20080213,433000,461500,415500,450000,62135
20080214,470000,517000,469000,516000,158794
20080215,504000,540000,493000,514000,74142
20080218,517000,519000,498500,505000,25230
20080219,509000,513000,493000,507000,36534
20080220,500000,505000,494000,504000,23057
20080221,510000,510000,495000,503000,19515
20080222,494500,499500,488000,490000,25235
20080225,494000,513000,492500,509000,33167
20080226,506000,545000,506000,535000,69220
20080227,539000,554000,525000,542000,46580
20080228,550000,572000,541000,560000,60136
20080229,553000,564000,527000,560000,71586
20080303,540000,541000,517000,529000,63155
20080304,530000,539000,521000,539000,23071
20080305,543000,543000,530000,535000,16993
20080306,535000,555000,525000,550000,30210
20080307,540000,544000,531000,537000,28848
20080310,521000,536000,509000,520000,27115
20080311,513000,536000,508000,530000,52036
20080312,545000,554000,528000,530000,38014
20080313,529000,543000,506000,527000,43157
20080314,527000,535000,502000,518000,41564
20080317,514000,514000,484500,510000,34957
20080318,501000,509000,494000,497500,46181
20080319,505000,508000,483000,494000,64029
20080320,487000,487500,471000,471000,44041
20080321,473500,484000,458500,469000,41591
20080324,465500,491000,465500,489500,41846
20080325,494500,495000,484000,492000,28457
20080326,487500,492000,484000,487000,16966
20080327,486000,487000,471500,476500,32433
20080328,474500,476500,450500,453500,228376
20080331,457000,464500,449000,458000,65885
20080401,458000,458000,427000,428500,81778
20080402,437000,444000,415500,429000,128265
20080403,427500,455500,421000,446000,69963
20080404,453000,461000,446500,456500,43311
20080407,460000,473500,452000,470000,51477
20080408,475000,475000,450000,450000,51593
20080410,443000,448000,438000,448000,47226
20080411,442000,450500,432000,450000,56032
20080414,439500,439500,430000,433000,36313
20080415,431500,434000,420500,423000,49027
20080416,425000,437500,425000,432500,49658
20080417,437500,441500,430000,432500,31225
20080418,432500,437000,423500,427000,29114
20080421,431000,446000,431000,445000,36691
20080422,448500,448500,437000,443000,34315
20080423,442500,463500,437500,455000,79601
20080424,462000,462500,447500,456000,30544
20080425,453000,459000,443500,449000,42879
20080428,452000,452000,431000,438500,43240
20080429,438500,442000,423000,433000,50277
20080430,431500,447000,426500,447000,32036
20080502,451000,454000,444500,444500,29227
20080506,448000,448000,435500,448000,27824
20080507,446000,458000,443000,450000,35087
20080508,445000,482000,444000,477500,84642
20080509,480500,482500,467000,478000,42030
20080513,478000,486500,470000,485000,40543
20080514,485000,489000,478000,489000,31215
20080515,487000,488000,476500,480000,46475
20080516,477500,488500,477500,479000,32307
20080519,479000,495000,479000,494000,32557
20080520,497500,510000,495000,503000,58978
20080521,499000,521000,496000,515000,47802
20080522,510000,511000,495000,497500,41080
20080523,498000,507000,490500,503000,29352
20080526,501000,502000,488000,493000,14239
20080527,483500,500000,483000,489000,18580
20080528,489500,493000,473000,484000,30330
20080529,484000,498000,481500,496500,37648
20080530,500000,501000,486000,499500,37013
20080602,499000,499000,486500,490000,19754
20080603,487000,489000,467000,476500,45935
20080604,476500,476500,461000,468000,47219
20080605,467500,472500,461000,472000,30086
20080609,462000,472000,455500,472000,16133
20080610,468500,475000,462000,467500,23144
20080611,471500,471500,455000,462000,25174
20080612,455000,458000,449000,453000,33308
20080613,453000,455000,430000,446000,39972
20080616,440000,443500,435000,438500,43428
20080617,440000,441500,417500,426000,60670
20080618,420500,451000,420500,449000,36607
20080619,448000,448000,431000,435000,31795
20080620,435500,440000,428000,439000,24511
20080623,437000,437500,426500,434000,14530
20080624,434000,434000,426000,427500,19904
20080625,427500,433000,424000,433000,19147
20080626,428000,435500,428000,432000,23727
20080627,419500,430000,418000,428500,21927
20080630,427500,437000,423500,435500,35433
20080701,436000,436000,424000,427000,15987
20080702,422500,427000,406000,424000,40928
20080703,420500,420500,408500,412000,32587
20080704,410000,414000,398000,404500,23759
20080707,396000,399500,384500,399500,42927
20080708,399500,399500,372500,380000,51806
20080709,385500,389000,372500,372500,43614
