날짜,시가,고가,저가,현재가,거래량
20080102,78600,78800,76600,77600,359971
20080103,77000,81500,75700,79400,410554
20080104,78300,79000,76300,78900,382628
20080107,78600,81400,76900,79800,384831
20080108,83000,83800,81200,82000,594065
20080109,82000,83800,79800,82900,421986
20080110,81900,83700,81400,81400,403637
20080111,82300,83100,80500,82200,423965
20080114,80600,83200,80600,82200,318996
20080115,82700,82700,78300,80600,521732
20080116,81000,81000,78800,80000,409728
20080117,81200,83600,80000,82200,667663
20080118,83900,83900,78800,81600,405747
20080121,80900,83400,79400,82900,497298
20080122,80000,81100,77700,79600,764299
20080123,79200,79700,77500,79300,451667
20080124,79000,79600,76600,76900,628554
20080125,76400,80000,76000,79100,570221
20080128,77800,78000,75500,76400,383403
20080129,77300,79600,76100,77900,369256
20080130,79600,80500,78900,79800,313327
20080131,80100,81200,78100,81000,449256
20080201,80600,82500,78100,81500,621161
20080204,81500,83000,80300,81900,273241
20080205,82200,83000,81000,82600,164505
20080211,81800,83500,80500,82300,614520
20080212,81400,84000,80900,83400,333541
20080213,83400,84400,82200,83400,323029
20080214,82400,83000,80900,82800,653270
20080215,82700,82700,78500,79700,636690
20080218,79200,81100,78700,79700,331468
20080219,80600,81700,80300,80400,293486
20080220,79400,81500,78800,80600,393171
20080221,81000,83100,80500,82100,327436
20080222,83000,83000,80200,81400,146146
20080225,82000,83100,81400,83000,279056
20080226,82700,83100,81500,83000,203711
20080227,81800,82900,80000,80700,505614
20080228,80300,80500,78300,80000,602204
20080229,78900,79000,77600,77800,566247
20080303,77000,78000,75000,77800,540605
20080304,78200,79500,77000,77000,262280
20080305,78000,79000,78000,78500,169062
20080306,79200,81600,78500,81000,357016
20080307,80000,80100,78500,79800,218333
20080310,78100,79700,76700,79000,385258
20080311,77700,79000,77200,78800,333511
20080312,79100,80000,77000,77100,416280
20080313,76100,77600,74800,75000,661412
20080314,75200,76700,71600,73800,628034
20080317,72600,73000,68400,72700,753931
20080318,73600,76500,73600,75600,585901
20080319,76400,76800,74600,76000,446830
20080320,76000,76400,74900,75100,286024
20080321,75300,75800,72900,75100,411840
20080324,75100,75100,73500,73800,289304
20080325,74200,74700,73200,74200,325884
20080326,74800,75300,73500,74800,366036
20080327,75400,76900,75000,75500,318787
20080328,75500,77100,75200,76800,369193
20080331,77500,77900,76600,77600,278406
20080401,77000,77500,76300,77000,383893
20080402,77400,77900,75000,76200,428112
20080403,77000,77000,74100,74900,623936
20080404,74200,74300,73400,74000,637773
20080407,73500,76000,73500,74800,346997
20080408,75200,75400,73800,75000,372924
20080410,75700,76500,74000,76500,478871
20080411,75700,77600,75400,77000,346041
20080414,76500,77800,75200,76500,213298
20080415,77500,78500,76300,77700,272727
20080416,79300,79500,78500,78900,336503
20080417,79800,80000,78500,79500,252736
20080418,79800,80000,78400,79100,297223
20080421,79100,79100,77700,78400,290757
20080422,77500,79800,77500,78900,282653
20080423,78900,81000,78800,80500,469930
20080424,81500,84000,80500,84000,605953
20080425,84000,85000,83200,84700,336451
20080428,85100,85300,82900,83100,263638
20080429,85000,85800,83500,83500,370130
20080430,83500,84500,82300,83000,412733
20080502,81900,83000,81300,82000,446356
20080506,83500,83900,81900,82700,373635
20080507,82000,84500,81600,82500,323254
20080508,82000,84200,80700,80700,424517
20080509,81300,81600,79100,79100,576530
20080513,80000,82400,79900,80800,471030
20080514,83500,83500,80000,82000,365912
20080515,83500,86300,82300,84900,556620
20080516,86000,87500,85400,87500,428174
20080519,87800,89700,87700,88700,478073
20080520,87100,89500,87100,89100,276052
20080521,89000,89000,85500,86500,305668
20080522,84700,86000,83500,85200,409181
20080523,84200,86500,83300,85600,304474
20080526,86900,87500,83200,84600,209217
20080527,85500,87800,85200,87000,348581
20080528,88000,88300,85000,87100,400430
20080529,88300,89100,86900,89000,561094
20080530,89700,89900,88100,89400,376644
20080602,88100,88300,86400,88300,345411
20080603,88900,88900,86600,87500,347093
20080604,88100,91000,87500,90200,508121
20080605,88800,90000,87500,89500,288351
20080609,88100,89500,86600,87600,229797
20080610,88800,88800,87000,87800,307225
20080611,89000,90800,88200,90300,629684
20080612,89800,90400,86700,86700,693624
20080613,87300,90000,87000,89600,327380
20080616,89600,90300,88000,90100,322257
20080617,90500,90600,88900,89500,268681
20080618,89500,90200,88600,90000,227906
20080619,87700,88900,86800,86800,421309
20080620,87200,89900,87200,88400,243828
20080623,88800,89900,87000,88900,458685
20080624,88900,90000,88900,89000,259499
20080625,90000,91100,89400,90000,601060
20080626,91900,92600,90000,92100,402934
20080627,92600,92600,90000,90000,454180
20080630,90900,92000,89800,90000,376443
20080701,90100,91900,90000,90000,239230
20080702,90900,91000,88000,88200,315641
20080703,90000,90000,88200,89000,483921
20080704,88400,89300,86400,87000,329775
20080707,88000,91000,87100,89600,501230
20080708,89600,91300,87400,89200,428734
20080709,90600,90600,85700,87500,442737
20080710,88200,88900,86200,86500,544541
20080711,86500,86900,83600,84000,645412
20080714,84000,85700,83500,84500,223717
20080715,84800,87300,84700,85100,449548
20080716,86100,89000,86100,88000,795181
20080717,88000,88800,86400,87700,428508
20080718,88900,89200,86500,86600,342097
20080721,85900,88900,85900,87700,359204
20080722,88000,89500,87900,88000,225325
20080723,89300,90300,86000,87800,572430
20080724,87300,89000,87300,88400,424776
20080725,88800,91000,88400,91000,442116
20080728,91000,91000,89700,90300,773189
20080729,90300,90300,88600,90000,426713
20080730,90000,90600,88900,90300,475850
20080731,90500,90500,88900,89800,401772
20080801,90000,90100,89200,89600,325575
20080804,90200,90300,88700,88700,315076
20080805,90000,90800,89700,90300,755450
20080806,90300,91000,89800,90700,514997
20080807,90900,91000,89900,90800,705805
20080808,90900,90900,89500,90200,242976
20080811,90900,91600,90100,90900,617548
20080812,89900,90500,88600,88800,396002
20080813,88800,89200,87500,88900,295858
20080814,90300,90900,89700,90000,491154
20080818,90700,90800,89800,90300,377429
20080819,90600,92100,89800,91600,450678
20080820,91900,93400,91700,93100,1112832
20080821,92000,93000,90400,91300,435151
20080822,91300,91300,89400,90200,439126
20080825,90000,91100,90000,90500,377247
20080826,90000,92000,89800,90600,330326
20080827,91300,91900,90400,91900,676847
20080828,91900,91900,90100,91000,313398
20080829,90800,92300,90600,91800,735786
20080901,91000,93000,90700,92300,564701
