날짜,시가,고가,저가,현재가,거래량
20080102,48750,50400,48650,49300,1069085
20080103,48850,48900,47950,48500,700634
20080104,48250,50300,47650,49200,1197168
20080107,48200,49300,47700,47700,751839
20080108,47900,48000,46350,46700,1082144
20080109,46350,47750,46000,47550,957424
20080110,47100,48500,46500,47550,1494121
20080111,47600,48800,47500,47500,843614
20080114,48250,49600,48050,48500,1148296
20080115,48250,48400,47050,47050,886528
20080116,47000,47000,45550,45900,766039
20080117,45800,46650,45400,46000,1377408
20080118,45600,47250,45250,46300,798731
20080121,46350,46800,45400,46800,894408
20080122,46600,46600,45650,45800,895410
20080123,46300,46400,45350,46100,999060
20080124,46100,46300,45050,45200,1074535
20080125,45450,45500,43900,44750,1212702
20080128,45100,48350,45050,47200,2563342
20080129,47900,50200,47200,49100,1721347
20080130,49500,51000,49100,49650,1759286
20080131,49550,51100,49300,50300,1371758
20080201,50900,52500,50100,51000,1556103
20080204,51000,51400,48700,48900,1539135
20080205,49000,50700,48950,49800,897050
20080211,48300,49750,47950,48550,977127
20080212,48550,49500,48050,49200,363253
20080213,49050,51000,48750,50000,777927
20080214,50900,52300,50600,52200,1246197
20080215,51100,51200,48500,48900,1513162
20080218,48800,50200,47300,49700,1121180
20080219,49850,50500,48850,49000,453676
20080220,47950,48500,47200,47950,660126
20080221,48450,48800,47650,47800,468198
20080222,47550,47550,46500,47300,433976
20080225,47600,48400,47500,48050,380644
20080226,47900,48650,46700,47300,635097
20080227,47450,47600,46150,46350,778443
20080228,46550,46600,45800,46100,677685
20080229,46000,47500,45700,46500,787556
20080303,45600,47900,45200,47500,1461616
20080304,48300,49500,48100,49200,1304611
20080305,49000,49050,47900,48100,676228
20080306,48000,49150,47600,48650,522603
20080307,48000,48000,47000,47850,550545
20080310,47600,49450,47000,48750,867060
20080311,48550,48550,47850,48400,431178
20080312,48650,48650,47750,48400,640338
20080313,48550,48950,46550,46550,805006
20080314,47100,48400,46350,47000,748569
20080317,47700,48500,46600,48200,837890
20080318,48800,49700,47550,49200,958579
20080319,49900,49950,49000,49200,622210
20080320,49200,49850,48550,49200,596897
20080321,49000,49150,48000,48700,528278
20080324,48300,48500,46950,47800,990224
20080325,47800,48150,47250,47450,774057
20080326,47400,47400,46650,47150,681205
20080327,47500,48050,47100,47200,698865
20080328,47400,48300,47300,47800,933278
20080331,47600,47650,46450,46950,1028465
20080401,46800,47250,46550,46850,684337
20080402,47300,47800,47100,47500,1098414
20080403,47950,48700,47700,48350,955472
20080404,48250,48300,47250,47250,682475
20080407,47400,47800,46950,47800,875028
20080408,48200,48350,47500,47900,668449
20080410,47850,48250,47050,48250,936963
20080411,48000,49000,48000,49000,789191
20080414,48400,49750,48350,49400,1092559
