날짜,시가,고가,저가,현재가,거래량
20080102,69500,69900,67100,67900,596438
20080103,67000,67700,66500,67400,495013
20080104,67400,70400,66300,69600,832052
20080107,68000,68300,66200,66800,1150725
20080108,67800,71200,67300,70500,1135518
20080109,69600,71200,68700,69800,1221686
20080110,70800,72300,70300,70500,928884
20080111,71000,71800,68600,69000,604684
20080114,68000,68300,66300,67400,780318
20080115,67900,68400,63700,65300,1026070
20080116,63500,66500,62200,63000,753917
20080117,64000,64800,62000,63400,625079
20080118,62600,64400,60200,63400,746954
20080121,62300,63200,59000,59400,1044449
20080122,57000,58500,54600,56800,1227463
20080123,58700,59500,55600,56900,834363
20080124,58300,60400,58000,59300,900023
20080125,60000,61100,59000,60900,563064
20080128,59700,60200,57800,59300,502696
20080129,60300,60900,56100,56800,1107762
20080130,56900,57000,52700,53600,1277494
20080131,52500,54300,52000,53700,807187
20080201,54700,55200,52900,55000,858613
20080204,56500,58800,56100,58300,1139555
20080205,58500,60400,57800,58700,757415
20080211,57500,58700,55800,57200,667508
20080212,57800,60400,57300,59900,1312520
20080213,60900,61900,60200,60800,1256103
20080214,61400,64900,61100,64900,1234293
20080215,63800,65900,63000,65900,915861
20080218,65900,66800,63700,65100,554608
20080219,66100,68000,64700,65700,927817
20080220,64300,64900,62500,62800,841074
20080221,63900,64300,62700,63400,546756
20080222,62800,65200,62000,65100,768531
20080225,65500,67500,65400,66500,679338
20080226,66500,67900,66200,66800,383584
20080227,67800,69100,66800,68400,703028
20080228,68300,69200,67200,68500,368665
20080229,67800,67800,65700,66600,654729
20080303,64500,65600,63500,65400,466985
20080304,66200,67900,65100,67900,567075
20080305,67700,69400,67200,68400,660502
20080306,69100,73300,69000,72000,1776004
20080307,71100,72000,70600,71500,584358
20080310,70200,71300,68200,69300,567020
20080311,68700,72200,68700,71800,1042595
20080312,73800,75000,72300,73300,813580
20080313,73500,73600,70000,71900,674675
20080314,72700,72900,69800,71200,675386
20080317,70000,71700,67900,71200,787441
20080318,71500,72200,69200,71600,778235
20080319,73300,73500,71800,72800,549110
20080320,71800,72300,70900,71600,485830
20080321,73000,73100,70500,71100,517181
20080324,71300,71300,68600,69900,847139
20080325,70100,70800,67700,68700,1190256
20080326,68700,70200,67800,69200,765902
20080327,69200,71600,68800,71100,758572
20080328,71000,75000,70700,74600,1408930
20080331,74400,75500,73100,74700,895195
20080401,74800,77600,74100,75800,899111
20080402,77500,78700,76600,76600,648766
20080403,76500,79800,76500,78300,856646
20080404,78000,78000,75500,76300,628930
20080407,76300,77500,75600,76100,710013
20080408,76100,76900,74800,76000,604149
20080410,75200,77000,74800,77000,742124
20080411,77000,77700,75800,77300,549405
20080414,75800,77800,75100,76000,562389
20080415,76000,76600,74200,75200,590234
20080416,75400,76100,72900,74500,1057373
20080417,75800,77500,74600,77000,894726
20080418,77200,79000,76600,78700,932796
20080421,79300,83100,79200,82700,1557995
20080422,82000,82200,79800,81700,717078
20080423,81100,83200,80400,82000,774013
20080424,82900,83000,80200,82000,566541
20080425,81600,83300,81300,82800,694872
