날짜,시가,고가,저가,현재가,거래량
20080102,194000,200000,191500,196000,30304
20080103,195000,195500,191000,194500,23716
20080104,193000,202500,188500,202500,39028
20080107,200000,200500,195000,196000,25357
20080108,199000,199000,191500,198000,42502
20080109,194000,202500,193500,202500,48797
20080110,202500,212000,200000,204000,98418
20080111,209000,213000,194500,202000,42988
20080114,201000,205500,197000,198000,24577
20080115,198000,202000,194000,198000,28926
20080116,201000,201000,188500,193000,44538
20080117,193000,193000,183500,186500,33906
20080118,190000,190000,175500,184500,54642
20080121,184500,189000,176500,183000,30550
20080122,178500,182500,166500,182500,87561
20080123,181000,181000,173000,178000,79661
20080124,180000,181500,172500,175500,40839
20080125,176000,180000,149500,174500,47324
20080128,175500,182000,171500,174000,35245
20080129,177000,177500,171000,173000,34380
20080130,174000,175500,160500,172000,40049
20080131,171000,171000,165000,168000,46534
20080201,168500,177500,165000,172500,63153
20080204,173500,183000,173500,180000,46025
20080205,183000,189500,180000,183000,55913
20080211,183000,183000,173000,177000,39756
20080212,176500,177000,170000,174000,43856
20080213,177000,177000,171500,173000,31042
20080214,173500,176000,173000,174000,39769
20080215,171000,174000,166000,169500,115334
20080218,169500,173500,169000,170000,21147
20080219,170500,172000,169000,170500,69495
20080220,169000,178000,168000,173500,134817
20080221,177500,181000,175000,177000,157246
20080222,178000,180000,176000,179500,61427
20080225,180000,181000,179500,181000,21296
20080226,180000,180500,176500,179500,33855
20080227,178000,178000,174000,177000,46663
20080228,175500,179000,173000,174000,42509
20080229,174000,177000,171500,172500,32613
20080303,172500,175500,167000,171000,45555
20080304,172000,172000,168000,170000,49788
20080305,171500,174500,170000,170000,14206
20080306,170000,173500,169500,171000,32725
20080307,169000,170000,163500,170000,66825
20080310,170000,171000,167500,170000,28887
20080311,168000,173000,168000,173000,31264
20080312,174000,181000,174000,176000,42716
20080313,178500,180500,177000,177500,42683
20080314,183000,184500,173000,174000,41982
20080317,177000,177000,167500,170000,52700
20080318,168500,174500,166500,170000,62746
20080319,172500,174500,165500,174500,79910
20080320,172500,177000,168500,173000,56659
20080321,173000,174500,168500,170500,40686
20080324,171000,173000,169000,170000,29894
20080325,173000,173000,169500,171000,66995
