날짜,시가,고가,저가,현재가,거래량
20080102,67900,67900,67500,67900,10271
20080103,67900,67900,64500,67800,1131
20080104,67800,67800,65600,66900,2822
20080107,66900,67800,62100,66000,3556
20080108,65000,65500,63800,65400,1258
20080109,63200,65900,62600,65900,1522
20080110,64700,67500,64500,67300,4888
20080111,67300,69300,66100,67800,1181
20080114,67000,68300,65900,67400,2232
20080115,67400,67900,65800,67100,1544
20080116,65800,67000,64600,66800,4182
20080117,66200,67500,64500,66500,2423
20080118,69100,69600,60800,66200,4892
20080121,66200,67500,64400,66600,1162
20080122,66600,66600,62000,65800,4391
20080123,64100,64900,63000,64900,2880
20080124,64500,64900,62700,64500,2530
20080125,64500,64800,63300,64800,409
20080128,63200,64600,63000,64400,999
20080129,66000,66000,61000,64500,3278
20080130,63700,64000,62600,63900,3460
20080131,63900,64900,62500,64900,880
20080201,64700,65000,64500,65000,138
20080204,65000,66000,65000,65900,305
20080205,66500,66500,63600,64500,1044
20080211,64500,65100,64500,64500,761
20080212,64000,65900,64000,64500,20
20080213,64500,65300,63300,64500,626
20080214,65000,67400,63600,65500,686
20080215,65500,65500,65500,65500,0
20080218,65300,69000,65000,68900,269
20080219,68500,68900,65500,67200,1855
20080220,66500,69800,64000,67900,668
20080221,68000,69400,65500,67200,2219
20080222,67000,67500,66300,67500,53
20080225,67600,67800,64200,66800,3650
20080226,65400,67200,65300,66800,344
20080227,65500,65500,64600,65000,142
20080228,63700,64600,62100,62700,4281
20080229,63700,63700,61600,63400,2085
20080303,63400,63400,59600,61500,2570
20080304,61500,63100,60800,62000,98
20080305,62000,62000,58600,58900,4602
20080306,58900,59700,58200,59300,1953
20080307,58500,59600,58100,59300,1514
20080310,60400,60400,58600,58600,258
20080311,58600,60100,57500,60000,971
20080312,59300,62600,59000,60000,2152
20080313,59500,60500,59300,60200,219
20080314,60600,61000,59200,59500,1730
20080317,59400,59400,56000,56500,2351
20080318,57000,57700,55200,56300,661
20080319,56400,56900,55300,55600,2317
20080320,55000,55900,54000,55600,1644
20080321,55600,55900,55000,55900,211
20080324,56300,56700,55200,56700,287
20080325,57000,57000,55300,56100,2060
20080326,56100,56900,55800,56900,75
20080327,56000,56000,55500,55700,779
20080328,56200,56700,56200,56200,4
20080331,56500,56500,55000,55000,839
20080401,55100,56500,55000,55900,1203
20080402,56200,57400,55500,57300,1031
20080403,57500,57900,56500,57900,121
20080404,57900,60000,57900,59600,142
20080407,59600,68100,58700,60700,2086
20080408,61300,61600,60500,60600,574
20080410,60600,60600,59100,59500,125
20080411,59900,60000,59000,59000,654
20080414,58000,59200,57700,58000,139
20080415,57200,58200,55900,55900,364
20080416,56000,57500,56000,57200,671
20080417,57500,59400,57500,59000,274
20080418,59000,59000,57000,58100,460
20080421,61800,61800,58200,60000,233
20080422,60200,63500,59500,61900,375
20080423,63500,63500,60400,61900,1396
20080424,61900,62200,61900,62100,567
20080425,62300,63000,62300,62600,453
20080428,61000,62800,61000,61800,287
20080429,62200,63100,61400,61700,248
20080430,62200,62200,62000,62000,106
20080502,63300,63300,62900,63200,1325
20080506,63600,65900,62900,65400,8516
20080507,66700,69200,66400,67300,15078
20080508,66000,68300,64600,65800,1881
20080509,67600,67600,66000,66000,245
20080513,65600,66900,65600,66000,339
20080514,66200,66300,64300,64300,497
20080515,64800,65500,64800,65000,91
20080516,65000,66400,63800,66300,199
20080519,65400,66400,64500,65900,113
20080520,65900,65900,65000,65200,91
20080521,64100,64100,62600,63500,4876
20080522,64200,64300,62200,62200,820
20080523,62000,63800,61300,63800,3106
20080526,62700,63700,61200,61200,67
20080527,61500,62000,61500,61800,357
20080528,62500,62500,61400,61400,80
20080529,61700,62900,61700,62500,123
20080530,61800,61800,61400,61800,113
20080602,62100,62200,62000,62200,188
20080603,62200,62200,62100,62100,21
20080604,62100,62100,62100,62100,28
20080605,62200,62200,61000,61600,75
20080609,61600,61600,61600,61600,0
20080610,61600,61600,61600,61600,400
20080611,61600,62300,61000,62300,32
20080612,62100,62300,62100,62300,84
20080613,62300,62800,62300,62700,477
20080616,62700,62700,62700,62700,0
20080617,62000,62700,60800,62700,63
20080618,62700,62800,60600,62300,62
20080619,62300,62500,59000,62000,1424
20080620,62000,62000,62000,62000,14261
20080623,61900,61900,61900,61900,4
20080624,61400,61400,58400,61000,751
20080625,59300,61200,59300,61100,18
20080626,61500,61500,61500,61500,267
20080627,59900,59900,59000,59900,28
20080630,59700,61300,59200,61300,72
20080701,61000,61200,60000,61100,104
20080702,58200,62000,58200,59900,1042
20080703,59900,61000,58800,60300,126
20080704,60000,60500,60000,60500,25
20080707,58900,60300,58900,60300,4
20080708,60300,60300,58000,59800,466
20080709,51900,59200,51900,58600,275
20080710,58000,58700,56200,58600,32
20080711,59000,59000,59000,59000,15
20080714,60400,60400,60100,60100,111
20080715,56700,60500,56700,58100,588
20080716,59000,59000,58200,58900,29
20080717,59000,61800,59000,61800,111
20080718,59200,59900,58700,59900,257
20080721,59900,61200,59000,59600,278
20080722,58200,58800,58200,58800,183
20080723,58900,59000,58800,59000,2244
20080724,61500,61500,61300,61300,20
