날짜,시가,고가,저가,현재가,거래량
20080102,9700,9740,9210,9220,2527901
20080103,9140,9350,9130,9290,1233079
20080104,9370,9780,9350,9500,2609857
20080107,9270,9500,9250,9410,695064
20080108,9400,9480,9280,9470,459116
20080109,9310,9330,9150,9190,1462652
20080110,9220,9240,9020,9020,1329766
20080111,9000,9100,8660,8660,1731407
20080114,8600,8740,8500,8660,481214
20080115,8620,8690,8300,8330,961049
20080116,8180,8280,8120,8130,413750
20080117,8130,8280,8090,8210,659182
20080118,8150,8440,8100,8400,528704
20080121,8300,8360,7950,7950,719457
20080122,7790,7890,7550,7700,695614
20080123,7850,8190,7850,8190,1261917
20080124,8220,8350,8150,8270,909095
20080125,8250,8340,8200,8340,664719
20080128,8270,8380,8200,8200,605741
20080129,8300,8400,8250,8360,676928
20080130,8360,8380,8150,8300,1183455
20080131,8340,8440,8200,8430,668934
20080201,8360,8400,8300,8300,995717
20080204,8280,8440,8270,8400,769847
20080205,8350,8360,8250,8320,463428
20080211,8180,8190,8020,8070,1022652
20080212,8400,8460,8240,8310,1092086
20080213,8320,8390,8290,8350,2348409
20080214,8360,8640,8360,8450,1359997
20080215,8380,8690,8320,8600,1560756
20080218,8690,8720,8550,8600,946878
20080219,8590,8610,8470,8490,1314263
20080220,8490,8490,8380,8430,964471
20080221,8460,8500,8310,8340,788180
20080222,8220,8290,8030,8090,991275
20080225,8120,8230,8120,8210,650978
20080226,8230,8320,8120,8120,719901
20080227,8380,8470,8220,8220,975722
20080228,8170,8240,8130,8130,596377
20080229,8060,8070,8010,8050,782340
20080303,7950,7950,7830,7890,513580
20080304,7890,7950,7790,7810,472794
20080305,7740,7860,7740,7860,354892
20080306,7880,7970,7790,7930,439940
20080307,7820,7880,7760,7800,378905
20080310,7670,7770,7670,7720,825925
20080311,7680,7780,7640,7690,326705
20080312,7850,7870,7780,7840,382320
20080313,7840,7840,7690,7730,273412
20080314,7770,7790,7510,7630,485290
20080317,7630,7670,7240,7300,541671
20080318,7300,7510,7300,7440,563802
20080319,7550,7670,7550,7640,823486
20080320,7550,7620,7470,7510,384626
20080321,7560,7600,7510,7530,296389
20080324,7600,7690,7530,7580,636616
20080325,7640,7670,7430,7470,567295
20080326,7470,7530,7320,7370,525269
20080327,7350,7450,7340,7450,301830
20080328,7540,7700,7500,7660,1270712
20080331,7800,7860,7720,7800,899118
20080401,7820,7890,7740,7810,804831
20080402,7830,7850,7530,7570,1161620
20080403,7560,7640,7510,7570,866394
20080404,7730,7910,7720,7800,1733504
20080407,7820,8150,7810,8100,1341291
20080408,8140,8170,7930,8090,618225
20080410,8050,8170,7960,8100,1051910
20080411,8170,8230,8100,8200,698724
20080414,8130,8280,8030,8280,467399
20080415,8280,8280,8110,8200,550575
20080416,8220,8280,8200,8260,369533
20080417,8280,8300,8130,8160,478363
20080418,8210,8500,8170,8490,649017
20080421,8560,8750,8450,8600,931999
20080422,8600,8600,8260,8260,975768
20080423,8190,8250,8140,8200,783671
20080424,8250,8250,8120,8170,475911
20080425,8200,8230,8140,8160,511217
20080428,8200,8240,8160,8230,742179
20080429,8300,8580,8300,8400,1541729
20080430,8540,8930,8510,8930,2182241
20080502,9080,9280,8960,9220,1967983
20080506,9220,9490,9220,9410,1370784
20080507,9490,9490,9350,9400,1084019
20080508,9360,9380,9240,9360,812440
20080509,9400,9450,9280,9370,636327
20080513,9370,9510,9310,9310,1210504
20080514,9260,9600,9200,9600,1461717
20080515,9490,9790,9490,9630,1671023
20080516,9700,9710,9310,9400,665383
20080519,9410,9630,9390,9510,725063
20080520,9550,9630,9460,9600,440066
20080521,9550,9610,9490,9590,440335
20080522,9500,9580,9340,9520,366569
20080523,9500,9540,9360,9420,825903
20080526,9390,9390,9230,9270,503556
20080527,9240,9300,8990,9090,674426
20080528,9140,9140,8540,8650,1736101
20080529,8720,8830,8660,8780,644314
20080530,8750,9000,8750,8960,537646
20080602,8960,9000,8810,8890,299582
20080603,8850,8870,8720,8720,218120
20080604,8730,8850,8630,8840,293244
20080605,8770,8920,8710,8920,245968
20080609,8740,8890,8630,8870,400399
20080610,8870,8880,8700,8760,307293
20080611,8800,8830,8680,8740,233775
20080612,8650,8820,8600,8760,464480
20080613,8800,8800,8270,8380,949633
20080616,8400,8530,8170,8440,411845
20080617,8440,8490,8330,8430,233085
20080618,8400,8470,8280,8430,387003
20080619,8430,8430,8260,8260,291246
20080620,8380,8510,8320,8470,332212
20080623,8280,8330,8200,8240,479119
20080624,8180,8260,7930,7930,981977
20080625,7950,8080,7940,8020,379138
20080626,8030,8160,8030,8060,278617
20080627,7920,8000,7860,7940,232153
20080630,7920,7970,7840,7930,266314
20080701,7910,7920,7810,7900,395611
20080702,7860,7920,7700,7910,627809
20080703,7890,8480,7650,8300,1618006
20080704,8470,8560,8400,8450,752525
20080707,8460,8460,8270,8360,490042
20080708,8300,8400,8020,8200,589435
20080709,8230,8330,8060,8150,271019
20080710,8100,8150,7950,8070,281580
20080711,8020,8100,7700,7890,923786
20080714,7770,7880,7670,7750,1146986
20080715,7800,7860,7550,7660,508183
20080716,7730,7740,7530,7620,332947
20080717,7680,7730,7520,7520,332928
20080718,7570,7690,7560,7580,193297
20080721,7620,7840,7620,7800,326429
20080722,7800,7830,7710,7780,131233
20080723,7810,7870,7750,7800,710968
20080724,7820,8120,7820,8120,664407
20080725,8060,8200,7910,8160,619194
20080728,8170,8380,8030,8350,680039
20080729,8250,8450,8180,8450,1113006
20080730,8600,8850,8550,8650,1453584
20080731,8690,8820,8560,8750,816756
20080801,8620,8760,8380,8480,620936
20080804,8730,8800,8590,8790,943050
20080805,8610,8950,8580,8950,1534293
20080806,9000,9260,8960,9200,1461383
20080807,9300,9300,9000,9080,910124
20080808,8840,9090,8840,9060,1384933
20080811,9260,9260,9090,9110,411661
20080812,9160,9170,9110,9140,414934
20080813,9190,9210,9000,9080,943158
20080814,9080,9180,9070,9130,475917
20080818,9050,9110,8810,8870,356898
20080819,8870,8940,8720,8870,470984
20080820,8880,9270,8870,9250,1329063
20080821,9300,9550,9200,9400,1118445
20080822,9400,9430,9100,9290,503623
20080825,9290,9380,9120,9300,779226
20080826,9140,9410,9140,9320,805564
20080827,9320,9600,9320,9530,930613
20080828,9650,9800,9560,9640,776421
20080829,9700,9700,9460,9570,615697
20080901,9500,9650,9400,9510,1073987
20080902,9500,9900,9410,9890,1628785
20080903,9930,9980,9480,9560,2202137
20080904,9750,9890,9580,9830,1014117
20080905,9820,10100,9760,9900,2097495
20080908,10000,10100,9700,9720,1733507
20080909,9790,9960,9760,9850,1074539
20080910,9940,10000,9900,10000,1521178
20080911,10000,10000,9800,9900,657304
20080912,9950,10150,9850,10000,1460996
20080916,9400,9730,9150,9200,1043435
20080917,9430,9920,9310,9810,1496825
20080918,9500,9800,9480,9480,729280
20080919,9650,9770,9340,9500,975048
20080922,9450,9560,9260,9290,831870
20080923,9260,9470,9170,9450,763514
20080924,9460,9500,9240,9380,1272684
20080925,9450,9520,9380,9480,1077123
20080926,9460,9620,9420,9420,843679
20080929,9530,9790,9440,9720,10350361
20080930,9400,9990,9350,9910,1388750
20081001,9860,10000,9710,9990,1424353
20081002,9990,10300,9940,10300,2554431
20081006,10250,10450,10000,10250,1871899
20081007,10000,10100,9760,10000,1667494
20081008,9700,10050,9680,9900,1841423
20081009,9900,9990,9530,9600,1997576
20081010,9300,9510,9250,9400,2683499
20081013,9550,9830,9480,9530,2488072
20081014,9800,9870,9350,9350,2170689
20081015,9500,9840,9400,9800,1258863
20081016,9680,10050,9540,9990,2107036
20081017,10400,10400,9980,10100,2149153
20081020,10300,10700,10100,10700,1976519
20081021,10800,11050,10650,10800,1833308
20081022,10700,10950,10400,10650,962026
20081023,10650,10700,9360,9600,2175593
20081024,9600,10150,9200,9570,1927013
20081027,9250,9570,8600,9000,1750308
20081028,8660,9000,8440,8600,2384631
20081029,8900,9040,8470,8810,2137887
20081030,9290,9870,8940,9080,4464199
20081031,9430,9430,8920,9150,2120269
20081103,9300,9980,9250,9710,2453445
20081104,9770,10950,9770,10450,2799050
20081105,10700,10850,10250,10650,2145599
20081106,10350,10800,10100,10400,1345402
20081107,10250,10650,10000,10650,890854
20081110,10600,10800,10200,10250,1008932
20081111,10200,10550,10200,10350,667134
20081112,10150,10400,9960,10300,696806
20081113,9930,10000,9510,9600,1835079
20081114,9850,9900,9610,9700,1158527
20081117,9750,10250,9750,10200,1346521
20081118,10400,10600,10100,10300,1730230
20081119,10350,10650,10150,10650,1830985
20081120,10400,10550,10200,10500,1720175
20081121,10100,10800,9990,10800,1958592
20081124,10800,10900,10350,10400,906405
20081125,10700,10800,9880,10250,1057512
20081126,10400,10800,10250,10800,2001063
20081127,10950,10950,10100,10450,1881034
20081128,10450,10800,10300,10800,1723881
20081201,10700,10800,10400,10450,1255671
20081202,10250,10450,9840,9840,1964020
20081203,9950,9980,9460,9600,1889604
20081204,9740,9890,9640,9720,1632310
20081205,9800,10000,9550,10000,1416409
20081208,9970,10000,9740,9820,2400220
20081209,9900,9900,9530,9610,1434950
20081210,9680,9790,9560,9750,2440768
20081211,9750,9800,9120,9120,4470149
20081212,9200,9740,9130,9530,4627201
20081215,9740,9750,9400,9500,2522654
20081216,9400,9700,9340,9700,2541266
20081217,9890,10100,9820,9990,2714960
20081218,10000,10050,9770,9960,1448725
20081219,9970,10650,9940,10550,2788991
20081222,10600,10650,10300,10550,1444385
20081223,10400,10600,10200,10500,501013
20081224,10450,10500,10100,10200,657664
20081226,10150,10250,9960,10000,871667
20081229,9930,10100,9640,10100,400347
20081230,10050,10100,9870,9930,722344
20090102,10000,10050,9720,9900,752958
20090105,10000,10200,9950,9990,1001403
20090106,10100,10450,9910,9920,1802894
20090107,9990,9990,9670,9810,1977715
20090108,9890,9990,9570,9580,1617841
20090109,9600,9690,9410,9410,1695025
20090112,9460,9630,9230,9230,2129605
20090113,9240,9600,9240,9600,1701781
20090114,9680,9880,9540,9820,1887575
20090115,9610,9690,9400,9530,905201
20090116,9590,9800,9460,9790,878584
20090119,9800,9820,9650,9660,765800
20090120,9620,9760,9420,9710,599466
20090121,9590,9780,9500,9620,1050101
20090122,9670,9700,9500,9500,646192
20090123,9470,9500,9340,9440,310660
20090128,9500,9590,9460,9510,781248
20090129,9600,9660,9490,9500,1124212
20090130,9450,9470,9300,9310,634166
20090202,9330,9410,9280,9330,634899
20090203,9300,9460,9260,9460,776438
20090204,9520,9520,9370,9500,762869
20090205,9500,9500,9420,9490,1107144
20090206,9530,9550,9440,9520,432185
20090209,9540,9540,9440,9460,626488
20090210,9460,9460,9290,9310,888124
20090211,9250,9350,9200,9260,730225
20090212,9270,9300,9110,9110,804313
20090213,9120,9170,9030,9070,774654
20090216,9070,9170,9050,9090,492560
20090217,9030,9080,8700,8870,1430259
20090218,8710,8780,8600,8770,587360
20090219,8770,8770,8590,8770,704113
20090220,8550,8640,8380,8490,1028854
20090223,8400,8590,8050,8590,1109361
20090224,8310,8570,8220,8500,715445
20090225,8680,8860,8520,8530,821884
20090226,8540,8900,8540,8710,845373
20090227,8900,8940,8800,8890,1174992
20090302,8850,8850,8250,8530,578516
20090303,8110,8180,7260,8070,1575480
20090304,7920,8140,7770,8070,2067024
20090305,8130,8190,7720,7900,3108564
20090306,7700,8150,7550,8150,1496747
20090309,8150,8200,7980,8030,543445
20090310,7980,8310,7950,8310,938010
20090311,8500,8500,8090,8100,2050366
20090312,8100,8290,8100,8160,1206717
20090313,8230,8250,8060,8080,1330845
20090316,8110,8150,7970,7990,1181106
20090317,8070,8310,8050,8300,1491978
20090318,8350,8440,8250,8400,1100577
20090319,8480,8480,8130,8150,1503252
20090320,8250,8250,8070,8100,1702140
20090323,8070,8140,8060,8100,1255643
20090324,8270,8280,8070,8100,2113817
20090325,8080,8140,8040,8040,1364686
20090326,8070,8090,8000,8050,1631583
20090327,8060,8430,8040,8430,3595467
20090330,8420,8500,8310,8430,2775346
20090331,8440,8460,8270,8430,2214590
