날짜,시가,고가,저가,현재가,거래량
20080724,41658,43596,39333,42821,742958
20080725,43015,43015,39575,41174,286470
20080728,41174,41465,39963,40980,77531
20080729,39818,41610,38994,40496,99240
20080730,40641,41077,39769,40544,56889
20080731,40980,41029,39430,40011,111304
20080801,40060,42627,39915,42240,262024
20080804,42046,43063,41562,42918,106760
20080805,42143,43208,41707,43208,57781
20080806,43499,45340,43257,44807,212553
20080807,44468,45340,44226,45291,162580
20080808,44759,46890,44759,46793,187979
20080811,47326,47326,45824,47084,130540
20080812,47084,47181,46502,46987,52684
20080813,47181,47762,46357,47665,147111
20080814,47665,48924,47617,48537,120530
20080818,48537,52993,48440,49312,149956
20080819,49215,49990,47423,49215,70595
20080820,48731,50862,48392,49699,91786
20080821,50281,50281,47423,48440,111385
20080822,47956,48149,45437,46987,69991
20080825,47374,47762,45873,46115,48546
20080826,45340,46599,45340,46212,82589
20080827,45727,46890,45146,46309,51478
20080828,46406,48924,45921,46502,72204
20080829,47374,50281,47084,48924,87374
20080901,48924,48924,43451,43451,107456
20080902,43112,44952,41852,43208,55714
20080903,42724,46115,42724,46115,50803
20080904,45146,46793,45146,46696,46532
20080905,45776,47762,45437,47277,55479
20080908,47859,48149,46502,47665,68322
20080909,47810,48198,46115,47035,33835
20080910,46502,47665,45679,47277,27057
20080911,47568,48295,46599,48052,60695
20080912,48343,48634,47471,48052,45127
20080916,42724,46018,42724,45485,24330
20080917,46454,46454,45437,45437,32411
20080918,43887,44807,42918,44565,43497
20080919,45388,46502,45388,46502,43181
20080922,46987,47374,45485,46406,22491
20080923,45679,47762,45679,47471,34667
20080924,47956,49893,46841,49409,61759
20080925,49699,51346,48828,50378,64801
20080926,50281,50281,49021,50281,40880
20080929,50281,51153,49215,50184,26577
20080930,46599,52800,46599,52606,76722
20081001,52025,53962,50862,51250,41803
20081002,51637,51831,50378,51831,39704
20081006,51540,51540,49118,49506,48632
20081007,49215,50378,48537,50184,57984
20081008,48731,51637,48246,49893,79923
20081009,49021,50765,48731,50571,30274
20081010,50087,54253,47471,52800,46613
20081013,52703,55125,49603,51540,53526
20081014,52800,52800,49603,50281,121220
20081015,49409,51250,49215,50378,30203
20081016,47471,48537,43596,44855,41019
20081017,46938,47181,43596,44855,42109
20081020,46406,46502,42724,46502,40137
20081021,46987,47907,46163,46938,41806
20081022,46890,46890,41852,43741,16180
20081023,40980,43596,37202,43305,79057
20081024,41658,43112,36814,43112,76072
20081027,37880,42046,37880,41174,59845
20081028,38364,42627,38025,39527,65632
20081029,41271,42627,36814,36814,49872
20081030,39624,42337,37977,42337,45417
20081031,43596,46502,42433,45437,45144
20081103,45388,46890,43354,43402,46386
20081104,43887,44565,42385,44468,31103
20081105,45049,45921,43887,43887,44116
20081106,42337,42337,39527,40593,21127
20081107,39624,40835,36911,39672,63840
20081110,39721,40447,38461,38752,52924
20081111,38461,38752,36960,37105,49629
20081112,37299,37977,35846,36039,69224
20081113,34102,34877,32455,34005,38806
20081114,35361,39091,35071,39091,118202
20081117,40205,40205,37638,39430,64002
20081118,38849,39043,37493,37493,20552
20081119,38461,38655,37396,38122,28510
20081120,36814,37299,33860,33908,28526
20081121,32939,38074,32455,37783,25981
20081124,37783,38849,37057,37589,16227
20081125,38752,39188,35555,36621,22711
20081126,36572,37299,34780,37299,32782
20081127,38704,38704,36427,37153,27044
20081128,37541,38122,36766,38122,26329
20081201,37493,38510,36427,36669,22889
20081202,35216,35313,34586,34731,29548
20081203,35022,35555,33763,33811,24235
20081204,34344,34925,33133,33133,14606
20081205,32939,35216,31583,33908,112513
20081208,34828,34877,33230,33617,232291
20081209,34053,35361,33520,34877,164696
20081210,35216,35700,34586,34586,116981
20081211,35022,36378,34586,35991,150184
20081212,35700,36669,33908,34780,64597
20081215,35313,38510,35313,38461,110909
20081216,38413,40496,37589,38946,124588
20081217,40205,40205,37977,39236,64689
20081218,38946,39721,37638,37783,52128
20081219,37299,38364,37008,37493,56792
20081222,38171,38171,37347,37589,34105
20081223,37493,37977,36863,37783,37480
20081224,37735,37735,36039,36039,22898
20081226,35603,36039,34635,35507,24488
20081229,35119,35700,34296,35555,22574
20081230,35603,37493,35603,36330,79986
20090102,37105,37783,36475,37783,38761
20090105,38268,38268,37396,37929,55489
20090106,38074,40690,37589,40690,137005
20090107,41416,42627,40254,42579,94626
20090108,41368,44371,40932,43596,51253
20090109,43693,44080,41804,42627,44343
20090112,42143,42288,40399,41174,26042
20090113,40980,41174,40302,40496,22827
20090114,40302,44274,40302,42530,80329
20090115,41658,43693,40980,42143,102960
20090116,43112,47568,42143,45534,150518
20090119,46987,49893,45727,47956,133954
20090120,49312,49893,46987,48924,129916
20090121,46793,49699,46793,48924,88008
20090122,49409,50281,46890,48343,117602
20090123,47762,49893,47762,49312,81370
20090128,49118,51346,49118,49990,67287
20090129,51056,51346,47471,49603,59111
20090130,48440,50281,48343,49699,45575
20090202,48731,50087,48537,49409,70532
20090203,50184,50668,47713,47762,117440
20090204,48149,49215,46987,47762,101269
20090205,47665,47810,46599,47084,58265
20090206,47956,48149,44807,46696,152907
20090209,46696,46938,45001,45534,50388
20090210,45534,47374,44807,46987,45618
20090211,45727,50765,45727,50765,139803
20090212,51250,54931,49603,53284,309370
20090213,53284,61228,53284,61228,228423
20090216,64425,68785,61325,62003,245080
20090217,62681,63553,58709,60647,248023
20090218,60550,68300,59097,66557,190506
20090219,66847,69657,61034,62972,149139
20090220,61131,63456,55706,56675,204475
20090223,57547,62778,56772,61906,108520
20090224,59387,64038,59387,59581,132207
20090225,62488,63747,59097,59581,65878
20090226,59775,61616,57256,60453,58436
20090227,57837,59969,57353,58903,179939
20090302,58612,58612,56190,56190,84334
20090303,53962,59097,53962,56772,58359
20090304,56965,64038,56675,61519,118061
20090305,62197,66363,62003,64619,93499
20090306,63650,68494,63360,67138,108613
20090309,68785,70626,68107,69560,49034
20090310,69560,69754,61422,65878,213021
20090311,66266,68010,64135,65782,119325
20090312,66557,67525,65200,65394,59700
20090313,65975,67235,65491,66557,51028
20090316,65685,66944,62778,64038,98843
20090317,63263,65103,62778,63360,87541
20090318,63166,64231,62100,63360,243410
20090319,63650,63844,61519,61519,98350
20090320,61325,64910,61325,63456,92008
20090323,64425,66169,63844,64425,73793
20090324,65394,65782,62681,63941,75491
20090325,63941,65588,63166,65394,73304
20090326,65975,67428,64716,65975,159359
20090327,66750,66750,64231,64328,122959
20090330,64813,64813,61616,63456,70922
20090331,63166,65975,62100,64716,102677
20090401,65297,66557,64425,65103,99949
20090402,66460,71401,66363,70238,159197
20090403,70238,70238,66750,66750,130880
20090406,66750,69172,66653,67138,68962
20090407,67816,71013,67235,71013,67195
20090408,70238,77795,69366,76535,123674
20090409,78376,87967,75857,82542,249604
20090410,82639,87483,79054,82154,172132
20090413,82348,87192,79538,87192,121765
20090414,87192,87676,82057,83995,118860
20090415,83123,85254,78473,83995,93517
