날짜,시가,고가,저가,현재가,거래량
20080102,98219,98219,93234,94212,928857
20080103,93821,95775,92355,95287,527112
20080104,95482,102617,95287,101639,1294834
20080107,97730,104082,97730,103105,1059292
20080108,103594,103594,99685,102617,860173
20080109,99685,99685,94016,96753,2379532
20080110,98707,99685,95580,95775,1151625
20080111,95873,98707,91866,92844,981757
20080114,92844,93625,89130,89130,933396
20080115,90889,92062,87664,90107,962671
20080116,88641,89423,84536,85709,1228532
20080117,86002,87468,82484,85709,1361624
20080118,84048,89716,81800,88250,1338396
20080121,87468,88055,84341,86100,825672
20080122,82191,86882,82191,83559,1532102
20080123,87077,88837,84830,88446,1166937
20080124,89912,90889,88446,90889,992337
20080125,92159,94309,90107,93039,1462409
20080128,91084,92453,85807,87077,988848
20080129,88934,91084,87859,89912,613730
20080130,90889,92648,87371,87664,774960
20080131,85807,88934,82582,87957,1210717
20080201,88641,90596,84146,88152,1144278
20080204,89716,91280,88152,89423,908170
20080205,88934,91182,88152,91182,657724
20080211,88934,89227,87077,87273,541249
20080212,87273,87859,85221,86687,1056810
20080213,86980,87468,86198,86491,683727
20080214,88055,91475,87664,91182,1580565
20080215,89423,93430,89423,93332,1353222
20080218,93723,94114,90693,92355,617480
20080219,93821,93919,91280,92550,658236
20080220,91378,91573,89716,90009,617800
20080221,90400,92453,89521,92257,617295
20080222,90400,94407,89814,93821,959437
20080225,94798,100173,94798,100173,1674525
20080226,100173,101151,98219,99685,706702
20080227,99685,103594,99685,101151,909355
20080228,101151,103105,97730,103105,524665
20080229,102128,102128,98707,100662,616713
20080303,96753,97339,94309,97339,723304
20080304,97730,102128,96850,101639,888991
20080305,103594,108969,103105,107992,1809654
20080306,109458,112878,106526,107503,1599815
20080307,106037,108480,103594,106526,766390
20080310,104082,105060,102128,104082,700209
20080311,102617,111901,101639,110435,1398012
20080312,114833,114833,110435,111412,1180223
20080313,109458,111412,106037,107503,910569
20080314,109458,112878,107503,110924,1007832
20080317,108969,111901,105548,111901,1227613
