날짜,시가,고가,저가,현재가,거래량
20080102,88704,88704,85550,86043,295345
20080103,84762,85057,81706,82593,687213
20080104,83185,84466,81608,82495,662643
20080107,80228,81312,78355,80129,732987
20080108,80326,83776,79932,83382,673286
20080109,81608,82790,76877,79439,1697545
20080110,79932,81608,77862,77862,776294
20080111,79144,81509,77370,77370,725248
20080114,77468,79636,77074,78651,478940
20080115,78651,79341,74019,78848,625848
20080116,78355,78355,72540,73033,731079
20080117,73723,74708,71555,74413,582967
20080118,71949,78552,71259,76877,495757
20080121,75497,76877,71653,72934,485577
20080122,69879,69978,63473,65937,867689
20080123,68006,68204,62388,64754,1462959
20080124,66035,72836,65247,70963,1379058
20080125,72442,75398,71949,75398,553758
20080128,74906,75201,68401,70963,456707
20080129,73526,73920,68401,69682,578822
20080130,71653,72934,68401,69288,735825
20080131,68992,76877,68992,76680,974645
20080201,78257,81706,77665,80031,1351054
20080204,80031,81115,77862,80622,760666
20080205,79834,81805,78947,80819,463375
20080211,77862,78651,76285,78257,493373
20080212,78257,79439,76581,77764,673754
20080213,79144,79439,75004,75398,595003
20080214,77370,82298,77074,81509,767595
20080215,79932,83776,79341,82889,446699
20080218,82889,83283,81509,81903,444720
20080219,82790,82790,80819,82790,381024
20080220,81411,81706,77468,77665,1378533
20080221,79045,79242,76581,76975,778607
20080222,75398,76285,73329,73821,859641
20080225,73920,77764,73920,77074,692412
20080226,78651,80129,77961,77961,500672
20080227,79341,79439,75793,76384,730241
20080228,76877,77961,74906,76285,825764
20080229,75694,79439,75398,78848,544031
20080303,75793,79932,75793,78257,764640
20080304,77074,79341,75201,77567,968595
20080305,77567,77665,74511,74610,577077
20080306,74413,75497,73230,73723,634292
20080307,73427,75103,72146,73624,729287
20080310,71949,74413,70175,70963,447922
20080311,70766,71259,69189,70865,682372
20080312,73230,74216,71752,73723,602920
20080313,74019,75694,72146,74314,718542
20080314,75398,75398,69485,71949,717010
20080317,69978,70668,68598,69780,405734
20080318,71555,73230,70569,72244,386942
