날짜,시가,고가,저가,현재가,거래량
20080102,39412,39658,38328,38328,9445
20080103,38279,38722,36752,37195,21546
20080104,37934,37934,36456,37786,13147
20080107,36505,37491,36259,36949,26590
20080108,36949,38427,36259,38180,12128
20080109,36702,37491,35175,36949,29366
20080110,36653,37244,36259,36259,10993
20080111,36259,36899,35224,35224,17033
20080114,35077,36407,35077,35126,45974
20080115,35471,35471,33894,33894,15304
20080116,33796,33796,31677,33500,31459
20080117,33303,33894,32219,33894,72038
20080118,32613,34584,32613,34486,10067
20080121,33106,33500,32564,32564,14926
20080122,32515,32515,30101,31283,37312
20080123,31530,31530,28968,30397,65534
20080124,30544,31530,29510,31037,115379
20080125,31382,32219,31333,32219,9019
20080128,32022,32219,31185,32219,16898
20080129,32466,32712,31628,32219,20290
20080130,33008,33155,31727,32318,15591
20080131,32269,34978,32269,34978,20615
20080201,34486,35668,34091,34830,11728
20080204,34141,34929,34091,34141,8171
20080205,34239,34436,33106,34387,5579
20080211,33205,34486,32909,33697,7846
20080212,33205,34387,33106,33106,2941
20080213,33500,33894,33057,33796,5772
20080214,33993,35323,33747,35175,7084
20080215,34486,35471,34486,34683,14026
20080218,35274,35274,34141,34387,3572
20080219,34929,34929,34387,34387,1512
20080220,35077,35077,33648,34338,10808
20080221,34486,34929,33993,34190,15949
20080222,34288,34387,33205,34288,5186
20080225,33205,35077,33205,34781,5989
20080226,35717,35717,34781,34830,6163
20080227,35323,35323,34091,34091,3196
20080228,34091,35175,33599,34633,9860
20080229,34584,35077,34535,34978,5096
20080303,34633,34929,34387,34633,5432
20080304,33599,34042,33402,33648,15338
20080305,33993,33993,33254,33845,14249
20080306,33845,34042,33352,34042,13701
20080307,33205,33993,33205,33747,13539
20080310,33106,33254,32515,32515,30028
20080311,32219,32810,31874,32121,24414
20080312,32269,33057,32269,33008,6344
20080313,33008,33500,33008,33106,3288
20080314,33303,33303,31973,32515,24815
20080317,33500,33500,31530,32318,14096
20080318,31825,32663,31825,32269,15800
20080319,32761,32958,32367,32613,8101
20080320,32564,33008,32269,32712,18729
20080321,33008,33106,32269,32515,6722
20080324,32564,33057,32416,33057,10697
20080325,33451,34781,33155,34781,16827
20080326,34978,35027,34042,35027,13996
20080327,35027,35077,34288,35077,5896
20080328,34880,35027,34091,35027,8864
20080331,34978,35077,34091,34978,18594
20080401,34584,35422,34338,34338,8693
20080402,34830,34978,34042,34486,24785
20080403,34584,35914,34338,35668,44738
20080404,35323,36259,34880,36259,20005
20080407,36358,38131,35766,37836,30935
20080408,37392,38082,37047,37244,10210
20080410,36604,37540,36456,37392,5475
20080411,37441,37491,35717,36899,30633
20080414,36604,36850,36456,36653,12666
20080415,36210,36949,35372,35372,11105
20080416,35274,36949,35274,36259,8276
20080417,36899,38230,36259,38180,20119
20080418,38624,40397,38624,39905,21065
20080421,40397,40890,40003,40496,10240
20080422,40200,40200,39313,39905,2527
20080423,39609,41087,39609,41087,10772
20080424,41186,41333,40102,40890,10453
20080425,40890,41383,40693,40742,6000
20080428,40397,41038,40299,40397,11222
20080429,40250,41186,40052,40200,29432
20080430,40003,40988,40003,40200,41986
20080502,40988,41284,40397,40496,27780
20080506,40397,43156,40348,43058,22196
20080507,43944,43944,42368,42861,30711
20080508,42663,43944,42368,43944,22145
20080509,43452,43649,42910,43600,9937
20080513,43846,43846,42171,42565,4652
20080514,42368,44141,42368,43895,9522
20080515,44141,45028,43895,44930,29395
20080516,45619,45619,43501,44339,14970
20080519,44733,44733,42368,42368,9519
20080520,42861,43353,42565,43008,4446
20080521,41678,42762,41678,42072,18400
20080522,41875,42072,40742,41383,12566
20080523,41432,41826,39166,39905,15460
20080526,39264,39708,38279,38279,10157
20080527,39116,39116,38328,38772,14066
20080528,39363,39363,38427,39264,7902
20080529,39264,40988,39264,40988,7550
20080530,41777,41875,40545,41580,4475
20080602,40742,41826,40742,41481,4475
20080603,41629,41629,40151,41481,19110
20080604,41432,42122,40890,42122,14027
20080605,42565,43353,41727,42713,12939
20080609,41678,43452,41284,43452,20410
20080610,43846,43846,42910,43353,9920
20080611,44733,44733,43304,44634,30396
20080612,44388,44733,43649,44585,16927
20080613,45324,45324,43698,44289,13360
20080616,44289,44782,43156,43747,31711
20080617,43058,44339,42959,43353,11692
20080618,43353,43550,41875,43550,7084
20080619,44043,45521,42466,42959,27650
20080620,43550,44141,42811,43698,6777
20080623,43698,43698,42368,43008,8170
20080624,42368,43846,41530,41875,34731
20080625,41432,41826,40052,40890,38546
20080626,40397,41087,40250,40397,20465
20080627,39855,40348,39264,40299,13864
20080630,39905,40397,39560,40200,6414
20080701,40397,41087,39609,41087,2225
20080702,40791,41284,39313,39905,14910
20080703,39806,39806,38427,38821,23962
20080704,38821,39708,36850,36850,37978
20080707,36456,38377,36308,37836,11098
20080708,37836,38377,36702,37491,8397
20080709,37786,38427,37589,37836,3278
20080710,37638,37983,37244,37885,4770
20080711,38033,39511,37540,39412,11549
20080714,39412,40447,39264,40102,20775
20080715,39511,40102,38230,39215,37219
20080716,39215,40299,38624,39905,11169
20080717,40397,40397,38821,39215,52655
20080718,39412,39412,37786,38230,28876
20080721,37934,38772,37934,38525,28767
20080722,38427,38574,38131,38427,65644
20080723,38377,39264,38131,39215,109984
20080724,39313,40151,38821,40102,26120
20080725,39511,40102,39461,39757,36116
20080728,39806,40250,39412,39757,38113
20080729,38870,39363,38525,39166,28260
20080730,39412,40151,38673,39412,65589
20080731,39412,40052,39412,39757,27116
20080801,39609,40200,39412,40200,40668
20080804,40200,40693,39511,40496,42180
20080805,40496,40644,39954,40003,10639
20080806,40693,42269,40348,42122,23589
20080807,42368,43353,41629,43255,13381
20080808,43008,44831,42861,44536,88362
20080811,45324,45324,43008,44240,29432
20080812,43205,43353,42861,43156,16817
20080813,43156,43255,42516,43156,24327
20080814,43156,43156,42713,43008,6251
20080818,43008,43353,42910,43008,29572
20080819,42466,42861,41580,42861,54754
20080820,42368,43156,41974,43156,16149
20080821,43550,43550,42023,42466,15507
20080822,42466,42466,40693,42368,15721
20080825,42368,42368,41235,41235,4799
20080826,40644,41087,39905,40693,14940
20080827,40200,40890,39215,40890,23355
20080828,41383,41580,40496,41580,4126
20080829,41087,42319,40644,42319,6283
20080901,42171,42171,38131,38427,60256
20080902,38427,39412,38230,38624,10153
20080903,37934,39609,37934,39116,3428
20080904,39116,39461,38919,39166,5683
20080905,38624,39215,36358,37097,38490
20080908,38033,38870,37737,38131,25931
20080909,38131,38870,37294,37540,24611
20080910,37294,39166,37047,39166,8861
20080911,39166,39215,37934,38230,15418
20080912,39412,39412,38427,39264,14504
20080916,37146,39363,34486,34486,50959
20080917,36210,36702,34830,36653,91439
20080918,35569,37294,35471,36259,19269
20080919,37638,37638,36850,37244,24825
20080922,37441,38082,36998,37638,42428
20080923,37441,38821,37195,38131,21019
20080924,38131,38427,36702,37294,102192
20080925,37047,37047,36013,36555,81731
20080926,36752,36850,35766,36555,36024
20080929,37097,37097,35963,36161,22736
20080930,34978,35963,34535,35963,53638
20081001,35963,36456,35224,35224,24254
20081002,35668,35668,33894,33894,35011
20081006,33599,35224,32072,33155,49283
20081007,32909,33155,31924,33155,38883
20081008,32860,33106,30938,31431,54689
20081009,31382,32022,30347,31431,39768
20081010,30840,30889,27785,29658,97819
20081013,29805,30791,28623,29066,76516
20081014,30052,31037,29953,30544,119190
20081015,30199,30199,29362,29756,41981
20081016,28771,28869,27736,28278,73044
20081017,28721,28919,27539,28377,15305
20081020,28475,30495,27687,30495,42916
20081021,30544,30889,29756,30495,8307
20081022,29953,30052,28130,29460,30707
20081023,27736,27785,25076,27785,73180
20081024,27391,27391,23647,25519,34191
20081027,23746,25618,23696,24830,55108
20081028,24830,26110,24337,25470,43479
20081029,26308,27293,23746,25618,29108
20081030,26603,29411,26160,29411,77330
20081031,29362,30495,27785,30446,41652
20081103,30544,30988,29263,29362,49894
20081104,29362,29707,28672,29559,37587
20081105,30002,30741,29460,29953,83762
20081106,28180,29559,28180,29559,73302
20081107,28672,30249,28426,29855,113279
20081110,30397,30643,29559,30446,43631
20081111,29608,30643,29116,30544,50178
20081112,30298,30594,29658,30544,36883
20081113,29559,30544,29559,30544,54683
20081114,30840,30840,30002,30544,31809
20081117,29953,30692,29559,30643,37890
20081118,30052,30397,29953,29953,29615
20081119,29805,29805,27835,29263,55097
20081120,27736,27884,26012,26554,70843
20081121,25766,28081,24633,28081,105194
20081124,28180,28180,26357,27096,61736
20081125,27785,27785,26160,26160,81235
20081126,26160,26800,26110,26800,56065
20081127,26997,27096,26603,26849,44281
20081128,27046,28574,26997,28574,52988
20081201,28672,28672,28130,28229,9515
20081202,27588,27687,27096,27293,21895
20081203,28081,28574,27145,27884,125999
20081204,28278,28377,27539,27884,56603
20081205,27736,27736,26997,27588,45245
20081208,27588,29460,27588,29263,58954
20081209,29460,29460,27884,28180,73968
20081210,28475,29559,28130,29066,44844
20081211,29214,29559,28820,29559,64846
20081212,29165,29165,27687,28081,35820
20081215,28327,29559,28327,29460,25056
20081216,29411,30446,28919,30347,79469
20081217,30889,31135,29805,29805,33603
20081218,30150,30150,29362,29904,20475
20081219,29855,29855,29362,29658,40698
20081222,29756,29855,29165,29756,30205
20081223,29707,31185,28919,31185,46801
20081224,30052,30741,29460,29855,61629
20081226,29953,30298,29362,29658,32165
20081229,28278,28327,27736,28130,32745
