날짜,시가,고가,저가,현재가,거래량
20080102,90200,90800,88100,89400,141309
20080103,87600,94300,87000,92500,219770
20080104,92500,99100,89900,98500,315105
20080107,95900,106000,95700,104000,363716
20080108,103500,108500,100500,105000,213904
20080109,102500,112500,100500,111500,279002
20080110,111500,111500,106000,106000,161306
20080111,107000,108000,99000,101500,222618
20080114,100000,102500,96600,98600,149983
20080115,99200,100500,92300,99500,225279
20080116,97000,97800,90600,92100,297871
20080117,94000,95200,89100,90300,243659
20080118,88000,88900,82600,88700,459914
20080121,87100,87500,77900,80000,377390
20080122,75000,80000,68000,78800,743439
20080123,80700,82400,74000,77700,473518
20080124,79300,81600,78800,79300,235473
20080125,81000,85300,80500,84800,424158
20080128,82800,85700,80800,80900,229064
20080129,84000,84500,78300,83300,238283
20080130,83500,83500,72300,72300,271853
20080131,71900,72800,66700,71600,604887
20080201,72900,74900,69200,69200,287062
20080204,70800,78400,70700,77600,335945
20080205,76400,79400,75500,79400,250381
20080211,75500,78200,74100,76500,238821
20080212,77900,80200,75900,79000,327242
20080213,80000,80700,76000,76000,283250
20080214,77800,81400,77700,81200,436827
20080215,79600,88300,78600,86900,649143
20080218,88000,90300,85800,87700,356670
20080219,88600,90000,86900,89900,241295
20080220,88500,89900,85700,86000,268423
20080221,87400,87900,85600,86100,137380
20080222,84800,85000,83300,84100,132982
20080225,84900,87500,84600,86900,172800
20080226,88300,89600,87600,88500,201789
20080227,91000,93500,90600,90800,333706
20080228,91000,92600,89200,91800,275400
20080229,90500,92000,89600,90900,132837
20080303,87600,90600,87000,89000,183617
20080304,90200,92800,89000,91500,234919
20080305,92900,94700,91800,93000,199617
20080306,93000,94200,91200,93200,329393
20080307,91000,91500,88500,90000,230138
20080310,87200,88200,82500,85600,316346
20080311,83400,86200,82500,85000,219032
20080312,87900,89600,85100,85800,292175
20080313,85000,86500,80600,83600,299903
20080314,84200,85000,79100,82100,269050
20080317,80500,81200,77000,81000,165176
20080318,81300,81400,79100,80500,147837
20080319,82800,84100,82000,82600,196924
20080320,81000,82300,80200,82300,144049
20080321,83600,83600,81200,81200,128033
20080324,81400,83000,81000,82200,125680
20080325,83000,85500,82700,85000,239435
20080326,85300,90900,85100,90000,376446
20080327,89600,90900,87900,90800,203594
20080328,89900,92500,89100,91600,200009
20080331,92000,92000,88500,89500,178816
20080401,89700,91100,87300,88000,167655
20080402,89700,89900,85800,88700,327220
20080403,87800,89300,87100,87800,244980
20080404,88700,91800,88200,90000,305037
20080407,90800,93200,90200,92500,263745
20080408,92100,92400,88600,88600,210252
20080410,87700,88800,87200,88800,103439
20080411,88900,89700,86600,89500,371920
20080414,87400,90000,85200,85200,197083
20080415,85800,86300,84800,86000,79259
20080416,86900,88500,86600,87500,129550
20080417,88300,89200,87200,87200,115819
20080418,88000,88500,85600,88000,200709
20080421,89000,90100,88300,89400,162704
20080422,89800,92300,89600,91400,366470
20080423,91600,100500,91600,100000,731934
20080424,100500,101000,97500,99800,300472
20080425,101000,104000,96000,99800,626049
20080428,99800,102000,97200,97900,257023
20080429,97800,99400,93900,97200,255968
20080430,96100,98600,94000,98500,227818
20080502,100500,100500,96800,99100,239565
20080506,100500,101000,97100,97800,263600
20080507,97600,98800,94100,95100,314050
20080508,93800,94700,92500,92500,296982
20080509,93400,95000,92000,93000,208818
20080513,92800,94500,92800,94100,122446
20080514,94300,97600,94200,96200,343750
20080515,96900,97800,95100,96700,295869
20080516,98300,99600,97000,97300,270690
20080519,97900,99000,96300,96400,148132
20080520,96500,98300,96400,96600,157241
20080521,95100,95400,93500,93600,157848
20080522,92000,93500,90300,92000,245797
20080523,92700,96000,92000,95000,165430
20080526,94800,95700,91600,93400,132925
20080527,93400,95200,92900,93600,83081
20080528,94000,94600,90500,90500,182263
20080529,91500,94000,90500,92200,181546
20080530,93800,98800,93200,97600,428437
20080602,98300,102000,97400,99300,342514
20080603,98800,98900,96600,97000,182418
20080604,96200,102000,96200,101500,265697
20080605,101000,104000,99600,104000,259712
20080609,100000,105500,99700,105000,339934
20080610,104000,104000,99100,101500,265170
20080611,101500,107000,100500,105000,388185
20080612,105000,108500,104000,106000,372855
20080613,107000,107500,100000,104000,362823
20080616,105000,105000,99400,100000,248746
20080617,98700,99300,92100,95500,550766
20080618,94500,98900,93700,98900,257871
20080619,97500,98000,95800,96300,105544
20080620,96300,97400,92000,95000,274136
20080623,92700,93800,91100,91300,298930
20080624,91700,92800,91300,92700,152093
20080625,92600,93300,91600,93200,89629
20080626,93200,94900,92900,93500,139070
20080627,90400,92900,89700,92900,101740
20080630,91700,93300,91300,91600,87302
20080701,91700,92900,85000,85000,355215
20080702,85000,85000,73400,78000,669485
20080703,74400,78300,73800,77000,241715
20080704,76000,77800,70300,70700,435763
20080707,69800,72300,64600,65300,1069674
20080708,65300,66700,62000,65400,611221
20080709,67800,69500,66700,68000,524110
20080710,66500,72200,65800,72200,376066
20080711,71800,74300,70400,72700,269794
20080714,72000,73800,71600,72500,167541
20080715,71700,72300,68800,69900,206459
20080716,70600,73600,69600,71000,195498
20080717,73700,74200,71000,71000,139897
20080718,72200,74000,71600,72500,240750
20080721,73600,77100,73500,76600,252226
20080722,75400,78700,75300,77700,207789
20080723,78000,79000,77200,78800,189046
20080724,78800,81400,78200,81000,225392
20080725,79000,80500,79000,79500,130471
20080728,80100,80900,77200,79600,167994
20080729,77500,78000,75500,76500,123386
20080730,77900,80000,77200,78700,149012
20080731,80000,81500,79200,81500,171854
20080801,80800,81100,79200,79200,85412
20080804,78500,78500,75600,77700,104061
20080805,76000,79200,74200,74200,178293
20080806,75900,78000,75900,76600,147864
20080807,76900,77700,75700,76500,109684
20080808,76100,77300,75000,76000,90614
20080811,77100,78100,76000,76000,93162
20080812,75700,76000,72900,74000,144185
20080813,73000,74400,70800,72100,143915
20080814,71400,75400,71300,73700,121949
20080818,73600,76200,73600,76000,93149
20080819,75800,75800,73600,75500,82146
20080820,74800,77800,74000,77500,113026
20080821,78000,78600,76900,77800,101965
20080822,77100,78000,74200,77600,90564
20080825,77500,78700,77500,77800,93059
20080826,76100,79000,76100,78300,82432
20080827,79000,80500,78700,79400,220135
20080828,80500,80500,76600,78600,148988
20080829,79500,79900,77300,79800,152975
20080901,79000,79000,75700,75700,160912
20080902,74300,76700,66700,72100,333386
20080903,71500,75000,70600,75000,149641
20080904,74100,77500,73500,77500,104957
20080905,74800,76400,73500,73800,137830
20080908,75000,77300,74500,76900,212140
20080909,76500,76500,73100,73600,162817
20080910,71900,74300,70200,74300,234514
20080911,75000,75000,72300,73000,187765
20080912,74300,76100,74300,75600,111815
20080916,71600,72800,70000,70000,156689
20080917,72300,73400,71000,71000,145250
20080918,68900,72000,68500,69700,97491
20080919,72300,76400,71500,74500,234377
20080922,75200,77400,73100,73900,241993
20080923,73000,77700,72400,76900,177703
20080924,77200,82900,76300,82000,291673
20080925,82300,84100,79900,82900,275462
20080926,82900,83200,79600,82000,171548
20080929,82700,82700,78300,79900,194058
20080930,72200,79000,72200,79000,242104
20081001,79900,81000,76400,79000,205239
20081002,80000,80900,77600,78000,315559
20081006,77000,77200,71800,71800,131905
20081007,70800,73800,69900,71900,186329
20081008,69000,71900,65100,66600,228103
20081009,66600,68300,61500,61500,320900
20081010,58500,58700,52300,57000,539746
20081013,58100,62300,56800,62300,353997
20081014,65500,67500,64100,67000,368566
20081015,65200,66800,64100,64500,148665
20081016,58500,62800,57200,59000,245345
20081017,61500,62500,56600,60600,208316
20081020,63100,63600,59100,60300,183928
20081021,62000,62400,59600,59900,184787
20081022,60900,63600,53600,57600,228581
20081023,54100,56000,50100,52500,223208
20081024,52600,53500,44700,46000,212149
20081027,43500,47000,39500,41650,291298
20081028,38300,46350,38300,45350,341771
20081029,47500,49850,38800,41450,335958
20081030,45450,47650,43650,47650,349461
20081031,48100,54700,47050,53400,337428
20081103,54400,61400,54300,61400,594858
20081104,63800,64300,60500,64200,534054
20081105,66000,72200,64100,66600,733944
20081106,63000,63300,60100,62500,323727
20081107,61100,66400,57200,64800,526759
20081110,65500,69600,63000,68000,429783
20081111,66700,71000,66300,68500,318840
20081112,66600,69000,64900,68200,261737
20081113,64500,66000,60200,64900,341421
20081114,68400,68400,55200,63600,563653
20081117,61700,64500,61000,62400,181467
20081118,61300,63800,61000,61700,155574
20081119,62000,63900,58000,63000,247994
20081120,59500,61000,55000,56700,215302
20081121,55500,61600,52300,59700,251336
20081124,59500,61200,56800,59200,228706
20081125,62000,62700,58500,60000,241231
20081126,61800,69000,61200,68000,416784
20081127,68600,69200,66600,67600,252496
20081128,67600,69600,66100,69600,211885
20081201,69100,69600,66600,66600,219171
20081202,62700,65300,62500,64500,132299
20081203,66000,67800,65000,66200,220149
20081204,68000,68700,64700,66500,153599
20081205,67000,68500,66500,66600,162549
20081208,70100,76000,69500,75000,687524
20081209,76300,77200,69600,70100,854525
20081210,71400,72800,68500,70500,635035
20081211,70200,72700,69000,71000,391834
20081212,70000,73000,68200,68900,284914
20081215,70800,74700,70200,71900,371374
20081216,72100,75100,72000,74500,237323
20081217,75900,76900,71800,74500,182943
20081218,75500,75900,72800,75600,174761
20081219,75300,76100,74500,74900,109232
20081222,75600,78500,75300,76000,218138
20081223,76000,76800,72400,76000,179921
20081224,75700,75900,73000,75900,107373
20081226,75800,75900,73600,75200,99282
20081229,74600,76300,73100,76300,111040
20081230,76500,78000,76100,76300,163324
20090102,76600,77400,75200,77200,137798
20090105,79300,79400,76400,76700,207028
20090106,76800,78300,76100,77700,156694
20090107,77400,78100,76500,77000,168911
20090108,77500,79000,76000,76000,231801
20090109,77000,77200,74600,75300,136450
20090112,75300,75300,73300,75100,104396
20090113,74900,75000,72700,74900,185636
20090114,74200,77600,73200,76500,138852
20090115,74200,74800,72000,73000,170372
20090116,72800,73900,71000,72600,176915
20090119,73200,75300,73100,73900,128441
20090120,73200,74100,71600,74100,86741
20090121,72200,75300,71300,73000,100759
20090122,74200,74400,71900,72900,244396
20090123,72200,72600,70900,71900,170118
20090128,73000,76100,73000,75100,214637
20090129,76000,77300,75200,76200,136938
20090130,75800,76400,75000,75000,82306
20090202,74100,75000,73100,74200,99569
20090203,74000,75000,73200,73600,170434
20090204,74100,76200,73700,76200,205377
20090205,75800,76600,74200,76000,144795
20090206,78900,78900,76500,76700,257047
20090209,77900,78600,77100,77900,144283
20090210,77900,78500,75200,76900,177615
20090211,74800,77500,74400,77500,140229
20090212,76500,77600,75100,76400,108605
20090213,75700,76200,75000,75500,79593
20090216,75200,77800,75200,76100,113004
20090217,75300,76400,73100,73100,110616
20090218,73000,75900,72100,75300,153461
20090219,74200,75000,73000,73000,130222
20090220,72400,72900,69600,72900,154485
20090223,72000,72400,70600,71100,95030
20090224,69500,69800,67100,67200,215051
20090225,68500,68900,64800,66400,169489
20090226,66800,68700,64800,65100,144773
20090227,65100,66200,64700,66000,148118
20090302,64800,64900,61700,62400,113582
20090303,60200,62000,60200,60600,129802
20090304,60600,64200,58800,63000,172284
20090305,63700,67500,62100,66400,222477
20090306,65400,68400,64900,68000,74005
20090309,68500,69500,67000,68000,95389
20090310,67700,69400,67500,68900,75761
20090311,70600,72000,69300,71700,121655
20090312,71700,72900,71500,72500,162250
20090313,72100,72700,69700,72000,166303
20090316,70600,72100,70100,70100,64480
20090317,71700,72000,70300,71000,83327
20090318,72600,73000,71300,72700,81514
20090319,73100,74000,71300,72800,62418
20090320,73200,75700,73000,75700,112186
20090323,76000,79100,75700,77500,172463
20090324,78400,79800,77300,79300,147942
20090325,79400,81100,78000,81100,126687
20090326,80100,81000,78900,79800,97035
20090327,79300,79900,76500,78400,181691
20090330,78200,78400,75700,75700,102458
20090331,75800,78500,75800,77800,118900
20090401,77200,79000,76100,78500,126713
20090402,79000,81800,78800,81300,205758
20090403,81500,82100,79300,81500,177314
20090406,81700,82100,80700,80700,124152
20090407,81000,81500,78500,78500,595827
20090408,77000,77800,75100,75400,665172
20090409,76500,83500,76000,81500,461465
20090410,82300,86000,81600,83000,347711
20090413,83200,84200,81600,83300,177744
20090414,83700,83800,81300,82500,274100
20090415,80600,88000,80200,85500,490712
20090416,88200,97000,87100,92300,590816
20090417,93000,96400,88500,88500,336787
20090420,89500,91300,86600,89300,151359
20090421,89000,91600,87300,88800,169322
20090422,90500,97500,90500,97000,433587
20090423,96800,102000,94100,99700,353908
20090424,100500,104000,98000,99200,241873
20090427,99500,101500,97500,101500,154320
20090428,103500,103500,94000,97900,189479
20090429,97500,102500,97300,102000,122513
20090430,103500,105000,99900,101000,165565
20090504,101000,103000,97600,100500,158693
20090506,98600,100500,95400,97500,284141
20090507,98600,100500,95600,96200,243527
20090508,96700,98300,95500,96000,130589
20090511,96100,97300,95500,96400,129629
20090512,96300,98900,95100,98900,131486
20090513,100000,104000,98100,103500,222695
20090514,101000,102500,99100,99800,148699
20090515,100500,101000,98300,99700,95549
20090518,101000,101000,97700,99700,76900
20090519,100500,103000,98600,102500,205485
20090520,103000,108500,101000,106000,214869
20090521,105500,110000,105000,108000,161814
20090522,106500,116000,105000,112000,338156
20090525,110500,116500,96000,112500,153382
20090526,112500,115000,107000,112000,204920
20090527,112500,113000,104500,104500,165984
20090528,105000,106000,98300,106000,201581
20090529,106000,106000,100500,100500,140681
20090601,101000,106000,100500,106000,116982
20090602,108000,113000,106500,109000,216497
20090603,110000,111500,104500,111000,178596
20090604,109000,110000,99200,99200,1084006
20090605,101000,101500,92100,95100,978893
20090608,96000,98500,93700,93700,394960
20090609,95100,97600,93400,94900,327869
20090610,96300,97500,94100,97500,200030
20090611,97300,98500,95100,95100,274505
20090612,96500,98000,95700,96400,234075
20090615,97000,98300,95600,96600,214982
20090616,96100,97600,94700,96800,130630
20090617,96800,98900,96200,98400,186252
20090618,98800,98800,97100,98400,171669
20090619,98000,98400,94800,97000,157461
20090622,96100,96800,90500,94700,465696
20090623,92200,93100,90700,91500,196875
