날짜,시가,고가,저가,현재가,거래량
20080102,55600,56600,54000,55100,106893
20080103,55100,58200,53800,58200,110356
20080104,58000,58800,56600,58700,101305
20080107,56400,58700,56400,57900,69082
20080108,57700,58900,56500,58200,52302
20080109,57200,58900,56400,58900,63594
20080110,59000,59300,57300,57300,67205
20080111,57800,58200,55100,56600,83577
20080114,56400,57400,54900,55700,93091
20080115,55700,58300,55500,57600,106040
20080116,57500,57500,55800,56800,71081
20080117,56900,58100,54600,55500,147627
20080118,54800,55500,51900,55100,144825
20080121,54600,54900,49250,51000,164776
20080122,49000,51500,45800,51500,142174
20080123,52300,52300,48100,49000,153079
20080124,50000,51200,49900,50600,66868
20080125,51500,53600,50700,53100,107896
20080128,52300,52900,49800,51800,85655
20080129,52000,53400,51500,52000,47913
20080130,51800,52600,48000,49750,121846
20080131,49200,51300,47500,50200,99808
20080201,49800,51200,48600,50000,105937
20080204,50700,53500,50300,52300,118187
20080205,51700,55100,51700,53900,104078
20080211,51800,52700,51100,52500,63058
20080212,52500,52600,51100,51100,84886
20080213,51400,51900,49500,49500,60516
20080214,50700,53300,50500,53300,90219
20080215,52300,55500,51800,55000,141065
20080218,55000,56400,53600,54800,132183
20080219,55600,56700,54000,56500,103754
20080220,55600,56700,54200,55500,100983
20080221,55800,56200,55000,55500,95719
20080222,55000,55000,54000,54400,50161
20080225,54800,56500,54700,56300,80759
20080226,56900,57200,56500,57000,94764
20080227,57900,58000,56200,58000,149597
20080228,57800,57800,57000,57500,61820
20080229,56800,56800,55700,56000,104643
20080303,54100,54800,53800,54100,93757
20080304,54400,56000,54200,55700,83615
20080305,56200,56400,55500,56000,76515
20080306,56100,59000,55500,58800,138718
20080307,57700,59600,57200,59600,137731
20080310,58300,59400,58100,59000,149112
20080311,58800,60700,58400,60200,156300
20080312,61000,61800,60400,61200,175555
20080313,61000,61800,58900,60100,118409
20080314,60900,62000,58500,60100,113803
20080317,60300,60700,57000,58800,88889
20080318,58700,60300,57300,58000,57546
20080319,59100,62000,58300,60500,142942
20080320,60500,62700,60000,62500,169694
20080321,63000,63000,61000,62900,104169
20080324,62800,63000,61200,62100,88602
