날짜,시가,고가,저가,현재가,거래량
20080102,45369,46881,45349,46463,1153484
20080103,46662,48691,45886,48492,1099622
20080104,48731,48830,47438,48512,1328783
20080107,46145,48512,46145,47975,805892
20080108,48333,49228,48054,48054,483162
20080109,48233,49884,48233,49884,1209567
20080110,50123,51674,49188,50023,945555
20080111,49228,50023,47935,47935,487998
20080114,46940,48333,46940,48134,662785
20080115,48432,48929,45230,45966,1085419
20080116,43360,44554,43221,43838,1744193
20080117,44355,44554,41073,41371,2426138
20080118,40397,45309,40058,45309,1500160
20080121,44355,45628,43778,44713,1014389
20080122,42565,45548,40675,42764,1160537
20080123,44554,44772,41272,43559,1228461
20080124,44753,45270,44255,44812,1055148
20080125,45747,46821,45349,46602,948662
20080128,45150,45628,42962,44355,710110
20080129,43758,44335,42962,43758,1354464
20080130,44912,44912,38229,38229,1565007
20080131,36995,40615,36140,39780,3760548
20080201,40178,41272,38427,39780,1583418
20080204,41491,45349,41172,45349,1836299
20080205,45091,46006,43579,44454,1076224
20080211,42764,42962,41590,41749,1276224
20080212,41749,42943,41510,41968,1185736
20080213,42565,42923,41371,41570,705686
20080214,42366,43857,42366,43360,1196948
20080215,42067,45170,42067,44355,667139
20080218,44554,44991,43579,44096,458974
20080219,44156,44653,42744,43758,1148717
20080220,42764,43261,41689,42664,913026
20080221,43261,43320,41530,41590,1012730
20080222,41172,42624,41172,42366,658959
20080225,42764,44196,42664,43857,898642
20080226,44355,45747,44255,45648,1368034
20080227,45866,45926,44573,44753,712182
20080228,45150,45230,43877,44255,635842
20080229,44176,44176,42465,42465,1328134
20080303,40576,41232,39780,40178,2272900
20080304,40934,40934,39800,40178,1322051
20080305,40178,40675,39601,39999,884308
20080306,39780,41292,39780,41252,911784
20080307,40078,40516,39621,39820,790477
20080310,39382,40655,38786,38845,1291689
20080311,38388,39541,37393,39084,930442
20080312,40914,41133,39681,39681,1153775
20080313,40237,40516,39462,40516,536686
20080314,40874,40973,39641,40715,707063
20080317,40715,40715,38467,39462,957546
20080318,39283,39462,37890,38248,640382
20080319,39342,40377,38606,40377,1507099
20080320,39382,39820,39124,39382,1241282
20080321,40377,40377,39641,39999,659678
20080324,40277,40317,39502,39502,456515
20080325,40954,42863,40735,42863,2014861
20080326,42405,42883,41152,42764,1258627
20080327,42565,43758,41868,43758,1282755
20080328,43360,44932,43320,44156,1136963
20080331,45329,46742,44951,45966,1432066
20080401,46742,47676,46025,46761,1563755
20080402,48532,48750,46960,48512,1301598
20080403,47557,48054,46702,47040,1178853
20080404,47239,47338,45230,45548,1216435
20080407,45906,47358,45906,46841,792001
20080408,46841,47338,45926,46344,487360
20080410,46304,47040,44812,46742,894746
20080411,46761,47159,45827,46682,633750
20080414,45767,46145,45409,45667,457285
20080415,45548,45846,44912,45528,651749
20080416,45648,46105,43519,43619,1346053
20080417,44753,44991,41729,43161,2332966
20080418,44275,44613,41033,43758,3049044
20080421,45349,46145,45051,45548,910910
20080422,45548,46443,44554,45548,902428
20080423,45548,45866,43957,44613,786495
20080424,45290,45290,44156,45091,686003
20080425,45449,46562,45349,46165,694660
20080428,46602,46642,45707,45747,442086
20080429,46523,46523,45608,45846,650442
20080430,46344,46344,44912,46344,915781
20080502,47736,48333,46145,47199,1065515
20080506,47637,47716,44753,44753,1422197
20080507,43221,44156,40715,40775,5321427
20080508,40576,42445,39780,41172,3024097
20080509,41491,42803,41371,42584,1708119
20080513,41312,42624,41312,41968,1531176
20080514,41411,42525,41371,41371,1159884
20080515,40775,41729,40277,41073,1334177
20080516,41073,42167,41073,41351,1705842
20080519,41729,42783,41729,42764,996782
20080520,42803,43122,41749,41868,832488
20080521,41868,42087,41113,41530,661830
20080522,40973,41371,40257,41172,1851774
20080523,41172,42624,41133,42167,825052
20080526,41789,42545,41550,42266,520306
20080527,42545,42823,42266,42744,904906
20080528,42883,42923,40755,41570,1909039
20080529,41769,41928,41033,41550,1634082
