날짜,시가,고가,저가,현재가,거래량
20130829,144581,144581,123305,123305,34493
20130830,104930,107832,104930,104930,5301138
20130902,106381,110733,104447,110249,1762880
20130903,110733,111217,106381,106381,628604
20130904,105414,108799,104930,105414,335538
20130905,105897,106865,103480,105414,571277
20130906,105414,106865,99611,100578,557089
20130909,101062,104447,99128,103480,476552
20130910,104930,112184,103963,110733,841177
20130911,110249,111217,108315,109766,397330
20130912,112184,114601,110249,112184,756444
20130913,110733,112667,109282,111217,257565
20130916,112184,112667,106865,107348,310156
20130917,107348,108799,105414,105897,285403
20130923,106381,110249,104930,104930,452426
20130924,105414,108315,104930,107832,297525
20130925,108315,112667,107348,111700,512977
20130926,112667,122338,111700,117986,1000314
20130927,117986,118470,115085,117503,335183
20130930,116536,118470,114118,114118,300714
20131001,114601,117019,111700,113634,277456
20131002,114118,120404,114118,119920,472819
20131004,119437,121371,114601,116052,432378
20131007,115568,116536,110249,110249,377044
20131008,109766,110733,106865,110249,421252
20131010,109282,111217,106865,107832,309523
20131011,108799,109766,106865,109282,396401
20131014,109282,109766,104930,104930,288920
20131015,105897,108315,105414,106865,327692
20131016,105897,107832,96226,97677,1457438
20131017,98644,100095,96710,96710,431412
20131018,97194,100578,97194,99128,378118
20131021,100095,104447,99128,102996,339393
20131022,103480,107348,101062,106381,453594
20131023,105897,107832,104930,105414,352803
20131024,106381,111217,105414,111217,504631
20131025,112184,114601,111700,114118,443651
20131028,113151,113634,109282,112184,308680
20131029,112184,113151,108799,109282,270586
20131030,109766,111700,107348,110733,298002
20131031,109766,111700,108315,109766,246040
20131101,109766,109766,103963,105414,690145
20131104,105414,107348,104930,105414,161603
20131105,106381,106381,103480,103963,156148
20131106,103480,105414,99611,101546,292811
20131107,102513,104447,99611,99611,221944
20131108,100095,101546,97677,98161,212515
20131111,99611,104447,98644,99611,284119
20131112,100578,101062,96420,97194,422197
20131113,95743,96517,90424,93519,672651
20131114,95259,95549,90811,91101,333950
20131115,91875,92358,87426,88103,761729
20131118,89263,91681,88490,91294,439664
20131119,92068,93519,90521,91875,296824
20131120,91488,93519,90134,91681,269143
20131121,91971,93325,90424,91488,185486
20131122,92745,98644,91875,97194,503471
20131125,97677,101062,97677,98644,350669
20131126,99611,101062,97194,99611,236477
20131127,99128,99611,93809,94002,435880
20131128,94292,94389,91101,92068,569886
20131129,91875,93228,91391,92455,270585
20131202,92455,92455,89263,89263,361921
20131203,88876,90714,87523,88006,306281
20131204,88200,88973,84428,84718,418815
20131205,86072,88296,85588,86846,324527
20131206,86072,90134,86072,89650,313596
20131209,90521,94389,89940,94002,404543
20131210,94389,95549,90907,90907,260993
20131211,90424,93325,89553,90327,185035
20131212,89360,89650,87329,88006,233202
20131213,88103,92068,86652,91584,240571
20131216,91391,92745,87813,88006,232392
20131217,88490,89553,85782,87329,299862
20131218,87426,90327,87136,88780,240166
20131219,89553,90134,88683,89070,121937
20131220,88973,90714,88103,90714,170922
20131223,91681,92358,89650,89747,202215
20131224,90327,91584,88876,91294,186793
20131226,91488,91778,89844,89940,103627
20131227,90230,93615,89844,93325,247409
20131230,93132,93325,91778,93228,147784
20140102,93325,93615,90327,90617,146502
20140103,90424,90424,87523,88200,329641
20140106,88296,89167,87716,88683,125334
20140107,88103,88200,85588,85685,390917
20140108,83944,84138,77368,77658,1008254
