날짜,시가,고가,저가,현재가,거래량
20080102,25329,25855,25041,25329,1454846
20080103,24993,25664,24754,25520,1682838
20080104,25712,26717,25424,25951,2703709
20080107,25233,26095,25089,25951,2074225
20080108,26142,26238,24610,24658,1601669
20080109,24275,25568,23701,25089,1741948
20080110,25281,25759,24562,24658,1978674
20080111,25041,25424,23653,23892,1175360
20080114,23892,24132,23174,23413,1150781
20080115,23605,23701,22504,22887,1073524
20080116,22408,23126,22312,22551,1279052
20080117,22887,23126,22073,22935,1151925
20080118,22504,24515,22408,24084,1501765
20080121,23940,24036,22982,23174,1776136
20080122,22408,22695,21211,22073,1853410
20080123,22935,23030,21354,21833,1627243
20080124,22504,22599,22121,22312,1184087
20080125,22551,22599,21498,22312,1659300
20080128,21881,22073,21402,21642,706677
20080129,22073,22168,21211,21307,1097648
20080130,21402,21546,19104,19631,3351382
20080131,19631,19870,19248,19679,1675144
20080201,19918,20205,19631,19679,1390789
20080204,19870,20732,19774,20301,2892634
20080205,20253,20349,19774,19966,2203598
20080211,19296,19439,18769,18913,1528134
20080212,19056,19152,18913,19104,782991
20080213,19344,19391,18865,18865,769597
20080214,19200,19822,19056,19774,1211460
20080215,19391,20349,19248,20062,1095014
20080218,20397,20588,20110,20110,1046363
20080219,20541,20732,20301,20493,1748932
20080220,20301,20349,19727,19918,889590
20080221,20253,20301,19583,19822,1348321
20080222,19487,19487,19152,19296,1332931
20080225,19535,19727,19296,19391,885417
20080226,19727,20062,19535,19535,1209521
20080227,19966,20445,19727,20301,1277973
20080228,20301,21211,20014,21067,2100086
20080229,20876,21211,20732,20924,849493
20080303,20397,20397,20014,20253,596083
20080304,20445,20445,20014,20110,449243
20080305,20301,20349,19487,19822,983495
20080306,19918,20397,19631,20014,817418
20080307,19535,19870,19344,19631,884206
20080310,19200,19583,19008,19248,969194
20080311,19200,19870,19056,19774,1067302
20080312,20588,20588,20062,20110,996642
20080313,20301,20349,19583,19583,901783
20080314,19966,20014,18625,19104,1367878
20080317,18721,18960,17859,18530,1520039
20080318,18530,18817,18386,18721,622023
20080319,19344,19487,19008,19008,529315
20080320,18721,19296,18721,19104,630531
20080321,19631,20301,19583,20157,1289751
20080324,20349,20924,20110,20780,1449273
20080325,20971,21067,20493,20924,930102
20080326,20828,21067,20684,20971,609896
20080327,20828,20971,20684,20732,825685
20080328,20014,20541,19774,20301,1884621
20080331,20301,20397,19679,20110,1077722
20080401,20349,21163,20014,20876,2395058
20080402,21546,21929,21354,21546,2025746
20080403,21402,21977,21259,21977,1641652
20080404,21642,22504,21354,21929,1982850
20080407,22025,22073,21402,21402,1171548
20080408,21211,21259,20301,20349,1670444
20080410,20157,20636,19918,20445,1531396
20080411,20445,20684,20110,20493,1534010
20080414,20014,20157,19631,19918,1349350
20080415,20062,21067,20014,20636,1694107
20080416,21211,21259,20828,20876,1071321
20080417,21163,21307,20828,20876,1014983
20080418,21163,21163,20397,20636,848542
20080421,21019,21546,20876,21402,1215624
20080422,21354,21690,21115,21211,967381
20080423,21259,21498,21115,21163,826053
20080424,21211,21881,20780,21163,1366513
20080425,21450,21785,21402,21738,1147937
20080428,21929,22216,21163,21259,1778271
20080429,21354,21354,20541,20876,1573825
20080430,20876,20971,20541,20684,1625987
20080502,21115,21163,20876,21067,1388420
20080506,21307,21498,21115,21498,1034318
20080507,21642,21977,21354,21354,1422518
20080508,21259,22025,21259,21977,1288710
20080509,22121,22168,21594,21881,1050314
20080513,22025,22073,21307,21929,850860
20080514,21738,21833,20636,20876,1369329
20080515,20924,21259,20493,21067,1349146
20080516,21450,21785,21354,21354,1052204
20080519,21785,22408,21738,22408,2380085
20080520,22456,22551,21929,22456,954502
20080521,21881,22121,21307,21833,1104918
20080522,21259,21354,20780,20971,1182295
20080523,21163,21738,20828,21594,968019
20080526,21354,21546,20971,21307,693084
20080527,21211,21498,20828,21067,541034
20080528,21259,21259,20301,20732,1041925
20080529,20588,20924,20397,20588,818189
20080530,20780,21115,20636,20924,1682069
20080602,20924,21259,20541,20876,654698
20080603,20684,20732,19966,20397,1960607
20080604,20349,20397,19966,20253,901553
20080605,20157,20397,19774,19966,1146549
20080609,19296,19774,19296,19774,886961
20080610,19822,20062,19296,19439,676543
20080611,19631,19679,19200,19391,1556308
20080612,19056,19535,19056,19152,842978
20080613,19296,19774,19104,19583,585986
20080616,19822,19822,19344,19583,507789
20080617,19679,19727,19248,19344,318981
20080618,19248,19583,19200,19439,381289
20080619,19248,19344,19008,19344,612974
20080620,19535,19631,19104,19583,799374
20080623,19200,19344,19056,19152,575741
20080624,19104,19104,18625,18913,653946
20080625,18769,19104,18673,19008,711471
20080626,19008,19296,18865,18865,647060
20080627,18242,18530,18242,18482,799379
20080630,18338,18769,17859,18194,1011395
20080701,18338,18625,17763,18242,649372
20080702,18338,18338,17763,17859,777868
20080703,17572,18386,17380,18290,1146324
20080704,18099,18242,17524,17811,622528
20080707,17476,17811,17380,17668,523800
20080708,17524,17668,16902,17237,894960
20080709,17668,17859,17476,17476,762753
20080710,17237,18003,17189,18003,1114852
20080711,17811,18769,17620,18434,1320097
20080714,18147,18913,18003,18434,1003344
20080715,18194,18482,17476,17716,932381
20080716,17716,18099,17476,17524,693013
20080717,18051,18625,17811,18099,1196012
20080718,18386,18625,18003,18434,935338
20080721,18434,19822,18434,19535,1751545
20080722,19344,20110,19200,19583,841577
20080723,20110,20541,20062,20253,1180637
20080724,20253,20349,19727,20349,690614
20080725,19822,20014,19152,19344,1033596
20080728,19439,19535,18865,19056,867019
20080729,18625,18721,18194,18577,737677
20080730,19008,19296,18865,18865,587576
20080731,19152,19439,19008,19391,791201
20080801,19152,19487,19104,19439,560959
20080804,19439,19487,18099,18865,1115286
20080805,18769,19056,18434,18769,469667
20080806,19248,19583,19152,19583,1174022
20080807,19487,19583,19248,19487,385445
20080808,19200,19966,19152,19727,682986
20080811,20205,20828,20157,20588,1921471
20080812,20684,20924,20205,20493,1165246
20080813,20253,20493,20014,20301,620137
20080814,20014,20732,20014,20541,646605
20080818,20780,20876,20397,20588,459600
20080819,20445,20493,19727,20014,1033141
20080820,19727,19966,19487,19583,619125
20080821,19631,19679,18913,19439,712042
20080822,19439,19439,18386,18913,947459
20080825,18913,19152,18051,18530,1233328
20080826,18147,18194,17811,17859,914059
20080827,17811,18290,17524,18147,543740
20080828,18482,18865,17811,17907,1434917
20080829,18290,18625,17907,18290,989897
20080901,17955,18386,17572,17572,855852
20080902,17668,18338,17237,17668,1173949
20080903,17716,18817,17428,18530,1396212
20080904,18290,19008,18194,18721,769812
20080905,18194,18482,17955,18099,630833
20080908,18865,20588,18817,20062,3023680
20080909,19966,20253,19535,20157,949055
20080910,19822,21067,19774,20684,1661156
20080911,20588,20684,20110,20205,941374
20080912,20588,20971,20349,20636,676477
20080916,17763,19056,17763,18865,4141022
20080917,19535,20062,19056,19296,3665626
20080918,18625,18960,17333,18482,2852005
20080919,19439,19487,18099,18099,2288493
20080922,18386,18625,17476,18194,1823659
20080923,17811,18913,17763,18577,1162820
20080924,18577,19104,18338,18960,1027802
20080925,18769,19631,18386,19152,1156628
