날짜,시가,고가,저가,현재가,거래량
20080102,7304,7304,6554,6554,5185
20080103,6554,6665,6498,6498,2628
20080104,6484,6748,6401,6554,900
20080107,6373,6581,6373,6429,15340
20080108,6387,6498,6387,6457,2376
20080109,6401,6526,6387,6470,10334
20080110,6443,6484,6443,6470,14944
20080111,6554,6568,6429,6512,612
20080114,6220,6443,6220,6401,7634
20080115,6623,6623,6220,6387,3528
20080116,6276,6387,6248,6248,1008
20080117,6290,6387,6248,6290,13827
20080118,6262,6318,6082,6304,6481
20080121,6318,6318,6165,6304,2628
20080122,6123,6470,5998,6304,106805
20080123,6109,6387,6109,6304,82283
20080124,6220,6929,6220,6929,14151
20080125,6929,7123,6470,7123,40583
20080128,6595,7123,6526,6526,20471
20080129,6554,6665,6540,6665,504
20080130,6720,6720,6498,6526,3935
20080131,6776,6845,6540,6540,14079
20080201,6540,6540,6470,6470,684
20080204,6470,6720,6387,6470,5149
20080205,6554,6554,6415,6554,108
20080211,6540,6540,6401,6540,288
20080212,6290,6651,6290,6637,6841
20080213,6581,6637,6415,6637,1512
20080214,6637,6804,6637,6804,5545
20080215,6804,6804,6512,6748,2340
20080218,6595,6804,6554,6804,3096
20080219,6790,6790,6790,6790,0
20080220,6790,6790,6526,6637,1343
20080221,6637,6679,6554,6665,25027
20080222,6512,6790,6484,6790,6265
20080225,6790,6915,6623,6915,19301
20080226,6776,6845,6693,6845,7418
20080227,6679,6804,6637,6804,14764
20080228,6693,6748,6609,6748,9722
20080229,6720,6720,6609,6720,1404
20080303,6637,6679,6637,6679,2448
20080304,6415,6679,6415,6679,5329
20080305,6526,6679,6526,6679,12315
20080306,6679,6679,6595,6679,8858
20080307,6693,6693,6581,6665,2556
20080310,6679,6679,6637,6637,792
20080311,6637,6651,6401,6637,12603
20080312,6665,6665,6457,6637,24198
20080313,6512,6554,6457,6457,936
20080314,6457,6568,6457,6568,792
20080317,6568,6568,6387,6387,1296
20080318,6387,6387,6248,6345,1224
20080319,6345,6526,6332,6526,5113
20080320,6359,6526,6359,6526,4501
20080321,6526,6568,6526,6568,5437
20080324,6429,6623,6429,6623,4429
20080325,6526,6651,6526,6651,12243
20080326,6540,6609,6526,6554,8066
20080327,6540,6540,6526,6526,3269
20080328,6359,6526,6359,6387,4069
20080331,6401,6526,6401,6526,3528
20080401,6623,6623,6609,6623,216
20080402,6512,6665,6512,6665,11523
20080403,6665,6665,6665,6665,360
20080404,6665,6665,6526,6623,1044
20080407,6651,6665,6470,6665,11919
20080408,6651,6665,6651,6665,7742
20080410,6581,6720,6581,6720,2592
20080411,6665,6720,6665,6720,1872
20080414,6665,6720,6665,6720,3961
20080415,6665,6665,6665,6665,216
20080416,6387,6581,6290,6345,58876
20080417,6470,6568,6332,6554,1014584
20080418,6581,6609,6581,6609,396
20080421,6429,6790,6429,6720,10983
20080422,6734,6734,6554,6623,1512
20080423,6609,6609,6387,6512,2808
20080424,6387,6387,6332,6387,8786
20080425,6387,6387,6234,6248,12387
20080428,6304,6387,6248,6248,1728
20080429,6248,6248,6137,6248,4393
20080430,6248,6359,6109,6359,54123
20080502,6332,6332,6193,6318,22146
20080506,6401,6401,6207,6373,15520
20080507,6248,6345,6207,6318,9434
20080508,6332,6332,6332,6332,36
20080509,6248,6332,6248,6332,144
20080513,6332,6332,6220,6290,4069
20080514,6207,6276,6193,6193,3637
20080515,6137,6734,6040,6734,22578
20080516,6387,6665,6373,6665,27187
20080519,6665,6720,6581,6651,53583
20080520,6706,6720,6581,6651,24810
20080521,6540,6637,6470,6540,17861
20080522,6609,6804,6540,6665,83655
20080523,6762,6776,6623,6776,65574
20080526,6693,6693,6693,6693,1080
20080527,6665,6790,6665,6790,900
20080528,6679,6693,6457,6665,30392
20080529,6665,6665,6512,6540,51638
20080530,6540,6540,6429,6540,11145
20080602,6429,6595,6429,6540,20237
20080603,6470,6540,6345,6345,39196
20080604,6512,6512,6207,6443,6301
20080605,6387,6484,6248,6387,29348
20080609,6193,6415,6193,6387,69431
20080610,6276,6290,6262,6276,41019
20080611,6207,6290,6193,6276,55819
20080612,6193,6193,6193,6193,756
20080613,6359,6359,5846,5846,65487
20080616,6096,6318,6054,6248,32380
20080617,6318,6470,6220,6470,30284
20080618,6470,6484,6387,6484,2628
20080619,6498,6498,6498,6498,399
20080620,6484,6526,6429,6429,2581
20080623,6457,6526,6457,6498,2268
20080624,6526,6623,6498,6498,16132
20080625,6415,6554,6415,6554,6013
20080626,6526,6581,6457,6581,9110
20080627,6262,6554,6262,6526,9794
20080630,6734,6734,6665,6720,6661
20080701,6706,6720,6540,6540,13071
20080702,6276,6595,6276,6554,3997
20080703,6554,6554,6262,6387,5113
20080704,6581,6581,6304,6304,2196
20080707,6304,6415,6304,6415,576
20080708,6290,6415,6290,6415,432
20080709,6290,6415,6193,6387,11379
20080710,6415,6415,6137,6387,20021
20080711,6248,6373,6137,6248,25567
20080714,6248,6290,6151,6276,792
20080715,6276,6276,6054,6082,3168
20080716,6193,6318,6109,6220,666
20080717,6220,6345,6207,6207,504
20080718,6318,6318,6054,6276,9470
20080721,6165,6359,6165,6359,6013
20080722,6248,6359,6165,6165,10558
20080723,6276,6332,6248,6304,3024
20080724,6359,6359,6109,6318,38566
20080725,6304,6359,6248,6359,2700
20080728,6248,6318,6220,6304,4861
20080729,6276,6276,6276,6276,36
20080730,6193,6304,6151,6151,9074
20080731,6193,6359,6193,6332,10010
20080801,6387,6387,6387,6387,3132
20080804,6220,6332,6220,6220,1008
20080805,6220,6304,6040,6193,33057
20080806,6262,6262,6109,6193,12927
20080807,6179,6207,6096,6096,6924
20080808,6220,6304,6096,6290,20813
20080811,6554,6554,6304,6470,9722
20080812,6581,6651,6512,6637,5005
20080813,6637,6637,6637,6637,36
20080814,6623,6637,6484,6595,8822
20080818,6873,6873,6512,6581,6265
20080819,6581,6623,6443,6498,3132
20080820,6470,6568,6401,6498,9578
20080821,6498,6498,6401,6401,4645
20080822,6220,6401,6220,6401,9470
20080825,6276,6470,6276,6470,7886
20080826,6415,6526,6415,6526,5005
20080827,6387,6470,6387,6470,252
20080828,6332,6401,6220,6220,6867
20080829,6248,6359,6207,6304,1800
20080901,6248,6387,6109,6248,8750
20080902,6137,6220,6109,6137,4465
20080903,6373,6373,5693,5721,219085
20080904,5721,6012,5554,5971,8606
20080905,5971,5971,5971,5971,2196
20080908,6109,6332,6109,6332,7057
20080909,6137,6359,6137,6276,2916
20080910,6276,6276,6276,6276,72
20080911,6304,6304,6304,6304,36
20080912,6304,6304,6304,6304,0
20080916,6109,6165,6096,6109,684
20080917,6040,6373,6040,6373,396
20080918,6040,6345,5998,6026,74292
20080919,6304,6304,5998,6207,8642
20080922,6165,6332,6082,6332,648
20080923,6193,6318,6151,6318,720
20080924,6207,6359,6179,6359,3276
20080925,6179,6332,6179,6318,756
20080926,6387,6387,6373,6373,72
20080929,6207,6373,6207,6373,3096
20080930,6373,6373,6373,6373,13683
20081001,6276,6332,6193,6332,1296
20081002,6220,6248,6179,6248,648
