날짜,시가,고가,저가,현재가,거래량
20080102,574000,582000,560000,562000,212207
20080103,551000,560000,548000,556000,284750
20080104,554000,564000,547000,564000,198494
20080107,543000,550000,541000,546000,282360
20080108,539000,553000,535000,540000,349522
20080109,530000,543000,526000,543000,330376
20080110,540000,560000,538000,543000,308255
20080111,559000,561000,533000,533000,382182
20080114,526000,551000,526000,537000,312321
20080115,538000,558000,538000,550000,376082
20080116,532000,539000,528000,530000,416369
20080117,522000,525000,512000,516000,579715
20080118,498000,498000,484000,495000,604872
20080121,490000,500000,486500,489500,332151
20080122,470000,478500,465000,471000,504904
20080123,483000,496000,479000,491000,432465
20080124,495000,503000,484500,488000,387035
20080125,499000,510000,497500,510000,293684
20080128,503000,503000,487000,490000,213347
20080129,499500,510000,496500,502000,269395
20080130,510000,520000,489000,497000,351896
20080131,490000,519000,487000,509000,390770
20080201,513000,514000,495000,511000,296372
20080204,518000,538000,516000,531000,314238
20080205,523000,525000,509000,513000,297894
20080211,491500,493500,488500,489500,312040
20080212,490500,506000,487500,496000,240739
20080213,504000,506000,492500,495000,156204
20080214,500000,518000,500000,517000,335605
20080215,510000,517000,504000,516000,212924
20080218,518000,526000,506000,515000,234231
20080219,526000,528000,514000,520000,242869
20080220,514000,518000,500000,507000,272219
20080221,510000,516000,499500,507000,245723
20080222,499000,500000,488500,493000,284912
20080225,495000,515000,494000,514000,294661
20080226,522000,540000,521000,535000,574421
20080227,546000,550000,542000,543000,302775
20080228,546000,548000,535000,544000,170644
20080229,535000,538000,528000,530000,222676
20080303,514000,517000,507000,513000,320911
20080304,513000,519000,509000,516000,197031
20080305,514000,516000,508000,513000,228713
20080306,520000,530000,516000,519000,335189
20080307,503000,509000,500000,509000,288004
20080310,496000,505000,495000,503000,263482
20080311,484500,484500,477500,482500,609183
20080312,497000,497000,487500,491500,297259
20080313,485000,490000,459000,461000,574085
20080314,466000,472000,439500,442000,628762
20080317,442000,444000,417000,437000,539306
20080318,445000,450500,436000,450500,273301
20080319,467500,468000,459000,468000,273088
20080320,449000,454500,448500,451000,440340
20080321,455500,458000,448000,458000,398207
20080324,461500,470500,458000,464000,343605
20080325,470500,482000,466000,481000,487348
20080326,478000,488000,475500,483000,383069
20080327,478000,487000,466000,473000,327698
20080328,474500,477500,465500,473500,264763
20080331,473000,476000,464000,476000,249579
20080401,470500,476000,466500,468000,345291
20080402,476000,482500,474000,478500,260690
20080403,485000,511000,480500,508000,604309
20080404,515000,521000,511000,517000,366887
20080407,519000,522000,511000,515000,368163
20080408,503000,505000,496000,499000,483901
20080410,487500,499000,481500,488000,552201
20080411,487000,496500,486000,489500,406237
20080414,475000,475000,457500,457500,743606
20080415,455000,457000,445000,452000,531426
20080416,458000,460000,452000,454000,378745
20080417,456000,463500,449500,450000,523261
20080418,447500,460000,445000,452000,539658
20080421,464000,469000,461000,465500,393414
20080422,465500,472000,464000,467000,270130
20080423,467000,489500,466500,488500,700241
20080424,498500,498500,490000,494000,459721
