날짜,시가,고가,저가,현재가,거래량
20080102,77800,78400,74700,74700,459079
20080103,74000,75800,73100,75300,224753
20080104,75400,76700,73500,76000,241326
20080107,74600,76400,74200,76100,138327
20080108,76600,77000,75200,76000,127007
20080109,75000,75600,74500,74800,211640
20080110,74600,75000,73200,73200,312287
20080111,73000,75500,70300,70300,302611
20080114,69500,71000,69500,70300,271507
20080115,71000,71300,69000,70200,209234
20080116,69000,69600,63400,63400,726070
20080117,64900,67500,64000,66900,430151
20080118,66100,66900,64500,66900,294884
20080121,66900,66900,65000,65000,400167
20080122,64000,64100,62600,63300,371152
20080123,64800,68300,64500,65500,438819
20080124,66700,67900,65500,65600,179064
20080125,66000,69500,66000,68800,256526
20080128,67900,68600,66300,66600,172214
20080129,67200,68800,65200,66200,268168
20080130,67000,67000,64600,64800,330291
20080131,64800,66800,64100,65500,246894
20080201,66000,66400,64600,66200,186143
20080204,66800,68800,66800,67300,241631
20080205,67700,68400,65700,65900,272354
20080211,65000,65000,63500,64200,227647
20080212,63700,64000,63200,63200,238667
20080213,63400,63900,62500,62600,207383
20080214,63000,64200,63000,64000,291486
20080215,63700,63700,62900,63600,210577
20080218,64100,65100,64000,64800,210784
20080219,65600,68300,65300,67400,384329
20080220,68000,68000,65100,66100,290735
20080221,66500,67600,66200,67600,233519
20080222,66800,66900,65300,65500,211773
20080225,66100,66700,65600,65900,137319
20080226,66300,66500,64800,66100,240437
20080227,66400,67400,65400,65600,222029
20080228,66000,67100,65100,67100,224852
20080229,66100,68200,65800,67100,357824
20080303,66000,67400,65400,67100,255313
20080304,66900,67500,65800,65800,163124
20080305,65600,65900,63700,64400,417507
20080306,64600,64900,63800,64000,249671
20080307,63300,63700,63000,63600,156703
20080310,62700,63400,62600,62800,188556
20080311,63000,63500,62700,63200,176987
20080312,64100,65900,64000,64900,343936
20080313,64200,64700,62600,62600,317838
20080314,63000,63500,61000,61100,261894
20080317,59600,61300,58300,60900,302797
20080318,61400,61700,60100,61200,128344
20080319,61900,62600,61200,61700,144846
20080320,61400,61800,60100,61400,127738
20080321,61800,62100,61400,61800,75641
20080324,62400,63000,61900,62400,85995
20080325,62700,62800,58400,58400,715204
20080326,57200,59900,57100,59300,396449
20080327,59800,61500,59400,61000,263859
20080328,60600,63200,60500,62900,308243
20080331,63000,63200,62200,63100,199632
20080401,62500,63500,62400,63000,183563
20080402,63400,64500,63400,64500,184528
20080403,64500,64700,63700,64100,213811
20080404,64000,65100,63400,64900,170519
20080407,65000,65100,63600,64100,175351
20080408,64200,65300,63200,63800,168017
20080410,64000,64300,63000,64300,183883
20080411,64400,64700,63700,64300,84383
20080414,63900,65000,63400,65000,164646
20080415,65100,66800,64400,66700,330351
20080416,67000,68500,66500,68400,358669
20080417,69200,71900,69200,71800,1059503
20080418,71800,72300,70800,71600,266791
20080421,71800,71900,70300,71000,158886
20080422,70200,70400,67000,67400,495836
20080423,67900,70400,67400,68900,230041
20080424,69000,69000,67700,69000,189977
20080425,68400,70000,68400,69900,100251
20080428,69300,70000,68000,68800,149244
20080429,69000,69000,67300,67900,267677
20080430,68300,68300,66900,67700,223458
20080502,67800,68800,67700,68500,142412
20080506,69500,69500,67900,68400,232091
20080507,68400,69000,67100,68500,231608
20080508,68500,68500,67100,68400,213159
20080509,68600,68700,66400,68700,315560
20080513,68700,69200,67500,68800,240831
20080514,69200,69200,67700,67700,168020
20080515,67300,68800,67300,68200,138699
20080516,68200,69500,68200,68900,156917
20080519,69600,71500,69300,70900,422494
20080520,71700,72600,70800,72300,279684
20080521,72500,72800,70600,71000,234914
20080522,71400,71400,69600,71200,201943
20080523,70400,72300,70100,72200,185327
20080526,71000,72400,71000,71900,127504
20080527,72000,75300,72000,75100,712869
20080528,75500,75500,73600,74000,462872
20080529,74100,74800,73300,73800,200286
20080530,73800,73900,72100,73900,175512
20080602,73500,73900,72100,73700,217097
20080603,72500,73300,71200,71800,233264
20080604,71400,72200,70900,71300,215322
20080605,70800,71300,69700,70200,278399
20080609,69000,70600,69000,70000,199761
20080610,70400,71900,69800,71900,271913
20080611,71500,73400,71400,72100,257321
20080612,72000,74000,71700,74000,686530
20080613,74100,74100,72000,72000,244417
20080616,71600,72500,70900,72500,215803
20080617,72500,72600,71200,72400,139941
20080618,71200,72500,71200,72000,120761
20080619,72000,72000,70600,70600,163521
20080620,70600,71000,67000,67900,505739
20080623,67000,68000,66700,67300,258214
20080624,67400,68900,67200,68200,165418
20080625,69100,69900,68500,68800,210269
20080626,68500,69900,68500,69700,213738
20080627,65500,68400,65500,67500,167626
20080630,68300,68400,66400,67200,188359
20080701,66200,67900,66100,67400,140665
20080702,68000,68200,64300,65000,383190
20080703,63700,66200,63700,64200,377114
20080704,63500,64000,61900,63000,283393
20080707,62100,64800,61800,64000,181992
20080708,64700,64700,63000,63600,237144
20080709,63700,63900,62100,62400,336473
20080710,63900,63900,62000,63100,330342
20080711,62500,64900,61600,64000,291268
20080714,64000,64400,62800,63600,113190
20080715,63700,63900,62500,62700,185764
20080716,63200,63700,62600,63200,254638
20080717,63600,63800,61900,62500,365629
20080718,63000,63600,62000,62300,227347
20080721,63000,66300,63000,65700,385269
20080722,66200,66400,65500,66200,108836
20080723,67400,68100,66500,67000,227624
20080724,67000,68200,67000,67600,182198
20080725,67600,68400,65600,66500,355430
20080728,67400,68000,66500,67800,198195
20080729,68500,68500,67000,67400,341899
20080730,67800,68900,66800,67500,439631
20080731,68500,70000,68300,68900,357270
20080801,69300,69300,66700,67000,235572
20080804,67000,67300,65600,66900,186607
20080805,67300,67700,65200,65600,366467
20080806,66000,66600,65000,65400,256954
20080807,65600,65800,63700,64500,267150
20080808,64500,64600,63200,63900,205155
20080811,64000,64500,63600,63700,260657
20080812,63700,63800,61600,62400,507816
20080813,62300,62300,61200,61500,401526
20080814,61500,62500,61400,62300,383963
20080818,62700,62900,62000,62600,183628
20080819,62700,62700,61600,62500,277571
20080820,62600,62800,61700,62500,255033
20080821,62800,63200,62200,62500,299955
20080822,62800,63600,62500,62900,349192
20080825,62800,64100,62700,63600,297840
20080826,63500,65700,63000,63900,356321
20080827,64700,66100,64000,65500,385698
20080828,66200,66400,64300,64700,339399
20080829,64800,66600,64800,64900,337955
20080901,66100,66300,65000,65700,563203
20080902,65700,66500,63800,65700,425386
20080903,65500,65800,64100,65300,219325
20080904,64900,65400,63800,65000,312996
20080905,64300,65000,63600,64300,231596
20080908,64000,65800,63800,65100,352186
20080909,65500,65600,64600,65100,299223
20080910,64500,65100,63300,64100,310813
20080911,64400,64500,62600,62800,543956
20080912,63600,65500,63600,64900,472485
20080916,62000,65500,60500,62500,878345
20080917,63300,64200,62600,63900,627112
20080918,62800,63700,62200,63300,293345
20080919,64400,66400,64000,65700,497740
20080922,66400,67200,65700,67000,285185
20080923,66200,68300,66200,67800,318333
20080924,67500,70000,67400,70000,399035
20080925,70000,71500,68800,71500,425807
20080926,71500,72200,68100,69700,499299
20080929,68700,70900,68000,70000,534347
20080930,68000,69700,67100,68600,347682
20081001,68200,70000,67400,69300,314180
20081002,69900,71000,69700,69800,280791
20081006,69200,69200,67300,68700,242811
20081007,68800,69900,67600,68400,273811
20081008,67500,67600,65100,66400,264812
20081009,67000,67500,63800,65500,431535
20081010,63700,63800,59600,63100,429591
20081013,64000,66800,64000,65100,492336
20081014,68100,68300,66200,66600,340406
20081015,66100,67200,65300,67000,283304
20081016,65600,67500,63600,64600,376865
20081017,65500,65900,63000,65700,470650
20081020,66000,67100,64500,65400,388725
20081021,65900,66400,64700,66400,308539
20081022,65000,66600,61000,63500,389141
20081023,60100,61800,56300,59500,456869
20081024,60800,60800,52500,52500,484547
20081027,52000,55000,49000,55000,580075
20081028,53600,59000,51000,57700,510084
20081029,59700,62200,53700,54300,550574
20081030,58000,62300,56400,60400,574422
20081031,60400,64600,57800,64600,592572
20081103,63400,66200,62700,65100,413209
20081104,65200,66900,64300,66800,371027
20081105,67100,67900,66000,67900,367406
20081106,66400,68100,63700,64400,351497
20081107,62200,65000,60000,63600,446996
20081110,64700,67200,63600,67200,350795
20081111,67000,67600,65600,67500,259697
20081112,65600,69800,65600,66500,356289
20081113,64100,65400,63000,63500,366336
20081114,65100,65600,62600,63000,331218
20081117,63100,64100,60700,62500,336750
20081118,61000,62900,60700,60800,323879
20081119,61100,61400,58000,59000,404907
20081120,57400,58000,56200,57000,271975
20081121,57300,59900,55600,59000,274350
20081124,59300,60500,57200,60000,298583
20081125,61700,62900,60100,61500,368824
20081126,60500,63000,60500,62600,275331
20081127,63300,65300,62900,63100,444260
20081128,63600,65900,63500,65900,305506
20081201,65100,66200,63600,64900,261520
20081202,62300,64800,62200,64000,175393
20081203,64000,64200,61800,62500,388410
20081204,63000,63000,60800,62000,173587
20081205,62500,63500,61100,61100,250936
20081208,61400,66000,60500,64000,388255
20081209,64600,65000,62700,63600,344291
20081210,64000,65700,63600,65100,320309
20081211,65000,66800,64200,66500,526997
20081212,65500,66000,62000,64500,461731
20081215,64700,65900,64300,64300,370756
20081216,64300,65500,63200,64300,287961
20081217,65100,65300,64100,65100,255075
20081218,65500,67100,65100,67000,334803
20081219,67200,68800,65700,67000,399102
20081222,67200,68300,66900,67500,215816
20081223,68000,68000,66100,67400,187755
20081224,67400,67800,65900,65900,390159
20081226,65900,65900,63900,65000,375785
20081229,61600,62500,60300,61700,335992
20081230,62100,63500,61000,61500,310832
20090102,61500,62600,60300,62600,281952
20090105,63200,63200,61400,62300,334177
20090106,63000,63500,62100,62500,387216
20090107,62500,63300,61200,63100,400916
20090108,62900,63000,61300,61500,359140
20090109,61400,62100,59800,60400,473643
20090112,59300,59800,58700,59500,302262
20090113,58900,59600,58000,59300,256574
20090114,59300,59600,58200,59100,313802
20090115,58100,58400,56700,57900,399255
20090116,57100,58800,57100,58800,291170
20090119,58800,59400,58200,58200,256832
20090120,57500,58200,56300,57500,236763
20090121,56200,58200,55700,57000,267167
20090122,57500,60000,56800,59000,335396
20090123,58100,58900,55800,58900,306600
20090128,58900,59900,58800,59600,344219
20090129,59000,60000,58800,59900,209700
