날짜,시가,고가,저가,현재가,거래량
20080102,27950,27950,26450,27000,302653
20080103,26450,26600,26000,26300,323066
20080104,26200,26200,25300,25700,469229
20080107,24850,25400,24700,24700,326977
20080108,24800,25900,24800,25500,256472
20080109,24950,26600,24850,26600,289134
20080110,26600,26600,25450,25600,386875
20080111,25900,26100,23850,23950,389772
20080114,24200,24400,23150,23650,450646
20080115,23900,24250,22550,23250,334903
20080116,22750,23600,22600,22800,180225
20080117,23750,24200,23000,23900,407533
20080118,23400,25000,23300,25000,246210
20080121,24950,24950,23500,23700,214915
20080122,22700,23400,21100,22200,441531
20080123,23100,23300,21200,21250,561423
20080124,21900,22450,21750,22000,481620
20080125,22450,23200,22300,23200,435189
20080128,22900,22950,21000,21000,432593
20080129,21700,22000,20450,20450,588768
20080130,20800,20850,18300,18500,900483
20080131,18050,19350,17800,19300,936845
20080201,19500,19750,18650,18950,536499
20080204,19300,21000,19300,20750,733779
20080205,20400,21150,20200,21000,395839
20080211,20150,20300,19700,20050,312245
20080212,20500,21200,20350,20800,390238
20080213,21250,21600,20950,21100,521797
20080214,21500,22500,21500,22500,457576
20080215,22000,22850,21800,22750,300435
20080218,22650,22900,21900,22050,320759
20080219,22400,23150,22400,22850,368494
20080220,22600,22850,21900,21900,277174
20080221,22200,22600,21950,21950,210044
20080222,21950,21950,21450,21650,144571
20080225,22300,23550,22100,23200,417676
20080226,23500,23900,22800,23250,464087
20080227,23600,24200,23300,24000,382138
20080228,24000,24100,23600,23750,300178
20080229,23400,24150,23350,23750,271850
20080303,23000,23000,22500,22750,270972
20080304,23000,23050,22300,22800,220081
20080305,22800,23300,22600,23100,260805
20080306,23300,23800,22700,23600,271353
20080307,22950,23250,22250,22800,294304
20080310,22100,22350,20300,20300,640268
20080311,19850,20700,19850,20050,425701
20080312,20750,20800,19950,19950,488203
20080313,19700,20300,18650,18850,619828
20080314,19250,19600,18400,18650,368028
20080317,18350,18650,17600,18250,553334
20080318,18400,18850,18250,18800,434928
20080319,19400,19650,19050,19450,584990
20080320,18950,19750,18900,19650,256445
20080321,20100,20200,19650,19900,327042
20080324,20100,20400,19900,20050,310660
20080325,20400,20850,20000,20050,389956
20080326,20250,20450,19850,19950,249457
20080327,19800,19900,19350,19400,353240
20080328,19400,20500,19300,20500,593101
20080331,20750,21350,20500,20700,560169
20080401,20850,21200,20400,20600,438441
20080402,20900,20900,18950,19050,1887793
20080403,19100,19750,19100,19600,660580
20080404,19650,20300,19450,20250,604915
20080407,20200,20800,20050,20700,571051
