날짜,시가,고가,저가,현재가,거래량
20080102,69149,69149,67926,68114,3828
20080103,67455,68678,67267,68302,5455
20080104,68302,68302,67738,68302,2342
20080107,68208,68302,66703,67926,4908
20080108,67832,67832,67267,67738,2523
20080109,67738,67738,66797,67455,11669
20080110,67738,67738,66797,67173,17833
20080111,68584,68961,67738,67738,7416
20080114,68584,68584,66326,67738,10075
20080115,67738,68867,67267,67738,18245
20080116,67738,67738,65950,66891,12867
20080117,66326,68114,65668,67738,33407
20080118,67644,68490,66138,68490,8183
20080121,68678,68678,66326,68396,10452
20080122,64068,67738,64068,67549,9806
20080123,68490,68490,65386,67549,8083
20080124,65856,72253,65856,71877,10140
20080125,71501,71501,68114,71219,5471
20080128,70748,70748,68208,68208,1498
20080129,68208,69055,67267,68396,2091
20080130,69149,69149,67267,68490,2690
20080131,65480,71313,65480,70560,7586
20080201,70560,70560,69619,70560,1132
20080204,70560,70560,68867,69807,1084
20080205,69055,70372,69055,69996,615
20080211,66985,69525,66985,68490,1694
20080212,67738,69149,67644,67644,1252
20080213,66985,68584,66891,67267,1087
20080214,67267,68020,67267,67832,1038
20080215,67832,68114,67079,67644,685
20080218,67644,68396,66797,67079,1270
20080219,67738,67738,66891,67455,588
20080220,68678,68678,66797,67361,750
20080221,67361,68208,67361,67926,689
20080222,70466,70466,66797,67926,1379
20080225,67173,67738,67079,67173,1623
20080226,67549,68490,66703,67267,11567
20080227,67361,69713,67267,69619,12430
20080228,69525,73476,68772,71219,6532
20080229,72065,72065,70184,71501,2365
20080303,71030,71030,69431,69619,873
20080304,69619,70560,68396,70560,3371
20080305,69337,71219,69337,71219,1207
20080306,71971,71971,69901,71971,2587
20080307,69901,71501,67738,70842,4205
20080310,68678,69149,67644,67644,3946
20080311,66420,69337,66420,69337,3773
20080312,69337,71971,64257,65668,23453
20080313,65009,66138,63974,65762,5017
20080314,66703,67549,62469,65292,9011
20080317,64351,65386,61152,64351,10952
20080318,65009,65009,62093,62093,2404
20080319,63692,63692,61434,62657,3912
20080320,61622,62657,60870,62657,5734
20080321,63504,63504,61246,63128,10989
20080324,61811,63222,61152,61152,8948
20080325,61905,62093,60682,61152,5853
20080326,61905,61999,60305,61811,4108
20080327,61811,62940,60776,62940,4579
20080328,62751,63786,62093,63598,3123
20080331,63410,64257,61622,64163,15701
20080401,64163,64727,63128,64163,1140
20080402,64445,64445,63128,64163,2923
20080403,64163,64163,63316,63974,3289
20080404,64163,64163,62845,63504,4541
20080407,63504,63598,62563,62563,3784
20080408,62375,63128,62281,63034,3447
20080410,63410,63410,61905,61999,3688
20080411,61905,62375,61152,61434,4698
20080414,60588,60870,59364,60117,4857
20080415,59364,60211,59082,60211,5372
20080416,60211,61999,60211,60870,6882
20080417,62375,62375,60023,60588,10060
20080418,60117,66420,60117,61622,4215
20080421,62469,63222,61622,63222,4921
20080422,63316,63316,61905,61905,3774
20080423,61999,62093,60870,61152,9139
20080424,61528,61528,59741,61152,15819
20080425,61152,61152,59835,60117,10444
20080428,60588,60964,59647,60117,12406
20080429,60305,60305,58047,59082,13989
20080430,58424,60211,58424,60211,8559
20080502,60211,60211,59082,59459,12390
20080506,59553,60211,58988,60117,13423
20080507,60211,60493,59270,59270,14993
20080508,58800,61434,58800,61152,7751
20080509,61152,62093,60399,61152,10747
20080513,61528,62375,60211,62375,9462
20080514,62845,62845,61622,62187,4937
20080515,61716,63128,61716,62751,9080
20080516,63880,64257,62563,64163,8941
20080519,64727,66138,64727,65950,9790
20080520,66138,66797,65668,65856,3133
20080521,65762,67173,63786,67173,6936
20080522,67079,69243,65950,69243,10302
20080523,69713,69713,67267,68020,6056
20080526,66891,69337,66797,69337,6810
20080527,70560,70560,68772,69337,25365
20080528,69525,69807,68208,69807,27243
20080529,70466,71219,69996,70936,8558
20080530,70936,72348,70936,72253,9640
20080602,72348,75264,72253,72253,17267
20080603,71030,73382,71030,71501,5121
20080604,71501,71971,70842,71595,8453
20080605,71124,73100,70560,73100,6851
20080609,71124,72912,71124,71971,4851
20080610,71971,72348,71501,71971,12781
20080611,71971,72442,70560,72442,4405
20080612,72348,72724,71030,72253,2604
20080613,72253,74323,70748,74323,17033
20080616,74323,74700,73382,74511,4036
20080617,73665,74700,71030,74700,9469
20080618,73194,74700,73194,74229,7482
20080619,74605,74605,72253,72253,3842
20080620,71124,72253,70936,71783,2327
20080623,70842,71407,69055,69149,2011
20080624,68772,70372,68020,69619,4548
20080625,69619,70560,68302,69619,1606
20080626,68396,70466,68396,69619,1564
20080627,67738,73100,67738,72912,35254
20080630,71219,75264,69901,74323,80999
20080701,73853,73853,72442,72442,4715
20080702,73382,73476,68208,70466,6982
20080703,71219,71219,66797,68678,7397
20080704,66985,68396,66985,68302,2434
20080707,68208,68302,65386,68302,4954
20080708,69996,69996,66797,68678,4272
20080709,71689,71689,68772,69996,3799
20080710,69713,71407,67738,70466,2509
20080711,72159,72536,69149,72442,7526
20080714,72442,74041,71219,71219,4048
20080715,71595,71689,69901,70466,2519
20080716,71501,71501,68772,70090,2303
20080717,71971,71971,68772,70090,2239
20080718,70560,70560,69149,70090,3577
20080721,71877,71877,69619,69996,3413
20080722,69901,69996,69243,69996,3426
20080723,69996,70090,67832,69807,6043
20080724,69713,69901,68396,69619,5879
20080725,68020,69525,67267,67267,4725
20080728,67738,69619,67738,68678,3524
20080729,69431,69619,68678,69619,3520
20080730,70090,70936,69901,70278,2932
20080731,71313,71313,66138,70278,5578
20080801,69149,69807,68396,69619,1396
20080804,68678,69619,68678,69619,735
20080805,67926,69337,67361,67549,3975
20080806,67549,70090,67267,68208,3529
20080807,69901,69901,67644,67832,2135
20080808,67079,68208,67079,67644,1394
20080811,67738,67738,67173,67173,1384
20080812,66609,67738,66609,67738,6399
20080813,67267,67738,66703,67173,1181
20080814,67361,68114,66420,66420,543
20080818,66515,67173,66232,66232,266
20080819,65103,66232,63692,65103,954
20080820,66703,66703,62563,65103,3305
20080821,63316,65574,63316,64445,5158
20080822,65668,70372,62751,69525,27324
20080825,69525,69525,66891,67549,1018
20080826,66797,66797,65856,65856,1052
20080827,65856,67738,65856,65950,4754
20080828,66326,67455,65009,65950,1099
20080829,67267,67267,65197,66044,2063
20080901,66420,66420,64163,65292,197
20080902,62281,65103,62281,62751,1174
20080903,62469,62845,60211,62751,1800
20080904,61811,62469,60682,62375,3242
20080905,60117,62845,60117,62751,4126
20080908,62751,67455,62563,62751,10008
20080909,62657,62845,61811,62751,4282
20080910,62093,63974,61905,63974,6653
20080911,62751,63974,61811,63692,11091
20080912,65574,65574,62093,62751,10816
20080916,59270,62657,57389,59553,7260
20080917,61622,61622,57859,60211,2151
20080918,60023,60117,57389,58236,1629
20080919,58518,60588,58518,59082,3221
20080922,59082,59741,58141,58988,3178
20080923,58988,59270,58236,59270,4719
20080924,58988,59270,58330,58988,4505
20080925,58988,58988,58141,58988,4820
20080926,58988,60211,58424,60211,100984
20080929,61528,62469,59647,60682,10110
20080930,58424,62375,57859,60211,15634
20081001,60211,60211,58612,58988,9540
20081002,58988,59364,58424,59270,11948
20081006,59270,59270,57201,57577,7802
20081007,57295,57295,55037,55789,4760
20081008,57295,57295,51744,53061,3669
20081009,47981,52591,47981,49862,3362
20081010,49674,50239,43371,49862,12197
20081013,48169,56448,48169,56354,4323
20081014,54849,56918,54849,56354,11389
20081015,53155,55507,53155,53720,3760
20081016,47228,50427,47040,47416,6281
20081017,49298,50709,45064,47887,8119
20081020,47134,49768,44218,49768,4996
20081021,50803,50803,48922,49392,1491
20081022,48922,48922,45488,46099,6187
20081023,45158,45158,39184,39184,33995
20081024,39325,39325,35374,38714,20478
20081027,38667,40925,34151,39514,9333
20081028,34810,45441,34810,45441,27196
20081029,50709,50709,38761,40313,20222
20081030,40596,44312,40596,44312,51931
20081031,44265,44312,41395,42712,34183
20081103,42571,43465,42477,42665,10607
20081104,43089,43183,42054,42853,9066
20081105,44218,44970,43136,44688,11678
20081106,43653,44970,42336,44594,6200
20081107,42336,46570,41395,45064,32650
20081110,46099,46099,43794,45064,4506
20081111,45158,45958,43841,43841,2582
20081112,42524,43747,42430,42900,2472
20081113,40078,44312,39984,44218,11096
20081114,45911,46005,43982,46005,7017
20081117,43841,45770,43841,44923,4538
20081118,44970,44970,43512,44688,4646
20081119,44641,44688,42712,43653,2792
20081120,41395,43277,40172,40172,1849
20081121,38196,44970,38196,41348,2379
20081124,41348,42336,39796,42148,829
