날짜,시가,고가,저가,현재가,거래량
20080102,22200,22400,21550,21600,266638
20080103,21600,22100,21500,21900,201298
20080104,21800,21950,21400,21650,217013
20080107,20800,21300,20800,21200,182479
20080108,21350,21800,21300,21350,172441
20080109,21000,21600,21000,21500,145076
20080110,21700,21900,21250,21600,168916
20080111,21600,21800,20650,20650,189314
20080114,20500,20800,20300,20300,151019
20080115,20350,20550,18700,19100,477508
20080116,18750,19400,18700,18800,258098
20080117,18950,19250,18050,18550,230355
20080118,18150,19150,18100,19050,170461
20080121,19050,19150,18600,18950,156732
20080122,18350,18500,17500,17600,283140
20080123,18150,18250,17350,17600,203797
20080124,17900,18300,17800,18250,189734
20080125,18450,18900,18350,18800,160604
20080128,18500,18600,17800,17800,148217
20080129,18150,18300,17900,18150,103121
20080130,18450,18500,17200,17400,184718
20080131,17000,17600,17000,17350,144297
20080201,17550,17600,17000,17000,234011
20080204,16950,17700,16950,17700,252586
20080205,17500,17700,17350,17500,125257
20080211,17000,17200,16850,16900,168519
20080212,17000,17150,16500,16650,296985
20080213,16800,16900,16400,16400,223798
20080214,16650,17200,16600,17200,241403
20080215,16850,17150,16700,17150,157874
20080218,17300,18650,17200,18400,550650
20080219,18450,18750,18100,18750,345901
20080220,18500,18500,17600,17600,289052
20080221,18000,18200,17650,17950,158100
20080222,18000,18400,17500,17700,180666
20080225,17950,18100,15900,16300,779327
20080226,16700,16750,16300,16300,369117
20080227,16500,17400,16500,17000,343091
20080228,17500,18150,17350,18000,493459
20080229,18000,19000,17550,19000,688433
20080303,18300,18600,17900,17900,284151
20080304,18100,18500,17400,17400,225266
20080305,17700,18350,17600,18350,215688
20080306,18650,18650,18000,18500,221270
20080307,18100,18100,17700,17800,138315
20080310,17700,18350,17450,17850,222997
20080311,17850,18300,17800,18300,156575
20080312,18700,18700,18050,18050,214726
20080313,18250,18550,18050,18300,247861
20080314,18700,18750,18250,18300,273181
20080317,18400,19350,17950,19250,443868
20080318,19550,19600,19050,19200,323993
20080319,19550,19650,19050,19200,263131
20080320,19150,19750,19100,19750,320317
20080321,19950,19950,19000,19200,261388
20080324,19300,19450,19050,19150,136283
20080325,19350,19800,19150,19750,297896
20080326,19800,20200,19500,20050,281820
20080327,20000,20200,19700,20050,122915
20080328,19700,20250,19450,20250,183290
20080331,20300,20450,19950,20450,201328
20080401,20400,20400,19850,20100,141659
20080402,20250,20350,19500,19700,189589
20080403,19700,19850,19450,19500,146546
20080404,19550,19850,19300,19850,149414
20080407,20050,20050,19500,19600,171076
20080408,19450,19600,19050,19050,127685
20080410,18750,19650,18550,19650,139314
20080411,19600,19600,19200,19300,92770
20080414,18850,19100,18850,18900,92102
20080415,18750,19000,18650,18700,85599
20080416,18850,19450,18850,19300,105352
20080417,19500,19750,19100,19100,92656
20080418,19100,19350,19050,19250,71841
20080421,19400,19500,19200,19200,101203
20080422,19200,19800,19150,19700,180493
20080423,19700,20050,19600,19650,191295
20080424,20000,20150,19500,20000,213389
20080425,20000,20050,19800,20000,136824
20080428,20150,20300,19750,19750,159184
20080429,20050,20050,19550,19700,86013
20080430,19900,20000,19600,19600,89209
20080502,19600,19700,18950,19000,345411
20080506,19100,19350,19050,19350,146608
20080507,19700,19700,19200,19300,138788
20080508,19200,19450,19100,19300,144532
20080509,19450,19550,18950,19000,128030
20080513,18900,19000,18450,18550,144057
20080514,18400,18750,18400,18600,85784
20080515,18600,19200,18400,18950,174351
20080516,19150,19250,18850,18950,105942
20080519,19100,19100,18850,19100,95356
20080520,19100,19300,18850,18950,93406
20080521,18850,19400,18550,19000,182833
20080522,19200,19250,18650,18750,139726
20080523,18700,18800,18300,18350,140357
20080526,18100,18300,17800,17850,121822
20080527,17800,18250,17800,18250,94911
20080528,18400,18600,18100,18200,125050
20080529,18200,18650,18100,18400,104296
20080530,18400,19150,18250,18950,275987
20080602,19000,19100,18600,18650,112919
20080603,18400,18650,18400,18450,59606
20080604,18450,20200,18400,20000,508961
20080605,20300,20850,19800,20050,417812
20080609,19450,19750,19150,19500,230445
20080610,19800,21100,19600,20000,670776
20080611,20350,20550,19400,19400,418349
20080612,19200,19800,19100,19250,320431
20080613,19350,19450,18300,18550,291529
20080616,18700,19050,18650,18800,170210
20080617,18900,19000,18200,18450,131618
20080618,18350,18950,18350,18950,115525
20080619,18800,18800,18300,18300,147810
20080620,18200,18450,17850,17900,217172
20080623,17600,18000,17500,18000,85063
20080624,18000,18050,17650,17650,91092
20080625,17650,18150,17550,18000,107869
20080626,18000,18500,17900,18100,125249
20080627,17700,17900,17500,17700,82355
20080630,17700,18000,17500,18000,74725
20080701,18000,18150,17650,17700,67046
20080702,17700,17900,16600,16850,167822
20080703,16050,16850,15950,16700,158722
20080704,16400,16700,16000,16050,99812
20080707,15600,16650,15600,16650,137687
20080708,16500,16550,15000,15450,146461
20080709,15750,16250,15200,15200,196006
20080710,15000,15800,14850,15800,174195
20080711,15650,16000,15400,15700,141343
20080714,15650,16000,15300,15750,114155
20080715,15600,15750,15150,15150,115607
20080716,15500,15850,15200,15650,134051
20080717,16000,16050,15650,15800,71371
20080718,15900,15950,15400,15400,73191
20080721,15600,16300,15600,16100,165683
20080722,16100,16150,15900,16050,72406
20080723,16350,17250,16300,17000,197674
20080724,17000,17250,16900,17250,130928
20080725,16950,17150,16750,16750,76876
20080728,17100,17150,16750,16800,74732
20080729,16450,16700,16200,16450,85784
20080730,16700,17000,16500,17000,109300
20080731,16900,17300,16550,17000,88762
20080801,16800,16950,16600,16650,45359
20080804,16450,16750,16100,16200,102952
20080805,16100,16700,16100,16200,149152
20080806,16500,16700,16450,16650,60685
20080807,16650,16700,16200,16200,112383
20080808,16000,16500,15950,16500,70075
20080811,16800,17000,16550,17000,87621
20080812,16950,17100,16650,16700,66004
20080813,16700,16800,16300,16350,56293
20080814,16250,16550,16250,16550,78468
20080818,16700,16900,16450,16900,78768
20080819,16850,16850,16300,16400,45216
20080820,16300,17000,16200,16750,89642
20080821,16700,16700,16250,16300,81752
20080822,16300,16400,15550,15800,88972
20080825,15900,16400,15900,16400,98780
20080826,16300,17050,16100,16900,149710
20080827,17100,17350,16650,17350,119362
20080828,17550,17550,17050,17200,109222
20080829,17200,17700,16800,16800,100315
20080901,16700,16800,16000,16000,137784
20080902,16000,16650,16000,16350,185032
20080903,16850,16850,16450,16750,115339
20080904,16550,16650,16200,16300,152401
20080905,15900,16250,15750,15800,190586
20080908,16100,16400,15900,16000,249425
20080909,16100,16150,15550,15550,183448
20080910,13900,14550,13250,13250,2201925
20080911,12700,13150,12300,12550,2371830
20080912,12900,13000,12200,12400,2501395
20080916,11200,11750,10600,10750,1691239
20080917,11400,12000,11200,11750,2212832
20080918,11300,11600,11000,11300,1584081
20080919,11900,12000,11400,11500,1653443
20080922,11650,11750,10950,11000,1190752
20080923,11250,11750,11150,11750,1635164
20080924,11850,12400,11750,12400,2484260
20080925,12300,12450,12000,12400,1264903
20080926,12400,12450,11750,11900,1140916
20080929,12250,12250,11650,11650,998468
20080930,10750,11800,10600,11800,848652
20081001,11800,11850,11600,11600,380191
20081002,11650,12000,11400,11650,499050
20081006,11400,12050,11300,11350,928665
20081007,11250,11600,10800,11550,475854
20081008,11200,11300,9990,10050,792923
20081009,10000,10300,9050,9400,1158213
20081010,8710,8770,8070,8530,1162415
20081013,8800,9710,8800,9700,1085754
20081014,10400,10500,9950,10350,1602779
20081015,10000,10500,9960,10400,879391
20081016,9700,10000,9000,9000,713433
20081017,9520,9600,8800,9350,593101
20081020,9400,9900,9250,9830,484213
20081021,10100,10400,9910,10100,757537
20081022,10000,10300,9440,10000,594360
20081023,9500,9700,8830,9010,594838
20081024,9010,9250,7690,7690,755229
20081027,7230,8000,6560,6750,868324
20081028,6020,7300,6020,7040,1390157
20081029,7350,7640,6000,6220,1425246
20081030,6800,7150,6330,7150,1051468
20081031,7200,8080,7020,8080,1282031
20081103,8200,8770,8200,8590,740348
20081104,8600,9200,8060,9000,823753
20081105,9400,10100,9010,9850,812496
20081106,9290,9690,9000,9000,612727
20081107,8550,9900,8430,9900,521571
20081110,10000,10900,9400,10150,791488
20081111,9900,10650,9810,10300,742479
20081112,9950,10200,9860,9890,433013
20081113,9300,9400,8720,9050,493241
20081114,9550,9740,9400,9500,421125
20081117,9220,9840,9050,9810,398601
20081118,9710,9810,9260,9260,350897
20081119,9280,9390,8550,8550,549189
20081120,7800,7970,7620,7620,271174
20081121,7360,8370,7250,8350,319737
20081124,8220,8500,8050,8090,327469
20081125,8550,8680,8250,8500,387338
20081126,8550,8730,8420,8510,388756
20081127,8730,8850,8520,8610,483169
20081128,8790,8970,8610,8700,444932
20081201,8760,8760,7400,8380,397568
20081202,7630,8050,7630,7900,276979
20081203,8100,8140,7500,7600,603825
20081204,7780,7900,7320,7400,583046
20081205,7400,7770,7400,7650,289105
20081208,7800,8290,7750,8200,556658
20081209,8350,8450,8170,8290,609607
20081210,8290,8390,8120,8330,566867
20081211,8340,8630,8250,8450,692815
20081212,8470,8800,7920,8230,776309
20081215,8350,8700,8350,8700,681601
20081216,8680,8950,8550,8700,681516
20081217,9030,9060,8540,8730,665620
20081218,8930,9350,8750,9320,1265162
20081219,9300,9500,9120,9200,821812
20081222,9380,9710,9260,9260,1022213
20081223,9100,9180,8680,8710,518824
20081224,8550,8670,8120,8270,500529
20081226,8330,8350,8020,8090,369293
20081229,8100,8170,7870,8170,274337
20081230,8160,8500,8130,8400,478996
20090102,8550,9160,8460,9120,610438
20090105,9300,9300,8970,9190,524130
20090106,9390,9390,9030,9060,380735
20090107,9200,10000,9080,10000,1025639
20090108,9800,9850,9610,9640,494224
20090109,9750,9820,9160,9340,382220
20090112,9270,9340,9060,9110,277389
20090113,9030,9370,8930,9060,697509
20090114,9130,9250,9010,9190,731675
20090115,8880,8920,8430,8450,590065
20090116,8570,8720,8470,8650,352673
20090119,8750,9080,8750,9050,611961
20090120,9210,9370,8770,8810,1269785
