날짜,시가,고가,저가,현재가,거래량
20180105,111000,114000,93500,107500,1282241
20180108,109000,109000,99800,101000,533640
20180109,102500,119500,101500,116000,782363
20180110,116000,121000,112000,114000,357741
20180111,114500,118000,112000,114000,194223
20180112,114000,120500,109000,118500,363991
20180115,119500,128500,119000,122000,466797
20180116,122000,122000,118000,120000,183784
20180117,120500,120500,112000,112500,226037
20180118,114500,115000,110500,111500,145401
20180119,111500,115000,111000,111000,109899
20180122,110500,111000,107500,109500,111714
20180123,110500,113500,109000,111000,99852
20180124,111500,116000,111500,115000,135157
20180125,116000,116000,113500,115000,80543
20180126,115000,116000,111500,112500,113248
20180129,113000,113000,111000,112000,102780
20180130,112000,117000,112000,115500,199075
20180131,114500,117000,113000,115000,144616
20180201,115500,116500,112000,112000,103975
20180202,112500,113500,108000,109000,124931
20180205,106000,107500,101500,102500,135075
20180206,98200,103500,95900,101500,189357
20180207,104000,104000,99100,99200,127611
20180208,99000,101500,98200,100000,116615
20180209,97400,102000,96500,100500,110042
20180212,98800,103000,98700,103000,173351
20180213,115000,116500,105500,107000,593574
20180214,107500,109500,103000,105000,154019
20180219,109000,111000,108000,109500,118500
20180220,109000,113000,108500,109500,108680
20180221,110500,114000,109000,113000,121214
20180222,112500,113000,110500,111000,71123
20180223,112000,113500,111500,113500,97859
20180226,113500,114000,109000,110000,152544
20180227,110500,111500,107500,109000,90543
20180228,108000,110000,107500,109000,72980
20180302,107000,108000,105500,106500,83506
20180305,106000,107000,104000,104500,78837
20180306,106000,107000,104500,105000,77860
20180307,105000,107500,104500,106000,64705
20180308,107000,109500,106000,109000,76117
20180309,109000,110000,108000,109000,64150
20180312,110000,110000,108500,109500,72719
20180313,109500,110500,107500,110500,76070
20180314,109500,113000,109000,113000,98613
20180315,113500,113500,110500,112000,67977
20180316,112000,113000,110500,110500,49876
20180319,111500,112000,110000,110500,49270
20180320,109500,110000,106500,108000,60742
20180321,109000,110000,108000,109000,35565
20180322,109500,112500,108000,110500,93634
20180323,107000,109000,105000,105000,89177
20180326,105000,106000,102000,105000,60400
20180327,105500,106500,104500,104500,81406
20180328,103500,105000,100000,102000,89430
20180329,102000,104500,101500,104000,44056
20180330,105000,106000,103000,105000,50924
20180402,104500,106000,102500,103500,76457
20180403,101500,105500,101000,104000,54521
20180404,104000,104500,102000,103000,78363
20180405,103000,103500,101000,101500,82746
20180406,101000,102000,100000,101500,80591
20180409,101500,106000,101000,105000,83602
20180410,104500,105000,103000,104500,49140
20180411,104000,108000,104000,107000,78226
20180412,107500,108000,105500,106500,54421
20180413,106500,108500,105000,106500,71812
20180416,107500,108000,106000,107000,41916
20180417,106500,107500,103500,106000,65185
20180418,105500,106500,102000,103500,91136
20180419,102500,105000,102000,102500,66462
20180420,102500,105000,102000,103000,75442
20180423,103000,106000,102500,106000,56555
20180424,106500,107000,104500,105000,40750
20180425,104500,105500,104000,105000,41404
20180426,105000,106000,104000,105000,45262
20180427,105000,105500,102500,102500,48015
20180430,103000,103500,100500,101500,86514
20180502,100500,102500,99900,100500,100477
20180503,103000,103500,101500,102500,64667
20180504,102000,102000,100000,100500,64546
20180508,100500,101500,98700,98700,91451
20180509,98700,100000,98300,98400,56194
20180510,98500,98700,97200,97700,69960
20180511,97900,99400,97500,98100,56197
20180514,99000,99200,98000,98000,35015
20180515,98200,98500,95600,96700,74353
20180516,96600,97600,95300,96600,52982
20180517,96700,96800,94300,94500,71786
20180518,95000,95800,92000,93800,112617
20180521,94200,94500,91500,91900,122133
20180523,91500,93700,90000,90200,127614
20180524,90500,90900,87700,87900,131400
20180525,87300,88200,84200,84500,175719
20180528,84500,86000,81300,85100,199932
20180529,85100,89600,84600,88600,155374
20180530,87900,89000,86400,87300,73102
20180531,87300,88900,86900,88900,68285
20180601,89000,89000,87200,88100,36261
20180604,87500,87900,85000,85700,72526
20180605,85400,87500,85400,86400,66787
20180607,86800,88200,86300,88000,50018
20180608,88300,90600,88300,88700,70788
20180611,89500,90000,89200,89700,44843
20180612,89800,90900,88600,90100,58221
20180614,90600,92700,90100,91100,105211
20180615,91600,96300,91000,96300,212308
20180618,96600,96700,91400,93000,98363
20180619,92900,92900,88300,88700,91730
20180620,89200,92500,89000,92000,49810
20180621,91700,94100,91500,92300,51329
20180622,91200,93200,90100,93000,48947
20180625,93000,93900,91300,92300,34462
20180626,90400,94500,90400,92700,62335
20180627,92700,93400,91200,91800,28833
20180628,91800,93500,90600,92800,43259
20180629,92000,93600,90900,92900,245794
20180702,93100,94900,92200,92500,68733
20180703,92800,93300,90900,91500,48221
20180704,90700,94200,90700,92200,50322
20180705,92000,92900,90200,90600,28387
20180706,90600,93800,90200,93800,55735
20180709,93000,94000,92400,92900,21088
20180710,92600,94200,92600,93300,35592
20180711,92200,94200,92100,94000,32386
20180712,94400,94600,93500,94000,31565
20180713,94000,96000,94000,95100,45814
20180716,95200,96800,94300,94400,43834
20180717,94400,95500,94300,94400,46270
20180718,94400,95300,93800,94200,30072
20180719,94000,94700,93000,93200,34627
20180720,93200,93200,91100,92400,33556
20180723,93200,93200,89500,89900,48385
20180724,90300,91100,89900,90400,23167
20180725,89300,90200,86500,87600,76027
20180726,87300,89700,86700,88400,37844
20180727,88500,89000,87600,88100,31826
20180730,88000,88100,86700,87100,33784
20180731,87600,90000,87100,89700,38388
20180801,90100,91600,90000,90100,22477
20180802,89800,90800,88100,88400,18692
20180803,88600,90000,88100,88800,20475
20180806,89000,90500,88900,90000,25749
20180807,89500,90000,88500,89000,30090
20180808,88600,89900,87800,88200,29638
20180809,88300,88900,87300,87500,34864
20180810,87400,88500,87200,88000,29755
20180813,87600,88000,83400,85500,59983
20180814,84500,85300,83100,84400,59183
20180816,84300,84900,82000,82600,63264
20180817,82300,83200,81700,82000,61555
20180820,82100,82700,80100,81300,68620
20180821,81200,83100,80900,82500,55132
20180822,82500,82700,80100,80500,85857
20180823,81200,81300,79500,79800,67654
20180824,80500,82300,79800,81800,63613
20180827,82400,82500,81500,82400,45642
20180828,82600,82900,82100,82600,29050
20180829,82200,85600,82200,85200,53532
20180830,85200,87000,84200,86000,57420
20180831,86000,87600,85100,86600,56777
20180903,87200,88400,86500,86700,65081
20180904,86800,88300,86800,88100,45470
20180905,88200,89200,87700,87800,44413
20180906,88000,89300,88000,89000,43615
20180907,89400,90100,88200,90000,43401
20180910,90000,91000,89500,90700,37223
20180911,90000,90000,88000,88800,56866
20180912,89900,89900,86500,88400,51954
20180913,89000,89000,86700,87100,40430
20180914,86600,87600,86300,86600,28226
20180917,86600,87700,86000,86200,26521
20180918,85800,86000,83600,84100,60838
20180919,84100,84100,82200,82500,58072
20180920,82500,84100,82000,82800,47162
20180921,84200,86200,83700,84400,70154
20180927,84800,86000,84700,85200,31796
20180928,85900,86000,85100,85200,21436
20181001,86000,86200,84300,85000,25687
20181002,84700,86200,83800,84100,29502
20181004,84400,84400,80900,80900,43360
20181005,80600,81300,78400,80000,48961
20181008,79500,80400,77600,77600,66894
20181010,77500,78300,72500,73200,114986
20181011,70000,73900,70000,72200,82679
20181012,73400,73900,71500,72000,35101
20181015,71600,72900,71600,71700,21846
20181016,71300,72600,69900,70600,36731
20181017,71300,71900,70900,71700,24505
20181018,71700,71800,70000,70600,19012
20181019,70300,70400,68900,69800,44664
20181022,69600,69700,65800,67500,135278
20181023,67500,68400,64600,65500,65936
20181024,66400,66800,65500,66400,48390
20181025,65100,66100,63200,65700,37265
20181026,66000,66800,62000,63500,46519
20181029,62800,64000,57300,58000,135853
20181030,57900,60700,57400,60200,60286
20181031,60200,60700,58500,60400,37383
20181101,60600,62900,60200,60800,36257
20181102,60800,64600,60800,64500,55085
20181105,65700,66800,64000,65000,52863
20181106,66100,66700,65000,66300,47493
20181107,66300,67200,64400,64600,60230
20181108,66200,72200,65200,70000,138227
20181109,70000,73800,69300,72700,106966
20181112,72000,72700,70000,70900,50891
20181113,70000,70900,69000,70200,51369
20181114,73200,73200,69200,69900,24041
20181115,69300,70800,69200,70600,17308
20181116,70700,71100,69600,70700,15242
20181119,70800,71800,69700,71600,36480
20181120,71000,72800,69000,72800,53953
20181121,72400,79200,71100,77800,151742
20181122,78000,79600,76400,79100,59587
20181123,78600,79900,77500,78500,40293
20181126,78000,80000,78000,79800,48719
20181127,79400,79800,77900,78600,21169
20181128,79400,80000,78200,78800,25092
20181129,79200,79800,76500,78000,42422
20181130,78000,78400,76800,77700,36732
20181203,78700,79000,77700,78400,36215
20181204,77700,78400,75500,76600,57151
20181205,75200,77100,74700,75300,39761
20181206,76000,76000,73600,73800,34175
20181207,73800,74900,71400,72500,39524
20181210,71500,73000,71300,72200,30170
20181211,72500,72900,69900,69900,38404
20181212,70700,73700,70200,73100,47003
20181213,73300,75500,72200,73600,82390
20181214,73200,74000,70600,71300,31857
20181217,70400,72500,70400,71700,19121
20181218,71100,72600,70100,70700,29286
20181219,70700,74500,70300,73100,33265
20181220,73800,73800,71800,72500,17425
20181221,71900,73200,71000,72100,22740
20181224,72100,72100,70600,71300,17347
20181226,70400,71200,68800,70500,33061
20181227,70500,72100,69300,69800,21084
20181228,69500,71000,69500,70000,20249
20190102,69900,70300,69000,69700,19298
20190103,69900,70400,68800,69100,21960
20190104,69200,69700,66300,66500,66201
20190107,66200,67100,66100,66200,48685
20190108,66700,67400,66500,66700,18282
20190109,66700,68200,66600,67700,27403
20190110,67300,68800,67300,68700,19328
20190111,68700,68800,67600,67600,32457
20190114,67600,68100,66600,66600,27479
20190115,67200,67800,64800,65000,58764
20190116,65000,65600,63500,64200,74257
20190117,64600,64800,63500,63700,52880
20190118,63800,64300,63500,64000,36678
20190121,64400,66500,64400,65700,47690
20190122,66300,67700,66000,67300,47135
20190123,67300,67800,66700,67100,25392
20190124,67000,67900,66500,67200,35130
20190125,67100,68300,66900,67700,35611
20190128,67800,68800,67000,68300,54805
20190129,68700,69000,67700,67900,29744
20190130,68400,68400,67400,68000,29408
20190131,68700,69000,67700,68500,35501
20190201,68400,68900,67200,67500,38037
20190207,67900,67900,66500,66800,40816
20190208,67300,72000,67300,70800,143940
20190211,71500,71600,70100,71400,54427
20190212,71900,73100,70900,72400,88082
20190213,72000,74400,72000,74300,68948
20190214,74100,75000,73200,75000,44388
20190215,75000,75200,74200,74900,35366
20190218,75300,75300,74000,75100,28257
20190219,74800,75100,73000,74900,45339
20190220,74600,74900,73200,73700,54690
20190221,73700,74100,72800,73500,25706
20190222,73000,73700,72400,72600,17674
20190225,72200,73400,72200,73000,15434
20190226,72800,73600,72300,72600,16550
20190227,73300,73300,72500,73200,14506
20190228,73400,76500,72500,73700,86482
20190304,74600,78100,74600,77300,79816
20190305,76600,77700,75300,75800,24577
20190306,75800,76400,74700,75900,25867
