날짜,시가,고가,저가,현재가,거래량
20080102,246000,246000,228000,228000,752158
20080103,227500,233500,227500,228500,267364
20080104,231500,236000,228000,232000,297095
20080107,225500,229000,222000,224000,258203
20080108,224000,224500,219500,220500,193980
20080109,218000,220000,215500,220000,231518
20080110,220000,227000,216500,220500,423432
20080111,222500,222500,214500,215500,251050
20080114,216000,224000,215500,219500,231099
20080115,220000,223000,217000,221000,148453
20080116,219000,219000,213500,214500,189363
20080117,216000,222000,212500,218000,196617
20080118,211500,219000,210000,216500,338630
20080121,214000,214000,207500,209500,458800
20080122,205000,207000,201500,203500,284989
20080123,208000,208000,201500,206500,227770
20080124,206000,207000,201500,202000,308888
20080125,204500,207500,202500,205500,211838
20080128,204000,209000,203000,205000,179867
20080129,207000,216500,205000,215000,559828
20080130,214000,220500,211000,216500,425372
20080131,212000,213000,207500,213000,473671
20080201,213000,214000,203500,208000,381811
20080204,210500,214000,206500,207000,251664
20080205,207000,209500,202500,204500,288154
20080211,200500,201500,194000,194000,559746
20080212,195500,196500,191500,192000,310456
20080213,192500,193000,188500,189000,500503
20080214,190500,192500,188500,191500,643442
20080215,192000,197500,191500,194000,506825
20080218,196500,197000,190000,192000,323943
20080219,195000,195000,192500,193000,182201
20080220,195000,196500,192000,194000,272744
20080221,200000,203500,197000,202000,1575323
20080222,201500,204500,199500,203000,308669
20080225,203000,206500,201500,203000,268018
20080226,203000,204500,195500,195500,388598
20080227,196000,198500,193500,195500,280253
20080228,196000,197000,191500,194500,313781
20080229,192000,193000,190500,192500,241849
20080303,191000,191500,187500,189000,328875
20080304,188500,189500,185500,188000,236144
20080305,187000,189500,186500,188000,193415
20080306,187500,188000,184500,186000,275081
20080307,184000,184000,178500,178500,412906
20080310,179500,184000,178000,180000,324836
20080311,179000,183000,179000,183000,176125
20080312,187000,187500,183000,186000,205343
20080313,184500,186000,180500,180500,238128
20080314,183500,184500,178000,182000,235350
20080317,183500,186500,181000,184500,295898
20080318,186500,186500,181500,186000,238495
20080319,188500,189000,180500,183000,387154
20080320,182500,183000,178500,182500,384124
20080321,183000,183500,178500,180500,307096
20080324,179000,181500,179000,181000,166784
20080325,182000,184000,181500,183000,220272
20080326,183000,188000,182500,187000,278189
20080327,188500,189000,182500,184500,214299
20080328,184500,188000,184000,187000,225149
20080331,186000,189500,183000,186500,290343
20080401,186000,188000,182500,184000,377197
20080402,185000,185500,179000,182000,614059
20080403,182000,185000,181000,183000,284251
20080404,184500,186000,183000,184000,204511
20080407,185500,192000,184000,190000,534799
20080408,192000,194500,190000,191000,323673
20080410,190000,191000,187000,191000,253810
20080411,190000,191000,186500,191000,226630
20080414,188000,188500,186000,188500,300757
20080415,190500,197500,189500,196500,828514
20080416,196500,197500,195000,196000,374601
20080417,197000,197500,194000,195500,340035
20080418,194000,194500,187500,193500,363495
20080421,195000,197000,191000,194000,279529
20080422,195000,197000,193500,193500,116900
20080423,192000,194000,190500,193500,170378
20080424,195000,197500,191000,194000,260907
20080425,195500,203000,195000,202000,414666
20080428,196500,201500,196500,200000,166399
20080429,198500,201500,197000,199000,143471
20080430,200000,208000,199500,203000,470362
20080502,205000,209000,205000,207000,245649
20080506,207500,211000,203500,208500,242211
20080507,206000,211000,206000,209000,181877
20080508,206000,213000,206000,209500,244867
20080509,213000,213000,205500,208000,244938
20080513,208500,213000,208500,212000,307149
20080514,213000,218000,211000,211500,397479
20080515,212000,214000,209000,210500,328822
20080516,212500,213500,208000,210000,178518
20080519,209500,212000,208000,210000,172114
20080520,210000,210500,204000,206000,238040
20080521,204000,206000,202000,205500,114195
20080522,206000,206000,201000,205000,162325
20080523,203000,205000,201000,203500,120552
20080526,205000,208500,200500,201500,210213
20080527,201000,203000,200500,203000,87655
20080528,204000,204500,200500,204500,138205
20080529,205000,207000,202500,203000,186641
20080530,204500,204500,202000,203500,117324
20080602,204500,205000,199500,201500,153655
20080603,202000,202000,196500,198000,164653
20080604,198000,198000,194000,197000,153932
20080605,195000,196500,192000,193500,283798
20080609,193000,193000,188000,190000,297763
20080610,190500,191000,186500,187500,315118
20080611,186500,189000,179500,180000,709137
20080612,181000,185500,181000,184500,703489
20080613,187000,187500,183500,187000,280897
20080616,187500,190500,187000,188500,221778
20080617,191000,191500,187500,190000,147563
20080618,191000,193500,189000,189500,160871
20080619,190000,190000,185500,187500,186386
20080620,188500,191000,188000,188000,114814
20080623,187000,191500,186500,187000,164963
20080624,188000,190500,187000,187000,154854
20080625,188000,193000,188000,192000,258355
20080626,191000,196000,191000,192000,165736
20080627,191000,194500,188000,191000,227487
20080630,191500,191500,188000,190500,125400
20080701,190000,192500,189000,190000,131605
20080702,192000,193000,190000,191000,265610
20080703,191500,193000,188500,190000,215948
20080704,190500,193500,188500,191500,136357
20080707,193000,197500,191000,195500,276011
20080708,196500,198000,193000,195000,286556
20080709,195000,196000,192000,194500,373906
20080710,194000,197000,193000,195000,433030
20080711,195000,195500,189500,192000,317797
20080714,193000,194000,188500,191000,175394
20080715,190500,190500,185500,186500,229682
20080716,182500,183500,179000,181500,445498
20080717,182000,183000,176000,179500,388932
20080718,182000,182000,176000,178000,177487
20080721,179500,184500,179500,183000,209290
20080722,183000,186500,181000,184000,167310
20080723,186500,186500,182000,184500,183601
20080724,185500,186500,181500,184000,264421
20080725,184000,187500,183000,185000,241839
20080728,185500,190000,183000,189000,274199
20080729,188500,192500,187000,189500,234536
20080730,190000,193500,187500,192000,135989
20080731,192500,194500,192000,193500,111206
20080801,192500,193500,190500,192500,89661
20080804,193000,193500,190000,191500,146505
20080805,192000,199000,191500,197000,357620
20080806,197000,206500,197000,205000,351543
20080807,205000,205000,199000,203000,451070
20080808,195500,199000,192000,199000,413082
20080811,199000,199000,195500,196500,176301
20080812,194500,198000,193000,194000,205040
20080813,194500,194500,191500,194000,194861
20080814,192000,195500,192000,193000,179508
20080818,192500,192500,189000,189500,244639
20080819,188500,192000,185500,188500,215097
20080820,188500,194500,187000,191000,411924
20080821,188500,195000,187000,193000,752970
20080822,194000,196000,191500,193000,501572
20080825,192500,199000,192000,198500,444366
20080826,198500,202500,197000,201000,309675
20080827,200000,205000,199000,201500,317847
20080828,201000,201500,197500,199000,178868
20080829,197500,201500,197500,200500,206246
20080901,202000,204500,199500,202000,360918
20080902,204000,210000,202500,210000,473626
20080903,212000,212000,201500,210500,348930
20080904,210000,210000,202500,206500,373707
20080905,203000,203000,200000,201000,367428
20080908,204000,205000,197000,200000,427890
20080909,200000,204500,198000,201500,419866
20080910,202000,210000,201000,207500,401974
20080911,205000,206500,201000,201000,659422
20080912,202000,208500,201500,207000,375110
20080916,206000,208500,203000,205000,402945
20080917,205000,205000,200000,203500,521544
20080918,200000,203000,197000,202000,352824
20080919,203000,205500,200000,204000,441494
20080922,204500,208000,198000,201500,550142
20080923,204500,204500,200000,201000,218399
20080924,201000,207000,199500,203500,327259
20080925,203500,203500,196000,201500,381057
20080926,200500,204000,198500,203500,183058
20080929,205000,210500,203000,210000,392347
20080930,205000,208000,201000,205500,515824
20081001,205000,215500,202500,215500,370691
20081002,213500,220000,210500,218500,522603
20081006,214000,222000,210000,217500,664102
20081007,217000,223500,214000,216500,505860
20081008,210000,219000,209500,215500,404186
20081009,218000,218000,211500,218000,359452
20081010,210000,215000,207500,209000,602588
20081013,205500,213500,205500,209000,381214
20081014,213000,216000,209500,213000,383844
20081015,212500,216500,207000,214000,405408
20081016,209000,223500,207000,217000,516593
20081017,217500,224000,213000,221000,492573
20081020,221500,230500,220000,223500,366233
20081021,227000,227500,216000,223000,291389
20081022,219500,225500,219000,223000,381567
20081023,210000,218000,210000,210500,413973
20081024,210500,211000,202000,208500,396540
20081027,208000,208000,185500,201000,500828
20081028,195500,199000,187500,187500,554036
20081029,193000,197000,188500,190500,481377
20081030,196500,212500,193000,198000,605078
20081031,198000,212500,191500,205000,463632
20081103,205000,211000,203000,205500,335716
20081104,206000,220000,205000,216000,476637
20081105,216000,222500,212000,219000,268037
20081106,210000,222000,209500,219500,319189
20081107,216000,219500,210000,217000,320046
20081110,217500,224000,211500,217000,204719
20081111,219000,227000,214000,220000,276319
20081112,215000,227000,215000,223500,362438
20081113,219500,227000,214000,227000,345759
20081114,224500,227000,215000,222000,362443
20081117,220000,232000,215500,227500,416722
20081118,221000,223500,216000,217000,317071
20081119,214000,217000,207500,212000,360570
20081120,205000,215000,205000,212000,285436
20081121,207000,216000,206000,211500,229867
20081124,208000,208500,201000,206500,346469
20081125,211000,221000,209500,217000,300007
20081126,220000,229500,219500,220000,370531
20081127,218000,220500,212000,216500,337610
20081128,213500,223000,213000,217500,274215
20081201,217500,218000,213500,214000,201785
20081202,207000,210500,206000,209500,313121
20081203,209500,212000,204500,212000,368344
20081204,212000,214000,208500,212000,213816
20081205,209500,219500,209500,215500,222335
20081208,211500,217000,208500,216500,404068
20081209,215000,215000,209500,213000,353753
20081210,213000,223000,212500,219500,406514
20081211,217000,217500,213000,213000,630232
20081212,211000,211000,201000,204000,503894
20081215,206500,208500,203500,203500,461659
20081216,203500,208500,201500,206500,497963
20081217,207000,211000,205000,210000,461078
20081218,210500,216000,210500,214000,400626
20081219,214500,222500,212500,218000,404542
20081222,218000,223500,216500,217000,212190
20081223,215000,224000,214500,219000,243788
20081224,219000,224000,217500,219000,151600
20081226,219500,220500,210500,213500,206475
20081229,205500,210000,205000,209500,182405
20081230,208000,213500,208000,209000,196642
20090102,208000,214500,206000,210000,292920
20090105,213000,214000,202500,204000,610158
20090106,204000,207000,202000,205000,500783
20090107,204500,205500,202000,204500,582228
20090108,205000,207000,202000,205000,543273
20090109,206500,209000,204500,206000,294642
20090112,207500,207500,202000,204500,353164
20090113,204500,207500,202000,204500,312471
