날짜,시가,고가,저가,현재가,거래량
20080102,10250,10350,10050,10150,3852
20080103,10300,10300,10000,10000,4417
20080104,10400,10400,9960,10150,3810
20080107,10000,10000,9900,9980,7940
20080108,10150,10150,9800,9820,4870
20080109,9800,9870,9690,9840,3250
20080110,9990,10150,9800,9800,7380
20080111,9880,9960,9710,9840,1041
20080114,9790,9800,9450,9520,7025
20080115,9420,9600,9400,9400,8060
20080116,9300,9500,9230,9240,12754
20080117,9140,9500,9120,9300,8142
20080118,9300,9300,9200,9290,5812
20080121,9290,9400,9150,9380,6281
20080122,9130,9350,8930,8950,19983
20080123,9390,9400,9100,9190,10081
20080124,9400,9400,9110,9270,21106
20080125,9170,9400,9170,9390,5800
20080128,9360,9400,9220,9220,10058
20080129,9220,9470,9220,9460,4411
20080130,9580,9580,9270,9360,1820
20080131,9360,9500,9300,9300,6191
20080201,9400,9570,9250,9440,10460
20080204,9580,9580,9330,9450,1490
20080205,9450,9450,9320,9390,2540
20080211,9450,9450,9300,9390,1841
20080212,9450,9450,9230,9390,2310
20080213,9430,9430,9220,9240,1400
20080214,9300,9350,9240,9250,2570
20080215,9220,9340,9220,9300,2130
20080218,9340,9430,9300,9380,1510
20080219,9450,9530,9400,9430,3622
20080220,9440,9550,9300,9550,3700
20080221,9570,9570,9380,9560,3010
20080222,9550,9740,9500,9500,4290
20080225,9570,9750,9500,9580,2640
20080226,9730,9730,9600,9610,8100
20080227,9730,9850,9610,9700,2360
20080228,9800,9850,9730,9840,2881
20080229,9820,9990,9800,9940,2940
20080303,9700,9800,9570,9660,5390
20080304,9570,9810,9500,9740,5170
20080305,9750,9900,9700,9800,8100
20080306,9900,9930,9820,9930,3202
20080307,9930,9930,9770,9780,2720
20080310,9710,9730,9400,9400,5375
20080311,9680,9740,9300,9540,5967
20080312,9600,9700,9600,9600,3090
20080313,9770,9770,9450,9620,1030
20080314,9630,9690,9410,9530,11050
20080317,9300,9390,9110,9180,1910
20080318,9200,9400,9200,9260,3720
20080319,9300,9350,9250,9340,3360
20080320,9380,9390,9300,9390,2830
20080321,9400,9550,9350,9400,2480
20080324,9400,9630,9400,9600,2832
20080325,9560,9700,9460,9460,4070
20080326,9460,9520,9310,9400,3756
20080327,9310,9430,9240,9350,3110
