날짜,시가,고가,저가,현재가,거래량
20080102,24300,24400,23500,24000,472434
20080103,23850,23950,22850,23900,657363
20080104,23900,24950,23350,24300,581586
20080107,23700,24900,23700,24600,400007
20080108,24600,24600,23750,24500,316135
20080109,24000,25050,23750,24700,604907
20080110,24500,24850,23850,23850,534435
20080111,23850,24200,23300,23650,423804
20080114,23000,24700,22950,23950,763167
20080115,23700,23900,23100,23500,417316
20080116,23000,23550,22800,23200,481559
20080117,23700,23700,22450,22600,490274
20080118,22200,22400,21400,22400,1248518
20080121,22100,22350,21600,22000,525367
20080122,21250,21500,20600,20700,839460
20080123,21150,21650,21150,21400,717550
20080124,21500,22000,21350,21400,508502
20080125,21700,22700,21650,22700,1013462
20080128,22300,22350,21400,21850,513569
20080129,22150,22450,21650,22000,445939
20080130,22400,22450,21500,21750,343083
20080131,21950,22400,21700,21850,377123
20080201,21900,22300,21600,22300,379812
20080204,22050,22750,22050,22500,381997
20080205,22100,22850,22100,22650,218516
20080211,22300,22300,21700,22150,489869
20080212,21900,22150,21600,21800,321352
20080213,21850,22000,21200,21700,376615
20080214,21800,22450,21600,22450,678697
20080215,22200,22450,21750,22100,415627
20080218,22100,22650,21750,22150,442158
20080219,22400,22550,22000,22000,357416
20080220,21950,22100,21450,21950,447873
20080221,21800,22100,21500,21550,434394
20080222,21550,21550,21200,21450,250642
20080225,21800,21850,21550,21600,319697
20080226,21700,21800,21350,21450,374773
20080227,21450,21700,20900,21300,350648
20080228,21400,21400,20900,20950,339430
20080229,20950,20950,20600,20800,373702
20080303,20500,20600,19900,20100,626764
20080304,20300,20300,19650,19850,490154
20080305,19950,20150,19600,19600,404220
20080306,19700,20200,19600,20100,537268
20080307,19800,19800,19400,19800,330703
20080310,19750,20150,19550,19850,350970
20080311,19600,20850,19600,20500,460323
20080312,20800,20800,20350,20500,404491
20080313,20450,20650,20050,20350,488688
20080314,20550,20950,19900,20700,698846
20080317,20850,20850,19850,20250,621750
20080318,20700,20700,19750,20500,412971
20080319,20700,20800,20350,20500,279753
20080320,20450,20750,20050,20700,259400
20080321,20550,20900,20400,20650,248565
20080324,20700,20800,20500,20800,275300
20080325,21200,21200,20400,20400,388048
20080326,20450,20500,20150,20500,454514
20080327,20550,20950,20400,20600,718639
20080328,20500,20600,20350,20500,556781
20080331,20850,20850,20250,20400,420369
20080401,20300,20350,19900,20100,477477
20080402,20200,20350,19850,19950,708353
20080403,19900,20150,19850,20000,774727
20080404,20050,20250,19850,20000,343838
20080407,20250,21300,20050,21000,718300
20080408,21150,21150,20550,20850,419835
20080410,20800,21250,20350,21250,689999
20080411,21000,21150,20800,20850,262571
20080414,20500,20850,20400,20800,294567
20080415,20700,21050,20550,20800,245080
20080416,21100,21250,20900,21000,476610
20080417,21300,21400,21150,21200,254871
20080418,21350,21450,20950,21300,259725
20080421,21200,21700,21150,21500,277736
20080422,21450,21950,21350,21700,335059
20080423,21550,22100,21550,22100,303632
20080424,21800,21900,21050,21450,477729
20080425,21350,21600,21300,21500,888448
20080428,21500,21750,21050,21500,283859
20080429,21500,21500,21000,21200,397525
20080430,21300,21600,20950,21000,781716
20080502,21250,21400,20950,21250,874183
20080506,21650,21700,21300,21500,1200494
20080507,21700,22600,21600,22500,1451146
20080508,22650,23150,22350,22500,858765
20080509,22500,22800,21950,22200,568573
20080513,22200,22750,21850,22500,672686
20080514,22500,22700,22000,22500,624585
20080515,22550,24050,22550,23500,1053708
20080516,23500,23900,23350,23900,538686
20080519,23650,24000,23650,24000,371850
20080520,24150,24150,23750,24000,285781
20080521,23750,24000,23550,24000,354272
20080522,23800,23800,23000,23700,272264
20080523,23200,23300,22750,23100,332677
20080526,22700,23600,22700,23100,327797
20080527,23000,23600,23000,23400,192173
20080528,23500,23600,22650,23400,348168
20080529,23400,24450,23400,23950,662581
20080530,23900,24500,23550,24400,372047
20080602,24100,24200,23500,24150,318887
20080603,23800,23950,23550,23800,233459
20080604,23750,23850,23550,23750,253254
20080605,23500,24000,23300,24000,289813
20080609,23600,23850,23100,23850,440541
20080610,23600,23700,23000,23000,456771
20080611,22950,23100,22750,22900,556995
20080612,22700,22800,21750,21750,736361
20080613,22050,22600,21800,22600,384181
20080616,22350,22750,22150,22450,454644
20080617,22700,22700,21850,22100,487120
20080618,22200,22700,22150,22400,524085
20080619,22700,22700,22200,22350,226141
20080620,22650,23200,22450,22850,528990
20080623,22900,22900,22600,22600,267742
20080624,22750,23050,22600,22800,510232
20080625,23000,23200,22800,23000,1254219
20080626,22900,23050,22350,22950,312113
20080627,22700,23000,22600,22600,225940
20080630,22700,23200,22600,22900,526594
20080701,22900,23750,22800,23000,728701
20080702,23300,23750,22500,23000,840736
20080703,23050,23200,22700,23000,605069
20080704,22700,22800,21550,22000,1072173
20080707,21800,22200,21300,22100,519857
20080708,22100,22100,21250,21600,635118
20080709,21750,22150,21150,21150,603169
20080710,21100,21700,20750,21300,1180971
20080711,21300,22050,20950,21600,419960
20080714,22050,22100,21050,21500,486216
20080715,21400,21650,21150,21150,343029
20080716,21600,22450,21400,22100,869979
20080717,22100,22850,21650,22200,433158
20080718,22450,22500,22000,22400,313256
20080721,22700,23200,22000,22000,451543
20080722,22000,22300,21850,22150,446531
20080723,22500,22650,22100,22200,315280
20080724,22250,23200,22200,22850,451011
20080725,22850,23350,22400,22800,318859
20080728,23100,23700,23100,23700,442645
20080729,24000,24000,23550,23700,559715
20080730,23700,24100,23300,23700,356764
20080731,23550,24300,23550,24100,533177
20080801,24100,24300,23500,24050,301769
20080804,24350,25000,23850,24200,660172
20080805,24300,24500,23850,24350,677642
20080806,24500,24700,24000,24200,350907
20080807,24000,24250,23500,24250,435461
20080808,23850,24250,23600,23900,370049
20080811,23650,24350,23600,24000,316777
20080812,24000,24200,23250,23600,482597
20080813,23600,23700,23200,23450,312092
20080814,23500,24150,23350,23500,557043
20080818,23850,24150,23650,24100,438970
20080819,23950,24050,22700,23700,632874
20080820,22100,22100,20200,20900,4565124
20080821,20700,21050,20400,20400,2804979
20080822,20750,20750,20000,20450,748635
20080825,20300,20550,20200,20500,430544
20080826,20400,20600,20100,20500,388963
20080827,20000,20000,18000,19000,3331064
20080828,19100,19250,17800,17800,2954118
20080829,18500,19400,18400,19200,4658912
20080901,18800,19300,18250,18750,1737658
20080902,15950,15950,15950,15950,852632
20080903,13600,13600,13600,13600,1245984
20080904,13200,14650,12900,14300,11291748
20080905,13950,14900,13900,13900,5054856
20080908,14250,14700,14100,14700,2695695
20080909,14700,15200,14450,15000,3045135
20080910,14900,15250,14800,14950,1833732
20080911,15100,15150,14500,14600,1844219
20080912,14900,14950,14700,14800,1505476
20080916,13700,14300,13700,14050,1721288
20080917,14400,14550,14150,14200,1042226
20080918,13800,14550,13700,14000,1094726
20080919,14550,15000,14350,14800,1484621
20080922,14950,14950,14150,14350,1395763
20080923,14200,14650,14200,14450,1016759
20080924,14500,15050,14450,14850,1488177
20080925,15150,15300,14750,15300,1555329
20080926,15250,15250,14700,14950,1324203
20080929,15150,16600,14250,14450,4485695
20080930,13500,14450,13300,14450,2345478
20081001,14500,14550,13950,14300,1119480
20081002,14300,14650,14100,14450,1329713
20081006,14350,14350,13400,13550,1260169
20081007,13200,13850,13100,13750,985574
20081008,13300,13300,11800,12100,1713527
20081009,12000,12350,11300,11500,2319736
20081010,10850,11750,10100,11500,2474132
20081013,11700,12800,11700,12650,1908487
20081014,13200,13350,12750,12850,2539414
20081015,12550,13350,12550,13250,1340529
20081016,12450,12600,11700,11900,2241890
20081017,12350,12400,11050,11550,2236276
20081020,11650,11900,10850,11900,1478847
20081021,12100,12200,11300,11350,1347871
20081022,11000,11300,10200,10450,2121838
20081023,9920,10150,9720,9930,2237467
20081024,9830,9930,9100,9570,2209265
20081027,9330,11000,9300,10650,2851339
20081028,10200,11300,10100,11200,2366742
20081029,11600,11800,9900,11500,4604917
20081030,12000,13100,11500,13000,3052871
20081031,12800,13350,12350,13000,2157690
20081103,12950,13800,12900,13600,2111065
20081104,13650,13700,12900,13300,1452187
20081105,13600,13700,13150,13600,1626605
20081106,13000,13300,12900,13200,1049201
20081107,13250,13550,12650,13400,1474253
20081110,13600,14500,13550,14350,1768160
20081111,14200,14250,13750,14000,1667897
20081112,13700,14200,13450,14050,1686379
20081113,13500,14250,12900,14250,1448142
20081114,14450,14700,13850,14100,1082684
20081117,13800,14150,13500,13800,1062052
20081118,11750,11850,11750,11750,4205604
20081119,10650,11100,10450,11000,8603168
20081120,10700,11850,10600,11150,3570422
20081121,11200,11400,10650,11200,1881035
20081124,11300,11300,10700,10750,1085965
20081125,11150,11200,10550,10900,1169396
20081126,11000,11600,10900,11400,971327
20081127,11750,11800,11450,11500,638262
20081128,11650,12000,11600,12000,1011778
20081201,12100,12100,11650,11750,716887
20081202,11150,11900,11150,11800,647750
20081203,11900,12050,11600,11900,927930
20081204,12050,12400,11850,12300,970083
20081205,12350,12600,12150,12150,904168
20081208,13950,13950,13550,13950,3923412
20081209,14150,14150,13500,13800,1361362
20081210,13700,14250,13700,13800,1463565
20081211,14000,14300,13800,14000,1186741
20081212,14000,14100,13250,13950,979605
20081215,14200,14350,13950,13950,917638
20081216,14000,14050,13450,13450,1272259
20081217,13700,14100,13600,14100,1271729
20081218,14100,14500,13900,14150,1250860
20081219,14300,14300,13750,14100,654824
20081222,14350,14500,14100,14100,883919
20081223,14100,14250,13850,14100,788683
20081224,14100,14500,13850,14400,800043
20081226,14500,14500,14050,14200,1103874
20081229,13500,13700,13100,13500,901451
20081230,13500,13900,13400,13650,1182129
20090102,13650,13750,13300,13650,650822
20090105,13950,13950,13450,13450,964202
20090106,13700,14200,13450,13550,1550686
20090107,13550,13800,13250,13400,2096424
20090108,13300,13300,12800,12850,1486158
20090109,13000,13250,12900,13000,740981
20090112,13000,13150,12750,12850,689940
20090113,12900,12950,12550,12750,600785
20090114,12750,13050,12600,12850,594931
20090115,12600,12650,12050,12250,919750
20090116,12250,12300,12000,12150,730553
20090119,12250,12550,12200,12500,671952
20090120,12350,12750,12100,12700,651801
20090121,12400,12700,12100,12500,672997
20090122,12650,12850,12250,12700,734475
20090123,12600,12700,12400,12500,360891
20090128,12650,13050,12600,12900,703873
20090129,12900,13150,12800,13000,640993
20090130,12850,12950,12700,12800,384569
20090202,12750,12850,12450,12650,545436
20090203,12650,13000,12500,12750,704631
20090204,12900,13100,12800,13100,1161386
20090205,13000,13200,12800,12800,543807
20090206,12950,13100,12750,12850,577395
20090209,13000,13250,12900,13100,736883
20090210,13200,13350,13000,13250,548907
20090211,13000,13250,12850,12900,632414
20090212,12900,13200,12600,13200,1137163
20090213,13200,13300,12900,13000,1319669
20090216,12950,13100,12850,12900,566166
20090217,12800,12850,11900,12300,1246801
20090218,11950,12100,11750,12000,1028400
20090219,11900,12000,11650,12000,943879
20090220,11900,12000,11500,11600,619240
20090223,11400,11650,11300,11450,636118
20090224,11200,11400,10900,11400,824752
20090225,11550,11650,11250,11300,598528
20090226,11250,11900,11250,11500,735648
20090227,11650,12700,11550,12450,1145395
20090302,12250,12300,11650,11750,730052
20090303,11750,12150,11500,12000,562322
20090304,12300,12300,11950,12300,710567
20090305,12300,12600,12100,12600,642177
20090306,12500,13000,12300,12800,809945
20090309,13000,13000,12450,12750,464490
20090310,12550,13000,12550,13000,427631
20090311,13150,13200,12900,13100,619812
20090312,13150,13350,12950,13350,1015510
20090313,13350,13350,13050,13200,681198
20090316,13200,13750,13200,13550,931339
20090317,13700,13800,13500,13600,868985
20090318,13750,13750,13400,13600,402490
20090319,13600,13800,13000,13300,702946
20090320,13300,13600,13050,13250,585665
20090323,13250,13750,13250,13550,693888
20090324,13700,13750,13300,13600,927495
20090325,13650,13700,13500,13550,432570
20090326,13600,14050,13450,13900,867423
20090327,14050,14050,13500,13700,728542
20090330,13700,13800,13300,13350,639380
20090331,13550,13850,13500,13750,867422
20090401,13900,14400,13750,14200,1479970
20090402,14450,15000,14300,14950,1117176
20090403,15000,15050,14400,14650,965180
20090406,14600,14800,14350,14400,1026893
20090407,14350,14600,14300,14300,713580
20090408,14250,14400,13650,13750,686218
20090409,13800,14200,13700,14000,1902195
20090410,14350,14550,13950,13950,1471919
20090413,14100,14350,14000,14050,1127967
20090414,14250,14950,14100,14800,1989475
20090415,14700,14900,14250,14550,1043439
20090416,14850,15200,14500,14550,1538486
20090417,14700,14750,13900,13950,1222932
20090420,14000,14050,13550,13750,853123
20090421,13500,14050,13450,14050,634739
20090422,14300,14350,13900,13950,851371
20090423,14100,14200,13700,13750,1142125
20090424,13850,14050,13600,13600,1017567
20090427,13700,14500,13600,14000,1964732
20090428,14250,14900,14100,14200,2388231
20090429,14550,15150,14350,15150,1881186
20090430,15400,15750,15100,15600,1577231
20090504,15650,16000,14950,15000,1622427
20090506,15000,15500,14650,15300,1360934
20090507,15600,15700,15050,15500,954146
20090508,15500,15700,15100,15300,1095417
20090511,15500,15600,15000,15200,1095660
20090512,15050,15550,14950,15200,1109920
20090513,15400,16150,15350,15850,2039579
20090514,15650,16000,15250,15250,857705
20090515,15400,16050,15250,15950,1478233
20090518,16050,16700,15850,16600,1830825
20090519,16650,16850,16300,16800,1519781
20090520,16750,17600,16700,17250,1663095
20090521,17000,17900,16850,17600,1519283
20090522,17250,17600,16450,16850,907100
20090525,16400,17000,15350,16550,1191758
20090526,16350,16500,15900,16000,665913
20090527,16250,17150,16100,16400,1029508
20090528,16450,17250,16200,17150,899388
20090529,16900,17000,16300,16300,978993
20090601,16250,16550,16100,16550,512465
20090602,16700,16800,16200,16200,635900
20090603,16250,16400,15450,15750,1459354
20090604,15550,15800,15150,15500,1311515
20090605,15500,15500,15250,15400,788504
20090608,15550,15800,15350,15750,889758
20090609,15800,16150,15750,15900,851132
20090610,16000,16850,15900,16500,980927
20090611,16600,17450,16600,17000,1889956
20090612,17100,17500,16950,17300,666802
20090615,17200,17700,17000,17250,912452
20090616,17000,17050,16500,17000,571519
20090617,16900,17150,16600,16600,305380
20090618,16700,17000,16650,16750,328350
20090619,16950,17050,16500,16600,255229
20090622,16450,16600,16200,16400,407939
20090623,16100,16450,15900,16450,393597
20090624,16350,16750,16100,16350,402835
20090625,16450,17250,16350,16650,601970
20090626,16700,16800,16100,16100,485159
20090629,16000,16200,15750,15800,317949
20090630,15850,16700,15850,16300,764490
20090701,16300,16850,16300,16600,409385
20090702,16600,16650,15750,16000,1378988
20090703,15750,16100,15650,15950,362373
20090706,15950,16050,15550,15650,595264
20090707,15550,15650,15200,15500,853176
20090708,15400,15900,15300,15600,1003466
20090709,15850,15850,15300,15400,605802
20090710,15350,15800,15300,15800,326404
20090713,15900,15900,15100,15350,601430
20090714,15400,15650,15350,15500,822518
20090715,15550,15800,15500,15700,429419
20090716,15850,16250,15700,16200,679357
20090717,16100,16200,15500,16000,737039
20090720,15900,16200,15850,16150,478737
20090721,16250,16250,15900,16150,367287
20090722,16250,16250,15800,15900,649275
