날짜,시가,고가,저가,현재가,거래량
20080102,128500,129500,123000,123000,130539
20080103,122000,125500,122000,123500,104075
20080104,129500,133500,127500,130500,219404
20080107,128500,141500,128000,140500,317937
20080108,141500,145000,137000,142500,277032
20080109,139500,149500,139500,148000,252986
20080110,144000,145500,137500,137500,252958
20080111,135000,139000,126000,127500,308001
20080114,126500,129500,123500,124000,158015
20080115,127500,131500,125500,127000,270190
20080116,124000,128500,121500,125500,148418
20080117,126000,128000,118500,120500,177095
20080118,118000,122000,117000,122000,121737
20080121,120000,123000,115000,116000,119711
20080122,110000,112500,106000,106000,274632
20080123,110000,113500,109000,113000,129383
20080124,114500,118500,114500,116000,93962
20080125,118000,118500,114500,117000,108958
20080128,114500,115500,109000,112000,85286
20080129,115500,115500,106000,106000,102230
20080130,110000,111000,102000,102000,227898
20080131,103000,108500,103000,108500,117728
20080201,117000,124500,114000,124500,506386
20080204,130500,142500,126000,133000,537525
20080205,133000,133500,124500,127000,253564
20080211,122000,123500,116000,118500,205257
20080212,121500,126500,120500,123500,198130
20080213,126000,127000,118000,119000,148914
20080214,122000,134500,121500,127000,312072
20080215,124500,133500,124000,130500,215165
20080218,132000,137000,131500,135500,123976
20080219,137000,139000,131500,133500,112486
20080220,136000,136500,132500,133000,138101
20080221,134000,135000,130000,133000,99332
20080222,135500,136000,131500,133000,137711
20080225,135000,140000,134000,139000,146993
20080226,141000,142000,133500,136000,133260
20080227,137000,141000,133500,133500,160155
20080228,140000,143000,136000,136500,343385
20080229,140500,147000,139500,145500,373717
20080303,143500,152500,142500,145500,406173
20080304,148500,151000,145000,146500,170117
20080305,147500,148000,143000,148000,141560
20080306,148000,150500,145500,148000,197675
20080307,149500,153000,147000,150000,134229
20080310,146000,147000,135000,140000,250205
20080311,136000,137000,131000,133000,243685
20080312,136500,138000,130500,130500,155429
20080313,130500,136500,130000,132500,143587
20080314,135000,136500,124000,133500,143917
20080317,132000,132000,124500,127000,169049
20080318,126000,127000,121000,126000,181781
20080319,129500,130500,126000,126000,109087
20080320,122000,123500,117000,118500,317674
20080321,119000,120500,116000,117000,243190
20080324,117500,120500,116500,117000,169242
20080325,119000,127500,118500,123500,327948
20080326,124500,125500,121000,125500,172509
20080327,123500,126500,123500,126000,134633
20080328,124000,125500,123500,124000,145382
20080331,124000,125000,119000,119500,233362
20080401,120000,122500,117000,118000,282066
20080402,120500,121500,117000,118000,283133
20080403,119000,124000,119000,124000,226936
20080404,125500,125500,122500,123000,99820
20080407,125000,126500,123000,126000,153025
20080408,127500,131000,125000,127000,224585
20080410,127500,127500,124500,126000,89789
20080411,126500,128500,121000,123500,161550
20080414,122000,122000,119000,119500,126331
20080415,120000,120500,118500,119000,75651
20080416,120000,122500,119500,120500,97691
20080417,122000,124000,122000,123500,101511
20080418,124500,130000,124500,127500,234802
20080421,129000,129500,127000,128000,159719
20080422,128500,129000,124500,125000,184553
20080423,125000,132000,124500,132000,299327
20080424,132000,133000,128000,129000,207726
20080425,129500,134000,124000,126000,308697
20080428,127500,128000,123000,124500,232687
20080429,125500,125500,120000,121000,221414
20080430,121000,123000,119500,121000,186220
20080502,123000,123500,121000,121500,117156
20080506,123000,128500,122500,127500,228428
20080507,127500,128500,125000,126500,149405
20080508,124500,138500,124500,136500,443486
20080509,136500,140500,135000,138500,252752
20080513,138500,144500,136000,142500,372223
20080514,147500,151000,145500,147000,449675
20080515,148000,150000,143500,147500,332226
20080516,148500,149500,144000,146000,143140
20080519,147000,150000,146000,150000,146435
20080520,149000,149000,143000,144500,165119
20080521,142000,142000,137000,139000,144560
20080522,136000,142500,135000,141500,129173
20080523,139500,141000,138000,140500,101261
20080526,138000,139000,133500,137000,82903
20080527,135000,137500,134500,137000,70996
20080528,139000,143500,137000,137000,107172
20080529,138000,141000,136500,140000,138616
20080530,139000,139000,131500,131500,332745
20080602,132000,133000,131500,132500,93029
20080603,131000,133500,128500,129000,154294
20080604,128000,131000,128000,130000,106471
20080605,129000,133000,128500,132000,138446
20080609,128000,136500,126000,133500,118357
20080610,133500,136000,131000,131000,119986
20080611,132000,133000,127000,130500,172750
20080612,128000,130000,126500,126500,115992
20080613,129500,131500,124500,131000,198741
20080616,132500,137000,130000,136500,178216
20080617,138000,140000,135000,138000,162046
20080618,138000,141000,135500,141000,153113
20080619,140000,143500,138500,142000,110226
20080620,143000,144500,138000,140000,150409
20080623,138500,139000,136500,139000,82759
20080624,139000,145000,137500,140500,225878
20080625,141000,142500,137500,142500,93042
20080626,142500,149500,142000,145000,244142
20080627,141000,148000,141000,144000,144263
20080630,144000,145500,141000,143000,120818
20080701,143000,145500,140500,141500,97596
20080702,142500,143500,131500,139500,116873
20080703,137000,141000,134500,138500,73749
20080704,138000,139500,132000,134500,106384
20080707,132500,136500,132500,134500,84805
20080708,133000,140000,130000,130500,161162
20080709,134500,138000,132500,134000,161515
20080710,135500,141500,134500,140500,162050
20080711,145000,150000,144500,150000,205933
20080714,151000,151500,147000,148500,92066
20080715,148500,149000,141000,145000,187020
20080716,144000,147000,136000,142500,210009
20080717,144500,146000,137500,138500,181761
20080718,139500,141000,132500,135000,164287
20080721,135000,139000,134500,138500,139684
20080722,138500,140000,135000,139500,87435
20080723,141000,141500,136500,138000,124181
20080724,138000,141500,135500,139000,203442
20080725,136500,138000,133000,135000,208974
20080728,136500,138500,136000,136500,105714
20080729,134500,136000,132500,136000,94297
20080730,137000,141000,136000,139000,206617
20080731,141000,143000,138000,140000,151872
20080801,140000,145000,138000,143000,170366
20080804,143500,143500,137000,143000,119395
20080805,139500,142000,134500,135000,193225
20080806,138500,139500,136000,139500,107574
20080807,140000,140000,137500,138500,61844
20080808,136000,139500,136000,138500,49418
20080811,138500,138500,127000,127000,371503
20080812,126500,131500,124000,129500,163441
20080813,129000,130500,127000,127500,143050
20080814,127500,129000,124000,126000,182629
20080818,126000,127000,124500,125000,51097
20080819,125000,125000,121500,123500,87537
20080820,124500,126000,123500,124000,71608
20080821,125500,129000,125000,127500,143655
20080822,129500,129500,125500,127500,83731
20080825,128000,128500,123000,126000,62190
20080826,124000,128000,124000,125500,60633
20080827,125500,127000,123000,126000,48628
20080828,128000,130000,126500,130000,89762
20080829,132000,133000,127000,127000,57492
20080901,124500,126500,121000,122000,51882
20080902,119500,123000,113000,113000,120546
20080903,109500,114500,108000,113000,137791
20080904,112000,114500,110000,114500,126368
20080905,111500,118500,110500,113000,110969
20080908,114500,123500,114500,121000,132493
20080909,121000,121000,115500,120500,86217
20080910,118000,118000,115000,115500,137562
