날짜,시가,고가,저가,현재가,거래량
20080102,59600,60300,58300,58300,104502
20080103,57700,58000,55400,57300,117731
20080104,56700,57000,54700,55000,199660
20080107,53000,54000,52600,52600,236461
20080108,52300,55100,52300,54000,171861
20080109,53000,56500,52300,56500,182038
20080110,56500,57500,54900,56400,121451
20080111,56300,56300,52800,53600,212481
20080114,51600,53000,49400,50500,251093
20080115,50700,51300,47400,49200,159691
20080116,47600,48000,43950,44400,405056
20080117,45000,46450,37750,39950,922198
20080118,39100,40500,38150,40100,544937
20080121,40500,41350,38950,39200,401791
20080122,37300,37950,34150,36000,369229
20080123,37900,38000,36100,37200,215423
20080124,38500,40350,38200,38700,327542
20080125,39550,41800,39300,41800,352071
20080128,41300,42150,39400,39700,241758
20080129,41100,41200,37150,38300,235575
20080130,38700,38850,34300,36000,217450
20080131,35100,39000,34850,39000,185368
20080201,40000,41350,39500,40500,234198
20080204,40450,43100,40300,42850,261529
20080205,42000,44250,41550,44250,165089
20080211,42600,42800,41000,42000,110432
20080212,42400,42550,41400,41400,81079
20080213,42450,43350,41600,42350,131758
20080214,43000,44950,42800,43850,158911
20080215,43300,45550,43000,45000,157315
20080218,45200,45900,43700,44250,119539
20080219,45000,45700,44600,45700,117811
20080220,45500,45500,43150,43900,135466
20080221,44800,44950,43750,44500,79252
20080222,43800,44000,42600,43500,75946
20080225,43700,47450,43600,46600,255485
20080226,47500,50100,46100,49500,414923
20080227,50500,52400,49000,51800,316990
20080228,51500,52600,50300,52300,167987
20080229,51300,52600,51300,52600,156141
20080303,50800,51700,49150,51500,195186
20080304,52300,55300,52300,55300,228499
20080305,55700,56500,54100,54900,123535
20080306,56000,56000,53900,54900,115726
20080307,53100,53500,51000,52200,178660
20080310,50200,51600,49200,51400,235919
20080311,49800,53900,49800,53900,267909
20080312,56000,56900,54800,56200,264500
20080313,55800,57600,54300,56400,354903
20080314,56900,57800,53500,55500,316118
20080317,54200,55500,52500,55300,184832
20080318,55300,55300,51900,54700,151067
20080319,56000,56200,53900,55700,175603
20080320,54700,57600,54300,57500,297048
20080321,58000,58300,56200,57000,113796
20080324,57000,57100,54500,54500,167917
20080325,55000,55200,51600,52400,329918
20080326,52500,53700,52300,52800,75660
20080327,53300,56000,52500,55800,115187
20080328,55100,57900,55000,57900,170171
20080331,57900,58500,56000,57300,159525
20080401,57300,58100,56300,56300,93301
20080402,57400,58400,56800,57600,86089
20080403,57800,58000,55900,57100,92893
20080404,57100,57100,55800,57100,110236
20080407,56700,56900,55500,55900,175158
20080408,56000,56900,54100,54100,181627
20080410,54300,55000,53100,54800,127404
20080411,54900,55100,53200,54000,108173
20080414,53500,53500,50500,51000,107623
20080415,51500,51500,49500,49750,123628
20080416,51100,52900,50800,52500,123317
20080417,52800,54900,52800,54300,129830
20080418,54700,55000,53700,55000,84924
20080421,55000,55500,54200,55400,89006
20080422,55200,55700,54300,55400,100873
20080423,55200,55900,54200,55300,136087
20080424,55700,55900,50900,52800,294739
20080425,52800,52800,49500,50400,509089
20080428,50500,51400,48000,48550,249317
20080429,48900,49000,47250,47700,187990
20080430,47750,48500,47700,48450,112499
20080502,49100,49700,47300,47700,175209
20080506,47300,47600,45450,46500,232953
20080507,47000,47000,45050,45050,225531
20080508,45050,46350,43850,43900,287336
20080509,44200,44200,41650,41850,283074
20080513,42000,42500,40550,41250,231341
20080514,41250,42600,40950,41750,265625
20080515,43550,48000,43500,48000,868840
20080516,48700,50100,48100,48350,492068
20080519,48350,48800,45900,46500,261011
20080520,46900,47500,44400,46000,396813
20080521,45250,45850,44650,44750,246081
20080522,43900,46550,43150,46000,248579
20080523,45900,47500,45150,47200,343399
20080526,46550,47700,46550,47450,225348
20080527,47750,47900,45450,45900,179510
20080528,46000,46850,44850,45300,187871
20080529,45300,47400,45150,47150,206372
20080530,47500,49150,47000,48850,277097
20080602,48950,49800,47700,49700,191622
20080603,49050,49400,48450,49000,109865
20080604,49400,51100,48300,50500,196022
20080605,50400,50400,48600,50300,153694
20080609,48200,50300,48100,50000,122365
20080610,50000,50000,47900,48950,112705
20080611,49100,52000,48100,52000,242245
20080612,50800,52800,50700,51400,236598
20080613,51800,52400,50800,52300,166239
20080616,53500,53700,52600,52700,186385
20080617,53100,53600,52400,53600,208939
20080618,53500,53800,51900,53400,153330
20080619,53000,53000,50700,51000,188892
