날짜,시가,고가,저가,현재가,거래량
20080102,41400,41700,40800,41100,53168
20080103,41700,41700,40500,40800,41107
20080104,40650,41250,40200,40800,37284
20080107,40500,41100,39900,40650,34336
20080108,40350,41250,40350,40650,51430
20080109,40200,40650,40050,40200,19044
20080110,40050,40650,39900,39900,45833
20080111,39750,40200,39150,39300,49100
20080114,39150,40350,39000,39000,62960
20080115,39000,39450,37800,37800,28725
20080116,38100,38400,37050,37500,32936
20080117,38250,38850,37200,37200,42046
20080118,37500,39150,35850,39000,55456
20080121,39300,39300,37500,38250,26001
20080122,37500,37800,36300,37650,65645
20080123,37650,38250,36900,37500,41670
20080124,37650,38400,37200,37200,44752
20080125,37350,37800,36600,37200,58593
20080128,36750,36900,35850,35850,48528
20080129,36300,36450,34650,34800,87728
20080130,35100,35400,34500,34500,57900
20080131,34500,34950,33600,33600,80026
20080201,33900,34050,32850,34050,193258
20080204,33900,33900,33000,33150,102827
20080205,33000,33600,32400,32700,74826
20080211,32100,32400,31650,32100,37542
20080212,32100,32550,31800,31950,37660
20080213,32100,32250,31200,31200,98800
20080214,31800,32850,31650,32850,79426
20080215,32400,32850,31800,32850,41099
20080218,32850,33300,32100,32850,36581
20080219,33450,33750,32850,33150,57550
20080220,33150,34200,32100,33600,109613
20080221,33900,34050,32850,33300,65845
20080222,33300,33300,32550,32700,27861
20080225,32850,34350,32700,34350,71626
20080226,34500,34500,33300,33600,68668
20080227,33600,34800,33600,33900,41114
20080228,34500,34650,33600,34350,28142
20080229,34050,34050,33450,33450,36398
20080303,33000,34650,31950,34050,88698
20080304,34500,34650,33600,34650,31973
20080305,34500,34800,33450,33450,43870
20080306,33450,33600,32100,32100,83610
20080307,31800,31950,31050,31200,156120
20080310,31050,31650,29970,30450,55565
20080311,30300,30750,30000,30450,57982
20080312,31200,31200,30450,30900,83377
20080313,30450,31350,30300,30300,67884
20080314,30750,31350,29820,30300,84721
20080317,30450,31050,29760,31050,92693
20080318,31350,31350,30450,31200,57938
20080319,31650,31800,30600,31200,35608
20080320,31050,31650,30600,31500,56655
20080321,31800,31950,31050,31200,37782
20080324,31500,31950,31200,31650,36244
20080325,31650,31800,31350,31500,24932
