날짜,시가,고가,저가,현재가,거래량
20080102,3975,3980,3885,3885,139030
20080103,3880,3940,3795,3845,93850
20080104,3815,3845,3690,3760,133950
20080107,3700,3740,3600,3690,223120
20080108,3690,3690,3620,3635,153400
20080109,3550,3835,3550,3740,142200
20080110,3700,3785,3640,3695,297000
20080111,3680,3755,3650,3750,120110
20080114,3800,3820,3635,3680,139000
20080115,3635,3750,3565,3690,150800
20080116,3685,3750,3530,3530,145400
20080117,3485,3555,3390,3540,192270
20080118,3475,3640,3405,3630,142760
20080121,3720,3720,3480,3530,99710
20080122,3490,3520,3380,3515,128120
20080123,3445,3515,3410,3505,164120
20080124,3455,3800,3420,3750,280400
20080125,3710,3990,3710,3950,231100
20080128,4000,4050,3720,3720,495520
20080129,3840,3840,3560,3585,177000
20080130,3620,3630,3380,3590,134550
20080131,3485,3750,3455,3750,209500
20080201,3755,3770,3600,3600,112430
20080204,3670,3670,3540,3600,157400
20080205,3590,3600,3490,3495,178240
20080211,3400,3430,3345,3395,125620
20080212,3410,3455,3375,3395,95900
20080213,3405,3445,3310,3310,218310
20080214,3320,3470,3320,3470,149300
20080215,3400,3580,3350,3580,60500
20080218,3580,3595,3500,3570,93110
20080219,3595,3595,3495,3540,115100
20080220,3485,3530,3450,3510,92400
20080221,3510,3510,3405,3425,118220
20080222,3355,3430,3320,3430,94080
20080225,3490,3490,3380,3380,68600
20080226,3370,3425,3350,3350,114430
20080227,3390,3425,3320,3420,194760
20080228,3365,3430,3340,3430,114830
20080229,3385,3440,3355,3435,110900
20080303,3355,3450,3340,3430,97810
20080304,3430,3440,3370,3440,172810
20080305,3410,3470,3345,3360,228820
20080306,3345,3385,3265,3355,221800
20080307,3280,3310,3220,3265,172060
20080310,3205,3250,3050,3150,157740
20080311,3050,3135,3030,3130,166930
20080312,3130,3130,3130,3130,0
20080313,3130,3130,3130,3130,0
20080314,3130,3130,3130,3130,0
20080317,3130,3130,3130,3130,0
20080318,3130,3130,3130,3130,0
20080319,3130,3130,3130,3130,0
20080320,3130,3130,3130,3130,0
20080321,3200,3420,3130,3200,333448
20080324,3225,3450,3225,3270,364898
20080325,3260,3325,3090,3145,613040
20080326,3125,3190,3085,3160,233710
20080327,3125,3175,3100,3110,175139
20080328,3090,3120,3070,3110,139380
20080331,3115,3115,3000,3010,301486
20080401,3020,3050,2945,2945,420001
20080402,2985,2985,2790,2800,660431
20080403,2800,2880,2800,2840,274370
20080404,2825,2940,2825,2870,244554
20080407,2900,2945,2830,2840,744313
20080408,2860,2860,2770,2785,477461
20080410,2795,2820,2640,2760,775189
20080411,2735,2735,2600,2650,1015148
20080414,2630,2640,2555,2560,865894
20080415,2600,2665,2570,2605,1021739
20080416,2650,2820,2635,2815,3076759
20080417,2840,2985,2785,2905,1645000
20080418,2930,2995,2860,2985,1041327
20080421,2995,3050,2955,3045,881790
20080422,3045,3050,2940,3000,707831
20080423,2980,3050,2950,2950,649803
20080424,2930,2965,2880,2925,460954
20080425,2945,3070,2855,3070,562503
20080428,3110,3110,2995,3075,460817
20080429,3040,3095,2995,3045,255510
20080430,3040,3090,3005,3090,220080
20080502,3120,3120,3050,3110,241640
20080506,3090,3300,3055,3285,578899
20080507,3275,3350,3190,3255,1163244
20080508,3250,3350,3200,3350,708268
20080509,3350,3350,3250,3340,540772
20080513,3300,3340,3260,3320,338650
20080514,3325,3325,3260,3295,378180
20080515,3295,3320,3205,3300,506088
20080516,3300,3470,3200,3200,820967
20080519,3235,3450,3185,3395,424991
20080520,3445,3750,3415,3600,948281
20080521,3600,3700,3420,3505,734813
20080522,3505,3505,3350,3420,608580
20080523,3485,3500,3385,3485,288260
20080526,3415,3500,3200,3260,450622
20080527,3255,3370,3250,3250,256789
20080528,3260,3290,3150,3200,246944
20080529,3180,3375,3160,3375,593129
20080530,3375,3420,3300,3410,124029
20080602,3410,3500,3300,3495,307340
20080603,3485,3635,3325,3600,338202
20080604,3500,3545,3365,3365,433609
20080605,3385,3445,3300,3400,402762
20080609,3250,3400,3220,3320,152109
20080610,3335,3390,3165,3250,319060
20080611,3250,3290,3100,3100,597405
20080612,3095,3100,2970,3055,593900
20080613,3070,3095,2980,3095,1691930
20080616,3125,3150,3085,3140,252054
20080617,3165,3170,3075,3140,585410
20080618,3140,3150,3070,3130,196598
20080619,3080,3105,3015,3050,133965
20080620,3105,3105,3000,3040,124820
20080623,2965,3080,2965,3025,92985
20080624,3000,3010,2960,2990,113086
20080625,3005,3020,2870,2880,215040
20080626,2895,2935,2820,2835,215186
20080627,2785,2870,2710,2790,242814
20080630,2805,2890,2785,2790,153195
20080701,2835,2840,2740,2740,119662
20080702,2740,2775,2460,2545,424183
20080703,2495,2575,2460,2505,793513
20080704,2580,2630,2510,2515,335204
20080707,2505,2535,2420,2515,167393
20080708,2520,2530,2390,2445,279299
20080709,2450,2515,2340,2420,466891
