날짜,시가,고가,저가,현재가,거래량
20080102,81975,83542,80407,80407,10645
20080103,81329,81882,79116,79762,9578
20080104,79393,81882,78932,79669,10413
20080107,79301,79577,77733,78655,6401
20080108,78747,78747,76719,76811,19779
20080109,75981,78194,75059,77549,9060
20080110,77641,78102,76258,76258,11750
20080111,76350,77088,75151,75612,7285
20080114,76442,76903,75612,75612,13287
20080115,74875,75612,73584,74875,17851
20080116,74875,75520,73860,74598,13467
20080117,74045,75151,73952,74875,19034
20080118,75612,75612,72846,75612,24511
20080121,75612,75704,73860,74690,11493
20080122,74598,75151,72016,74321,17981
20080123,72661,78286,71002,76073,13135
20080124,73952,76534,73952,75889,7975
20080125,75520,76903,73307,75612,27013
20080128,74045,74690,71094,71094,9231
20080129,71186,73952,69434,73768,17576
20080130,72938,74045,69711,72385,20480
20080131,72385,73768,70633,73768,23347
20080201,72477,72846,71094,72661,15179
20080204,73676,74229,72477,73307,16236
20080205,73215,73215,71186,71924,16551
20080211,70541,71463,70356,71278,4703
20080212,71002,71278,70264,71002,3720
20080213,71002,71002,69158,69158,7829
20080214,69250,70264,67406,69711,21269
20080215,69342,69342,66299,68235,29924
20080218,67498,67959,66299,66299,30117
20080219,66391,67313,65469,65469,40605
20080220,65285,66299,64455,64547,31121
20080221,65285,67774,64731,67498,32150
20080222,66852,70264,66760,68789,30503
20080225,71002,71002,69158,70909,17430
20080226,71371,71832,70541,70541,17630
20080227,70541,73768,69434,73676,20230
20080228,73399,73768,70909,73768,32427
20080229,72108,73768,71739,73768,16904
20080303,72846,73768,70725,73768,23225
20080304,73307,73768,71647,73676,35467
20080305,73676,73676,70541,73491,45159
20080306,72200,73307,71832,71832,20950
20080307,70817,71924,70448,71924,12595
20080310,70633,72569,70541,72569,11818
20080311,71278,71924,71278,71555,11735
20080312,71832,72385,70264,70725,23102
20080313,70080,71555,66852,70725,37318
20080314,70264,70725,67774,70080,24840
20080317,69895,69895,67959,69619,9070
20080318,69158,69711,68235,69526,14064
20080319,69619,70909,69250,70172,20598
20080320,69158,70172,68789,69342,14199
20080321,69250,70172,69065,70080,24162
20080324,71002,71002,69434,69526,155366
20080325,69711,70448,69158,69526,26663
20080326,69434,69619,68235,69158,148853
20080327,69158,69895,68789,69803,20212
20080328,68789,71094,68789,70541,24438
20080331,70541,71094,69619,69619,5857
20080401,69711,73215,69250,72108,37113
20080402,72200,73584,72108,72569,22235
20080403,73215,73215,71463,72016,13609
20080404,73215,73491,71832,73491,21313
20080407,73768,75428,72846,75151,17832
20080408,75612,76073,74413,75889,16036
20080410,72938,76811,72938,76811,13590
20080411,75243,76995,74782,75059,11833
20080414,73860,76903,73030,73768,28778
20080415,74506,74506,71555,71647,56638
20080416,72661,73030,71924,72477,33847
20080417,72846,73307,71094,71371,37624
20080418,71555,73215,71371,72661,7549
20080421,72661,73584,72385,72385,6629
20080422,74229,74229,72385,72385,15296
20080423,72661,73030,71278,72385,13639
20080424,72385,72846,71371,71924,13771
20080425,71832,73215,71832,73215,7983
20080428,73860,75151,72846,73215,14943
20080429,73215,73215,71002,72016,14446
20080430,71463,73676,70264,73584,23249
20080502,73584,74229,73123,73307,11558
20080506,73768,74967,73491,74690,46358
20080507,75151,78010,74690,76534,30820
20080508,76995,78840,76811,77456,86836
20080509,78379,78840,76534,78840,50312
20080513,80223,82989,79116,82989,51281
20080514,81329,83358,80130,81698,33653
20080515,81145,82989,80868,82528,23040
20080516,82528,84280,80499,80960,25961
20080519,81606,81975,79762,81053,10735
20080520,80407,81237,79762,80776,12949
20080521,80960,82897,79393,80407,22513
20080522,80684,81606,78655,81421,34667
20080523,80684,83450,80130,83358,20597
20080526,83819,83819,82251,83266,16433
20080527,82436,83727,81421,83173,13785
20080528,82067,85110,81975,84372,27916
20080529,84096,85202,83911,84372,17019
20080530,84188,88522,82344,88522,26563
20080602,88061,88061,85479,85848,21667
20080603,85848,87138,84741,84833,14299
20080604,86216,86216,84741,85386,13366
20080605,84464,85479,83727,84741,12177
20080609,82989,85202,81882,84741,16105
20080610,85018,86216,84464,84557,18667
20080611,84096,85571,83542,84649,17179
20080612,85018,85018,82159,82159,14627
20080613,82159,83819,78840,83819,15304
20080616,82528,84557,82528,84372,8559
20080617,85571,85663,81606,83634,7773
20080618,85110,85110,82067,84833,7131
20080619,85571,85571,82620,84833,7463
20080620,83911,84833,82989,82989,5320
20080623,81329,84372,81329,84372,6814
20080624,84372,85294,82620,85294,9219
20080625,85202,85294,83450,84925,8594
20080626,84003,85110,83450,84833,10184
20080627,82989,84833,82989,84649,8427
20080630,85571,85663,84188,84557,6125
20080701,84833,84833,83266,84557,11027
20080702,84741,84741,81606,84096,11831
20080703,83911,84925,82805,83911,21607
20080704,82436,85018,82436,84833,21711
20080707,85294,85294,83819,85202,15730
