날짜,시가,고가,저가,현재가,거래량
20080102,8915,8915,8492,8492,869
20080103,8556,8556,8464,8556,1108
20080104,8547,8547,8547,8547,1065
20080107,8216,8547,8216,8547,1152
20080108,8538,8538,8538,8538,0
20080109,8510,8510,8510,8510,43
20080110,8510,8510,8510,8510,195
20080111,8372,8639,8372,8593,4021
20080114,8593,8685,8584,8685,239
20080115,8510,8547,8464,8547,7771
20080116,8832,8832,8344,8501,2413
20080117,8326,8492,8289,8482,2206
20080118,8473,8694,8418,8630,2456
20080121,8630,8648,8308,8648,3076
20080122,8639,8639,8501,8501,304
20080123,8501,8501,8501,8501,130
20080124,8464,8464,8455,8464,826
20080125,8464,8547,8344,8464,793
20080128,8464,8464,8464,8464,543
20080129,8289,8464,8280,8464,1934
20080130,8574,8574,8574,8574,108
20080131,8565,8574,8510,8519,49434
20080201,8464,8519,8464,8519,869
20080204,8556,8556,8289,8547,33347
20080205,8547,8547,8547,8547,326
20080211,8280,8464,8280,8464,2173
20080212,8455,8556,8326,8556,456
20080213,8528,8528,8326,8510,17945
20080214,8556,8556,8372,8547,1228
20080215,8381,8510,8335,8510,663
20080218,8372,8427,8344,8409,3184
20080219,8538,8538,8317,8409,4228
20080220,8289,8455,8289,8372,33663
20080221,8528,8528,8289,8501,27858
20080222,8298,8418,8280,8390,24815
20080225,8390,8390,8326,8390,380
20080226,8326,8418,8004,8418,24804
20080227,8482,8556,8298,8556,33521
20080228,8381,8547,8372,8547,326
20080229,8427,8547,8418,8547,3652
20080303,8464,8556,8464,8556,1315
20080304,8326,8556,8326,8556,63108
20080305,8556,8556,8556,8556,21
20080306,8538,8538,8298,8298,1054
20080307,8354,8354,8289,8335,282
20080310,8455,8455,8455,8455,1608
20080311,8418,8418,8344,8409,956
20080312,8510,8510,8188,8363,1858
20080313,8547,8547,8142,8418,3826
20080314,8243,8400,8151,8381,3402
20080317,8105,8372,8013,8372,5760
20080318,8022,8326,8022,8326,2750
20080319,8151,8363,8124,8335,6554
20080320,8151,8298,8151,8280,1967
20080321,8363,8363,8234,8234,184
20080324,8170,8280,8170,8271,1978
20080325,8271,8271,8271,8271,0
20080326,8216,8271,8142,8142,2934
20080327,8050,8252,8041,8041,2119
20080328,8004,8262,8004,8013,1271
20080331,8013,8556,7995,8280,5663
20080401,8280,8464,8096,8363,66369
20080402,8326,8418,8280,8409,12782
20080403,8206,8354,8206,8280,10152
20080404,8326,8326,8280,8317,11076
20080407,8280,8418,8280,8418,4478
20080408,8280,8289,8252,8280,1347
20080410,8372,8372,8197,8372,250
20080411,8206,8326,8206,8326,836
20080414,8418,8418,8206,8363,597
20080415,8234,8372,8234,8372,445
20080416,8418,8418,8363,8363,945
20080417,8418,8418,8280,8390,239
20080418,8234,8409,8234,8372,65
20080421,8326,8344,8206,8280,1695
20080422,8280,8280,8004,8050,6586
20080423,8096,8317,8013,8271,7630
20080424,8289,8372,8170,8372,6423
20080425,8390,8390,8133,8271,8543
20080428,8216,8326,8151,8271,4195
20080429,8409,8409,8188,8234,2402
20080430,8354,8372,8280,8344,1054
20080502,8344,8344,8151,8335,423
20080506,8298,8363,8160,8326,4358
20080507,8216,8243,8160,8206,42728
20080508,8105,8133,8105,8124,50586
20080509,8105,8124,7930,8041,46630
20080513,7967,8179,7940,8170,70326
20080514,8059,8326,8059,8326,1315
20080515,8262,8280,8087,8280,21391
20080516,8096,8170,8050,8096,25684
20080519,8096,8096,8004,8096,423
20080520,8004,8096,8004,8096,206
20080521,8004,8096,7921,8096,2760
20080522,7930,8059,7930,8059,1347
20080523,8096,8096,7912,7921,2130
20080526,7912,7995,7866,7995,326
20080527,7958,8096,7866,8096,3163
20080528,7967,8087,7912,7912,1717
20080529,8087,8087,7958,8087,5456
20080530,7986,8096,7958,7958,1597
20080602,7921,7949,7912,7949,717
20080603,7949,7958,7912,7912,1576
20080604,7940,8252,7940,8087,239
20080605,8087,8280,8087,8280,1119
20080609,8013,8390,8013,8354,1902
20080610,8280,8280,8105,8271,1586
20080611,8188,8188,8041,8188,2228
20080612,8188,8188,8188,8188,0
20080613,8188,8234,8188,8234,1858
20080616,8234,8280,8225,8280,836
20080617,8280,8280,8280,8280,0
20080618,8372,8372,8372,8372,21
20080619,8105,8372,8096,8372,1815
20080620,8326,8326,8326,8326,0
20080623,8013,8160,8013,8160,1565
20080624,8004,8344,8004,8344,630
20080625,8032,8308,8032,8262,190445
20080626,8243,8243,8234,8234,1195
20080627,8326,8326,8179,8179,1097
20080630,8179,8179,8179,8179,32
20080701,8280,8280,8004,8151,6978
20080702,7958,8041,7912,8022,17967
20080703,7783,8087,7783,7820,20913
20080704,7820,7986,7452,7452,2663
20080707,7544,7884,7544,7857,423
20080708,7903,7903,7820,7894,152
20080709,7903,7903,7820,7884,1510
20080710,7884,7884,7884,7884,0
20080711,7774,7884,7774,7884,228
20080714,7636,7884,7572,7884,597
20080715,7903,7903,7903,7903,10
20080716,7976,7976,7976,7976,54
20080717,7967,7976,7774,7976,4250
20080718,8041,8041,7912,8004,1423
20080721,8004,8004,7636,7958,18054
20080722,7654,7940,7470,7553,35956
20080723,7562,7673,7020,7204,53967
20080724,7286,7461,6964,7360,18347
20080725,7360,7489,7277,7480,15673
20080728,7498,7544,7498,7498,500
20080729,7498,7498,7498,7498,684
20080730,7498,7498,7360,7498,1271
20080731,7498,7535,7452,7535,11456
20080801,7544,7544,7544,7544,32
20080804,7378,7535,7360,7360,5717
20080805,7360,7535,7360,7535,1184
20080806,7535,7535,7535,7535,0
20080807,7535,7535,7415,7415,6934
20080808,7608,7608,7535,7535,260
20080811,7480,7590,7452,7590,1152
20080812,7590,7590,7590,7590,108
20080813,7544,8087,7480,8078,3673
20080814,7820,7912,7728,7728,12021
20080818,7774,7820,7636,7820,5782
20080819,7728,7728,7728,7728,152
20080820,7700,7728,7664,7728,880
20080821,7553,7728,7424,7636,10054
20080822,7820,7820,7360,7544,3000
20080825,7544,7811,7406,7737,336
20080826,7636,7682,7470,7627,1065
20080827,7452,7700,7452,7590,2467
20080828,7498,7590,7498,7590,32
20080829,7590,7590,7590,7590,0
20080901,7636,7636,7176,7360,3010
20080902,7130,7360,7130,7286,8956
20080903,7314,7342,7268,7342,652
20080904,7296,7342,7259,7259,532
20080905,7259,7489,7176,7360,11543
20080908,7268,7526,7102,7102,27891
20080909,7194,7434,7102,7360,1032
20080910,7424,7424,7424,7424,10
20080911,7535,7535,7360,7470,586
20080912,7443,7452,7406,7406,3065
20080916,7406,7406,7406,7406,0
20080917,7268,7443,7222,7443,413
20080918,7388,7388,7167,7351,554
20080919,7259,7470,7259,7470,423
20080922,6937,7434,6937,7240,554
20080923,6992,7461,6946,7084,14760
20080924,7434,7434,6964,7047,14510
20080925,7572,7572,7544,7544,282
20080926,7075,7461,7075,7452,608
20080929,7397,7397,7397,7397,0
20080930,7314,7314,7314,7314,0
20081001,7314,7314,7314,7314,108
20081002,7268,7305,7176,7268,815
20081006,7148,7167,6716,6900,1250
20081007,6725,7268,6725,7268,2673
20081008,6992,7351,6753,7323,576
20081009,7167,7167,7167,7167,0
20081010,7158,7158,7158,7158,10
20081013,6900,7056,6734,6808,3902
20081014,7323,7323,7268,7286,619
20081015,8317,8317,6753,7148,3554
20081016,6734,7084,6716,6780,8543
20081017,6780,6854,6357,6808,44054
20081020,6808,6826,6707,6808,9489
20081021,6808,6964,6790,6955,7684
20081022,6762,6983,6725,6891,28902
20081023,6440,6661,5860,6642,18695
20081024,5906,6569,5658,6357,6565
20081027,5980,5980,5410,5410,17097
20081028,5051,5207,4600,4609,219000
20081029,4609,4986,4609,4710,53717
20081030,4968,5410,4968,5410,9358
20081031,5410,5410,4931,5143,3554
20081103,4747,5879,4747,5069,4586
20081104,5069,5410,4996,5410,4673
20081105,5925,5952,5198,5520,3989
20081106,5520,5520,4876,5437,8836
20081107,4885,5741,4885,5741,7869
20081110,5741,5741,5373,5410,663
20081111,5437,5658,5336,5410,4380
20081112,5410,5603,5410,5603,250
20081113,5603,5695,5594,5603,1380
20081114,5529,5612,5529,5612,250
20081117,5520,5750,5244,5676,1467
20081118,5336,5520,5336,5520,195
20081119,5704,5704,5318,5594,597
20081120,5538,5538,5538,5538,0
20081121,5060,5584,5060,5584,217
20081124,5759,5759,5446,5446,108
20081125,5741,5741,5465,5686,1347
20081126,5520,5676,5520,5676,1097
20081127,5676,5713,5400,5400,163
20081128,5198,5612,5198,5520,3641
20081201,5428,5511,5152,5474,7456
20081202,5474,5630,5474,5474,2358
20081203,5520,5557,5502,5557,1945
