날짜,시가,고가,저가,현재가,거래량
20080102,199500,199500,190000,190000,16152
20080103,194000,196500,189000,194000,15776
20080104,194000,200500,191500,198500,12785
20080107,198000,202000,191000,201500,21245
20080108,202000,203000,194000,203000,9259
20080109,199000,201000,197500,199000,6758
20080110,201500,204500,197000,202000,17452
20080111,200000,201000,193500,194500,13749
20080114,195000,200000,194000,197500,34880
20080115,197500,199000,191000,193000,30651
20080116,192000,193000,185500,189000,21912
20080117,187000,191000,183000,183000,23849
20080118,180500,182000,176000,178000,24139
20080121,177500,177500,175500,177000,14099
20080122,175000,178000,174000,178000,23323
20080123,186000,186000,178000,183500,15750
20080124,181000,185000,179000,183000,20637
20080125,180500,183000,178500,181500,28969
20080128,181500,184500,179000,182000,14665
20080129,181500,183000,179500,183000,13335
20080130,182000,186000,177500,182500,30300
20080131,184500,191500,180500,191500,34602
20080201,187500,192000,185500,187000,38768
20080204,188000,190000,187500,189500,31938
20080205,190500,194000,188500,189500,6148
20080211,189500,191000,185500,188500,10427
20080212,187000,192000,186000,190500,10902
20080213,191000,192500,188000,189500,16750
20080214,189500,194500,188000,194500,14871
20080215,191500,191500,187000,190500,12433
20080218,190500,195500,190000,193000,16653
20080219,194000,200000,194000,197500,32464
20080220,198500,201000,192000,198000,31185
20080221,197500,200500,197000,199000,14923
20080222,199000,199000,193000,197500,12117
20080225,200000,200000,196000,200000,17798
20080226,198000,199000,196000,199000,14826
20080227,199500,200500,195500,197500,18358
20080228,195000,196000,192000,196000,17316
20080229,196000,196000,187500,192000,27340
20080303,190000,190500,185500,190000,14961
20080304,192500,197500,188500,197000,17948
20080305,199000,199500,194500,199000,15515
20080306,199500,201000,196500,201000,14639
20080307,198000,198000,195000,195000,6912
20080310,198500,201000,194500,201000,12559
20080311,201500,201500,194000,196000,19363
20080312,200500,200500,196000,198000,9909
20080313,197500,199000,190000,192500,16123
20080314,191500,196500,188500,192000,7463
20080317,192500,194000,181500,192000,10997
20080318,183000,187000,183000,183500,29315
20080319,185500,191000,185000,190000,16879
20080320,190000,191000,179500,179500,18184
20080321,178500,182000,178500,181000,12134
20080324,182000,182000,177500,179000,9079
20080325,179500,181500,179000,179000,13431
20080326,178500,180500,175000,176000,15279
20080327,179000,181500,177500,181500,13696
20080328,179500,182000,178500,179500,9666
20080331,181000,181000,178000,180500,9711
20080401,182000,182000,178500,181500,9083
20080402,183000,183000,178000,178500,20877
20080403,179500,181500,179000,181500,8890
20080404,182000,182000,180500,180500,6687
20080407,182000,183500,181000,182000,12796
20080408,183000,183000,180500,180500,13568
20080410,180500,184500,180000,184500,13467
20080411,183000,184500,181500,184000,7456
20080414,182000,182500,180000,182500,6140
20080415,183500,183500,180500,182000,6320
20080416,183500,189500,182000,185500,12529
20080417,186000,188500,183500,186000,8363
20080418,188000,189500,185000,185500,7079
20080421,186000,188000,184500,186000,9431
20080422,186500,188000,185000,186500,8330
20080423,189000,190500,187000,188000,13069
20080424,188000,188000,185000,188000,8024
20080425,188000,189500,187000,189000,5649
20080428,186500,187500,185500,185500,8542
20080429,184500,188000,184500,185000,10674
20080430,185000,188000,184500,184500,6946
20080502,184500,185500,182500,182500,12666
20080506,182500,188000,182500,183500,34314
20080507,184000,184500,181000,181000,9920
20080508,181500,183500,181500,181500,9578
20080509,182000,182500,180000,181500,8805
20080513,182000,185500,181500,185500,12348
20080514,185500,186500,181500,182000,15875
20080515,181500,185000,181500,182500,15036
20080516,184500,189000,183000,188000,15819
20080519,190000,192000,190000,192000,13121
20080520,192000,192500,188000,191000,6754
20080521,187000,188500,184000,184000,9874
20080522,183000,184000,181500,183000,11013
20080523,183500,185000,182000,183000,7557
20080526,183000,185000,182500,183000,9568
20080527,183000,184500,182000,182000,6127
20080528,183000,185000,181000,181000,17921
20080529,181500,185000,181500,182000,10784
20080530,183000,185500,180500,180500,44124
20080602,181500,185000,181000,183500,13047
20080603,183500,188500,183000,188500,13660
20080604,189000,196000,189000,196000,27594
20080605,196500,198500,189000,198000,18271
20080609,194000,197500,193000,196000,12983
20080610,195000,195000,189000,193500,24716
20080611,191500,192500,188000,191000,12739
20080612,187500,191500,187000,188000,17020
20080613,188000,200000,188000,200000,27974
20080616,200000,200000,195500,199500,9853
20080617,200500,212500,198000,210000,39774
20080618,213000,219000,211000,219000,36344
20080619,220000,220000,211500,215500,22571
20080620,213500,217000,210000,215000,14462
20080623,210000,221000,208000,219000,23727
20080624,215500,220500,214000,216000,18957
20080625,211500,219000,211500,218000,9106
20080626,214000,218500,212500,216500,19988
20080627,210000,218000,208000,215000,23429
20080630,219000,227500,218500,223500,35052
20080701,224500,228000,222000,225000,25310
20080702,216500,229000,216500,227000,36006
20080703,224500,229000,210500,219500,44142
20080704,215500,223500,213000,216500,12145
20080707,216500,220000,210000,215000,36619
20080708,212000,215000,207000,209000,34620
20080709,210000,219500,202500,215000,21931
20080710,218500,219500,212000,215500,25686
20080711,215500,219500,214500,215000,21517
20080714,217500,219500,214000,216000,9619
20080715,215500,218500,215000,215500,15815
20080716,218000,220000,217000,218500,20744
20080717,219000,221000,215500,218000,15329
20080718,213000,214500,200000,200000,67328
20080721,201000,221000,201000,215500,30121
20080722,215000,218500,212500,217500,5178
20080723,216000,217500,212500,217500,11304
20080724,216000,217000,213500,213500,15902
20080725,214000,218500,213000,213500,8610
20080728,216500,219000,213000,218500,12264
20080729,213000,218500,209500,215500,11173
20080730,215500,227500,215500,227000,18799
20080731,227000,228000,222500,226500,18737
20080801,226000,231000,220500,230000,18394
20080804,232000,236000,224000,230000,28046
20080805,230000,235000,222500,223500,16784
20080806,220500,221000,211500,215000,55197
20080807,215000,231000,214000,225000,30095
20080808,226000,229000,220000,226000,10731
20080811,225500,230000,225500,227000,10877
20080812,224000,230000,221000,229000,15297
20080813,230000,230000,221500,226000,14137
20080814,223000,232000,223000,228500,13950
20080818,228500,229500,223500,224500,14713
20080819,225000,225000,217000,220500,22802
20080820,218000,225000,217500,224500,23987
20080821,223000,223000,218000,222500,10847
20080822,217500,222500,215000,222500,12824
20080825,221500,225000,218000,219000,6143
20080826,218500,224000,217000,224000,11993
20080827,220000,224000,220000,223000,11799
20080828,223000,223000,216000,217000,12063
20080829,219000,221500,217000,219500,13308
