날짜,시가,고가,저가,현재가,거래량
20080102,5700,5710,5460,5460,136870
20080103,5460,5500,5350,5410,163135
20080104,5430,5470,5300,5370,226600
20080107,5290,5290,5170,5200,496515
20080108,5200,5260,5160,5210,150466
20080109,5100,5260,5100,5250,144193
20080110,5300,5370,5210,5280,226040
20080111,5330,5350,5170,5170,117555
20080114,5170,5270,5160,5160,101422
20080115,5170,5190,5000,5000,130226
20080116,4985,4995,4905,4905,122212
20080117,4910,4980,4900,4940,124956
20080118,4960,5290,4870,5240,122314
20080121,5280,5280,5090,5160,89658
20080122,5110,5110,4920,4940,294675
20080123,5020,5060,4950,5030,327134
20080124,5050,5150,5030,5080,144038
20080125,5080,5160,5060,5110,145570
20080128,5100,5100,4950,5000,139700
20080129,5000,5010,4930,4935,121220
20080130,4950,4980,4720,4720,125450
20080131,4730,4935,4730,4735,86170
20080201,4765,4960,4725,4960,147581
20080204,4970,5040,4915,4955,50745
20080205,4915,5000,4915,4955,59307
20080211,4980,4980,4810,4840,190834
20080212,4860,4910,4815,4860,92650
20080213,4860,4900,4800,4800,212790
20080214,4885,4920,4850,4870,152912
20080215,4855,4855,4790,4810,183681
20080218,4820,4860,4795,4825,103610
20080219,4850,4965,4840,4920,104444
20080220,4850,4850,4715,4715,326813
20080221,4715,4785,4700,4735,399733
20080222,4750,4750,4665,4695,364626
20080225,4700,4795,4700,4760,178180
20080226,4780,4850,4750,4765,64418
20080227,4775,4830,4775,4775,44756
20080228,4780,4840,4725,4840,75823
20080229,4755,4820,4715,4730,87170
20080303,4695,4695,4600,4600,106195
20080304,4640,4640,4550,4565,92952
20080305,4625,4655,4570,4610,95212
20080306,4580,4750,4580,4700,108647
20080307,4650,4670,4600,4610,78310
20080310,4580,4670,4580,4625,42770
20080311,4605,4825,4570,4825,97283
20080312,4835,4890,4795,4865,105359
20080313,4880,4900,4725,4725,118111
20080314,4850,4920,4660,4720,279050
20080317,4770,4945,4695,4945,216118
20080318,4945,5430,4945,5380,711753
20080319,5400,5450,5170,5280,293061
20080320,5240,5500,5180,5420,335220
20080321,5500,5500,5350,5370,101030
20080324,5400,5590,5360,5560,173780
20080325,5580,5600,5400,5500,136912
20080326,5460,5510,5300,5450,149574
20080327,5400,5500,5280,5320,66830
20080328,5270,5510,5270,5470,77310
20080331,5470,5470,5250,5300,103730
20080401,5270,5360,5210,5210,124010
20080402,5300,5320,5190,5260,121685
20080403,5290,5300,5200,5300,167299
20080404,5240,5340,5230,5340,72410
20080407,5380,5420,5340,5400,124375
20080408,5370,5380,5300,5300,84031
20080410,5280,5550,5200,5550,184837
20080411,5450,5530,5400,5420,216252
20080414,5400,5400,5290,5300,71211
20080415,5350,5400,5270,5370,53820
20080416,5340,5440,5340,5400,110265
20080417,5420,5460,5330,5410,114970
20080418,5440,5550,5410,5530,155391
20080421,5590,5610,5510,5510,90920
20080422,5480,5610,5280,5330,209793
20080423,5330,5390,5280,5330,123590
20080424,5300,5330,5200,5210,137488
