날짜,시가,고가,저가,현재가,거래량
20080102,12150,12250,11900,12050,192838
20080103,11950,12050,11850,11950,129326
20080104,11900,12000,11600,12000,208301
20080107,11750,12400,11700,12150,227861
20080108,12300,12750,12200,12650,408216
20080109,12450,12850,12350,12750,192292
20080110,12800,12800,12350,12350,113030
20080111,12550,12650,11950,12100,186814
20080114,12000,12250,11700,11800,169995
20080115,12100,12500,11700,12200,408978
20080116,12000,12400,11950,12200,123484
20080117,12350,12450,12050,12400,131420
20080118,12100,12700,12000,12600,179627
20080121,12500,12500,11950,12100,171248
20080122,11900,12000,11200,11500,269667
20080123,11900,11900,11150,11300,195215
20080124,11550,11600,11200,11200,215193
20080125,11350,11500,11250,11400,155205
20080128,11250,11450,10850,10900,184374
20080129,11050,11150,10750,10900,107414
20080130,10950,11150,10500,10750,164278
20080131,10550,11100,10550,11100,146111
20080201,11200,11300,10600,10700,209498
20080204,10750,10900,10600,10700,159506
20080205,10750,10950,10750,10800,135592
20080211,10550,10650,10350,10350,136774
20080212,10400,10500,10150,10450,178482
20080213,10600,10800,10550,10600,152043
20080214,10800,10800,10600,10800,122095
20080215,10650,11300,10600,11100,231101
20080218,11200,11250,10950,11050,118390
20080219,11100,11350,10950,11050,143301
20080220,11000,11000,10750,10800,114154
20080221,10900,10950,10800,10950,108462
20080222,10800,11000,10650,11000,70610
20080225,11000,11050,10850,11050,66371
20080226,11100,11100,10700,10700,116528
20080227,10850,10850,10650,10700,111517
20080228,10800,11000,10650,10850,156200
20080229,10800,10800,10600,10750,109962
20080303,10600,10650,10350,10600,341730
20080304,10700,10800,10500,10700,112485
20080305,10700,10800,10600,10700,69205
20080306,10700,10850,10600,10850,153381
20080307,10650,10700,10550,10600,84380
20080310,10500,10600,10300,10350,60742
20080311,10150,10350,10050,10200,138587
20080312,10400,10450,9980,10100,290904
20080313,10050,10150,9840,9870,170194
20080314,9880,10300,9730,10100,273152
20080317,10050,10050,9800,10000,110566
20080318,10000,10050,9810,9990,77931
20080319,10100,10200,9710,9810,190168
20080320,9800,9800,9260,9510,305523
20080321,9620,9620,9380,9390,176001
20080324,9440,9490,9380,9410,102087
20080325,9520,9880,9470,9630,358554
20080326,9650,9650,9460,9630,122436
20080327,9580,9750,9500,9750,103210
20080328,9620,9750,9590,9720,171484
20080331,9790,9790,9640,9650,107261
20080401,9630,9690,9560,9620,123215
20080402,9660,9700,9500,9500,130417
20080403,9450,9580,9360,9400,217489
20080404,9410,9550,9400,9550,94062
20080407,9600,10400,9600,10200,931217
20080408,10300,10600,10100,10400,355715
20080410,10400,10750,10250,10600,264002
20080411,10750,10750,10400,10550,156824
20080414,10350,10550,10200,10400,146066
20080415,10300,10700,10300,10550,145104
20080416,10800,10950,10550,10700,197909
20080417,10850,10850,10450,10600,144914
20080418,10650,10900,10550,10850,174286
20080421,10900,10950,10650,10750,121435
20080422,10700,10750,10400,10550,167974
20080423,10550,10750,10450,10750,131710
20080424,10700,10800,10550,10650,95474
20080425,10650,10750,10500,10600,95403
20080428,10600,10800,10350,10400,147713
20080429,10400,10500,10050,10250,161854
20080430,10150,10450,10150,10200,133588
20080502,10250,10400,10150,10200,179972
20080506,10300,11300,10200,10950,629311
20080507,10950,10950,10550,10750,267849
20080508,10600,10950,10600,10750,182703
20080509,10900,10900,10500,10500,209682
20080513,10600,11250,10500,11000,491215
20080514,11150,11200,10800,11200,272937
20080515,11150,11350,11050,11200,317611
20080516,11550,11850,11300,11300,537635
20080519,11400,11700,11400,11500,258691
20080520,11500,11800,11400,11600,209777
20080521,11350,11800,11350,11550,240209
20080522,11300,11550,11000,11300,286911
20080523,11450,11500,11250,11300,137945
20080526,11150,11300,10950,11150,104136
20080527,11100,11200,10950,11150,119474
20080528,11200,11300,10950,11050,141259
20080529,11150,11450,11100,11350,274177
20080530,11300,11350,11050,11300,182664
20080602,11300,11300,11050,11250,147444
20080603,11100,11100,10600,10650,414529
20080604,10600,10750,10500,10750,186583
20080605,10650,10800,10500,10750,191060
20080609,10350,10650,10250,10650,198240
20080610,10600,10650,10350,10350,190365
20080611,10400,10650,10350,10400,190749
20080612,10200,10700,10200,10400,232623
20080613,10450,10550,10300,10300,135249
20080616,10400,10450,10200,10200,117258
20080617,10300,10300,9990,10050,114645
20080618,9990,10400,9980,10400,81630
20080619,10350,10350,10050,10100,72509
20080620,10150,10350,10050,10300,78484
20080623,10150,10150,9550,9900,410783
20080624,9750,9790,9570,9580,217541
20080625,9580,9670,9260,9420,372495
20080626,9420,9630,9290,9370,315640
20080627,9300,9510,9180,9400,133689
20080630,9500,9510,9360,9480,169920
20080701,9500,9510,9200,9200,341143
20080702,9170,9280,8900,9040,235283
20080703,8930,9280,8810,8930,189506
20080704,8880,9050,8880,8900,150110
20080707,8930,9010,8740,8850,128488
20080708,8850,8880,8400,8640,193080
20080709,8800,8830,8640,8700,182749
20080710,8420,8700,8420,8600,161338
20080711,8650,8800,8590,8700,202592
20080714,8700,9000,8640,8710,182548
20080715,8780,9190,8740,8780,317729
20080716,8830,9020,8690,8790,202554
20080717,8930,8970,8820,8850,192537
20080718,9000,9100,8840,8900,175204
20080721,9000,9260,8950,9260,201805
20080722,9290,9300,9030,9150,119106
20080723,9300,9380,9210,9380,220895
20080724,9490,9500,9400,9410,173886
20080725,9350,9680,9300,9440,137103
20080728,9440,9530,9170,9300,145750
20080729,9250,9280,9050,9250,318923
20080730,9370,9450,9280,9420,114731
20080731,9330,9580,9330,9390,140463
20080801,9380,9380,9250,9360,84518
20080804,9250,9330,9000,9000,62275
20080805,9170,9250,8850,9030,91368
20080806,9090,9240,9090,9190,123472
20080807,9170,9330,9130,9300,243329
20080808,9320,9800,9320,9650,310828
20080811,9720,9750,9660,9730,145475
20080812,9790,10100,9730,9750,266804
20080813,9750,9870,9520,9670,131859
20080814,9460,9690,9460,9500,82840
20080818,9400,9570,9130,9350,156565
20080819,9350,9350,9130,9150,162973
20080820,9180,9390,9180,9210,123277
20080821,9230,9330,9150,9220,139230
20080822,9290,9290,9090,9090,95845
20080825,9080,9270,9080,9200,74034
20080826,9030,9250,9030,9170,104530
20080827,9230,9250,9040,9250,151421
20080828,9290,9290,9070,9090,71244
20080829,9100,9240,9100,9240,135010
20080901,9230,9240,9030,9030,142910
20080902,9050,9250,8900,8920,131078
20080903,8880,9010,8780,8850,176858
20080904,8800,8850,8640,8640,145309
20080905,8620,8750,8450,8450,176256
20080908,8600,8760,8540,8690,248063
20080909,8730,8730,8400,8400,200823
20080910,8430,8810,8370,8810,136201
20080911,8810,8940,8630,8770,233642
20080912,8950,9010,8840,8960,152055
20080916,8360,8790,8350,8770,177046
20080917,8750,8940,8650,8700,108305
20080918,8660,8660,8220,8300,167564
20080919,8550,8560,8420,8460,174399
20080922,8560,8570,8260,8300,146638
20080923,8350,8350,8050,8120,276601
20080924,8130,8140,7800,7810,529811
20080925,7850,8080,7810,7980,181897
20080926,8080,8300,8020,8300,229603
20080929,8320,8330,8100,8110,136509
20080930,7800,8040,7520,7990,158370
20081001,7990,8070,7800,8070,112707
20081002,7980,8190,7940,8020,56715
20081006,7850,7910,7600,7630,89690
20081007,7500,7690,7420,7590,78591
20081008,7420,7470,6600,6600,129528
20081009,6600,6950,6510,6670,174981
20081010,6350,6350,5710,6300,190033
20081013,6310,6690,6120,6500,167132
20081014,6790,7000,6670,7000,134359
20081015,6910,7100,6800,6950,93338
20081016,6370,6730,6200,6610,174990
20081017,6700,6970,6550,6810,169825
20081020,6720,7180,6720,7150,95609
20081021,7150,7160,6630,6800,192181
20081022,6620,6850,5780,5780,350590
20081023,5280,5700,4920,5060,263301
20081024,5060,5120,4310,4390,363570
20081027,3800,4190,3735,3735,388236
