날짜,시가,고가,저가,현재가,거래량
20080102,25000,26250,24900,25500,1941668
20080103,25300,25900,25100,25650,842635
20080104,25650,26500,25200,26150,1378822
20080107,25500,26300,25450,26000,792080
20080108,26050,26300,25700,25900,801826
20080109,25350,25850,25050,25850,808097
20080110,25850,25900,25250,25300,897461
20080111,25450,25450,24500,24700,874156
20080114,24400,25000,23550,24050,1356304
20080115,24050,24400,23000,23000,1066865
20080116,22550,23200,22150,22400,1090747
20080117,22400,22600,19050,20050,7171128
20080118,19750,20350,18950,19800,3343915
20080121,19850,20450,19200,19350,2337712
20080122,18300,18550,17200,17950,2358650
20080123,18650,19750,18300,18650,1863064
20080124,19150,19500,18500,19250,1688537
20080125,19350,19450,18750,18850,1190295
20080128,18600,18650,17450,17500,1287016
20080129,18100,18150,16850,16950,1718120
20080130,17250,17300,15800,15950,1940828
20080131,15800,16600,15650,16600,1463262
20080201,16850,17200,16300,16750,946078
20080204,17050,18600,17050,18200,2004123
20080205,18000,18400,17650,18200,878482
20080211,17500,17500,17150,17350,624571
20080212,17600,17750,17100,17100,461340
20080213,17250,17400,16500,16500,706894
20080214,17000,17600,16900,17300,1054655
20080215,17050,17450,16900,17400,534509
20080218,17650,18850,17550,18600,2042775
20080219,19050,19100,18500,18600,1097696
20080220,18700,19950,18650,19600,2713930
20080221,20000,20250,19500,19700,1294118
20080222,19700,19900,18750,19050,1016377
20080225,19450,19550,19200,19350,585290
20080226,19600,19600,19150,19550,650290
20080227,19800,20550,19800,20150,1383769
20080228,20350,20600,20000,20400,1174563
20080229,20400,21000,20000,20500,1502533
20080303,20000,22500,19650,20800,2830377
20080304,21600,22500,21200,21900,3323318
20080305,22400,22650,21650,21700,1575229
20080306,21900,22450,21400,21800,978371
20080307,21200,21350,20750,20750,1266713
20080310,20000,21500,19950,20500,1363941
20080311,20350,21100,20300,20500,1003983
20080312,21100,21100,19950,20100,1193292
20080313,20050,20500,19350,19800,907139
20080314,19900,20300,19350,19700,874373
20080317,19600,19600,18600,19300,1003702
20080318,19300,19700,18950,19000,871713
20080319,19500,20200,19450,19700,870803
20080320,19400,19850,19250,19550,483158
20080321,19850,20150,19850,20000,506320
20080324,20350,20650,20100,20450,455269
20080325,20650,21100,20550,20850,605478
20080326,20950,21150,20550,21150,833085
20080327,20750,21300,20750,21000,524037
20080328,21300,22300,21200,21750,1000019
20080331,21700,21850,21400,21600,595322
20080401,21500,21600,21000,21400,618050
20080402,21650,22150,21600,21750,843975
20080403,21800,21950,21400,21500,558128
20080404,21350,21650,21050,21350,428990
20080407,21350,21750,21000,21550,635952
20080408,21700,22300,21550,21550,1013157
20080410,21800,21900,21100,21500,812817
20080411,21500,21700,20950,21000,584373
20080414,20500,20850,20500,20750,436654
20080415,20500,21450,20350,20400,755622
20080416,20700,20950,20600,20600,342354
20080417,20800,21000,20200,20300,544109
20080418,20200,20300,19800,19850,1111671
20080421,20000,20350,19800,19950,1703719
20080422,19750,19950,18750,18750,3569073
20080423,18650,19050,18300,18600,2729904
20080424,18800,19000,18200,18200,2040769
20080425,18050,18200,17700,17950,1926864
20080428,18100,18250,17400,17600,1796649
20080429,17700,18100,17300,17450,1698247
20080430,17550,17800,17200,17800,1328948
20080502,18000,18100,17700,17900,1112141
20080506,18000,18150,17800,18100,1008307
20080507,18000,18150,17450,17500,2340407
20080508,17350,17650,17200,17350,1516378
20080509,17450,17650,17250,17250,1728915
20080513,17350,17800,17250,17800,1319775
20080514,17850,18050,17650,17900,1146114
20080515,18000,18150,17750,18100,1851795
20080516,18150,18200,17800,17900,1295919
20080519,18000,18050,17500,17600,1291869
20080520,17650,17900,17650,17850,959091
20080521,17700,18100,17600,17650,1098581
20080522,17450,17500,17100,17350,796400
20080523,17300,17350,16850,17150,968031
20080526,17000,17650,17000,17150,884238
20080527,17250,17350,16950,17050,727179
20080528,17150,17250,16750,17000,804198
20080529,17100,17650,17000,17400,1094516
20080530,17600,18100,17350,18000,1849884
20080602,18100,18150,17650,17800,550385
20080603,17650,17700,17200,17250,782711
20080604,17100,17350,17050,17350,415450
20080605,17250,17500,17100,17500,709923
20080609,16900,17800,16800,17750,989743
20080610,17700,17750,17300,17750,756686
20080611,17750,18350,17600,18200,1474689
20080612,17900,18400,17750,18400,2335597
20080613,18550,18550,18000,18000,786941
20080616,18100,18350,17750,17850,750790
20080617,17850,17950,16900,17250,1421180
20080618,17050,17350,17050,17150,791593
20080619,17100,17100,16800,16950,1104698
20080620,17000,17050,16500,16850,696044
20080623,16450,16700,16250,16400,711531
20080624,16300,16300,15900,16000,835360
