날짜,시가,고가,저가,현재가,거래량
20080102,258000,258000,245000,245250,164654
20080103,241750,252500,241750,249250,129602
20080104,249000,249000,240000,242750,177921
20080107,234250,237750,229000,235000,310079
20080108,242500,245500,219250,222750,501962
20080109,219250,227250,218750,227250,168972
20080110,228500,233500,227750,232250,179766
20080111,232500,235000,211750,211750,406560
20080114,209750,211750,199500,204000,269604
20080115,206000,207500,198000,199750,301722
20080116,192000,201500,191500,197250,202093
20080117,200000,200750,192750,194250,294572
20080118,189750,193500,184250,193250,282003
20080121,195000,197000,180000,180750,259358
20080122,173000,174250,162750,170500,393083
20080123,178500,179750,168750,174750,231786
20080124,180000,191500,180000,185250,346260
20080125,189000,192000,186000,189250,313502
20080128,184500,185250,172500,172500,279977
20080129,177500,179250,164000,170500,292430
20080130,170500,172500,149750,150000,517249
20080131,150000,157250,141750,147000,626587
20080201,155000,158500,152500,158000,536104
20080204,163000,175500,162750,175000,506934
20080205,174000,181750,168250,181500,353357
20080211,172250,173750,167500,172250,428535
20080212,182750,185250,173000,174750,654034
20080213,178750,179000,167000,167250,353850
20080214,173500,176000,170000,175500,307194
20080215,171000,187750,170750,186500,516153
20080218,190000,191500,182750,189000,342101
20080219,191000,198500,190500,198000,486577
20080220,194250,198750,191000,193500,252223
20080221,198000,198250,188000,190250,217907
20080222,186000,190000,181500,187500,248371
20080225,191000,192500,187750,189500,167819
20080226,191000,193500,184250,184750,137087
20080227,187000,191500,186750,188250,197440
20080228,189500,194500,188000,192750,229527
20080229,190000,198250,189500,190250,308394
20080303,183500,185750,183250,183500,244369
20080304,186500,187250,180250,186750,190774
20080305,186500,192000,184250,185500,179705
20080306,185250,187000,178000,180000,430135
20080307,174500,175000,166250,166500,553103
20080310,161000,162250,152750,154250,511335
20080311,150000,159250,149500,158250,280929
20080312,166250,167250,159000,159750,212190
20080313,160000,162500,150500,151000,348215
20080314,155000,156000,144000,147250,428924
20080317,144750,147250,139250,147000,366619
20080318,147000,149250,143000,147500,406751
20080319,157500,158750,155000,158750,507681
20080320,154250,161500,151750,161250,321673
20080321,168500,168500,162500,163000,301460
20080324,165500,169500,164500,165750,225950
20080325,168500,169250,164000,164750,219955
20080326,165250,186250,163000,182500,1389854
20080327,185000,186500,180000,180000,679597
20080328,181500,185500,178250,183750,455059
20080331,183750,190000,182000,188750,445222
20080401,189500,200500,188000,195250,566562
20080402,200750,201500,190750,194500,347430
20080403,192000,202500,187500,200000,720279
20080404,204000,223500,201250,213750,1233588
20080407,216500,223000,215000,219500,502419
20080408,219750,219750,212750,215250,302633
20080410,209000,211750,202250,206750,659450
20080411,206500,213000,205250,209500,356450
20080414,203250,208000,201500,201750,296657
20080415,200500,207000,200250,203250,291675
20080416,206500,216500,205500,213500,359529
20080417,219000,232250,217250,222250,926199
20080418,225500,228750,214750,220000,615513
20080421,225000,230000,221000,229250,478543
20080422,231000,234000,227750,231500,390372
20080423,230000,237000,230000,233250,450610
20080424,237500,237750,226750,227250,374377
20080425,229000,231750,223000,224000,427371
20080428,226250,226500,216250,223500,270439
20080429,226250,227500,219750,220750,225239
20080430,220500,223500,217250,218250,272496
20080502,221500,227500,220000,226250,346104
20080506,228500,229250,224750,227250,189230
20080507,227250,228250,221250,222000,263091
20080508,217500,219500,216000,218250,283368
20080509,223500,226500,220000,220000,312358
20080513,214500,214750,199000,207250,671622
20080514,205500,211500,200500,209500,342637
20080515,213000,218000,212500,213000,303286
20080516,215000,218500,213000,215250,267853
20080519,221000,226000,219500,225000,376731
20080520,228250,235500,224500,228500,404489
20080521,224500,241000,223250,239250,790972
20080522,237500,245750,237500,239500,601609
20080523,237750,240000,232500,232500,340953
20080526,236500,238000,228500,231500,244830
20080527,230000,240000,230000,238500,242938
20080528,241250,243250,230500,234000,229385
20080529,237500,239500,233250,236750,253224
20080530,236750,237250,232000,234000,181222
20080602,235000,244500,234000,242500,279317
20080603,242750,244750,238750,242750,255385
20080604,242250,244750,237500,243750,172105
20080605,245000,245750,235500,238750,206162
20080609,229000,231500,227000,230000,289101
20080610,232500,232500,216250,218000,421753
20080611,218500,221500,211000,212750,258372
20080612,207000,208250,198500,198500,588450
20080613,201250,202750,190000,196000,578100
20080616,204000,208000,200500,202000,444942
20080617,204500,207500,199750,200250,296141
20080618,199000,209750,199000,209500,275801
20080619,209500,211750,204500,211750,208807
20080620,214250,215250,208000,209000,170494
