날짜,시가,고가,저가,현재가,거래량
20080102,7482,7482,7482,7482,507
20080103,7472,7482,7384,7472,2656
20080104,7472,7561,7325,7482,5591
20080107,7640,7640,7285,7472,2133
20080108,7207,7443,7207,7413,2194
20080109,7403,7403,7285,7335,457
20080110,7335,7335,6951,7207,19857
20080111,7010,7029,6832,6832,40020
20080114,6813,6813,6596,6764,47790
20080115,6695,6695,6498,6616,17927
20080116,6606,6793,6547,6616,25393
20080117,6596,6695,6596,6606,2960
20080118,6606,7088,6606,7069,3605
20080121,7059,7177,7059,7177,2488
20080122,7266,7266,6537,6557,4647
20080123,6517,6724,6399,6724,18029
20080124,6724,6734,6576,6675,6383
20080125,6567,6704,6340,6537,24128
20080128,6537,6685,6409,6409,22706
20080129,6626,6626,6399,6606,21229
20080130,6547,6547,6350,6468,13458
20080131,6468,6557,6468,6557,10817
20080201,6488,6537,6478,6537,3047
20080204,6557,6832,6557,6832,32859
20080205,6852,6852,6606,6636,5637
20080211,6320,6655,6320,6586,18232
20080212,6675,6675,6557,6596,18643
20080213,6596,6675,6498,6606,4824
20080214,6606,7187,6606,7187,17216
20080215,7128,7285,6901,7187,8735
20080218,7187,7187,7069,7177,4113
20080219,7177,7285,7167,7285,10792
20080220,7285,7305,7147,7266,11894
20080221,7325,7482,7197,7384,17978
20080222,7384,7384,7384,7384,0
20080225,7482,7482,7285,7285,1371
20080226,7374,7374,7216,7216,7110
20080227,7285,7463,7285,7463,13661
20080228,7472,7581,7344,7581,22397
20080229,7581,8270,7551,8270,24073
20080303,8063,8073,8043,8053,8532
20080304,8053,8053,7689,7758,5551
20080305,7640,7837,7561,7837,5332
20080306,7817,7837,7659,7827,5789
20080307,7827,7827,7413,7561,9090
20080310,7561,7561,7541,7541,660
20080311,7088,7581,7088,7403,22199
20080312,7285,7590,7285,7541,11498
20080313,7541,7620,7344,7561,8024
20080314,7561,7581,7561,7581,578
20080317,7581,7581,7285,7285,2488
20080318,7285,7285,7157,7266,2234
20080319,7285,7285,7197,7275,528
20080320,7285,7463,7285,7335,6145
20080321,7207,7876,7147,7581,10837
20080324,7581,7630,7581,7581,2138
20080325,7581,7738,7403,7738,11579
20080326,7709,7778,7709,7778,10365
20080327,7876,7876,7423,7423,25596
20080328,7325,7679,7325,7679,4520
20080331,7699,7778,7433,7778,14474
20080401,7531,7876,7531,7679,2691
20080402,7856,7856,7295,7679,10157
20080403,7512,7650,7443,7620,11223
20080404,7778,7778,7502,7512,13610
20080407,7522,7669,7453,7512,14474
20080408,7512,7876,7512,7600,18943
20080410,7590,7758,7561,7600,6805
20080411,7659,7659,7600,7610,4977
20080414,7453,7610,7325,7325,27577
20080415,7325,7541,7069,7088,25408
20080416,7088,7581,6596,7463,53428
20080417,7541,7541,7541,7541,1066
20080418,7541,7541,7541,7541,152
20080421,7531,7531,7423,7512,507
20080422,7502,7512,7118,7118,7618
20080423,7187,7482,7108,7187,13763
20080424,7344,7344,7285,7295,3707
20080425,7315,7315,7275,7275,558
20080428,7167,7581,7088,7581,7892
20080429,7403,7463,7266,7423,5693
20080430,7216,7561,7216,7403,5002
20080502,7403,7522,7374,7482,12950
20080506,7679,7679,7679,7679,507
20080507,7581,7581,7344,7463,4469
20080508,7541,7541,7492,7492,609
20080509,7482,7482,7344,7482,1879
20080513,7463,7463,7423,7423,152
20080514,7285,7295,7010,7079,16409
20080515,6941,7187,6892,7079,30116
20080516,6980,7197,6832,7197,9497
20080519,7098,7266,7059,7246,7719
20080520,7246,7246,6892,7226,43727
20080521,6911,7246,6911,7108,11020
20080522,7108,7108,6941,6970,10411
20080523,6970,7216,6921,7216,9446
20080526,6892,7069,6892,6960,4570
20080527,7010,7246,6882,7187,10970
20080528,7118,7187,7098,7177,1066
20080529,7059,7236,7029,7029,6962
20080530,7088,7088,6892,6892,19553
20080602,6901,6931,6793,6793,11325
20080603,6734,6901,6714,6714,4215
20080604,6537,6645,6468,6537,33219
20080605,6478,6596,6281,6498,35551
20080609,6458,6586,6183,6498,21025
20080610,6537,6537,6301,6311,11071
20080611,6212,6488,6212,6301,29456
20080612,6301,6301,6281,6281,304
20080613,6104,6419,6084,6419,22041
20080616,6399,6399,6301,6340,1681
20080617,6301,6576,6301,6419,8532
20080618,6389,6389,6389,6389,360
20080619,6301,6468,6074,6271,5637
20080620,6448,6448,6439,6439,457
20080623,6439,6439,6429,6429,924
20080624,6252,6389,6193,6291,2590
20080625,6143,6291,6104,6271,3971
20080626,6242,6301,6242,6271,25749
20080627,6015,6399,6015,6399,18283
20080630,6261,6380,6104,6380,23819
20080701,6153,6439,6153,6439,6551
20080702,6439,6439,6104,6281,5485
20080703,6261,6261,6055,6232,619
20080704,6301,6301,5946,6045,2133
20080707,6045,6045,5897,5897,3301
20080708,5986,6005,5799,5799,4723
20080709,5799,6330,5799,5799,4469
20080710,5513,5809,5513,5809,18131
20080711,5789,5809,5789,5809,3656
20080714,5730,5907,5730,5779,24728
20080715,5887,5887,5553,5769,2640
20080716,5631,5809,5631,5809,152
20080717,5730,5946,5730,5937,1218
20080718,5671,6005,5671,5828,1472
20080721,5730,5907,5730,5907,3646
20080722,5927,5927,5759,5927,6190
20080723,5897,6065,5759,6065,10563
20080724,6104,6281,6005,6281,3453
20080725,6025,6173,5818,6143,39817
20080728,6065,6104,5877,6104,3047
20080729,6005,6005,5809,5809,24784
20080730,5828,6065,5641,5907,43169
20080731,5907,5907,5710,5710,33824
20080801,5720,5877,5592,5877,4824
20080804,5917,5917,5720,5838,3047
20080805,5759,5907,5730,5848,2082
20080806,5779,5966,5779,5966,5180
20080807,5976,5976,5749,5749,7618
20080808,5562,5848,5562,5848,5332
20080811,5848,5927,5809,5877,812
20080812,5897,6025,5897,6025,6866
20080813,5848,5946,5838,5946,711
20080814,5946,5986,5769,5986,4621
20080818,5966,5966,5966,5966,0
20080819,5868,5966,5612,5710,19553
20080820,5730,5848,5690,5769,8684
20080821,5651,5651,5592,5592,8938
20080822,5513,5631,5425,5434,23108
20080825,5434,5671,5375,5405,17074
20080826,5375,5375,5326,5326,1726
20080827,5316,5316,5100,5139,29608
20080828,5119,5188,5080,5080,2254
20080829,5080,5247,4824,4913,7181
20080901,4923,5169,4795,5119,67089
20080902,5119,5119,4795,5100,17623
20080903,4923,5178,4923,4952,2082
20080904,4962,5001,4962,4962,23717
20080905,5011,5011,4814,4942,34347
20080908,4952,5090,4765,5080,20111
20080909,5080,5316,4923,5218,2894
20080910,5267,5267,4923,5060,20452
20080911,4962,5119,4844,5060,23743
20080912,5218,5218,5011,5129,507
20080916,5159,5159,4883,5060,5652
20080917,4903,5041,4903,4923,3336
20080918,4923,4923,4637,4824,4032
20080919,5080,5080,4726,4903,12508
20080922,4923,4923,4745,4745,2285
20080923,5021,5021,4716,4755,5535
20080924,4627,4804,4627,4775,4266
20080925,4745,4824,4745,4824,863
20080926,4824,4824,4716,4765,3113
20080929,4765,4765,4627,4726,47958
20080930,4706,4706,4509,4627,4113
20081001,4627,4706,4627,4627,2087
20081002,4489,4568,4420,4420,3184
20081006,4420,4420,3918,4096,6338
20081007,3869,4096,3554,4096,70269
20081008,4017,4017,3623,3662,2808
20081009,3633,3859,3633,3859,9700
20081010,4066,4066,3347,3859,42681
20081013,3859,3938,3712,3938,10563
20081014,4391,4391,3820,3908,55124
20081015,3771,3908,3702,3800,19674
20081016,3584,3623,3377,3377,4398
20081017,3397,3584,3249,3406,24682
20081020,3456,3712,3397,3643,18745
20081021,3780,3780,3505,3505,3910
20081022,3456,3505,3013,3446,26272
20081023,3406,3406,3150,3397,1386
20081024,3180,3180,2894,2894,18110
20081027,2540,2924,2540,2688,17394
20081028,2422,2904,2373,2560,5281
20081029,2816,2816,2589,2727,30421
20081030,2589,2914,2589,2875,93616
20081031,2904,2973,2688,2875,136526
20081103,2875,3022,2737,2865,71152
20081104,2865,2924,2835,2904,48298
20081105,3013,3150,2993,3013,39461
20081106,2855,2983,2806,2835,32859
20081107,2796,3032,2698,2954,93621
20081110,3052,3111,2924,3052,91488
20081111,2944,3013,2924,2924,5545
20081112,2835,2904,2707,2707,86043
20081113,2688,2688,2560,2658,29309
20081114,2717,2826,2609,2609,53834
20081117,2619,2776,2579,2658,17420
20081118,2638,2678,2501,2520,22067
20081119,2461,2560,2304,2442,43880
20081120,2215,2432,2215,2255,69019
20081121,2382,2451,2205,2333,30091
20081124,2333,2422,2245,2353,59060
20081125,2461,2461,2264,2422,119121
20081126,2481,2629,2471,2629,27120
20081127,2668,2826,2648,2796,59370
20081128,2717,3209,2717,3209,35723
20081201,3131,3190,2914,3042,40904
20081202,2796,2894,2589,2835,139817
20081203,2845,2845,2658,2816,8608
20081204,2776,2826,2717,2806,7927
20081205,2737,2816,2737,2776,5586
20081208,2796,2954,2757,2855,34230
20081209,2914,2934,2835,2934,12747
20081210,2885,3032,2885,3032,36211
20081211,2954,3032,2826,2963,92229
20081212,2894,2904,2757,2757,46830
20081215,2855,2904,2806,2826,37277
20081216,2826,2826,2717,2796,27379
20081217,2845,2914,2698,2717,62691
20081218,2717,2973,2717,2894,83544
20081219,2894,2983,2816,2954,58760
20081222,3022,3042,2944,2973,57963
20081223,2934,2954,2826,2826,33519
20081224,2796,3052,2757,3032,33113
20081226,3032,3091,2914,3091,13407
20081229,3091,3150,2963,3131,38953
20081230,3150,3328,3150,3219,36378
20090102,3288,3643,3288,3593,43423
20090105,3682,3682,3426,3544,29202
20090106,3544,3544,3426,3426,9801
20090107,3436,3525,3387,3387,13407
20090108,3347,3465,3298,3347,17623
20090109,3367,3603,3288,3584,16612
