날짜,시가,고가,저가,현재가,거래량
20080102,78614,78785,75435,76036,15995
20080103,76895,76895,75435,75778,15579
20080104,76208,77153,74833,75950,22421
20080107,74575,75263,72342,74318,17555
20080108,74318,75435,73716,73716,22627
20080109,73716,73716,70194,71568,56500
20080110,71311,72857,70623,72857,46847
20080111,72771,74919,71740,74060,33802
20080114,72943,76552,72943,76208,35370
20080115,75177,78614,74833,78012,47308
20080116,78012,78098,76122,77668,31045
20080117,77668,78614,76466,77668,20516
20080118,77668,79730,75692,79215,32160
20080121,79387,79645,77239,79215,18136
20080122,79215,79215,76809,78442,25839
20080123,77668,79043,77497,78442,19400
20080124,78442,80160,77754,80160,25262
20080125,80761,82566,80332,81964,48647
20080128,81964,83854,80761,81621,18357
20080129,81621,82909,80933,81792,27992
20080130,81621,82050,80761,81792,20501
20080131,81792,83425,81191,83339,30460
20080201,82308,83253,81792,82909,19841
20080204,83253,84628,81878,83339,11249
20080205,83511,84885,82823,83683,17313
20080211,82480,84198,81191,82480,32664
20080212,82480,82823,81191,81535,15172
20080213,81277,81964,80074,80761,25388
20080214,81019,84198,80933,84198,16436
20080215,84198,84628,82480,84628,23470
20080218,83683,85315,82566,84026,46655
20080219,84714,84714,83425,84026,9475
20080220,83339,84800,83253,83511,10786
20080221,83425,85315,83425,84971,10690
20080222,84885,85487,83769,85487,10300
20080225,85487,88924,85487,88064,16248
20080226,88064,88924,86346,88494,14043
20080227,87635,89783,87205,88494,10506
20080228,88494,88494,86776,88494,11286
20080229,87635,87635,85229,85831,23732
20080303,84370,85057,81707,83339,23775
20080304,83940,86346,82738,83683,20586
20080305,83769,84971,83167,84628,21352
20080306,84198,86346,83683,85573,26836
20080307,84628,87205,83425,86346,30235
20080310,86346,89783,85057,86776,12895
20080311,86776,86776,84971,85916,21456
20080312,84628,86776,84628,85916,14802
20080313,85487,87205,84198,84198,25995
20080314,84971,86346,84112,85916,23329
20080317,85916,87635,85057,86776,28779
20080318,87205,87205,85487,86776,12679
20080319,88494,88494,85745,87205,12158
20080320,87205,87635,85487,85916,17905
20080321,86776,88924,85916,88924,7517
20080324,89353,89353,86776,89353,20347
20080325,88494,90642,88064,89783,28838
20080326,89783,90212,88924,90212,15484
20080327,90212,90642,87205,90212,30159
20080328,88494,93219,88064,93219,25955
20080331,93215,95414,90137,95414,63122
20080401,94974,95414,92776,94095,23921
20080402,93655,95414,91017,92776,23251
20080403,93655,93655,90137,90137,20934
20080404,91457,91896,89698,90577,14189
20080407,91457,94534,90577,94095,19187
20080408,92776,92776,90137,90577,33973
20080410,90137,90577,87060,87851,51762
20080411,87587,88818,85653,85916,25848
20080414,86708,86972,83542,83894,31636
20080415,83982,85301,82751,85301,30129
20080416,86180,86180,83718,86092,54551
20080417,85389,86092,85301,86004,13450
20080418,86180,89258,86180,87939,28633
20080421,88379,89258,87763,87939,10046
20080422,87587,88379,87060,87148,19773
20080423,85916,86708,85741,86092,32172
20080424,85653,86180,84861,84861,18969
20080425,85125,86972,84861,86708,8649
20080428,85741,87060,84421,86708,14847
20080429,85301,86884,85037,85828,20292
20080430,85301,90137,85301,90137,19719
20080502,88379,88818,87060,87939,19682
20080506,88818,88818,86532,87939,19256
20080507,87236,87939,85741,86444,26128
20080508,86180,87060,85653,86972,13131
20080509,87060,87060,82839,82839,52504
20080513,82311,83278,78881,80112,31400
20080514,79233,80464,76683,79057,44254
20080515,79057,79849,77035,78178,20892
20080516,78178,82926,78002,82839,31923
20080519,82223,82839,79673,80025,21214
20080520,79585,80728,77826,79585,35781
20080521,77826,78266,77210,77298,22986
20080522,75715,77298,75012,75364,21576
20080523,75364,75979,73869,75979,27879
20080526,75452,78442,74572,78354,18926
20080527,77474,77826,75715,75803,21444
20080528,75803,75891,74045,75100,19654
20080529,75100,77386,75100,77386,21050
20080530,76331,77474,75979,77386,10225
20080602,76419,77386,74924,76155,20061
20080603,76155,76595,75188,76243,11654
20080604,76419,77210,75715,75979,20041
20080605,75979,75979,74748,74836,15801
20080609,74308,74308,71670,72550,25896
20080610,72110,73517,71055,73517,25078
20080611,72286,75540,72286,75188,21394
20080612,73869,74660,72550,72989,28414
20080613,72989,73693,69472,71231,32888
20080616,70703,70879,69648,70791,13327
20080617,71231,71406,70439,71231,15315
20080618,71934,71934,69999,71670,28233
20080619,70439,70527,69120,69120,24033
20080620,69648,70351,68944,69736,16074
20080623,69648,71319,67537,69736,17498
20080624,68329,69912,68329,69912,14210
20080625,69912,71934,69032,71934,21995
20080626,71231,71231,69296,70351,28313
20080627,69296,74484,68504,74484,36794
20080630,72198,75979,71758,75979,43287
20080701,75891,76419,74308,75891,37699
20080702,75891,75891,70439,73077,49486
20080703,72550,72550,70615,71846,38258
20080704,71055,71670,69384,69384,23639
20080707,67801,70263,67273,69999,18886
20080708,69472,71143,69120,70439,20157
20080709,70351,70351,61645,61645,75989
20080710,60678,60766,55841,58919,105044
20080711,59007,63844,56457,63316,111955
20080714,63140,63140,60678,61469,30777
20080715,60854,61293,59799,60942,28499
20080716,61293,62085,57688,60414,68927
20080717,61118,61997,59886,61997,27423
20080718,61997,61997,60766,61469,13776
20080721,61469,64020,61469,64020,27290
20080722,64371,66042,63140,64987,22118
20080723,65866,67361,65427,67361,24945
20080724,67713,67713,66042,66834,20524
20080725,66834,67537,66130,66130,12841
20080728,66394,67889,66394,67449,10323
20080729,67537,69384,66834,69384,28100
20080730,68592,69384,68065,69032,22472
20080731,68241,69032,65163,68241,80091
20080801,66834,66834,65515,65954,13748
20080804,64635,65954,60678,61557,26499
20080805,61557,62701,60854,61733,34409
20080806,62788,62788,61206,61293,23117
20080807,60854,60854,56105,57160,125679
20080808,56369,58743,56281,58392,80762
20080811,58743,59183,57776,58216,36073
20080812,58216,61206,58216,61030,44525
20080813,61030,61118,57336,58392,67801
20080814,58392,58831,57336,57776,47388
20080818,58216,59183,57776,58655,43645
20080819,59271,59271,58216,58655,19375
20080820,58655,59095,57336,57336,27199
20080821,58216,58216,56281,57424,37837
20080822,57424,58743,56721,58655,38897
20080825,58655,60854,57688,60502,39619
20080826,59799,60502,59535,60414,19416
20080827,59711,60326,58743,59799,28895
20080828,60502,60502,56457,56809,52329
20080829,57248,58831,56984,57952,27334
20080901,56897,61030,56897,60678,35943
20080902,60678,62788,59711,61997,52702
20080903,62349,62437,60238,61997,26915
20080904,60326,61118,57600,59359,39600
20080905,58831,60326,58040,58831,22490
20080908,58567,59799,57952,59007,33625
20080909,59007,59007,56017,56105,52096
20080910,56017,57160,55577,56809,41450
20080911,56281,56809,53995,54434,71168
20080912,54170,56984,54170,54610,53637
20080916,52324,54346,51532,53291,31651
20080917,53203,53379,50653,50741,117968
20080918,49246,49422,46344,47311,90917
20080919,48279,49686,47311,48630,121725
20080922,49686,50741,48630,48982,49737
20080923,48718,49246,47663,48454,40992
20080924,48630,51356,48191,51005,54837
20080925,51005,51268,49686,50477,50723
20080926,50565,51268,48542,48718,40665
20080929,49246,50213,47663,47663,33755
20080930,44849,48366,44233,47399,37317
20081001,47399,48806,46696,48630,32491
20081002,48806,50037,47399,47663,28185
20081006,47135,47135,44497,45816,25012
20081007,44409,45201,43046,44321,51449
20081008,42123,43970,40980,40980,37735
20081009,41331,42914,40100,42211,33337
20081010,39660,41243,36934,38869,50865
20081013,39133,41947,38869,41024,30815
20081014,41947,45113,41947,45113,40434
20081015,44849,45728,43134,45728,26775
20081016,43838,43838,42123,42255,30111
20081017,42694,43046,41419,42782,31339
20081020,42255,43530,42211,43134,26696
20081021,43090,43354,42299,43266,28075
20081022,43398,43838,37814,42299,58022
20081023,39573,42650,36934,42211,45418
20081024,40496,41947,36934,36934,33083
20081027,34472,37726,31394,31394,34313
20081028,27261,29020,26689,27261,301557
20081029,28140,29460,25414,26074,138414
20081030,26953,29943,26953,29943,83008
20081031,31658,34296,31218,33417,68047
20081103,34472,35879,33857,34384,61254
20081104,35176,36802,34120,35879,47482
20081105,36934,39924,36495,38693,65098
20081106,37990,38253,36583,37374,38383
20081107,36495,38649,34120,36407,42026
20081110,36890,39397,36802,37990,34854
20081111,37726,38605,35615,38078,36834
20081112,37726,39089,36846,38957,32569
20081113,37110,38957,34296,38957,50146
20081114,43706,43706,37110,39133,35111
20081117,39089,39397,35747,38253,39074
20081118,37418,38957,35615,35615,37229
20081119,35351,38341,33988,35703,38619
20081120,33505,34824,33461,33505,16585
20081121,33417,33417,30779,33065,50403
20081124,33065,33681,31306,33065,23811
20081125,33857,35967,33593,35264,51702
20081126,34604,36934,34604,36890,28461
20081127,36934,38693,36627,38605,25150
20081128,37990,43090,37462,42123,125501
20081201,41331,41331,39221,40276,36585
20081202,38693,38693,37110,38517,53833
20081203,39309,39573,37462,38693,37356
20081204,39045,39353,37990,38737,21600
20081205,38078,40408,38078,39660,26530
20081208,39397,41859,38605,41243,40723
20081209,42035,42035,40012,41155,23470
