날짜,시가,고가,저가,현재가,거래량
20080102,54100,54900,52000,53400,9947
20080103,53000,54000,51600,51600,8424
20080104,51300,51600,49500,50800,21348
20080107,49800,51900,49250,49800,9064
20080108,49700,50800,49200,50100,10455
20080109,49200,50100,42800,49600,17198
20080110,49050,51100,48250,50000,18845
20080111,49850,50500,48000,48200,10762
20080114,48800,51100,48800,49100,23213
20080115,50900,50900,47500,48900,14754
20080116,49250,49500,46500,48550,25731
20080117,48550,48550,47100,47100,12145
20080118,46000,46800,45000,46800,28529
20080121,45900,46450,42800,44300,22596
20080122,42100,45800,40850,45800,38090
20080123,45800,46600,44200,45350,11362
20080124,45350,46750,45000,46750,15783
20080125,46800,47850,46550,47300,5590
20080128,46500,47950,45350,46100,8943
20080129,46000,47000,45500,46400,7670
20080130,46100,46900,41700,43900,13382
20080131,43900,45350,42250,45000,9786
20080201,45000,45300,43650,43700,7484
20080204,44050,45350,43400,44750,11482
20080205,44200,44950,43850,44750,6343
20080211,43050,43850,42200,43250,12566
20080212,43000,43900,42200,43900,7260
20080213,44100,45950,43300,45400,9450
20080214,46000,46950,45050,46950,15761
20080215,46250,47000,45350,47000,10901
20080218,46950,48150,46200,46200,12753
20080219,47000,47300,46250,46950,5767
20080220,46350,47050,45050,45050,9471
20080221,45050,45950,44800,45950,7202
20080222,45100,45400,44250,44250,5149
20080225,45200,46400,44500,44700,6370
20080226,45200,47250,45150,47150,11252
20080227,47100,47900,46550,46550,7632
20080228,46550,46800,45500,46500,17143
20080229,46000,46900,45200,46300,17361
20080303,44350,45450,44000,44650,10382
20080304,45400,45400,43300,43450,22681
20080305,43700,44600,42300,43350,15829
20080306,43250,45450,43250,44600,18555
20080307,44500,44500,43000,43500,14651
20080310,42000,42800,41400,42300,16861
20080311,41950,42300,40150,42300,10302
20080312,42600,43000,41100,41800,17351
20080313,41200,42000,40100,40750,19262
20080314,40800,41200,38800,38800,17876
20080317,38900,38950,37300,37600,11263
20080318,37700,38300,37000,38200,10854
20080319,38450,39750,38450,39500,8586
20080320,39500,39500,38000,39200,9912
20080321,40100,40200,38600,38650,12407
20080324,38550,40100,38550,39800,7633
20080325,40100,40800,39450,40000,17482
20080326,40000,40250,39300,39950,14296
20080327,39950,40000,38500,38500,20301
20080328,38000,38200,37250,37450,27939
20080331,37750,38400,37250,37300,23723
20080401,37300,37450,36150,36150,25790
20080402,36700,37100,35900,36000,36672
20080403,36400,36400,35500,36150,25693
20080404,36100,39000,36100,38250,45900
20080407,38550,40400,37750,40400,53616
20080408,40600,40850,39600,40400,19445
20080410,40500,40500,39150,39150,25732
20080411,39300,39800,38600,39100,23996
20080414,39050,39050,37900,38000,13717
20080415,37850,38550,37800,37850,9846
20080416,37850,40200,37850,40200,17823
20080417,40700,40950,40150,40450,15740
20080418,40500,43350,40500,42700,42441
20080421,43450,44100,43000,43900,29984
20080422,43900,44100,42500,43050,32601
20080423,42400,45000,42400,44800,24983
20080424,45150,47800,44500,47100,31251
20080425,47400,48900,47300,48500,43825
20080428,48550,51800,47500,50000,58561
20080429,50600,51900,46450,47500,91105
20080430,47050,47350,45750,46350,21350
20080502,46400,46900,45700,46900,15373
20080506,46600,48400,46600,48400,18023
20080507,48450,49850,47750,48450,23342
20080508,47300,48400,47300,47350,17917
20080509,47850,47950,45500,46900,23402
20080513,46200,46700,45600,46400,9073
20080514,46500,47700,46500,47350,8299
20080515,47450,48200,46000,46500,22783
20080516,46950,47100,44900,45000,22250
20080519,45000,45700,43400,44600,21945
