날짜,시가,고가,저가,현재가,거래량
20080102,67771,70486,67596,67859,713636
20080103,67947,69172,66633,68384,463928
20080104,67684,68997,65933,68384,504157
20080107,66370,70486,66108,68384,1400984
20080108,68735,70223,67596,70048,912040
20080109,69610,70311,67947,68822,534717
20080110,69172,69435,65582,65582,918351
20080111,66195,66808,61555,61730,847069
20080114,61380,63131,61204,63043,549028
20080115,63393,65758,62781,64357,620427
20080116,63919,65232,63131,65232,516397
20080117,65320,65845,62255,64532,728725
20080118,63831,64707,61642,64707,619849
20080121,63481,64357,59015,60416,522337
20080122,58578,59015,52711,58052,1112835
20080123,59366,60154,57527,59015,437630
20080124,60329,62343,60329,61905,621529
20080125,62518,64357,62080,64357,539605
20080128,63569,65758,61642,63831,551679
20080129,64357,65320,62518,63481,331702
20080130,63481,63831,58665,59891,499264
20080131,59015,60154,57877,59015,631050
20080201,60329,61730,57614,58840,664390
20080204,60592,62605,60241,61467,673097
20080205,60679,63831,60592,63831,366783
20080211,61730,64006,61117,63569,361024
20080212,64094,66633,63569,66108,611116
20080213,66896,67859,65845,66896,507647
20080214,67421,67859,66370,67334,404444
20080215,66721,66896,64444,65407,467102
20080218,65407,65845,64269,65232,249634
20080219,66108,67246,65758,65758,290420
20080220,64707,65145,63393,63569,415469
20080221,63744,64532,63218,64444,289916
20080222,64444,65670,63306,63919,405540
20080225,64006,65582,64006,64444,331971
20080226,64794,65407,63919,64619,238345
20080227,65232,65407,62080,62868,625989
20080228,62868,63306,62080,62430,407705
20080229,62956,64006,61992,63306,524026
20080303,61817,61992,59628,60767,637973
20080304,61204,61204,57790,58490,994559
20080305,59015,59453,57264,58490,477878
20080306,58753,60329,58490,60066,662187
20080307,58052,58665,57002,57790,794350
20080310,56564,58665,56038,57002,640733
20080311,55951,56476,54462,56476,1075905
20080312,57877,58052,52886,53849,1909483
20080313,52886,53499,48246,49384,2589668
20080314,49647,49647,45706,46669,2260503
20080317,45619,45969,43386,45794,2221265
20080318,47107,48158,46932,47983,1709995
20080319,49121,49296,46319,46932,1602109
20080320,47720,49209,47458,48333,1294216
20080321,49822,51047,49471,50960,1255625
20080324,51573,51573,49471,49909,957071
20080325,50522,50522,48771,49471,1356394
20080326,49209,49734,46669,46932,2208489
20080327,45969,47720,45181,47195,1029338
20080328,46845,47458,46057,46057,1865923
20080331,46407,47195,46232,46757,783503
