날짜,시가,고가,저가,현재가,거래량
20080102,12252,12717,12252,12538,3136
20080103,12681,12788,12360,12645,4286
20080104,12753,12860,12503,12860,2113
20080107,12931,12967,12753,12931,2569
20080108,13074,13110,12717,12860,3441
20080109,12717,12824,12503,12538,5723
20080110,12824,12824,12431,12574,3827
20080111,12574,12574,11895,12288,15973
20080114,12038,12324,12038,12181,6501
20080115,12181,12217,12074,12145,6795
20080116,11824,12145,11824,12145,3517
20080117,12288,12288,11860,12110,1517
20080118,11860,12074,11502,11860,4273
20080121,11860,11931,11431,11752,3283
20080122,11717,11717,10716,11145,1693
20080123,11145,11288,10109,10109,7172
20080124,10359,10395,9823,10216,19524
20080125,10216,10538,10216,10538,5087
20080128,10502,11395,10288,10538,7617
20080129,10538,10859,10395,10395,3011
20080130,10609,10609,9716,9859,4844
20080131,9752,10216,9752,10216,4295
20080201,10216,10466,10038,10431,2719
20080204,10324,10574,10216,10359,3006
20080205,10538,10538,10109,10431,4871
20080211,10002,10466,10002,10466,3196
20080212,10502,10502,10109,10431,3559
20080213,10431,10609,10359,10609,5180
20080214,10645,10645,10145,10538,15493
20080215,10574,10609,10073,10359,14461
20080218,10145,10538,10002,10002,6206
20080219,10216,10216,9788,9931,24900
20080220,10002,10109,9859,10038,9476
20080221,10073,10145,9895,10073,7687
20080222,10002,10145,9681,9859,9171
20080225,9609,10002,9609,9895,13476
20080226,10002,10002,9788,9859,2406
20080227,9788,9895,9430,9645,14302
20080228,9681,10716,9573,10073,17072
20080229,10002,10395,10002,10288,13183
20080303,10431,10431,9895,10216,6658
20080304,10288,10324,9573,9716,12629
20080305,9788,9788,9430,9502,14587
20080306,9466,9573,9180,9430,23676
20080307,9288,9502,9002,9216,19993
20080310,9073,9395,8930,9145,12824
20080311,9145,9145,8573,8859,14268
20080312,9002,9038,8716,8895,21677
20080313,8930,8930,8645,8716,8503
20080314,8895,8895,8573,8573,12701
20080317,8573,8573,7930,8502,16616
20080318,8895,8895,8180,8395,6021
20080319,8430,8752,8359,8359,4452
20080320,8359,8466,8252,8466,2444
20080321,8466,8573,8466,8537,2945
20080324,8466,8930,8430,8930,12566
20080325,9395,9395,8966,9109,4687
20080326,8966,9180,8859,9038,5541
20080327,8859,9430,8859,9430,6087
20080328,9502,9609,9145,9359,5449
20080331,9359,9359,9038,9216,2837
20080401,9216,9216,8930,9073,4416
20080402,9073,9323,8680,8966,7494
20080403,8966,9109,8966,9038,2294
20080404,8966,9180,8823,9073,1394
20080407,9252,9252,8680,8930,4707
20080408,9038,9109,8787,9109,3717
20080410,9288,9288,8930,9180,8241
20080411,9288,9323,8966,9180,5656
20080414,9073,9109,8573,8716,10072
20080415,8645,9002,8645,9002,3846
20080416,8930,9038,8787,9002,3143
20080417,9145,9145,8930,9038,4356
20080418,8930,9145,8930,9002,7490
20080421,8966,9073,8823,9038,4729
20080422,9073,9073,8930,9002,4409
20080423,9109,9109,8859,8930,8290
20080424,8930,9002,8823,8930,3275
20080425,8716,8930,8716,8823,9046
20080428,8752,8895,8573,8609,7156
20080429,8609,9002,8609,8930,8805
20080430,9073,9573,8895,8895,74788
20080502,8930,9288,8895,9145,19877
20080506,9288,9966,9002,9966,50679
20080507,9931,10252,9645,10109,40952
20080508,9895,10645,9895,10216,33928
20080509,10073,11717,10073,11252,134333
20080513,11252,11681,10859,11288,51751
20080514,11288,12503,11181,12360,99581
20080515,12145,12610,11431,11860,85560
20080516,11931,12360,11574,11824,28408
20080519,11788,11931,11431,11895,23726
20080520,12002,12431,11645,12431,23516
20080521,12431,12717,12038,12145,17476
20080522,12074,12217,11574,12110,16502
20080523,12717,12717,11860,12288,6549
20080526,11967,12288,11788,12110,11080
20080527,12110,12181,11574,11967,6830
20080528,11967,11967,11359,11645,15811
20080529,11574,12074,11431,11860,8461
20080530,11860,12252,11681,12217,10201
20080602,12217,13503,12145,13503,34806
20080603,13431,13860,13074,13360,18470
20080604,13074,13788,13074,13503,10397
20080605,13753,13860,13038,13503,9036
20080609,13360,13431,12895,13360,9980
20080610,13360,13574,12860,13146,12419
20080611,13146,13217,12181,12181,16599
20080612,12145,12503,11002,11324,18918
20080613,11324,11609,10716,11074,8662
20080616,10788,11645,10716,10967,6832
20080617,10716,11609,10716,11609,13192
20080618,12788,12788,11609,12145,10626
20080619,11788,12324,11395,11931,4593
20080620,12181,12181,11074,11931,1867
20080623,11717,12002,11145,11895,2063
20080624,12002,12002,11431,11788,4644
20080625,11788,11788,10752,11645,5050
20080626,11574,12002,10967,11967,9868
20080627,12038,12503,11645,11860,8884
20080630,11967,12181,11609,12145,7299
20080701,12145,12324,11788,11931,6599
20080702,12038,12038,10931,11431,6514
20080703,10788,11431,10716,11217,7470
20080704,11288,11288,10752,10788,6076
20080707,10359,11395,10359,10788,3807
20080708,10824,10824,10002,10645,3161
20080709,10716,11109,10395,10824,1602
20080710,10716,10716,10181,10645,4390
20080711,10359,10645,10181,10645,1416
20080714,10181,10645,9645,9931,16157
20080715,9645,9931,9288,9359,11274
20080716,9645,9823,9323,9502,8242
20080717,10216,10216,9323,9681,5408
20080718,9395,10502,9395,9430,18676
20080721,9359,9716,9359,9466,5510
20080722,9466,9466,9073,9288,9852
20080723,9430,9430,9145,9288,3037
20080724,9288,10002,9288,9538,12696
20080725,9288,9502,9288,9288,9792
20080728,9252,9395,9252,9288,11467
20080729,9145,9288,9002,9109,15322
20080730,9180,9216,8930,8930,6731
20080731,8823,8930,8716,8787,5716
20080801,9288,9288,8645,8716,2757
20080804,8752,8859,8645,8716,2795
20080805,8716,8895,8216,8573,9046
20080806,8573,8573,8216,8359,3792
20080807,8359,8573,8359,8502,1601
20080808,8716,8716,8466,8573,2190
20080811,8359,8573,8359,8573,2096
