날짜,시가,고가,저가,현재가,거래량
20080102,684540,691207,671205,682317,1900
20080103,675650,680095,653424,671205,2187
20080104,666759,675650,651202,666759,1798
20080107,648979,655647,635644,640089,2791
20080108,633421,644534,622309,626754,2331
20080109,617864,655647,615641,646757,2030
20080110,657869,666759,640089,640089,2203
20080111,657869,662314,626754,628976,2696
20080114,628976,646757,620086,626754,2226
20080115,633421,640089,575636,575636,4219
20080116,560078,580081,544520,544520,5104
20080117,553410,560078,531185,535630,4398
20080118,524517,533408,517850,533408,5347
20080121,533408,553410,513405,515627,5320
20080122,493402,502292,464509,482289,6244
20080123,497847,506737,477844,486734,3101
20080124,500070,548965,500070,533408,5955
20080125,551188,551188,526740,535630,3163
20080128,551188,555633,502292,502292,2367
20080129,520072,526740,502292,506737,1704
20080130,517850,517850,475622,480067,2254
20080131,466732,486734,464509,477844,2242
20080201,497847,502292,482289,497847,2328
20080204,500070,524517,500070,520072,2472
20080205,517850,522295,502292,511182,1579
20080211,495625,495625,482289,488957,1741
20080212,495625,497847,484512,486734,2460
20080213,495625,551188,493402,524517,10302
20080214,535630,544520,497847,524517,6395
20080215,515627,526740,506737,517850,3990
20080218,528962,540075,517850,526740,4868
20080219,535630,540075,517850,524517,5835
20080220,522295,524517,502292,504515,3130
20080221,506737,531185,506737,513405,4601
20080222,504515,511182,495625,504515,2266
20080225,511182,526740,502292,508960,2711
20080226,520072,546743,517850,524517,10978
20080227,533408,542298,513405,513405,6885
20080228,520072,524517,504515,522295,3302
20080229,522295,528962,511182,520072,3538
20080303,497847,506737,493402,497847,2823
20080304,506737,528962,500070,520072,5153
20080305,526740,540075,515627,517850,4445
20080306,522295,526740,517850,524517,2279
20080307,511182,522295,506737,511182,2004
20080310,502292,513405,480067,480067,3061
20080311,468954,486734,466732,471177,3143
20080312,491179,495625,477844,480067,3211
20080313,482289,484512,460064,468954,2019
20080314,473399,477844,451174,457841,2864
20080317,453396,453396,442284,446729,2040
20080318,443617,453396,442284,444506,2660
20080319,457841,460064,448951,451174,1600
20080320,441839,453396,441395,451174,1376
20080321,462287,462287,448951,460064,2325
20080324,462287,473399,457841,468954,1758
20080325,473399,473399,460064,466732,1656
20080326,466732,468954,457841,462287,1352
20080327,466732,477844,466732,471177,3838
20080328,464509,471177,462287,466732,1944
20080331,466732,491179,462287,484512,4126
20080401,484512,495625,480067,480067,2598
20080402,491179,500070,482289,488957,3409
20080403,497847,542298,497847,531185,10145
20080404,533408,564523,524517,551188,8695
20080407,553410,553410,533408,535630,5524
20080408,535630,542298,520072,528962,3104
20080410,526740,526740,513405,515627,3743
20080411,522295,533408,522295,524517,2449
20080414,520072,548965,511182,515627,7473
20080415,515627,526740,513405,513405,2736
20080416,524517,526740,515627,522295,3501
20080417,528962,553410,524517,531185,7352
20080418,531185,548965,531185,540075,4447
20080421,551188,553410,531185,535630,4014
20080422,533408,537853,524517,524517,2679
20080423,524517,602306,524517,602306,17721
20080424,617864,617864,571191,584526,15857
20080425,586748,602306,568968,595638,7921
20080428,602306,633421,577858,597861,12790
20080429,606751,611196,586748,588971,3862
20080430,586748,606751,575636,595638,4353
20080502,604529,620086,600083,615641,5431
20080506,617864,631199,602306,628976,5518
20080507,624531,633421,606751,611196,5329
20080508,600083,637867,593416,620086,5200
20080509,622309,628976,613419,620086,2830
20080513,624531,655647,613419,653424,7171
20080514,662314,720100,646757,702320,18631
20080515,702320,733435,686762,702320,12965
20080516,715655,731213,684540,702320,7030
20080519,713433,728990,704542,717878,6416
20080520,713433,724545,682317,688985,6105
20080521,673427,708988,668982,684540,5731
20080522,673427,691207,666759,680095,3865
20080523,673427,680095,648979,648979,7481
20080526,626754,631199,604529,608974,6359
20080527,617864,642312,615641,617864,4875
20080528,622309,657869,622309,633421,6982
20080529,646757,646757,624531,633421,3431
20080530,640089,653424,626754,653424,3829
20080602,653424,686762,648979,664537,6378
20080603,653424,693430,635644,635644,8555
20080604,644534,666759,631199,666759,6186
20080605,675650,677872,644534,644534,6472
20080609,615641,648979,613419,637867,5471
20080610,648979,657869,624531,624531,7089
20080611,628976,637867,606751,620086,5277
20080612,608974,624531,604529,615641,6754
20080613,624531,633421,608974,631199,4287
20080616,648979,648979,633421,633421,2942
20080617,637867,642312,613419,613419,3427
20080618,611196,637867,608974,637867,3428
20080619,635644,653424,620086,622309,5260
20080620,631199,642312,620086,628976,3913
20080623,628976,644534,608974,635644,3746
20080624,633421,637867,613419,613419,3159
20080625,613419,631199,608974,622309,3690
20080626,622309,642312,622309,631199,5256
20080627,611196,617864,606751,611196,2711
20080630,613419,615641,573413,582303,5213
20080701,588971,593416,582303,588971,2545
20080702,600083,600083,544520,553410,3539
20080703,528962,537853,500070,524517,5871
20080704,517850,537853,517850,528962,2855
20080707,520072,531185,506737,520072,2663
20080708,515627,531185,493402,495625,3072
20080709,508960,544520,506737,508960,3773
20080710,491179,533408,491179,533408,3306
20080711,546743,564523,528962,555633,3432
20080714,551188,568968,544520,546743,3124
20080715,544520,553410,526740,533408,3413
20080716,544520,548965,520072,535630,3048
20080717,551188,566746,548965,551188,2692
20080718,564523,568968,540075,546743,2063
20080721,560078,566746,555633,566746,2275
20080722,575636,575636,557855,564523,1708
20080723,575636,593416,571191,593416,3418
20080724,593416,611196,593416,602306,2650
20080725,586748,604529,582303,604529,1805
20080728,613419,613419,595638,606751,1318
20080729,588971,595638,560078,575636,3777
20080730,595638,595638,568968,584526,3167
20080731,588971,608974,588971,591193,2377
20080801,591193,591193,568968,582303,2071
20080804,573413,584526,568968,573413,1838
20080805,564523,586748,551188,555633,4454
20080806,571191,588971,568968,588971,1962
20080807,591193,600083,577858,597861,1859
20080808,588971,606751,582303,595638,1937
20080811,602306,602306,568968,568968,1611
20080812,582303,582303,555633,564523,1833
20080813,564523,571191,535630,535630,2462
20080814,542298,566746,537853,564523,2399
20080818,564523,566746,544520,551188,1712
20080819,542298,548965,537853,540075,1146
20080820,537853,562300,537853,544520,1529
20080821,551188,557855,531185,531185,1596
20080822,542298,542298,511182,520072,1366
20080825,524517,537853,511182,511182,1967
20080826,504515,524517,504515,511182,1468
20080827,513405,517850,497847,511182,1878
20080828,522295,522295,502292,504515,1288
20080829,508960,515627,497847,497847,1783
20080901,482289,493402,457841,462287,2540
20080902,448951,468954,395611,404501,6758
20080903,396055,455619,396055,455619,3170
20080904,460064,473399,444506,453396,1779
20080905,438283,473399,438283,466732,1811
20080908,488957,508960,475622,508960,2042
20080909,508960,515627,477844,480067,2321
20080910,473399,488957,466732,488957,2830
20080911,480067,484512,460064,460064,3825
20080912,473399,524517,471177,520072,5938
20080916,471177,486734,457841,457841,4011
20080917,477844,504515,471177,495625,3162
20080918,471177,502292,471177,480067,2083
20080919,511182,517850,495625,504515,4074
20080922,515627,526740,493402,493402,2783
20080923,491179,513405,488957,513405,2053
20080924,511182,522295,504515,517850,2110
20080925,513405,522295,497847,517850,2066
20080926,524517,524517,506737,517850,1557
20080929,520072,531185,502292,504515,1999
20080930,473399,500070,462287,484512,2396
20081001,488957,495625,480067,493402,1452
20081002,502292,504515,471177,471177,1339
20081006,464509,464509,436061,448951,1857
20081007,435616,446729,435616,443173,1731
20081008,432505,432505,382275,382720,2394
20081009,377830,404501,361828,370718,3698
20081010,360050,360050,322267,332491,3653
20081013,346715,373830,344492,373830,2665
20081014,404501,424059,400056,424059,2128
20081015,408946,417391,396055,408946,1471
20081016,377830,377830,348493,352493,1767
20081017,373385,373830,344492,356050,2134
20081020,356494,373385,346715,370718,1212
20081021,384498,384498,357383,360050,1482
20081022,354716,363606,312488,328935,2157
20081023,289374,304042,279594,279594,4111
20081024,274705,278261,237811,237811,3802
20081027,206695,248035,202250,204917,3931
20081028,189360,232032,182248,232032,5446
20081029,253369,255591,205140,217808,5299
20081030,239589,250257,232921,250257,5647
20081031,262259,286262,251146,275594,7267
20081103,280039,304487,277816,293374,3893
20081104,293374,301820,280928,296041,3061
20081105,306709,328935,293819,310265,4848
20081106,285818,290707,264037,264037,2975
20081107,245367,280039,240922,280039,2522
20081110,288929,321823,284929,321823,10189
20081111,322267,348493,311154,315155,10332
20081112,302264,320045,293374,293374,6167
20081113,275594,283595,264926,283595,3411
20081114,310265,310265,287596,287596,3945
20081117,280928,295152,274260,292041,2552
20081118,285818,292485,269815,271593,2562
20081119,277816,277816,253369,260036,1732
20081120,240033,244034,223587,223587,2346
20081121,217141,252035,208918,251146,4393
20081124,248924,257369,231143,235144,3477
20081125,250257,256480,236922,243145,5072
20081126,247145,257814,243145,251146,3074
20081127,264481,271149,256480,259147,3873
20081128,262259,268037,256036,256925,2117
20081201,260036,260036,245812,248924,2745
20081202,231143,238700,231143,235588,1742
20081203,241811,241811,228476,235144,2950
20081204,242256,242256,223587,228921,2697
20081205,228921,236922,228921,233810,3576
20081208,241367,260036,237811,260036,5367
20081209,271149,284484,260925,281817,7488
20081210,279150,288485,271593,280928,6588
20081211,282261,286707,277816,280039,5211
20081212,273371,282706,262703,266259,5919
20081215,271593,289818,271593,287151,4790
20081216,287596,302264,280039,288929,5938
20081217,297819,301375,280039,285818,5002
20081218,289374,299153,280483,283151,8290
20081219,276927,286262,274705,275594,5011
20081222,278705,282261,273816,277372,2147
20081223,274705,276038,265370,266704,2355
20081224,262259,266704,255591,263148,1583
20081226,280039,280039,264481,275594,2674
20081229,273371,276927,263148,276927,1830
20081230,272482,318267,271593,316933,8489
20090102,311154,311154,292930,302264,5066
20090105,306709,309376,296486,296930,3535
20090106,302264,308932,299153,300042,5273
20090107,304042,308487,299597,302709,5817
20090108,296041,301820,293819,295597,4100
20090109,301820,313377,296486,296486,8278
20090112,288929,290707,279150,280039,2856
20090113,278705,281817,269371,274260,3756
20090114,273371,282706,267593,282261,2765
20090115,273371,273371,257814,257814,4134
20090116,257814,265815,253369,259592,2994
20090119,264037,266704,257814,260036,2655
20090120,255591,256925,244478,247590,2585
20090121,236033,247590,231588,242256,1650
20090122,248479,249368,244478,245367,1716
20090123,240478,244034,235588,235588,1922
20090128,248479,251591,243145,250702,2107
20090129,253369,260481,247590,247590,3780
20090130,241811,257369,240922,251146,2961
20090202,249813,260036,247590,252924,2622
20090203,256036,261370,252924,257814,1794
20090204,264037,271593,260036,266704,4372
20090205,266704,269371,259592,260036,2812
20090206,264481,266704,253813,257814,4565
20090209,261814,263148,257814,260036,3784
20090210,263148,271149,258703,271149,3133
20090211,262259,275594,260481,273371,3280
20090212,275594,285818,264037,285373,8157
20090213,283151,297819,282261,296486,5204
20090216,296930,301375,282261,282706,4532
20090217,280928,280928,258703,258703,3260
20090218,255147,270260,249813,266259,2790
20090219,264481,272038,254258,260481,1949
20090220,257369,262259,236477,241367,1768
20090223,239144,251591,238255,250702,1145
20090224,242256,244034,237811,237811,1223
20090225,244034,249368,240033,241811,1168
20090226,243145,251146,236477,240033,1158
20090227,240033,244034,235588,236477,2977
20090302,232921,232921,220475,221809,2260
20090303,212474,220031,191138,217364,1735
20090304,218253,233366,209362,233366,1883
20090305,234255,246701,226698,230254,2375
20090306,221586,228921,218697,225365,1048
20090309,228921,234699,224920,234699,1153
20090310,228921,240478,228476,235588,1477
20090311,244034,245812,240478,243145,2128
20090312,246256,252480,239144,252480,2826
20090313,255147,262259,252924,256036,2218
20090316,256925,260481,253369,256036,903
20090317,259592,266704,253369,266704,2942
20090318,273816,275149,263148,270704,1898
20090319,274705,284929,267148,271149,4206
20090320,274260,284484,272482,278261,2615
20090323,284040,284040,275594,283595,2371
20090324,289374,291596,279150,282706,4272
20090325,280928,281372,272482,277816,4020
20090326,283595,286707,275594,282261,4972
20090327,288485,290707,280039,280039,5530
20090330,281372,281817,263592,264926,3334
20090331,264926,273371,264037,266259,4820
20090401,272482,291152,266704,288929,6563
20090402,297819,332046,296930,332046,7610
20090403,371163,377830,348048,361828,25993
20090406,361828,380053,355605,364495,12223
20090407,356050,377830,354716,377830,6488
20090408,364495,382275,363162,368940,6872
20090409,373385,397833,372052,395611,10307
20090410,403167,411613,392944,407612,7453
20090413,411168,426726,400056,411613,7671
20090414,415613,420058,400056,405390,3755
20090415,399611,401389,377830,380942,4771
20090416,393388,437839,391610,437839,22890
20090417,453396,460064,415613,434283,20870
20090420,436505,442728,411168,422281,7795
20090421,406723,419169,403167,418280,5642
20090422,424504,426726,410724,420058,5298
20090423,422281,441395,409835,431171,7899
20090424,427171,429838,412057,417836,5149
20090427,424948,426726,407168,413391,4073
20090428,412946,417836,372496,372496,4585
20090429,372496,409390,364495,404501,5268
20090430,411168,420058,391610,404501,4422
20090504,409835,428949,409390,424948,3821
20090506,428949,448951,428949,448951,7870
20090507,462287,462287,429838,437394,5507
20090508,432505,435616,415613,432949,6124
20090511,443173,443173,422281,432949,3677
20090512,432949,441839,428504,431616,4915
20090513,433394,457841,433394,457841,10040
20090514,444506,502292,442728,466732,17590
20090515,482289,486734,457841,471177,6644
20090518,464509,464509,440061,446729,6528
20090519,460064,473399,448951,468954,8483
20090520,464509,482289,460064,468954,4738
20090521,464509,466732,440506,441395,7426
20090522,438728,453396,428949,441395,4485
20090525,440061,457841,380497,440950,5332
20090526,441839,446729,424504,431171,2728
20090527,440061,446729,428949,431171,5601
20090528,422281,430727,412057,420058,1983
20090529,423170,457841,416502,440061,4893
20090601,451174,457841,435616,457841,3169
20090602,468954,475622,441395,441395,6532
20090603,451174,506737,444506,506737,18059
20090604,526740,577858,513405,542298,54268
20090605,555633,575636,515627,544520,21698
20090608,542298,551188,520072,533408,12820
20090609,537853,564523,528962,528962,13207
20090610,533408,542298,517850,528962,5523
20090611,546743,566746,522295,522295,18171
20090612,533408,540075,495625,506737,12826
20090615,517850,562300,515627,562300,18021
20090616,551188,551188,528962,531185,53296
20090617,528962,528962,504515,513405,6524
20090618,517850,520072,475622,475622,13390
20090619,475622,486734,457841,486734,7595
20090622,493402,508960,488957,500070,8030
20090623,480067,491179,464509,466732,5188
20090624,475622,475622,442284,448951,9358
20090625,446729,484512,446729,466732,7604
20090626,475622,495625,471177,486734,8311
20090629,493402,495625,466732,466732,3232
20090630,473399,480067,457841,460064,3659
20090701,460064,497847,453396,497847,7735
20090702,504515,515627,493402,497847,8242
20090703,482289,493402,475622,491179,4984
20090706,488957,488957,466732,466732,6847
20090707,464509,475622,460064,473399,5043
20090708,466732,471177,455619,464509,4784
20090709,462287,464509,451174,453396,5487
20090710,455619,460064,442284,448951,3916
20090713,460064,464509,444506,444506,4089
20090714,453396,468954,444506,466732,5692
20090715,466732,466732,457841,464509,5506
20090716,473399,477844,457841,460064,3892
20090717,464509,468954,453396,457841,3224
20090720,460064,473399,457841,464509,8699
20090721,473399,497847,468954,475622,16175
20090722,488957,506737,475622,477844,22430
20090723,480067,484512,457841,460064,16897
20090724,404945,423170,395611,404056,51045
20090727,409390,415169,404501,413391,13867
20090728,417391,417391,408946,412057,8283
20090729,412057,422281,411168,420058,7819
20090730,422281,422281,408946,414280,5560
20090731,416058,427615,414280,421392,10515
20090803,420503,423614,414724,423170,6443
20090804,426726,436061,426282,430282,8258
20090805,434727,437839,430282,432060,8207
20090806,432060,437839,430727,437839,5576
20090807,443173,460064,441395,451174,10840
20090810,460064,473399,455619,471177,16166
20090811,498936,541625,498936,541625,29796
20090812,533621,536289,513877,524016,12806
