날짜,시가,고가,저가,현재가,거래량
20080102,7330,7360,7225,7270,9046
20080103,7195,7345,6551,7225,13098
20080104,7195,7210,7075,7165,13218
20080107,6940,7120,6940,7030,6380
20080108,7045,7165,6970,7105,1884
20080109,7105,7120,6895,7105,15280
20080110,7075,7120,6970,7045,7418
20080111,7045,7060,6895,6970,4773
20080114,6895,6895,6731,6895,17111
20080115,6985,7000,6611,6940,22601
20080116,6865,6880,6686,6701,12034
20080117,6701,6895,6611,6611,17848
20080118,6731,6731,6491,6551,30180
20080121,6551,6596,6356,6371,36107
20080122,6386,6461,6176,6251,44896
20080123,6461,6686,6191,6356,37555
20080124,6626,6626,6206,6311,26771
20080125,6326,6371,6176,6311,19289
20080128,6296,6760,6176,6206,109149
20080129,6206,6251,6056,6101,67084
20080130,6161,6161,5981,6056,36747
20080131,5996,6236,5936,6176,79956
20080201,6176,6206,6056,6176,54102
20080204,6176,6611,6176,6506,78015
20080205,6296,6476,6296,6461,31774
20080211,6416,6416,6221,6296,51444
20080212,6251,6311,6071,6206,79709
20080213,6161,6416,6146,6386,127621
20080214,6581,6581,6461,6506,11911
20080215,6386,6581,6386,6551,8148
20080218,6461,6581,6401,6521,23609
20080219,6596,6686,6506,6596,29086
20080220,6656,6686,6521,6596,85406
20080221,6596,6671,6581,6656,45657
20080222,6716,6716,6551,6551,84219
20080225,6596,6686,6596,6611,61194
20080226,6716,6716,6596,6626,35416
20080227,6596,6701,6596,6686,25847
20080228,6686,6686,6566,6626,30597
20080229,6626,6716,6611,6686,33282
20080303,6686,6701,6566,6701,55263
20080304,6701,6716,6686,6716,23032
20080305,6746,6746,6596,6716,16927
20080306,6790,6790,6716,6731,14773
20080307,6596,6760,6581,6746,76087
20080310,6746,6746,6581,6701,29703
20080311,6716,6790,6701,6775,18015
20080312,6820,6820,6746,6760,10310
20080313,6760,6760,6671,6716,17268
20080314,6716,6746,6596,6716,75180
20080317,6551,6716,6536,6686,29873
20080318,6596,6701,6596,6701,10006
20080319,6731,6731,6611,6701,10086
20080320,6506,6701,6506,6686,131014
20080321,6760,6760,6611,6686,15233
20080324,6701,6701,6611,6686,47068
20080325,6626,6701,6626,6701,28078
20080326,6775,6850,6641,6716,12034
20080327,6790,6850,6596,6820,121907
20080328,6835,6910,6746,6865,13729
20080331,6895,6955,6865,6940,9156
20080401,7030,7060,6940,6940,13519
20080402,6985,7135,6955,7060,4549
20080403,7105,7105,6955,6955,6937
20080404,7060,7060,6865,6955,7978
20080407,6985,6985,6850,6865,5130
20080408,6895,6895,6731,6805,16601
20080410,6835,6835,6611,6656,49302
20080411,6686,6746,6656,6671,7494
20080414,6686,6820,6671,6820,8215
20080415,6820,6820,6716,6775,7244
20080416,6775,6835,6671,6835,20730
20080417,6910,6910,6775,6805,6407
20080418,6835,6880,6790,6880,10376
20080421,6880,7015,6880,6955,14933
20080422,6985,7675,6910,7045,16467
20080423,6985,7045,6895,6955,20090
20080424,7105,7105,6895,6910,11340
20080425,6880,7045,6865,7045,17578
20080428,6910,7015,6865,6955,16317
20080429,7000,7000,6895,6895,12651
20080430,6895,7000,6895,6970,13982
20080502,6955,7075,6955,7075,34409
20080506,7165,7165,6985,7075,10200
20080507,7015,7105,7015,7045,15730
20080508,7075,7135,7045,7135,9112
20080509,7150,7195,7105,7195,23552
20080513,7255,7555,7255,7435,27711
20080514,7540,7570,7465,7525,35336
20080515,7600,7975,7525,7915,49212
20080516,7915,7915,7795,7915,12845
20080519,7840,7930,7675,7780,9733
20080520,7870,7870,7600,7795,28192
20080521,7795,7795,7510,7795,17861
20080522,7900,8095,7540,8095,26597
20080523,8095,8230,7870,8215,35720
20080526,8095,8095,7870,7975,8025
20080527,7960,8095,7825,8035,11097
20080528,8095,8095,7930,8065,4656
20080529,8095,8095,7915,7945,10103
20080530,8005,8005,7495,7495,19886
20080602,7795,7855,7555,7855,15790
20080603,7675,8095,7675,8095,23395
20080604,8065,8095,8035,8095,21330
20080605,8095,8095,7945,7990,12638
20080609,7870,8095,7555,7990,12825
20080610,8065,8095,7765,7795,8625
20080611,7780,7825,7675,7705,6604
20080612,7690,8095,7645,8095,21644
20080613,7945,8095,7855,8095,27888
20080616,8065,8185,7945,8095,20740
20080617,7990,8095,7945,8005,2951
20080618,8020,8020,7885,7900,14226
20080619,7945,8005,7795,7945,55867
20080620,7990,8095,7945,8005,27431
20080623,7555,7990,7555,7945,4569
20080624,7945,7975,7750,7870,8335
20080625,7765,7900,7690,7885,87921
20080626,8095,8095,7795,8005,12891
20080627,8005,8035,7885,8035,27231
20080630,8020,8020,7795,7960,2024
20080701,7975,7975,7810,7960,10190
20080702,7855,7945,7735,7900,3659
20080703,7780,7915,7705,7765,27811
20080704,7795,7885,7765,7795,68155
20080707,7795,8005,7675,8005,29396
20080708,8005,8364,7585,8334,162875
20080709,8334,8334,8065,8245,27161
20080710,7855,8170,7855,8155,20580
20080711,8155,8155,7885,8125,10660
20080714,7930,8110,7930,7960,5677
20080715,7870,7945,7840,7855,3779
20080716,7855,8020,7795,7915,18155
20080717,8035,8035,7900,7945,12161
20080718,7945,7945,7645,7645,53582
20080721,7930,7930,7795,7795,5240
20080722,7900,7900,7675,7795,4242
20080723,7915,7915,7765,7795,20883
20080724,7885,7885,7645,7645,24172
20080725,7765,7930,7645,7930,13812
20080728,7960,8245,7810,7945,24656
20080729,7945,8185,7870,7945,173789
20080730,8095,8215,7930,7930,117808
20080731,7945,8035,7855,7945,19826
20080801,8065,8065,7885,7945,4626
20080804,7960,7990,7855,7960,24416
20080805,7870,8065,7870,8050,44249
20080806,8065,8170,8050,8170,31731
20080807,8170,8215,8035,8185,18902
