날짜,시가,고가,저가,현재가,거래량
20080102,56100,57900,55000,56900,1189
20080103,56200,56600,54600,56600,868
20080104,57500,57500,55000,56300,926
20080107,55500,57500,55000,57500,1664
20080108,57800,57900,55600,56500,2102
20080109,55000,57700,55000,57700,986
20080110,57100,57300,56000,56000,734
20080111,55800,56400,54000,54000,1876
20080114,54000,55000,53200,54400,1942
20080115,55000,55200,53100,55200,1293
20080116,55000,57000,53900,57000,1145
20080117,56800,57000,55600,56900,1237
20080118,56400,57000,54200,56600,2502
20080121,56600,56600,54200,55700,1838
20080122,54500,55000,51700,54900,1551
20080123,56900,56900,55000,55100,537
20080124,55100,55300,53100,54500,6124
20080125,54100,55300,53800,55200,1008
20080128,55000,55500,53800,54800,240
20080129,53700,55300,53200,55300,1408
20080130,55800,55800,52700,55000,2754
20080131,54400,55500,53500,55100,1575
20080201,55100,55300,53800,55300,2666
20080204,55300,57000,54300,57000,3800
20080205,57300,58100,55700,56900,1808
20080211,57500,57500,55200,56600,1335
20080212,56200,57300,55300,55700,1341
20080213,55700,56700,53800,53800,1774
20080214,53700,54000,52600,53200,4680
20080215,53800,54300,52600,54300,2126
20080218,55100,55100,53000,53000,1389
20080219,53000,54200,52700,54000,1722
20080220,54400,54400,53000,53000,222061
20080221,53400,53500,53200,53300,882
20080222,52700,53500,52700,53500,728
20080225,53500,54000,52600,52600,1404
20080226,53900,54600,52600,54600,1741
20080227,53300,54500,53300,53800,4542
20080228,54000,54000,53300,53600,1712
20080229,53500,53500,52300,52300,3202
20080303,52300,52300,50900,50900,2006
20080304,51500,52500,49850,52500,4628
20080305,51800,52000,49700,49700,5801
20080306,50000,50000,46900,46900,10010
20080307,46800,47300,45700,47300,3310
20080310,46500,46500,44900,44900,4980
20080311,43650,45250,43300,43800,4851
20080312,43800,46250,41000,41000,115028
20080313,41500,42350,39700,40000,12584
20080314,41100,41800,36700,41800,22700
20080317,41000,41000,36950,39100,25652
20080318,40000,40000,37500,38800,10183
20080319,38350,39200,37550,37550,23454
20080320,37500,37500,35600,36050,25995
20080321,36150,37800,36100,37800,80942
20080324,36100,38350,36100,37000,98330
20080325,37800,38100,36300,36600,82043
20080326,35900,36900,35900,36000,61481
20080327,36100,36250,35550,36250,46520
20080328,36700,37300,36100,36450,65916
20080331,36450,36800,35750,36400,49336
20080401,36600,37750,36200,37500,40837
20080402,38400,38400,37300,37400,69239
20080403,37400,37400,36500,37000,42329
20080404,37200,37800,37100,37450,49601
20080407,38000,38850,38000,38600,67616
20080408,39150,39300,38550,38850,53594
20080410,39450,39450,37550,37650,68729
20080411,37700,38100,37500,37700,39523
20080414,37250,37750,37250,37500,25988
20080415,37700,38100,37200,37350,24159
20080416,37400,37950,37400,37550,17584
20080417,37950,37950,37300,37950,32792
20080418,38100,38100,37600,37800,15976
20080421,37700,38150,37650,37800,41644
20080422,37700,38000,37700,37850,22881
20080423,38200,40000,38000,39100,48064
20080424,39200,39900,39200,39500,31740
20080425,40000,40000,39300,39350,28200
20080428,39500,39800,38000,38750,29453
20080429,38800,38800,38050,38200,20563
20080430,37950,39600,37950,39600,28941
20080502,39600,39600,38700,39000,25059
20080506,39000,40700,38700,39850,76366
20080507,39950,40250,38350,38600,61687
20080508,38500,38600,38050,38200,37306
20080509,38400,38800,37500,37600,38332
20080513,37700,38350,37650,38000,26905
20080514,37800,38450,37550,37700,26480
20080515,37750,40500,37700,39300,81195
20080516,39900,41500,38700,41050,113056
20080519,42600,46800,42600,45800,142663
20080520,45800,45950,43700,44550,59930
20080521,43950,45500,43200,44600,35131
20080522,45100,47000,43900,44100,76180
20080523,44350,44500,42700,42950,47124
20080526,42000,43500,41850,42600,33203
20080527,42950,44000,42200,42700,27453
20080528,42600,43000,41250,41400,24697
20080529,41300,42900,41250,42450,26710
20080530,42850,42900,42000,42400,16109
20080602,42400,42700,41800,42050,18343
20080603,41550,41950,41300,41600,14929
20080604,41700,42400,41500,42200,16345
20080605,42200,44250,41750,43500,31741
20080609,41850,43400,41850,43300,17503
20080610,43100,43500,41750,43500,28659
20080611,43400,43500,42550,43500,22386
20080612,42900,44750,42750,44350,47389
20080613,44550,45750,44450,45450,37890
20080616,45700,46600,44750,45000,32786
20080617,45400,45400,41200,44950,26035
20080618,44600,45050,43600,44500,11850
20080619,43750,44200,43300,43300,11395
20080620,46700,46700,44100,44600,69168
20080623,42200,44700,42200,43800,20907
20080624,43250,44600,43000,43550,21714
20080625,42800,43750,42500,42600,17494
20080626,42300,42600,41500,41550,20261
20080627,40700,41300,40300,41000,19103
20080630,41650,42500,39700,40500,30141
20080701,40450,41000,38550,38900,22661
20080702,37900,40900,37450,37800,65721
20080703,37000,38450,36500,37950,23701
20080704,38000,39100,37500,37800,25143
20080707,37750,39000,37150,37350,49201
20080708,37350,37900,34500,35600,32664
20080709,35100,38300,35100,38300,29322
20080710,37800,38500,37750,37800,10968
20080711,38000,38400,37800,38300,6903
20080714,38300,38700,38000,38500,13435
20080715,39000,40950,38500,38600,26927
20080716,39000,39750,38500,39100,23012
20080717,40150,40200,39250,39250,17421
20080718,39900,40950,39200,40550,15437
20080721,40950,41800,40950,41800,11593
20080722,42100,42200,41450,41800,9965
20080723,42000,42400,41700,42300,10620
20080724,42300,43500,42300,43100,17590
20080725,42350,43200,42350,43200,12762
20080728,43900,44500,43250,44000,7735
20080729,43400,43650,42300,42650,7230
20080730,42750,43100,42650,43000,5372
20080731,43050,45050,43050,44800,41328
20080801,44650,44650,43200,43250,7787
20080804,43250,44150,41500,41500,12440
20080805,42800,43350,41400,42600,10320
20080806,43600,43800,42650,43500,10282
20080807,43250,44800,43000,44650,18230
20080808,44700,45200,44050,44800,10884
20080811,44850,45200,44200,44700,8610
20080812,44000,44800,40200,44450,14252
20080813,43500,45950,43500,44300,16629
20080814,43700,44900,43700,43700,4930
20080818,43800,44000,42650,42700,11438
20080819,43000,43000,40100,40100,14279
20080820,38500,40750,38500,40000,8651
20080821,39650,40150,38000,39850,23135
20080822,38650,38800,37550,38400,10495
20080825,39000,39000,38300,38800,4800
20080826,37550,39500,37550,37900,10600
20080827,37600,38250,37600,37650,9692
20080828,37650,38200,36550,36550,6936
20080829,37250,37600,36800,36800,3470
20080901,36000,37350,35500,36500,9701
20080902,36500,37000,35600,36700,9194
20080903,36100,36700,33800,34000,34118
20080904,33800,34750,33800,34350,16498
20080905,33600,35150,33400,35150,11342
20080908,35650,36750,35150,36750,28170
20080909,36750,36750,35300,35500,10763
20080910,34500,35500,34150,34500,23106
20080911,34650,35250,33750,34200,13517
20080912,34800,35600,34750,35200,10663
20080916,34000,34000,33000,33400,12921
20080917,34000,34300,33550,33900,7428
20080918,32300,33300,31300,33050,22351
20080919,33650,34450,33550,33750,18651
20080922,34050,34750,33550,33850,7421
20080923,33500,34150,33500,33900,6820
20080924,33650,34800,33650,34750,5970
20080925,34750,34850,34000,34750,5948
20080926,34750,34800,34250,34250,3703
20080929,34600,35100,34000,34250,8890
20080930,33700,33700,30000,32550,27616
20081001,33450,33450,31600,32450,7310
20081002,31500,33300,31500,32100,8454
20081006,31650,31650,29250,30000,16196
20081007,29000,29650,28300,29600,12131
20081008,27150,28400,26600,26600,22113
20081009,26600,27600,24550,24550,17877
20081010,22600,22900,20900,21900,34251
20081013,21900,23900,21900,23900,12480
20081014,25400,26550,25100,26550,16830
20081015,26000,26950,25550,26950,5580
20081016,24500,25350,24100,24500,12452
20081017,26900,26900,22600,24900,9530
20081020,23550,25000,22600,24650,14433
20081021,24900,25000,23000,23350,7445
20081022,22100,23900,22000,22000,10304
20081023,20400,21950,19550,20850,15104
20081024,20050,20800,18000,18950,18062
20081027,16350,18900,16150,16150,31953
20081028,14650,16800,14300,16750,18659
20081029,18550,18800,15900,17300,26164
20081030,18100,19650,17550,19100,22470
20081031,20200,20200,18050,20100,22472
20081103,21800,22200,20300,21550,19555
20081104,21400,21800,20300,21500,12750
20081105,22700,24050,21950,23900,16271
20081106,22050,23400,22050,23050,18446
20081107,21500,22850,20900,22800,13000
20081110,22800,24000,22600,23450,9640
20081111,22300,23900,22300,23500,9900
