날짜,시가,고가,저가,현재가,거래량
20080102,74800,74800,70000,72400,5215
20080103,70300,72600,70300,72000,5232
20080104,72100,72100,69800,71800,2374
20080107,70000,71000,70000,70300,953
20080108,70000,70500,70000,70200,606
20080109,70000,71000,70000,70900,436
20080110,70900,71000,68600,70900,5946
20080111,70900,70900,69300,70000,2160
20080114,66500,70500,66500,69500,1012
20080115,67500,69500,67500,69000,222
20080116,68100,68100,65000,68000,2050
20080117,69000,69000,67900,68000,539
20080118,65800,69500,65800,68000,1478
20080121,66700,70500,66700,68100,1532
20080122,65100,69900,65100,68100,5615
20080123,66900,68500,66500,68000,5161
20080124,68000,70400,67900,70000,2706
20080125,71400,71400,69400,70000,961
20080128,69900,69900,67500,67500,739
20080129,67500,69400,67100,68200,900
20080130,70300,72200,68600,69500,8653
20080131,69000,72000,68900,71000,13782
20080201,71100,74000,71100,72700,1609
20080204,72700,75500,72700,74000,5256
20080205,74000,79700,74000,79500,42817
20080211,79500,79500,70300,79100,1926
20080212,79100,79100,76300,76300,1682
20080213,76300,78700,75000,76300,1412
20080214,76200,87000,75100,86500,17916
20080215,82000,87000,82000,86400,3266
20080218,87000,87300,85700,86500,5518
20080219,86700,90500,86700,88900,3638
20080220,89400,89500,86600,86600,2600
20080221,86800,88700,85800,87500,2299
20080222,86100,88400,84200,87900,20006
20080225,89600,95700,87100,91300,11599
20080226,91900,94300,90000,90100,3454
20080227,90600,102000,90600,96500,18840
20080228,97600,102000,92900,99700,6822
20080229,100000,104500,98300,99000,10853
20080303,98000,100500,97100,97500,5316
20080304,97600,103000,96800,100500,6003
20080305,101000,107500,100000,105000,10688
20080306,108000,108000,103000,106000,7963
20080307,107500,109500,103000,108000,3909
20080310,108500,114500,106000,107000,10002
20080311,105500,110000,101000,107000,8800
20080312,107000,110500,102000,104000,13351
20080313,105000,106000,101000,104000,3639
20080314,104500,106000,99000,104500,2813
20080317,106500,107000,99900,103000,8027
20080318,104500,104500,99200,103500,6649
20080319,105500,105500,101000,103000,2343
20080320,99800,103000,98100,102000,13440
20080321,100000,102500,95200,96800,18605
20080324,96000,97600,90900,96800,12509
20080325,94600,96300,93200,94300,8788
20080326,93900,96700,93100,96200,3790
20080327,97000,100000,95000,100000,4958
20080328,99800,103000,98000,103000,3028
20080331,102500,103000,100000,103000,5621
20080401,100500,105000,100000,101500,4034
20080402,104000,109500,101000,102000,6581
20080403,102000,104000,98900,102000,6458
20080404,102000,105000,98400,100000,16822
20080407,102000,105000,99200,100500,8217
20080408,103000,106000,99900,100000,5288
20080410,100000,101000,99300,99500,2667
20080411,99100,101500,98900,99500,3592
20080414,98500,100500,95300,96100,4526
20080415,96200,97500,96000,96500,4197
20080416,97500,100000,97000,99900,2848
20080417,100000,102000,99500,99700,1462
20080418,97000,101000,97000,100000,814
20080421,100000,101000,98700,99000,4981
20080422,99900,99900,95000,95000,7517
20080423,95000,96300,94500,95000,7135
20080424,96700,96700,92600,93200,4613
20080425,95900,95900,92500,95000,1810
20080428,95000,97000,95000,96900,4223
20080429,97300,105000,96000,105000,25002
20080430,106500,114000,101000,114000,4025
20080502,113500,119000,109000,109500,6347
20080506,108000,116000,108000,114500,4063
20080507,118500,129000,105000,112000,10355
20080508,112000,114500,110000,112000,2123
20080509,117000,117000,107500,109500,2477
20080513,113000,115000,109500,113500,2214
20080514,116500,128500,116000,128000,25375
20080515,125500,136000,125500,129000,21848
20080516,132000,132500,122000,132500,13645
20080519,130500,134500,128500,131000,7805
20080520,129500,131000,126500,130000,8285
20080521,130000,131500,127000,131000,3812
20080522,130500,133000,127500,130500,6179
20080523,131000,137000,129000,130500,15507
20080526,132500,132500,126500,129000,3027
20080527,127000,130000,124500,129000,8203
20080528,132000,132000,126500,128500,3818
20080529,128000,129500,126500,128000,5970
20080530,128000,131500,128000,131000,9003
20080602,132500,135500,130500,132000,10928
20080603,133000,135000,130500,133000,4622
20080604,133000,145000,130000,144000,11324
20080605,143000,144500,139500,140500,4957
20080609,138500,144500,136500,140500,6780
20080610,140500,144000,136500,140000,7195
20080611,141000,142000,137000,140000,4041
20080612,137500,142000,136000,141000,7772
20080613,140000,149000,139000,145000,13060
20080616,146000,148500,141000,143500,12734
20080617,142500,145500,141000,142000,6074
20080618,140500,142500,137500,142000,9016
20080619,142000,142000,137500,139000,8330
20080620,144000,145000,136500,137500,11423
20080623,134000,137500,132000,137000,12716
20080624,134000,141500,133000,141000,11483
20080625,140000,141500,138000,139000,2252
20080626,136000,139000,135500,138000,3713
20080627,134000,137000,131500,133500,8782
20080630,133500,135500,128500,132000,8797
20080701,130500,133000,128500,132000,4434
20080702,130000,133000,119500,123000,9173
20080703,122000,123000,112000,122000,7292
20080704,124500,124500,120000,121000,2371
20080707,120000,121000,114000,121000,7704
20080708,118000,121000,115500,121000,5945
20080709,121000,125500,121000,121000,5286
20080710,120500,128000,119000,128000,10206
20080711,129500,133000,126000,129500,10422
20080714,127500,132000,127000,132000,19738
20080715,133000,133000,130500,131000,5247
20080716,134500,134500,125500,130000,4653
20080717,134000,135000,131000,134500,5825
20080718,134500,137000,131000,133000,6050
20080721,135000,136000,130500,132500,8448
20080722,131500,134000,131000,133500,3865
20080723,135000,144500,134000,143000,27726
20080724,142000,146000,137500,146000,28627
20080725,143000,150000,138500,139500,20579
20080728,139500,140000,135000,137000,11285
20080729,135500,136000,130500,134000,5506
20080730,134000,135500,125500,130000,35134
20080731,132000,132500,126500,128000,9828
20080801,130000,133500,124500,133000,6789
20080804,134000,134500,130000,133500,2376
20080805,134000,134500,127500,129000,14746
20080806,131500,132000,123000,128500,18445
20080807,130000,132000,125000,128000,17393
20080808,127000,129000,126500,129000,2250
20080811,129000,131000,127500,129000,8127
20080812,129000,129500,125000,128000,4707
20080813,126500,128500,123000,123000,17136
20080814,120000,124500,118500,123000,14474
20080818,122500,124500,107500,110000,47063
20080819,113000,115000,105000,115000,19586
20080820,114500,116000,110000,115500,11550
20080821,113500,117500,112000,112000,8547
20080822,110500,112000,107000,110000,5133
20080825,109000,112000,107500,112000,5628
20080826,108000,112500,106000,111000,6730
20080827,111000,111500,108000,110000,7410
20080828,109000,110000,104500,108500,14002
20080829,109500,112000,106000,112000,9175
20080901,108000,109000,100500,106000,53823
20080902,105500,105500,100000,103000,12420
20080903,100000,102000,96500,100500,11738
20080904,102500,102500,99000,101000,21492
20080905,99500,101000,97200,99600,6640
20080908,99600,104000,98500,103500,14392
20080909,106000,106500,102500,106000,7218
20080910,106000,108500,103500,108000,6861
20080911,105500,113500,105500,112000,8794
20080912,112000,117000,111000,113000,6760
20080916,104000,110000,96900,97200,33267
20080917,100000,102500,99000,101000,10164
20080918,97300,102500,97200,98100,14597
20080919,100500,101000,93000,95100,21401
20080922,95300,97800,88800,90500,17872
20080923,88700,91800,87100,91000,20095
20080924,90900,96900,90000,96900,16111
20080925,97100,99500,95100,99000,10405
20080926,100500,100500,97600,97800,4080
20080929,98100,99900,96100,96300,6330
20080930,91400,96000,89000,95000,10969
20081001,96000,99500,94800,96300,5795
20081002,96500,97500,94800,96900,7946
20081006,93800,95000,90000,95000,8632
20081007,90200,94000,88900,93900,6838
20081008,90200,93000,89700,93000,8879
20081009,90600,92500,89600,92000,8171
20081010,88200,89500,83200,85500,12040
20081013,89000,89000,86000,86600,13181
20081014,88800,90500,87800,88900,17675
20081015,89100,89500,87500,87700,8012
20081016,86300,86300,74600,74600,17075
20081017,77700,77700,67100,67100,23589
20081020,66100,67100,57100,67100,55848
20081021,67100,68100,63200,67000,19716
20081022,67000,70300,66000,67000,44098
20081023,62000,65000,57100,60900,16285
20081024,61900,62000,56000,56400,14404
20081027,51200,58900,51200,54500,14760
20081028,54500,58700,52400,57900,16089
20081029,63800,63800,51800,54000,16705
20081030,58900,62100,56100,62100,15836
20081031,63600,71400,63100,71400,15247
20081103,72000,79300,70200,74700,15414
20081104,78500,78500,69100,74000,31584
20081105,75000,76900,72200,72600,23594
20081106,68000,69900,62100,62900,21316
20081107,59000,66300,58600,63800,25462
20081110,65000,66900,64500,65800,17008
20081111,65700,67900,64500,65600,6812
20081112,64000,66700,64000,65900,5564
20081113,63800,64300,62500,63800,7340
20081114,67900,69200,65800,68000,11023
20081117,68300,76900,68200,74500,17055
20081118,74000,75500,71600,74400,11807
20081119,76200,76500,67800,73400,11865
20081120,71200,71200,66800,68100,8349
20081121,65000,71900,64500,71900,15419
20081124,73900,73900,68700,70000,6787
20081125,71400,74000,69300,72800,20656
20081126,74000,76300,73000,75400,20122
20081127,77600,78700,75500,78000,17906
20081128,78000,83000,77600,83000,17422
20081201,81100,83900,70600,82000,14251
20081202,78000,81700,78000,81700,13167
20081203,84300,84300,79700,80000,12985
20081204,81000,84900,80500,83400,10726
20081205,83100,84800,82000,83700,4490
20081208,84000,89900,84000,88500,9671
20081209,90000,91900,87100,88500,13719
20081210,89900,93700,89000,91000,24208
20081211,91200,91300,86300,88500,32203
20081212,86000,86700,84100,85000,15301
20081215,88000,88000,85600,86500,10680
20081216,85500,87400,84500,87400,5088
20081217,88600,90300,85500,86900,8743
20081218,86200,88700,83600,87900,10115
20081219,86000,87500,85900,87000,7251
20081222,86200,95000,85300,95000,12753
20081223,91100,91400,88500,88500,10034
20081224,88500,88500,85300,85300,8615
20081226,85300,87300,84500,84700,5891
20081229,83000,84800,81100,84800,6629
20081230,83500,91000,83000,91000,8953
20090102,87500,87800,86300,87500,2806
20090105,87800,87800,86000,86000,2282
20090106,86100,86900,85000,86500,4637
20090107,86500,89000,85000,89000,6436
20090108,88900,88900,85600,88000,2922
20090109,87100,88800,86600,87800,3479
20090112,87000,87400,85600,85600,1317
20090113,85000,85400,82600,83700,3169
20090114,83800,85000,83700,83800,3654
20090115,82800,83200,80900,80900,7383
20090116,80900,83400,80200,82400,1898
20090119,83000,84400,82500,83500,3463
20090120,80000,82400,80000,80000,3323
20090121,78000,80200,77000,78000,3407
20090122,79000,80500,78200,80000,3896
20090123,78300,81400,78300,80800,2470
20090128,80200,82700,80200,82000,3652
20090129,83000,86700,82000,86700,4314
20090130,86500,89000,85000,88000,8569
20090202,87800,88000,86100,87000,2566
20090203,86600,89500,86600,88900,3899
20090204,88800,89800,87600,88700,8204
20090205,89000,89000,86000,86000,7967
20090206,85800,87900,85000,85000,3710
20090209,85500,86800,84500,84600,2564
20090210,84700,86400,83100,83700,2870
20090211,83000,85200,83000,85100,2948
20090212,87300,87300,81500,81800,6078
20090213,82900,82900,81600,81800,3254
20090216,82500,84100,81000,81000,3850
20090217,81100,82000,80200,80200,1760
20090218,79700,81000,79500,80100,2282
20090219,81000,82100,80200,81100,2031
20090220,81100,81100,76700,77500,3872
20090223,76500,78800,76500,77700,1777
20090224,76900,80400,76200,79800,3911
20090225,80600,80600,78200,79000,735
20090226,77400,80100,77400,79600,2253
20090227,79600,80600,77700,77700,91
20090302,77800,78000,71000,76000,3079
20090303,72000,75700,72000,75700,1593
20090304,75700,76300,74400,76000,888
20090305,75000,77400,75000,76100,749
20090306,75500,79700,75000,78000,1260
20090309,77500,79000,76700,78500,2836
20090310,78500,78500,77700,78200,789
20090311,79900,79900,78200,79300,1349
20090312,79900,81200,78100,81200,1148
20090313,81400,82600,80800,82400,1559
20090316,81600,83500,80800,82100,443
20090317,82100,82800,80200,81900,1210
20090318,82200,83500,81900,81900,500
20090319,81600,82900,80200,81900,806
20090320,81900,86000,81900,86000,4776
20090323,86000,87800,82100,87000,2596
20090324,88800,88800,83300,85600,3566
20090325,86600,88800,85100,87600,5814
20090326,88000,90000,86500,87900,7375
20090327,88100,88200,86000,86000,1800
20090330,86500,86800,84500,84500,1877
20090331,84200,85800,83600,85100,2130
20090401,83600,85500,83600,85500,2826
20090402,85800,86600,85000,85700,22360
20090403,86800,86800,85100,85100,11682
20090406,85100,85900,82700,82700,16671
20090407,82900,83800,81700,81700,9408
20090408,81700,82000,80800,81700,2915
20090409,82000,82700,81300,81400,9701
20090410,82400,82600,81100,81300,7553
20090413,81400,84000,81400,83500,7504
20090414,84900,84900,83300,83800,10408
20090415,83800,83800,81600,82000,8704
20090416,82100,83300,81200,81600,14557
20090417,82400,82400,80000,80300,5406
20090420,80100,82900,80100,82700,5734
20090421,81500,83200,80800,82000,7806
20090422,82700,86100,82600,86100,10814
20090423,86300,90900,85500,89700,21053
20090424,90000,91000,87300,90500,10944
20090427,101000,104000,98500,104000,236694
20090428,108000,110000,89200,90000,170865
20090429,90000,90700,85800,87200,60212
20090430,88300,92000,87700,90000,32369
20090504,90000,90000,87700,89400,33703
20090506,90400,90400,87700,88000,14954
20090507,89000,92400,88200,91500,19402
20090508,94200,99400,93700,98700,48445
20090511,105000,108000,99500,104000,59377
20090512,102000,103000,98100,102000,27368
20090513,101000,103500,99400,103500,20827
20090514,100500,102500,99100,99700,22144
20090515,99700,101000,98100,98100,14402
20090518,97000,97500,93400,94700,22138
20090519,97000,97800,95300,95600,18131
20090520,95700,99500,95500,98900,13583
20090521,98900,98900,96100,96700,9265
20090522,96000,99600,95000,98100,11323
20090525,99100,99100,90400,98000,14156
20090526,97700,98800,93000,93200,12272
20090527,94100,95500,92000,92500,12961
20090528,91800,93000,89000,92700,12076
20090529,93700,97000,91000,97000,6182
20090601,97000,97000,94500,96700,6580
20090602,97900,97900,94300,94300,7557
20090603,94400,94700,93000,93000,8051
20090604,93800,93800,92000,92000,14149
20090605,92500,92900,91000,91000,8187
20090608,91500,92300,90500,91000,5551
20090609,91500,91600,89300,89300,12420
20090610,89500,91900,89500,91100,3673
20090611,91400,93400,90700,91000,4894
20090612,92000,93100,91100,93100,9438
20090615,93100,97500,92500,96300,13789
20090616,94600,96300,93400,93400,5306
20090617,93000,96500,91600,95900,4285
20090618,93700,97000,92200,92200,3622
20090619,92400,93800,92400,93400,10339
20090622,94800,94800,92000,94800,2976
20090623,93000,94800,92300,94800,3621
20090624,94300,94800,88000,94500,3300
20090625,95700,95700,93800,94700,1727
20090626,94700,96000,93600,95900,4345
20090629,95800,96000,94300,95900,2387
20090630,96500,96500,95000,95900,6508
20090701,95100,96200,94500,96100,2597
20090702,95100,96100,94600,96000,3617
20090703,95600,96400,95000,96400,2688
20090706,96400,99900,96100,99900,7090
20090707,98400,106000,98400,102500,26032
20090708,103000,106500,102500,105000,26470
20090709,103500,106000,100000,106000,15693
20090710,103000,106500,103000,106500,11819
20090713,106000,107500,103000,107000,14350
20090714,106000,107500,103500,104000,11866
20090715,103000,107000,103000,103500,17896
20090716,106000,107000,103000,103000,15125
20090717,103500,104500,100000,102500,7658
20090720,101500,107000,101500,106500,8355
20090721,105500,109000,105000,108000,12241
20090722,107000,109500,106000,109500,11929
20090723,108000,112500,108000,112500,13728
20090724,113500,113500,111500,112500,8221
20090727,112500,113000,112000,112000,8002
20090728,111500,114500,111000,111000,3818
20090729,110000,111500,108000,109000,4706
20090730,109000,109000,106000,107500,8015
20090731,109500,109500,106000,107500,7126
20090803,107000,108000,105500,108000,5917
20090804,107500,111000,107500,109000,4270
20090805,109000,110000,106000,106000,4524
20090806,104500,111000,104500,110000,7483
20090807,110500,110500,106500,108000,6599
20090810,108000,108000,105000,105500,3649
20090811,104500,107500,101500,102500,13925
20090812,102000,102500,100000,101500,15747
20090813,102000,103500,101000,101500,4315
20090814,102000,102000,100500,101500,11829
20090817,102000,104500,100500,100500,6135
20090818,101000,102000,99900,101500,4542
20090819,103500,103500,99900,100000,4506
20090820,100000,102000,99000,102000,10299
20090821,102500,102500,99100,101000,18007
20090824,101000,105500,99700,101000,18666
20090825,103000,108000,101000,103000,22129
20090826,103000,108000,103000,107000,14412
20090827,107000,110000,104500,107000,4576
20090828,106000,110000,105500,110000,10342
20090831,110000,110000,104500,108000,3581
20090901,108500,108500,103500,108500,13193
20090902,106500,109000,104500,105500,9494
20090903,105500,109500,105000,108000,10459
20090904,108000,110000,104500,105500,9303
20090907,108000,111500,106500,109000,10717
20090908,110000,112000,108000,112000,7955
20090909,114000,117000,110000,115000,9440
20090910,115000,118500,115000,117000,8531
20090911,117500,118000,114000,117500,29420
20090914,116000,119000,113000,115500,7636
20090915,118000,118000,113000,114500,8541
20090916,117000,120000,113000,115000,7830
20090917,115000,117000,114000,117000,6384
20090918,117500,117500,115000,115500,6710
20090921,116000,118500,114500,115000,5969
20090922,117500,117500,111500,112500,8225
20090923,112000,117000,111500,111500,6587
20090924,112000,113500,108500,111500,4117
20090925,110000,112000,109000,110000,5882
20090928,109000,110500,108000,109000,5824
20090929,110000,113000,108500,112500,5576
20090930,112500,115000,111000,113000,2397
20091001,114500,114500,109500,110000,1704
20091005,114000,114000,108000,110000,7047
20091006,112500,112500,106500,109000,3052
20091007,108000,114000,107000,113500,7035
20091008,109500,114500,108000,114500,4336
20091009,114500,114500,111500,112500,2578
20091012,112500,113500,109500,112500,4843
20091013,113500,113500,111000,111500,3166
20091014,111500,112000,109500,111000,1640
20091015,113000,113500,107000,107000,15912
20091016,107000,109000,106500,107000,3463
20091019,107000,111500,106000,110000,3911
20091020,108500,111500,107500,110500,7305
20091021,109000,111000,108500,110000,1891
20091022,112000,112500,110000,110500,4452
20091023,112000,112500,109500,112000,6395
20091026,110000,115000,110000,115000,4167
20091027,112500,116000,111500,113000,3826
20091028,111000,113000,110500,110500,2111
20091029,110000,112000,109500,110500,4571
20091030,110500,112500,110000,111500,1441
20091102,111000,111500,108500,111500,2196
20091103,109500,111000,108500,111000,4344
20091104,111000,111500,109500,111000,526
20091105,109500,111000,107000,111000,2838
20091106,111000,113000,109000,113000,2306
20091109,111500,113000,111500,112000,537
20091110,112000,112000,109500,110500,2495
20091111,111500,114000,110000,111000,2867
20091112,113000,113000,109500,109500,1211
20091113,109500,112500,108500,109000,2239
20091116,110000,111000,108000,110000,1613
20091117,110000,112000,108000,110000,2210
20091118,111000,112000,108000,108000,2178
20091119,109000,109500,105500,105500,5676
20091120,106500,106500,103000,104000,4050
20091123,104000,105000,103000,104500,4263
20091124,106000,106000,103000,104000,1937
20091125,104000,104000,100000,101000,9471
20091126,101500,101500,100000,100000,6744
20091127,99100,100500,98700,99000,8077
20091130,100000,101000,96900,98500,10419
20091201,97300,99200,97300,98500,4315
20091202,97900,100000,97900,100000,4365
20091203,99600,105000,99600,104000,5099
20091204,105500,106000,102500,105000,4569
20091207,106500,106500,104000,104000,1828
20091208,106000,106500,104000,105000,1276
20091209,104000,106000,102500,106000,1400
20091210,107000,107000,103000,104500,1568
20091211,103500,109500,103500,109500,5746
20091214,109500,115000,107500,110500,6529
20091215,112500,112500,107500,107500,4567
20091216,108500,111000,108000,111000,2530
20091217,110000,112500,108500,112500,5317
20091218,113000,115000,110000,112500,8072
20091221,112500,113000,109000,109000,4997
20091222,109000,112000,108000,111500,6644
20091223,111000,111000,109000,110000,7866
20091224,111500,111500,109500,110000,6426
20091228,109000,116000,109000,113500,16174
20091229,112500,115000,110500,112500,6574
20091230,113000,118000,112500,118000,10187
20100104,116000,120000,115000,118500,3754
20100105,119500,122000,117000,120000,23827
20100106,121000,129000,121000,122500,18459
20100107,125000,125000,116000,118000,39013
20100108,119000,121000,117500,120500,3094
20100111,116500,123000,116500,121000,5141
20100112,120500,125500,120500,125500,12281
20100113,125000,129500,124000,124500,8805
20100114,124500,131500,123500,129500,9960
20100115,126500,129000,124500,127000,5055
20100118,126000,130000,126000,129000,7438
20100119,134000,134500,127500,129000,10919
20100120,130500,133000,129000,129500,21338
20100121,129500,132000,128500,131500,8018
20100122,131500,131500,128000,129500,5938
20100125,129000,130000,126500,129500,6745
20100126,131500,133000,129500,130500,5359
20100127,128500,130500,126000,129000,7219
20100128,128500,132000,128500,131000,5469
20100129,128000,131000,128000,130500,4237
20100201,132000,132000,127500,130500,3352
20100202,132500,133500,130000,130500,5941
20100203,130000,132000,129000,130500,4585
20100204,130500,130500,126500,128000,3142
20100205,125000,129000,123500,124000,8299
20100208,123500,127000,122500,125500,3536
20100209,128000,128500,123000,123000,6823
20100210,123500,123500,118500,118500,42667
20100211,120000,122500,119500,121500,4015
20100212,119500,126000,118500,126000,4038
20100216,126500,129000,125000,126500,1221
20100217,127000,128500,125000,128000,2495
20100218,127500,128000,126000,127500,1063
20100219,125500,127000,124500,127000,895
20100222,127500,128000,126500,128000,1017
20100223,127500,128500,125000,128500,1623
20100224,128000,128000,126000,128000,1207
20100225,128500,129500,125500,125500,1280
20100226,125500,127000,123000,127000,3419
20100302,127500,127500,122000,127000,4359
20100303,125000,126500,124000,124000,5494
20100304,124000,125000,122000,124000,1905
20100305,124500,126000,124500,126000,1547
20100308,129000,129000,123000,126500,3718
20100309,125000,128000,123000,128000,3195
20100310,128500,129000,125000,126000,2142
20100311,125500,127500,124000,126000,2954
20100312,125000,126500,124000,126000,4024
20100315,126000,126000,123500,123500,2064
20100316,124500,124500,120500,122500,7519
20100317,122500,122500,121000,121500,5389
20100318,121500,121500,120500,121500,2058
20100319,122000,122000,119500,121000,5478
20100322,121000,121500,119500,120000,1122
20100323,120000,120500,119500,120500,1431
20100324,121500,121500,119500,119500,555
