날짜,시가,고가,저가,현재가,거래량
20080102,27350,27450,26000,26000,58547
20080103,25550,28200,25500,27600,109819
20080104,27700,27700,26400,27600,70780
20080107,27100,28400,26900,27400,88950
20080108,27400,27550,26150,26150,73577
20080109,26150,26900,25650,26850,73418
20080110,27000,27700,26350,26850,84047
20080111,27200,27950,25900,26450,131163
20080114,26150,27000,26100,26600,53565
20080115,26900,28500,26700,26700,141582
20080116,26400,26400,24050,24050,100186
20080117,24450,24900,23500,24150,52486
20080118,23500,24600,23500,24600,46817
20080121,24300,24850,23000,23000,70903
20080122,22000,22400,19900,21600,87335
20080123,22300,22750,21450,21600,55849
20080124,22000,22900,22000,22550,36612
20080125,23300,23450,22650,23050,24915
20080128,22850,23150,22100,22200,32356
20080129,22700,23200,22350,22350,44978
20080130,22600,22800,20750,20750,40761
20080131,20100,21350,20050,20650,34322
20080201,21000,21500,20500,20500,43748
20080204,20700,21850,20700,21400,32638
20080205,21500,22400,21400,22150,32807
20080211,21800,22950,21650,22800,53336
20080212,22800,23500,22400,22650,37617
20080213,22900,23500,22000,22000,30349
20080214,22450,23300,22450,23000,37474
20080215,23000,23950,22600,23450,39495
20080218,23400,23750,22800,22800,38461
20080219,23100,24200,22900,24200,59965
20080220,24100,24400,23400,23450,42365
20080221,23800,24600,23600,23700,32535
20080222,23700,23700,22850,22850,29473
20080225,23050,23400,22650,22650,28067
20080226,23000,23600,22900,23050,35401
20080227,23200,23500,22850,23150,26332
20080228,23200,23850,23150,23450,23725
20080229,23100,23650,22950,23300,20911
20080303,23000,23100,22400,22500,28802
20080304,22700,23000,22550,22800,24824
20080305,22800,23200,22500,22800,17921
20080306,22800,25450,22800,23750,121123
20080307,23700,25000,23350,24600,89804
20080310,24400,25300,23800,23800,67827
20080311,23550,25000,23500,24950,62741
20080312,25500,25850,24500,24500,71309
20080313,24600,25000,23400,23400,59379
20080314,23900,23950,22300,22550,50044
20080317,22550,22550,20800,21300,47511
20080318,21400,21850,21200,21550,27468
20080319,22150,22650,21950,22000,32646
20080320,21750,22050,21500,22000,23527
20080321,22350,22450,21900,22050,59029
20080324,22100,22600,22050,22550,42148
20080325,22850,23100,22000,22400,68668
20080326,22350,22600,21850,21900,25881
20080327,21650,22050,21550,21550,39685
20080328,21550,22200,21550,22150,36201
20080331,22000,22600,21900,22150,31855
20080401,22350,23100,22200,22500,48324
20080402,23050,23700,22850,23000,74494
20080403,23200,23650,23000,23300,32470
20080404,23550,23550,22900,23000,41127
20080407,23200,24050,23000,23750,43391
20080408,23950,24000,23200,23250,32016
20080410,23150,23400,22750,23200,23039
20080411,23150,23950,23050,23700,32833
20080414,23250,24100,23200,23850,36292
20080415,24150,24600,23450,23450,55282
20080416,23550,23900,23500,23750,18084
20080417,23900,24600,23450,23500,71904
20080418,23550,23800,23000,23250,29627
20080421,23700,23900,23500,23600,31929
20080422,24000,24100,23650,23900,31207
20080423,23600,24250,23600,24000,46001
20080424,24200,24200,23650,23650,37224
20080425,23800,24200,23500,24000,37763
20080428,24250,24450,23750,24000,58737
20080429,24100,24900,24000,24000,125642
20080430,24200,24750,24150,24750,52398
20080502,25000,25450,24650,25100,77941
20080506,25400,25400,24700,25400,52188
20080507,25600,25900,24550,24800,76785
20080508,24350,25100,24200,24650,51082
20080509,24950,25050,24400,24800,41502
20080513,24650,25150,24400,25050,72363
20080514,25050,25400,24250,24300,40719
20080515,24400,24550,23800,24350,34179
20080516,24550,24700,23800,24100,71102
20080519,23950,24300,23650,24000,39822
20080520,24200,24400,23650,23700,48870
20080521,23400,23450,22550,22550,79112
20080522,22250,22250,21850,21950,45482
20080523,22100,22550,22050,22500,33122
20080526,22000,22600,21950,22050,35571
20080527,22150,22300,21950,22300,20047
20080528,22500,22650,22100,22100,39290
20080529,22400,23500,22200,23450,59393
20080530,23600,23800,23000,23550,31919
20080602,23550,23850,23150,23250,25382
20080603,23000,23500,22900,22950,22273
20080604,22950,22950,22400,22550,33093
20080605,22600,22700,22250,22300,32537
20080609,21900,22300,21550,22200,34282
20080610,22250,22450,21700,22250,32477
20080611,22250,23550,22200,23200,76753
20080612,22750,23650,22750,23450,58875
20080613,23500,26950,23500,26950,340305
20080616,27700,30500,26000,26400,911527
20080617,27050,28700,26400,27300,381002
20080618,27800,28300,25650,25700,260941
20080619,26150,26750,25000,26000,170522
20080620,26500,28150,25750,26800,246730
20080623,26600,28100,26400,26400,191861
20080624,26500,27200,25000,25000,138017
20080625,25400,27000,24850,27000,184689
20080626,27200,28000,25600,25600,214286
20080627,25000,26600,24850,26100,124081
20080630,26500,27500,25300,25600,162281
20080701,25750,27050,25400,27000,144472
20080702,27150,27500,25250,25700,231686
20080703,25350,25600,21850,22700,163225
20080704,23000,23850,23000,23300,97327
20080707,22700,22950,21550,21850,118175
20080708,21900,23200,19500,20100,162172
20080709,21000,22100,19750,19750,114937
20080710,19650,20950,19600,20950,84294
20080711,21300,21600,20800,21600,67605
20080714,21400,21850,21100,21350,38600
20080715,21150,21750,20700,20700,52588
20080716,21000,21200,19800,20550,49584
20080717,21400,21550,20700,20700,42954
20080718,21000,22400,21000,21350,119551
20080721,21800,22300,21550,21700,56266
20080722,21550,21950,21500,21650,31298
20080723,22150,22450,21500,22000,120582
20080724,22300,22400,21900,22050,63000
20080725,21600,21950,21400,21700,35040
20080728,22100,22550,21900,22450,62559
20080729,22000,22050,21300,21550,48777
20080730,21950,22050,21500,21500,41840
20080731,21850,21850,21200,21400,37675
20080801,20950,21300,20600,20600,50043
20080804,20500,20700,20000,20200,35333
20080805,20200,20650,20200,20300,23815
20080806,20650,21000,20550,20700,26355
20080807,20900,20900,20350,20400,20820
20080808,20200,20650,20200,20600,19368
20080811,20850,21200,20650,20700,20523
20080812,20950,21050,20550,20550,15296
20080813,20600,21400,20500,21100,50723
20080814,21250,21400,20900,21250,20160
20080818,21500,21900,21150,21250,50769
20080819,21000,21000,20300,20400,32607
20080820,20350,20600,20150,20400,19661
20080821,20400,20600,19850,19850,38838
20080822,19750,20050,18800,19100,38855
20080825,19550,19550,19150,19300,15812
20080826,19050,19650,18800,19150,17210
20080827,19200,19400,18800,19000,22833
20080828,19400,19400,18200,18350,25610
20080829,18700,18700,17900,18000,21776
20080901,17550,17600,15850,16050,51248
20080902,16000,16600,13700,14300,78100
20080903,14300,15100,13850,14800,91410
20080904,14600,15600,14550,15100,37984
20080905,15100,15650,14500,15200,41113
20080908,15900,17100,15700,17000,36881
20080909,16750,17300,16350,16600,30212
20080910,16300,17250,16150,16500,38767
20080911,16750,17250,16750,17000,18698
20080912,17400,17850,17200,17650,22196
20080916,16000,16250,15250,15650,37273
20080917,16100,16800,16100,16400,28173
20080918,15800,16050,15200,15800,36017
20080919,16700,16750,16300,16300,29277
20080922,16700,16950,16250,16300,27127
20080923,16300,16950,16300,16950,26845
20080924,16900,17800,16900,17550,45137
20080925,17450,18150,17300,17750,35223
20080926,18000,18100,17250,17300,28544
20080929,17600,17850,17100,17250,22183
20080930,16000,16950,15500,16900,29880
20081001,17200,17450,16900,17250,35447
20081002,17300,17700,16750,16850,18320
20081006,16400,16650,15600,15650,26971
20081007,14850,15450,14600,15300,33205
20081008,14650,15000,13800,13900,29967
20081009,13750,14500,13500,13650,22606
20081010,12500,12650,11700,11800,78053
20081013,12200,13050,12000,12400,78205
20081014,13200,14200,13150,14200,64951
20081015,13850,13850,13450,13750,39280
20081016,12900,12900,11850,11850,33169
20081017,12550,12700,11700,12200,35204
20081020,12400,12850,11950,12700,31310
20081021,13000,13250,12550,12600,24103
20081022,12450,12800,11350,11850,31697
20081023,11350,11500,10100,10450,48883
20081024,10150,10450,8900,8900,63905
20081027,8100,9400,7650,8000,59311
20081028,7450,9000,7400,9000,52150
20081029,9450,9900,7900,8400,61240
20081030,9050,9650,8700,9650,60415
20081031,9550,10450,9200,10200,65680
20081103,10350,11000,10300,10800,43318
20081104,10800,11700,10450,11600,70819
20081105,12000,12500,11300,11500,94707
20081106,10800,11000,10000,10000,53741
20081107,9300,10550,9300,10550,45306
20081110,10800,11250,10600,10900,38302
20081111,10550,10950,10450,10650,28293
20081112,10250,10700,10050,10300,27836
20081113,9700,10900,9100,10900,43964
20081114,11400,11700,10800,11200,89702
20081117,11100,11500,10800,10800,29210
20081118,10600,10750,10200,10200,24257
20081119,10400,10500,9550,9900,32866
20081120,9250,9700,8800,8850,49684
20081121,8400,9550,8350,9500,45635
20081124,9450,9600,8900,9000,41251
20081125,9400,9550,8750,8900,45710
20081126,9150,9400,9000,9350,30025
20081127,9600,9750,9500,9500,40276
20081128,9600,10000,9500,9650,40636
20081201,9750,10050,9650,9800,36362
20081202,9200,9450,9150,9350,24151
20081203,9700,9850,9500,9550,30722
20081204,9800,10100,9450,9600,40432
20081205,9550,9900,9550,9850,18199
20081208,10150,10950,10000,10750,96381
20081209,11000,11000,10650,10750,42968
20081210,10850,11100,10600,10900,42751
20081211,10900,11500,10850,11150,53699
20081212,11150,11450,10600,10600,38380
20081215,10950,11600,10850,11500,56067
20081216,11450,11650,11150,11550,49329
20081217,11950,11950,11250,11550,40760
20081218,11550,11900,11500,11700,32084
20081219,11600,11900,11550,11750,32496
20081222,11900,12600,11750,12150,58927
20081223,12150,12150,11500,11900,33851
20081224,11700,11850,11200,11200,42914
20081226,11350,12450,11200,11550,142707
20081229,11500,11500,10650,11000,82657
20081230,11000,11850,11000,11100,60958
20090102,11300,11400,11100,11350,31748
20090105,11550,11600,11150,11200,39870
20090106,11350,12050,11200,11900,80799
20090107,12050,12500,11750,12000,71734
20090108,11750,12100,11650,11900,48017
20090109,12200,12350,11800,11950,75334
20090112,11850,11850,11450,11650,32431
20090113,11600,12850,11450,12850,88657
20090114,13000,13350,12450,13200,146181
20090115,12650,13800,11950,11950,144601
20090116,12250,12600,11850,12300,93459
20090119,12550,13100,12350,12550,98572
20090120,12650,12700,12000,12100,51177
20090121,11500,11750,11350,11500,56886
20090122,11750,12050,11450,11450,40933
20090123,11400,11550,11200,11250,45670
20090128,11450,11800,11450,11600,25021
20090129,11800,11850,11500,11700,36383
20090130,11550,11850,11500,11650,20029
20090202,11750,12750,11700,12000,109138
20090203,12250,12450,12000,12300,52920
20090204,12500,12650,12350,12550,59655
20090205,12550,13100,12300,12300,74492
20090206,12700,12800,12400,12650,52040
20090209,12850,13150,12550,12850,89375
20090210,13050,13100,12650,12750,38070
20090211,12400,12650,12250,12450,54467
20090212,12600,12750,12400,12700,57141
20090213,12900,14200,12800,13600,204733
20090216,14000,14050,13300,13400,87702
20090217,13550,13550,12100,12100,79700
20090218,11850,12350,11750,11950,43505
20090219,12150,12650,11900,12400,62295
20090220,12350,12550,11200,11400,64176
20090223,11200,11750,11050,11750,28251
20090224,11200,11350,10700,11150,18656
20090225,11400,11550,10900,11100,35787
20090226,11200,11400,10350,10550,34039
20090227,10550,10850,10400,10650,23935
20090302,10350,10700,10050,10250,23445
20090303,9550,10600,9550,10350,27927
20090304,10250,10750,10000,10750,19294
20090305,10800,11000,10500,10500,26768
20090306,10200,10650,10150,10600,14492
20090309,10800,11100,10650,11000,21437
20090310,10950,11200,10800,11150,16969
20090311,11300,11600,11100,11400,50456
20090312,11450,11850,11300,11500,37414
20090313,11900,12250,11600,12000,55105
20090316,12200,12200,11700,11750,19865
20090317,11850,12150,11800,12100,18991
20090318,12500,13100,12150,12200,77719
20090319,12350,12450,12000,12000,20447
