날짜,시가,고가,저가,현재가,거래량
20080102,139262,139651,133038,136150,119484
20080103,133038,143152,131093,141985,146775
20080104,140429,151710,137706,149376,192430
20080107,144708,154044,143152,151321,153012
20080108,154044,156767,150154,151710,145735
20080109,151710,161435,147820,160657,176928
20080110,160657,163769,156767,158323,128780
20080111,161046,164547,148987,152488,115980
20080114,150154,157156,146264,150932,84790
20080115,154433,154822,141985,144319,95375
20080116,143930,147820,140040,144319,77789
20080117,149376,149376,130315,136539,183132
20080118,130315,135372,124480,134594,239523
20080121,132260,133038,120590,124091,368458
20080122,114755,118256,105808,112810,372186
20080123,119423,120590,106975,110865,284365
20080124,114366,118645,113199,115533,198035
20080125,117867,127592,117867,127203,298007
20080128,123702,126036,115922,122146,175001
20080129,123313,126036,115144,117089,201232
20080130,118645,118645,99584,99584,366169
20080131,97250,105030,93749,100362,437251
20080201,104641,108142,102307,103863,224895
20080204,105808,119034,105808,115144,361020
20080205,115144,124869,113199,122924,251246
20080211,117089,121757,114755,117478,144403
20080212,119034,122535,117478,118256,103912
20080213,121757,126036,120590,122924,121066
20080214,127592,141207,126036,140040,263965
20080215,137706,146653,135372,140818,194688
20080218,143152,143152,137317,140818,96021
20080219,142374,143541,140040,140818,79228
20080220,139651,142763,135761,136150,125430
20080221,139651,141985,136539,138873,157710
20080222,136150,138873,134594,135372,67822
20080225,137706,139262,132649,134983,72852
20080226,136928,138095,133038,134983,85651
20080227,137706,147820,137317,141596,228957
20080228,143541,147042,140818,143930,137114
20080229,141985,145875,140818,143541,99273
20080303,138484,139262,132649,138095,174568
20080304,139651,139651,133427,136150,110462
20080305,137317,137706,133427,137317,77421
20080306,139262,143930,138095,140040,114002
20080307,136150,137317,133038,136539,64116
20080310,132260,133427,122146,130704,184401
20080311,127203,132260,126036,131482,121439
20080312,138095,141596,133038,133038,147106
20080313,131093,135761,125647,129148,92649
20080314,131871,133427,110087,131093,180786
20080317,128759,129926,120979,126425,92996
20080318,126036,127592,123702,126036,69269
20080319,130704,131871,124869,127203,119311
20080320,124091,128759,121757,123313,193573
20080321,125647,128370,124480,124869,116379
20080324,125258,127981,123702,124480,110269
20080325,128370,143152,127592,139651,433778
20080326,141207,150154,139651,140818,284433
20080327,141596,146653,139651,141985,132208
20080328,141596,150932,140429,148987,218415
20080331,148987,152488,145875,148598,139591
20080401,149376,151710,141596,141596,173107
20080402,147042,149765,140040,146264,164751
20080403,146653,148598,143541,146264,95737
20080404,147820,155989,144319,152877,193210
20080407,152877,153655,146653,152488,168136
20080408,151321,151710,147820,148209,63601
20080410,148598,148598,143930,148598,59516
20080411,147820,147820,140040,141985,167201
20080414,139262,139262,129537,129537,202520
20080415,131093,133816,128370,130315,126793
20080416,133038,143930,131871,136928,220557
20080417,140040,142374,130315,135372,242100
20080418,134983,136150,131093,133816,157651
20080421,136928,138873,134983,137317,143808
20080422,138095,140818,136539,136539,107453
20080423,135372,145097,135372,145097,221870
20080424,144708,145875,140818,143930,153115
20080425,144319,147042,139262,142374,181089
20080428,141985,141985,134983,135372,228724
20080429,136539,136928,132260,132649,110760
20080430,132649,136150,132260,134205,89178
20080502,134594,139262,134594,136150,66903
20080506,137317,137317,132260,133816,86478
20080507,133038,137706,132260,132260,112377
20080508,131482,136928,130704,136150,130145
20080509,137706,137706,133427,136150,72197
20080513,136928,137317,131871,136928,80457
20080514,136928,137317,131093,131482,147334
20080515,130704,134594,129926,133816,147971
20080516,134594,136539,133038,134983,121051
20080519,135372,138873,133038,137706,160302
20080520,137706,146264,136928,145875,316311
20080521,144319,150932,142374,150543,338212
20080522,150154,150154,146264,148598,109374
20080523,149376,153655,147042,150154,112802
20080526,149765,155600,146653,152488,162908
20080527,153655,161046,153266,159101,201398
20080528,159879,161046,155989,156767,137453
20080529,155600,158712,154433,155989,132571
20080530,156378,166103,152488,164936,158026
