날짜,시가,고가,저가,현재가,거래량
20080102,107431,107863,103117,103548,332969
20080103,100959,110451,100096,108294,304647
20080104,109588,118217,107000,116923,640894
20080107,113903,122100,113040,118217,555505
20080108,120806,122100,114334,114766,373842
20080109,114766,122100,112177,121669,396057
20080110,122100,122532,117354,117354,348719
20080111,119512,120806,110883,114766,382251
20080114,113903,117786,112177,116060,358180
20080115,119080,119512,111746,116492,441846
20080116,115629,117354,112177,115197,416845
20080117,117786,117786,104411,109157,684671
20080118,105705,107000,101391,107000,764086
20080121,106568,106568,92762,99234,988554
20080122,91467,93193,85255,88447,1425103
20080123,93193,94056,84737,86290,1131207
20080124,89742,93193,88016,90605,756719
20080125,94488,100096,93193,97939,1093214
20080128,96645,100096,93625,94919,634218
20080129,98371,98802,89742,92330,552740
20080130,93625,93625,78524,79818,1309778
20080131,79301,83184,76798,79473,1038503
20080201,83270,87153,82925,83701,861000
20080204,86290,96213,86031,96213,926916
20080205,97508,100528,94919,97939,760390
20080211,93193,95782,91467,94488,476031
20080212,96213,98802,94056,97076,643017
20080213,100096,100096,95782,97508,306787
20080214,102254,111746,101822,108725,1200133
20080215,107431,116060,106137,110020,955700
20080218,111746,113471,106137,107863,506813
20080219,110451,113040,108725,111746,404022
20080220,110883,116492,110020,110883,734301
20080221,115197,119080,113471,116060,704007
20080222,114334,117786,113471,115197,582265
20080225,117354,117354,114766,116060,323963
20080226,117786,118649,114766,115629,323697
20080227,118217,122532,115629,115629,753018
20080228,117354,119512,113040,118649,685476
20080229,117354,121669,116923,120375,433386
20080303,116492,117354,112177,114334,585017
20080304,115197,116060,110451,113040,331661
20080305,113040,115197,109588,115197,418159
20080306,116060,118217,114766,116492,403385
20080307,113040,114334,109588,112177,517952
20080310,108294,109588,102254,105274,701439
20080311,103548,107000,100959,106137,701634
20080312,112177,115629,110020,110451,802259
20080313,110883,112608,103548,106137,739180
20080314,108725,109588,101391,104411,633474
20080317,102254,102685,96213,100096,495442
20080318,100096,101822,97076,97508,601392
20080319,102254,104842,101391,102685,600197
20080320,100959,107431,100528,103548,1009194
20080321,107000,108294,105274,107431,400261
20080324,107863,109588,107000,108725,303825
20080325,110451,115629,110020,113903,820100
20080326,115629,117354,113040,114766,482769
20080327,113471,115629,110883,115629,361545
20080328,113471,118649,113471,116923,482940
20080331,116060,116923,113040,114334,320529
20080401,116492,116492,108725,110451,659118
20080402,112608,113903,106137,108294,854295
20080403,107863,110883,106137,110020,799406
20080404,111314,113471,107863,107863,798801
20080407,107431,107863,101822,103548,1330500
20080408,102685,105274,101391,103979,571063
20080410,104411,105274,100096,100959,1112591
20080411,96645,98371,94056,97508,1620049
20080414,95350,95782,91467,91467,992273
20080415,92330,95350,92330,93193,629412
20080416,94919,98371,94488,95350,863059
20080417,97076,97508,92762,94056,720084
20080418,93625,95350,91036,92762,671815
20080421,94056,96645,93625,96645,605303
20080422,97939,98371,94488,95350,650374
20080423,94488,99234,94488,98802,771158
20080424,100528,100528,95350,96213,651201
20080425,97508,98371,92762,93193,1000222
20080428,93625,94056,88879,90605,1000159
20080429,91036,91899,87153,89310,563135
20080430,88879,91467,88016,91036,745297
20080502,91467,93625,91036,91899,634666
20080506,91467,92330,87584,88447,673380
20080507,89310,92762,87584,90605,905862
20080508,89742,96213,89310,95782,1436942
20080509,97076,98371,94919,96213,734858
20080513,95782,95782,91467,94056,550819
20080514,94919,94919,88879,90605,815670
20080515,90605,92330,88879,91036,724604
20080516,91899,94488,90173,93193,699603
20080519,95782,97508,94056,97508,1011884
20080520,98371,101822,95782,100959,1540093
20080521,99665,101822,98371,101391,875848
20080522,99665,101822,98371,100959,587736
20080523,103979,106137,103117,103548,1173875
20080526,103117,106137,101822,103548,679475
20080527,104411,107863,103548,104842,671410
20080528,107000,107431,100096,101822,774601
20080529,102685,105274,102254,105274,695632
20080530,106137,106137,103117,105705,473386
20080602,105274,105705,102685,103979,535723
20080603,102254,103117,98802,99665,688517
20080604,99665,103117,97508,100528,574371
20080605,101822,106137,101391,105274,1040329
20080609,103548,106568,103117,106568,848527
20080610,107000,107431,101391,102685,629025
20080611,103979,105274,100528,102685,579055
20080612,100959,101391,98371,99665,606750
20080613,99665,100528,94056,96645,751522
20080616,97076,97076,92330,94056,657260
20080617,92762,94056,88447,90605,1094183
20080618,89742,91899,88016,91467,766837
20080619,90605,91899,88447,90605,580849
20080620,91467,92762,88879,89742,510213
20080623,87153,88879,86721,88879,513980
20080624,88447,89310,86721,89310,467229
20080625,88447,89310,85945,87153,1071968
20080626,87153,90605,86721,88879,559210
20080627,85859,88016,85772,88016,334302
20080630,87584,88016,85427,85427,474327
20080701,85600,86204,80854,80854,1178327
20080702,80767,81371,72656,74813,1989453
20080703,72484,76626,72397,74727,1161199
20080704,74468,76108,72052,72570,635323
20080707,71189,72570,69722,71793,903541
20080708,72484,72915,68514,70844,841953
20080709,72397,73864,71103,71880,775064
20080710,70758,75159,69895,74813,800899
20080711,75504,79128,75331,77834,989443
20080714,78092,79646,77575,78006,627459
20080715,78438,78438,74986,75504,431482
20080716,75676,76712,72052,75159,444713
20080717,77747,78265,75245,75935,472103
20080718,76971,78955,76021,76971,625383
20080721,77575,80509,77575,79387,530063
20080722,78610,81371,78610,80250,425250
20080723,81976,84909,81717,84219,817705
20080724,85341,86721,84305,85600,671132
20080725,84564,87153,83874,85168,465141
20080728,86290,86721,85255,85600,174847
20080729,84305,85341,82148,84650,417983
20080730,86290,86290,84823,85427,291157
20080731,85772,87584,84046,86290,537654
20080801,85513,85600,81371,82062,468699
20080804,81371,81976,77143,79387,490915
20080805,79301,80509,78092,78092,355437
20080806,79473,81113,78869,80595,433006
20080807,80595,81976,78696,81371,584705
20080808,81199,85427,81113,83701,643002
20080811,84996,85686,84305,84564,328466
20080812,84392,85686,82234,84478,348659
20080813,84133,84650,82407,83097,264131
20080814,82838,85427,82407,84737,328355
20080818,85859,89742,85686,86721,687297
20080819,86721,88016,84996,86290,415030
20080820,85686,88016,84737,87153,394424
20080821,87153,88016,84392,84650,311290
20080822,83701,84392,79042,80250,585880
20080825,80681,81371,78610,79818,366545
20080826,78351,80681,78006,80250,241514
20080827,80336,81976,78524,80767,253052
20080828,81889,83615,78955,79559,443407
20080829,75676,77575,67651,67651,3995563
20080901,63596,64718,57814,59972,3301558
20080902,61697,64372,60403,62905,1674793
20080903,62129,68514,61438,66357,837959
20080904,67392,71448,67220,68946,877938
20080905,66616,70413,66357,68083,582324
