날짜,시가,고가,저가,현재가,거래량
20100128,19696,22650,19696,22650,6890261
20100129,24128,25359,20927,21666,6628735
20100201,20779,22158,18859,21124,2324048
20100202,21863,24275,21863,24275,1442552
20100203,26294,26442,23340,23487,2639218
20100204,23931,25506,23537,25408,1660238
20100205,24128,24768,23586,24374,991509
20100208,24620,24768,21813,22404,1070495
20100209,22158,22897,20681,20878,777709
20100210,21469,21863,20779,21272,512988
20100211,22060,22995,21419,22060,743354
20100212,21961,22207,21321,21518,294517
20100216,21813,22109,21518,21764,305495
20100217,22109,22798,21715,22503,521627
20100218,22749,25408,22601,24128,2027217
20100219,23734,24374,22552,23586,738764
20100222,24177,24522,22897,23340,594244
20100223,23438,23734,22946,22995,372460
20100224,22847,22946,22158,22158,309191
20100225,22552,22847,22109,22355,256715
20100226,22355,22552,21863,22207,149509
20100302,22306,22749,22060,22749,202251
20100303,22847,22847,22404,22503,195252
20100304,22453,22552,21961,22060,224381
20100305,22207,22256,21666,21961,266087
20100308,22158,23487,21961,23487,650516
20100309,23537,24522,22847,23389,3137909
20100310,23832,24374,23241,24128,1271275
20100311,24275,26294,24177,25605,1929481
20100312,25408,26590,25408,26343,795702
20100315,26590,26590,25309,26097,604790
20100316,26294,26294,25211,25309,300620
20100317,25556,27377,25506,26590,661061
20100318,26590,26984,25605,25900,381526
20100319,25900,26343,25605,26146,203832
20100322,26196,26196,23635,25309,620031
20100323,25359,25556,24620,25014,583822
20100324,25359,26688,24965,26688,890489
20100325,26196,26442,25605,26048,522980
20100326,25999,25999,25408,25900,335696
20100329,25556,25802,24817,25063,313857
20100330,25063,25802,25063,25605,450473
20100331,25605,25900,24768,25605,350537
20100401,25211,25556,25014,25063,215946
20100402,24965,25162,23734,23881,553805
20100405,23783,24522,22946,23192,406792
20100406,23340,24226,23094,23635,253663
20100407,23586,23931,23291,23931,113450
20100408,23881,23881,23291,23635,136881
20100409,23487,23980,22946,23832,336078
20100412,23931,24325,23832,24078,258181
20100413,24128,24128,23438,23438,134821
20100414,23734,24325,23389,24128,242979
20100415,24275,24571,23881,24571,264573
20100416,24620,24817,24275,24522,239663
20100419,24226,24325,23832,23980,200325
20100420,24128,24571,23931,24522,399452
20100421,24866,25309,24472,25063,362841
20100422,25014,26491,24768,25900,570583
20100423,25802,26491,25556,26294,430518
20100426,26097,26393,25802,26294,220300
20100427,26393,27377,25999,26787,422401
20100428,26294,26590,25753,25949,327636
20100429,26097,27525,25408,26294,434325
20100430,26639,26885,25999,26540,167099
20100503,26393,26540,25851,26540,166612
20100504,26787,26787,25359,25605,430430
20100506,24768,25949,24571,25457,618524
20100507,24915,26787,24571,26787,280887
20100510,26885,27525,26491,27525,411036
20100511,27968,28559,27821,27821,400215
20100512,27870,29347,27624,29101,453045
20100513,29544,31267,29298,30086,539827
20100514,30086,32104,29593,31514,295117
20100517,30873,31908,30086,31908,393494
20100518,32794,32843,30135,30726,239226
20100519,30086,31021,29101,31021,237315
20100520,31218,35404,31218,32006,582078
20100524,32498,33828,31563,31711,543554
20100525,31218,32301,29741,32301,372752
20100526,32351,34123,32203,33976,361717
20100527,34271,34862,32991,33532,228732
20100528,34074,35108,32745,32745,282209
20100531,32991,33089,31809,32695,301338
20100601,32794,33335,32203,33237,114273
20100603,33877,35453,33385,34566,361416
20100604,35207,35453,33926,35354,160614
20100607,34566,35847,34370,35453,151179
20100608,35453,35748,34468,34566,147691
20100609,34566,34862,33483,34566,175660
20100610,34566,35207,34025,35157,130459
20100611,35551,35748,34616,34911,142407
20100614,34862,35207,34419,34960,71789
20100615,34960,36733,34960,35502,329337
20100616,35256,36093,34960,35010,218109
20100617,35157,36487,35010,36438,285665
20100618,36832,40131,36635,39244,788577
20100621,40426,41017,38604,39195,567642
20100622,39392,39392,37176,37324,575050
20100623,37127,38358,36684,37275,299589
20100624,37225,37767,36979,37570,141624
20100625,37028,37964,37028,37472,159291
20100628,37619,37915,37225,37225,103093
20100629,37619,38161,36339,36438,194420
20100630,35157,37373,34616,37176,233038
20100701,36684,37373,35945,36290,117161
20100702,35994,36585,34517,34862,150174
20100705,34517,36388,33976,35551,158192
20100706,35256,36339,34862,35945,111810
20100707,35945,36044,35059,35207,71261
20100708,35945,35945,34616,35207,155183
20100709,35354,35404,33779,34271,321345
20100712,34616,34616,33286,33483,328982
20100713,33483,33631,32548,32892,460563
20100714,33188,33631,32548,32597,449975
20100715,32646,33139,31317,31317,741129
20100716,31612,33434,31070,33385,791880
20100719,33089,33385,32203,32301,397924
20100720,32400,33237,32252,32548,205758
20100721,32548,32892,31317,31415,401948
20100722,31070,32154,29544,31711,800784
20100723,32154,32991,31711,32548,429506
20100726,33040,33286,32548,33089,333402
20100727,33483,33631,33040,33582,380246
20100728,33729,35354,33680,35108,670283
20100729,35256,35305,34074,34419,260130
20100730,34074,34419,33188,34123,287962
20100802,33729,34419,33237,34419,232823
20100803,34813,34813,33779,33779,152446
20100804,33631,33631,32351,32695,253766
20100805,32794,33877,31760,32498,361388
20100806,32942,32942,31563,31809,214971
20100809,31711,32104,31563,31711,100594
20100810,31760,32400,31760,32104,111138
20100811,31169,31563,30726,30873,2074527
20100812,30430,32055,30430,31120,374825
20100813,30972,31760,30430,31514,203458
20100816,31711,33532,31661,33434,374417
20100817,33385,33877,32942,33631,237182
20100818,33680,34370,33680,34173,319536
20100819,34271,34517,33680,33828,149633
20100820,33877,34222,33040,33434,179233
20100823,33483,33582,32301,32745,216489
20100824,32745,35354,32646,35354,458929
20100825,35551,36191,34616,35354,621444
20100826,35601,35699,34763,35305,245911
20100827,35305,36339,34911,35945,368137
20100830,36438,36438,34616,34862,432412
20100831,34665,35256,33779,34468,266611
20100901,34862,36388,34468,36388,464414
20100902,36142,36733,35453,36438,436604
20100903,36388,37422,35994,36635,507391
20100906,37127,37275,36044,36290,288980
20100907,36487,36536,34960,35748,273301
20100908,35797,36585,35256,36536,262087
20100909,36930,37472,36684,37324,352068
20100910,37619,37669,36979,37373,262616
20100913,37767,38013,37472,37767,275373
20100914,37718,37767,36536,37225,297402
20100915,36930,36979,35945,36142,276339
20100916,36142,36832,36044,36241,163206
20100917,35748,36290,35059,35945,215830
20100920,35797,36782,35256,36684,128678
20100924,36635,36881,36339,36684,102721
20100927,37127,37176,36339,36930,194466
20100928,36684,38604,36684,38407,545455
20100929,38604,38604,37324,37422,290061
20100930,37669,37915,36832,37570,214897
20101001,37422,38259,36930,37324,206810
20101004,37324,38063,36241,36241,202373
20101005,35994,36635,35453,35748,181308
20101006,36044,36635,35847,36536,157989
20101007,36487,36585,35059,35650,278272
20101008,35551,35945,35157,35207,177029
20101011,35453,36536,35404,36142,201620
20101012,36536,38210,36290,37964,593068
20101013,37964,39294,37472,37472,598125
20101014,38063,38801,37472,38801,320520
20101015,38604,39097,38161,38210,198890
20101018,38112,38998,37915,38259,169569
20101019,38259,39441,38013,38013,238617
20101020,37225,38210,37225,37915,212322
20101021,38407,39195,37816,37866,213911
20101022,38013,38358,36930,37028,231171
20101025,37422,38161,37275,37619,207709
20101026,37915,37915,36536,37127,283501
20101027,36733,37028,35945,36733,339630
