날짜,시가,고가,저가,현재가,거래량
20080102,36496,38262,35495,36555,103805
20080103,36731,37379,35613,36849,82505
20080104,37614,41205,36849,41205,198017
20080107,39733,42323,39145,40910,144708
20080108,40734,42088,39851,40028,101199
20080109,39969,40734,39145,40498,68722
20080110,40734,42794,40557,41558,164392
20080111,41264,42088,39439,40498,140843
20080114,39792,40440,37908,40322,85816
20080115,40675,40734,37673,37967,104666
20080116,36084,37437,34965,35024,107632
20080117,35024,36378,30727,35318,364409
20080118,33258,35907,33258,35907,101929
20080121,34906,35730,33082,35318,114450
20080122,33552,34141,31551,34141,104663
20080123,35083,36378,34141,35848,126425
20080124,36201,38850,36084,37673,162586
20080125,38850,40145,38320,40086,165929
20080128,39262,40204,38320,39733,131744
20080129,40028,41205,38968,40381,148274
20080130,40616,40910,38732,39262,64548
20080131,38144,39969,38144,38850,50681
20080201,38850,39851,37143,37261,73744
20080204,37202,37908,36378,36496,107004
20080205,36908,37496,35613,36142,104933
20080211,34965,35554,34789,34789,60578
20080212,35142,36790,35142,35672,58312
20080213,36437,36731,35377,36613,67689
20080214,36731,37673,36731,37025,38787
20080215,36142,37084,36142,37084,54252
20080218,37967,37967,36496,37025,82603
20080219,37084,38085,37025,37908,73970
20080220,37614,37614,36908,37555,47813
20080221,38085,38085,37084,37320,54899
20080222,35966,37320,35672,35907,67909
20080225,36378,36496,35613,35613,58550
20080226,35848,36025,35318,35907,58368
20080227,35613,36025,34730,34730,91550
20080228,34141,35318,34141,34847,60342
20080229,34730,34730,34141,34259,46089
20080303,32493,34730,32493,34671,46152
20080304,35260,35260,34141,34612,27290
20080305,33847,34671,32728,32964,62717
20080306,32964,33258,30904,30904,141426
20080307,30492,32081,29491,30845,143128
20080310,29609,30315,27666,29432,146209
20080311,28314,31845,28314,31728,106989
20080312,32022,32728,31021,31669,82293
20080313,31492,31904,30197,31080,43099
20080314,32316,33552,28902,29903,209547
20080317,29785,29785,27077,29314,90527
20080318,29285,29726,28549,28667,51912
20080319,28961,29491,27960,28843,84713
20080320,27696,28549,27607,28549,88267
20080321,28549,29491,28137,29491,98272
20080324,29844,29844,28667,28843,59700
20080325,29432,29491,28461,28814,76596
20080326,28578,28578,26842,28549,244380
20080327,28078,28078,27431,27666,94363
20080328,27489,27902,26430,27548,307573
20080331,27372,27666,26459,26459,176155
20080401,26459,26960,26194,26960,197127
20080402,27254,27254,25900,25900,162875
20080403,25900,26371,25253,25724,139895
20080404,25576,26018,24841,25105,387882
20080407,25341,27489,25341,27077,304340
20080408,27136,27637,26459,27077,134656
20080410,26960,27960,26607,27843,141132
20080411,28137,30492,27960,29844,349920
20080414,29255,30256,28667,28784,165914
20080415,28402,29138,27784,28843,108767
20080416,29344,29667,28843,29255,100665
20080417,29609,29726,29020,29197,76967
20080418,29138,29138,28166,28255,76153
20080421,28549,29609,28255,29491,105794
20080422,29403,30374,28961,29079,148141
20080423,28843,29667,28549,29432,99736
20080424,29550,30021,28726,28843,71627
20080425,28902,28961,28019,28255,74690
20080428,28314,28520,26960,27372,68338
20080429,27225,27754,27077,27254,49609
20080430,27077,27254,26636,26930,48260
20080502,27048,27784,27048,27607,35259
20080506,27578,27931,27166,27195,39229
20080507,26783,27048,25900,25959,92204
20080508,25606,29314,25253,27548,285639
20080509,27843,28490,26665,26901,90839
20080513,26871,27578,26194,26724,73246
20080514,26489,26960,26047,26077,58867
20080515,26194,26813,25930,25930,57733
20080516,25900,26754,25782,26607,67024
20080519,26607,26989,26077,26106,46031
20080520,26489,28314,26106,27931,176027
20080521,27489,29844,27254,28843,251967
20080522,29108,29108,27960,28137,89450
20080523,27725,27784,26342,26342,143372
20080526,26312,26930,25606,26724,53112
20080527,26842,26842,25900,26018,77242
20080528,26312,28078,26224,27372,103324
20080529,27225,28314,26489,28137,94818
20080530,28255,29020,28137,28578,87267
