날짜,시가,고가,저가,현재가,거래량
20191030,6000,6500,5880,6500,46404235
20191031,6870,7100,6300,6500,38408579
20191101,6400,6510,6240,6360,6700382
20191104,6410,6430,6160,6390,5210989
20191105,6430,6740,6390,6630,7915709
20191106,6670,6680,6550,6560,2980757
20191107,6560,6670,6540,6670,2137229
20191108,6690,6780,6600,6690,2854791
20191111,6730,6750,6640,6670,1108408
20191112,6670,6670,6560,6640,1282530
20191113,6640,6650,6520,6580,1121009
20191114,6610,6620,6470,6530,991037
20191115,6530,6550,6420,6530,1256940
20191118,6510,6530,6400,6410,1114369
20191119,6420,6570,6380,6540,1176136
20191120,6540,6540,6470,6510,581972
20191121,6530,6530,6420,6510,608379
20191122,6510,6560,6470,6510,775095
20191125,6510,6530,6450,6500,521965
20191126,6460,6510,6450,6460,544418
20191127,6460,6530,6450,6500,706123
20191128,6500,6510,6460,6500,431182
20191129,6470,6510,6470,6500,591326
20191202,6420,6450,6270,6340,3028271
20191203,6280,6290,6170,6220,1651227
20191204,6220,6380,6210,6380,805995
20191205,6460,6480,6360,6410,954977
20191206,6380,6400,6270,6300,947314
20191209,6300,6300,6190,6260,771485
20191210,6260,6350,6240,6310,782200
20191211,6290,6340,6260,6310,851236
20191212,6290,6310,6270,6300,812025
20191213,6300,6300,6250,6290,1466414
20191216,6290,6400,6260,6360,1387578
20191217,6360,6360,6260,6300,505694
20191218,6270,6300,6240,6260,523196
20191219,6260,6260,6180,6230,840559
20191220,6250,6290,6180,6250,472564
20191223,6260,6300,6250,6270,395313
20191224,6300,6300,6200,6240,487548
20191226,6240,6260,6210,6240,870457
20191227,6180,6270,6130,6230,889765
20191230,6230,6230,6140,6160,472652
20200102,6150,6160,6050,6130,657374
20200103,6100,6140,6070,6100,547978
