날짜,시가,고가,저가,현재가,거래량
20080102,378638,378638,357552,359844,40768
20080103,359844,365803,357552,358010,77074
20080104,358010,364428,357094,358010,41976
20080107,357552,358469,357094,358010,68730
20080108,362136,363053,357094,358010,52974
20080109,357552,361219,356177,361219,104140
20080110,358469,362136,356177,357552,112720
20080111,356635,357552,336466,339674,100445
20080114,338758,339674,328214,331882,72459
20080115,332340,334174,325464,327298,45601
20080116,326381,330048,303919,317213,148439
20080117,320880,320880,305294,312629,91052
20080118,307128,309878,299794,307128,136541
20080121,306670,310795,303461,310795,88901
20080122,303461,308962,296126,302544,85364
20080123,311254,312170,299335,301627,97625
20080124,303002,307128,301627,302544,93184
20080125,305294,308962,303461,307128,114982
20080128,303461,304378,296126,298877,167482
20080129,301627,303461,296126,299794,96494
20080130,300710,303919,295210,298877,69191
20080131,297502,302086,292459,302086,114048
20080201,303461,304378,295210,296585,92077
20080204,298877,303919,298877,301627,102508
20080205,303919,312170,302544,312170,106531
20080211,305294,306211,299794,302544,89969
20080212,308503,309878,301627,305753,44550
20080213,310795,311254,303002,305753,49327
20080214,308962,308962,306670,308962,58273
20080215,307128,313546,305753,313546,52774
20080218,308045,314004,305753,308045,31148
20080219,308045,312629,308045,311712,40991
20080220,309420,311712,304378,307128,40927
20080221,307128,310795,307128,308503,33868
20080222,308962,308962,302544,306211,29812
20080225,305294,308503,300710,303461,73851
20080226,300710,303461,298877,299794,105979
20080227,300710,302544,299335,300710,42786
20080228,301169,301627,295668,295668,59703
20080229,295668,295668,292459,294751,53733
20080303,291542,292918,286500,288792,59224
20080304,292001,292459,286500,287875,32347
20080305,286500,291084,284666,285125,45076
20080306,285125,285583,280999,283291,77520
20080307,280541,280541,275498,276874,80232
20080310,273665,276415,268622,271831,79626
20080311,267706,273665,267247,272290,65562
20080312,277790,277790,273206,276415,56599
20080313,273665,279166,266789,270456,60210
20080314,272290,274123,261288,270914,72846
20080317,270456,270456,261746,264955,47706
20080318,264955,269539,261746,266789,37779
20080319,273665,273665,268164,269539,32857
20080320,269539,279166,268164,275498,60435
20080321,277790,280082,272290,272290,35799
20080324,275040,275498,269539,273206,36806
20080325,275498,284666,273206,281458,54337
20080326,282374,287417,278249,284666,60499
20080327,282833,288334,277790,277790,54091
20080328,279624,285583,275957,282374,82310
20080331,282374,282833,273665,275040,75550
20080401,275040,276874,271373,274123,58900
20080402,279624,286042,277790,284208,76527
20080403,285125,303461,284666,301169,155874
20080404,301627,307128,293376,307128,74753
20080407,308503,311254,303002,307128,45093
20080408,309878,309878,301627,302544,22955
20080410,304378,308962,297960,308962,57972
20080411,306670,308962,304378,305753,75392
20080414,301627,301627,296585,300252,45900
20080415,307128,308503,300710,305753,36017
20080416,307128,310795,305753,309420,58495
20080417,311254,312170,307128,309420,45081
20080418,310795,316296,310337,314004,64505
20080421,316754,316754,307128,308045,35819
20080422,308045,311712,307128,307128,19778
20080423,307128,315838,307128,310795,36501
20080424,309878,312170,307128,312170,26142
20080425,312170,319046,311712,317213,70618
20080428,319505,333257,319046,330048,171873
20080429,330048,331423,325006,330048,62362
20080430,329131,343800,328673,335549,75439
20080502,343800,343800,325006,336924,76572
20080506,337382,342425,336924,340133,58408
20080507,335549,341050,325464,334632,37687
20080508,325464,331882,325006,325006,52703
20080509,325464,328214,312170,315379,74187
20080513,315379,315379,302086,306211,158236
20080514,303002,304378,295210,297960,125627
20080515,299335,304378,299335,303002,66326
20080516,304836,306211,299335,301627,100761
20080519,303461,308503,303461,305753,41641
20080520,308045,308503,299335,303461,63526
20080521,299794,302544,298418,299794,32122
20080522,297502,299335,293834,299335,74197
20080523,297043,297043,293834,295668,55648
20080526,295210,297502,292001,293376,29532
20080527,296126,301169,292918,299335,64778
20080528,301627,305753,298418,304378,94786
20080529,306211,312629,306211,310795,101827
20080530,315379,319046,314462,318130,92814
20080602,319505,320422,314462,320422,56917
20080603,319046,319046,311254,314462,118598
20080604,315838,315838,304836,309878,44552
20080605,306211,309420,299794,305753,65481
20080609,300710,304378,295668,302544,47527
20080610,300710,303002,295668,300710,65394
20080611,302544,302544,297502,298877,57041
20080612,300252,302544,294751,302544,54870
20080613,300710,305294,299335,305294,28652
20080616,300710,304378,299794,302544,26375
20080617,303919,304378,293834,297502,51337
20080618,300252,305753,297502,302544,30633
