날짜,시가,고가,저가,현재가,거래량
20080102,43500,43700,41700,42000,176443
20080103,41650,42100,40700,41700,119876
20080104,41600,42700,40800,41900,164187
20080107,40400,41450,40400,40800,101070
20080108,41200,43800,41000,43500,300197
20080109,42750,44000,41500,44000,167882
20080110,44350,44500,43100,43100,149076
20080111,43600,44850,42600,42600,240725
20080114,42650,43800,42000,43600,200797
20080115,44000,49400,44000,46050,1136265
20080116,46000,47200,44550,45000,463661
20080117,46600,48200,46150,47750,460990
20080118,47150,49350,46700,48500,397829
20080121,48500,49900,47200,48650,344154
20080122,47300,47900,44550,46100,390447
20080123,47900,48000,44850,45500,242606
20080124,46400,47300,46200,46900,213195
20080125,47700,48200,46900,48150,204959
20080128,48050,49550,45650,46200,274490
20080129,47650,49400,46800,49250,308366
20080130,49850,51300,48100,48600,435038
20080131,48500,49250,46100,47650,332832
20080201,48000,48600,46800,47950,202345
20080204,48450,49650,48100,49400,244351
20080205,49150,50400,48800,49750,176985
20080211,48000,48900,47700,48450,104190
20080212,48450,49250,47550,49100,118852
20080213,49600,50000,46900,46950,178650
20080214,47500,49500,47050,48300,213714
20080215,47400,49100,46900,49100,169089
20080218,49000,49700,48350,48500,118625
20080219,49400,55200,48900,54300,975739
20080220,54500,58400,53900,55100,1195517
20080221,56600,56800,53800,55100,475498
20080222,54300,56600,54200,55600,283528
20080225,56400,58200,55300,56500,411599
20080226,57200,57600,54400,54700,360710
20080227,55600,56200,54000,54700,211986
20080228,56000,58400,55800,57300,531705
20080229,57700,59200,57000,57400,385576
20080303,55400,56200,54500,54800,261184
20080304,55400,56200,54700,56000,157910
20080305,56300,57400,55700,56000,183029
20080306,56600,57700,55300,56500,302565
20080307,55500,57300,55100,55400,240333
20080310,54400,54800,50600,51400,320072
20080311,50100,52400,50100,51900,191153
20080312,52900,53000,51000,51000,239982
20080313,50700,52700,50200,50400,226029
20080314,51600,52800,49800,51900,257685
20080317,51300,51900,49000,51400,184334
20080318,51700,52100,50700,52000,124026
20080319,53100,53900,52300,52600,164207
20080320,52000,52600,51700,52500,76180
20080321,53200,53300,51500,52200,134086
20080324,52500,53000,51600,51700,130872
20080325,52300,52400,50900,52100,199235
20080326,52600,55400,52100,54000,382268
20080327,54200,55300,53600,54800,206990
20080328,54600,56000,54300,54900,227293
